[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Cimetidine.]
[R03BA02, budesonide, Cimetidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Cimetidine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Cimetidine.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Cimetidine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Cimetidine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Cimetidine can cause a decrease in the absorption of Captopril resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L02BB05, apalutamide, The excretion of Cimetidine can be decreased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Cimetidine.]
[J01CA03, carbenicillin, The excretion of Cimetidine can be decreased when combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Cimetidine.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be increased when it is combined with Cimetidine.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Cimetidine.]
[B02BX08, avatrombopag, The excretion of Cimetidine can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Cimetidine.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cimetidine can cause a decrease in the absorption of Cefpodoxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Cimetidine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Cimetidine.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Cimetidine.]
[J01GB14, plazomicin, Cimetidine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Cimetidine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Cimetidine.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Cimetidine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Cimetidine.]
[A16AX14, migalastat, Cimetidine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Cimetidine can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Cimetidine.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Cimetidine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Cimetidine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[A10BB06, carbutamide, The serum concentration of Carbutamide can be increased when it is combined with Cimetidine.]
[D08AE05, chloroxylenol, Cimetidine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Cimetidine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Cimetidine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Cimetidine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Cimetidine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Cimetidine.]
[L01AD01, carmustine, Cimetidine may increase the myelosuppressive activities of Carmustine.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Cimetidine.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Cimetidine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Cimetidine.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Cimetidine.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Cimetidine.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Cimetidine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Cimetidine.]
[J01FA09, clarithromycin, Cimetidine may decrease the excretion rate of Clarithromycin which could result in a higher serum level.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Cimetidine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Cimetidine.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Cimetidine.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Cimetidine.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Cimetidine.]
[J01DC04, cefaclor, Cimetidine may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[J01DB05, cefadroxil, The excretion of Cimetidine can be decreased when combined with Cefadroxil.]
[J01DC03, cefamandole, The excretion of Cimetidine can be decreased when combined with Cefamandole.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Cimetidine.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Cimetidine.]
[J01DD12, cefoperazone, The excretion of Cimetidine can be decreased when combined with Cefoperazone.]
[J01DD01, cefotaxime, The excretion of Cimetidine can be decreased when combined with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DC07, cefotiam, The excretion of Cimetidine can be decreased when combined with Cefotiam.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Cimetidine.]
[J01DD04, ceftriaxone, The excretion of Cimetidine can be decreased when combined with Ceftriaxone.]
[S01AA27, cefuroxime, Cimetidine can cause a decrease in the absorption of Cefuroxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Cimetidine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Cimetidine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Cimetidine.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Cimetidine.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Cimetidine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Cimetidine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Cimetidine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Cimetidine.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Cimetidine.]
[J01DB01, cephalexin, The excretion of Cephalexin can be decreased when combined with Cimetidine.]
[J01DB02, cephaloridine, The excretion of Cefaloridine can be decreased when combined with Cimetidine.]
[J01DB03, cephalothin, The excretion of Cimetidine can be decreased when combined with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Cimetidine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Cimetidine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Cimetidine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Cimetidine.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Cimetidine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[M09AX08, golodirsen, Cimetidine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Cimetidine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Cimetidine.]
[S01XA12, dexpanthenol, Cimetidine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Cimetidine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Cimetidine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Cimetidine.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Cimetidine.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Cimetidine.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Cimetidine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Cimetidine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Cimetidine.]
[R02AA03, dichlorobenzyl alcohol, Cimetidine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Cimetidine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Cimetidine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Cimetidine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Cimetidine.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Cimetidine.]
[C08CA16, clevidipine, The serum concentration of Clevidipine can be increased when it is combined with Cimetidine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Cimetidine.]
[S03AA08, chloramphenicol, The excretion of Cimetidine can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The metabolism of Chlordiazepoxide can be decreased when combined with Cimetidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Cimetidine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Cimetidine.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA05, mangafodipir, Cimetidine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Cimetidine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Cimetidine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Cimetidine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Cimetidine.]
[L01FX15, belantamab mafodotin, Cimetidine may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Cimetidine.]
[P01BA01, chloroquine, The serum concentration of the active metabolites of Chloroquine can be increased when Chloroquine is used in combination with Cimetidine.]
[L01EX23, pralsetinib, The risk or severity of liver damage can be increased when Cimetidine is combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Cimetidine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Cimetidine.]
[A10BB02, chlorpropamide, The serum concentration of Chlorpropamide can be increased when it is combined with Cimetidine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Cimetidine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Cimetidine.]
[N06BX18, vinpocetine, The serum concentration of Vinpocetine can be increased when it is combined with Cimetidine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Cimetidine.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Etofibrate.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Cimetidine.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Cimetidine.]
[M01AX25, chondroitin sulfates, Cimetidine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[J05AJ04, cabotegravir, The excretion of Cimetidine can be decreased when combined with Cabotegravir.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Cimetidine.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Cimetidine.]
[C01CA19, fenoldopam, Cimetidine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[V08CA07, ferric ammonium citrate, Cimetidine can cause a decrease in the absorption of Ferric ammonium citrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Cimetidine can cause a decrease in the absorption of Prussian blue resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Cimetidine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Cimetidine can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Cimetidine can cause a decrease in the absorption of Ferrous gluconate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Cimetidine can cause a decrease in the absorption of Ferrous succinate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Cimetidine can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Cimetidine.]
[J01DD15, cefdinir, The excretion of Cefdinir can be decreased when combined with Cimetidine.]
[S01JA01, fluorescein, Cimetidine may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[N02BG07, flupirtine, Cimetidine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Cimetidine.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Cimetidine.]
[B03AB10, ferric maltol, Cimetidine can cause a decrease in the absorption of Ferric maltol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Cimetidine.]
[S02BA08, fluocinolone acetonide, Cimetidine may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[V08CA04, gadoteridol, Cimetidine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be increased when it is combined with Cimetidine.]
[J01MB06, cinoxacin, The excretion of Cimetidine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The therapeutic efficacy of Sotorasib can be decreased when used in combination with Cimetidine.]
[L01EN03, infigratinib, The serum concentration of Infigratinib can be decreased when it is combined with Cimetidine.]
[S03AA07, ciprofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Cimetidine.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Cimetidine.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Cimetidine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Cimetidine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Cimetidine.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Cimetidine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Cimetidine.]
[A10BB12, glimepiride, The serum concentration of Glimepiride can be increased when it is combined with Cimetidine.]
[A10BB08, gliquidone, The serum concentration of Gliquidone can be increased when it is combined with Cimetidine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Cimetidine.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Cimetidine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Cimetidine.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Clofibrate.]
[N01BB10, levobupivacaine, Cimetidine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Cimetidine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Cimetidine.]
[N03AE01, clonazepam, Cimetidine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Cimetidine.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be decreased when combined with Cimetidine.]
[J05AH02, oseltamivir, The excretion of Oseltamivir can be decreased when combined with Cimetidine.]
[J02AC06, oteseconazole, Cimetidine can cause a decrease in the absorption of Oteseconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Cimetidine.]
[A05BA08, glycyrrhizic acid, Cimetidine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Cimetidine.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Cimetidine.]
[J01GB12, arbekacin, Cimetidine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Cimetidine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Cimetidine.]
[J01XB01, colistin, Cimetidine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Leflunomide.]
[A04AA03, tropisetron, Cimetidine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Cimetidine.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Telithromycin can be decreased when combined with Cimetidine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Cimetidine.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J05AB14, valganciclovir, Cimetidine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Emtricitabine can be decreased when combined with Cimetidine.]
[C05BB03, invert sugar, Cimetidine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Cimetidine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Cimetidine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Cimetidine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Cimetidine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Cimetidine.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Cimetidine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Cimetidine.]
[J02AC02, itraconazole, Cimetidine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Cimetidine.]
[N05BA10, ketazolam, Cimetidine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Cimetidine.]
[J02AC04, posaconazole, Cimetidine can cause a decrease in the absorption of Posaconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BC05, esomeprazole, The excretion of Cimetidine can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, The serum concentration of Lacidipine can be increased when it is combined with Cimetidine.]
[N03AX09, lamotrigine, Cimetidine may decrease the excretion rate of Lamotrigine which could result in a higher serum level.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Nafarelin.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Cimetidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Cimetidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[R06AX13, loratadine, Cimetidine may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C09AA03, lisinopril, Cimetidine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Cimetidine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The serum concentration of Manidipine can be increased when it is combined with Cimetidine.]
[A03AA04, mebeverine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Mebeverine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Cimetidine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Cimetidine.]
[J01DH02, meropenem, Cimetidine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C04AX01, cyclandelate, The serum concentration of Cyclandelate can be increased when it is combined with Cimetidine.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Cimetidine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Cimetidine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, The excretion of Tenofovir disoproxil can be decreased when combined with Cimetidine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Cimetidine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Cimetidine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Cimetidine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Cimetidine.]
[N06BA07, modafinil, The metabolism of Modafinil can be decreased when combined with Cimetidine.]
[C10AA07, rosuvastatin, Cimetidine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[S01XA21, cysteamine, The bioavailability of Cysteamine can be decreased when combined with Cimetidine.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Cimetidine.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Cimetidine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Cimetidine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Cimetidine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Cimetidine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Cimetidine.]
[L01DB02, daunorubicin, Cimetidine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Cimetidine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Cimetidine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Cimetidine.]
[N07BB05, nalmefene, Cimetidine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Cimetidine.]
[S01GX04, nedocromil, Cimetidine may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Cimetidine.]
[C01DX16, nicorandil, Cimetidine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Nilutamide can be decreased when combined with Cimetidine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Cimetidine.]
[B01AX05, fondaparinux, Cimetidine may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Escitalopram can be increased when it is combined with Cimetidine.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Cimetidine.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Cimetidine.]
