[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxazepam.]
[N07XX11, pitolisant, Oxazepam may decrease the excretion rate of Pitolisant which could result in a higher serum level.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The therapeutic efficacy of Oxazepam can be increased when used in combination with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Oxazepam.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M09AX08, golodirsen, Oxazepam may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxazepam.]
[S01XA12, dexpanthenol, Oxazepam may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Oxazepam.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lumateperone.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Oxazepam is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Dichloralphenazone.]
[R02AA03, dichlorobenzyl alcohol, Oxazepam may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Oxazepam may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Oxazepam.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxazepam.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C08CA16, clevidipine, Oxazepam may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Oxazepam.]
[A03AA08, dihexyverine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[G04BD09, trospium, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V08CA05, mangafodipir, Oxazepam may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Oxazepam.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Oxazepam is combined with Oliceridine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05AF03, chlorprothixene, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Oxazepam.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BA03, choline salicylate, Oxazepam may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ethyl loflazepate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01AX25, chondroitin sulfates, Oxazepam may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06BA10, fenethylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Fenethylline.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BG07, flupirtine, Oxazepam may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Oxazepam is combined with Trichloroethylene.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01XA01, cisplatin, Oxazepam may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Oxazepam is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Oxazepam may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Oxazepam may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Oxazepam may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Oxazepam.]
[M01AG01, mefenamic acid, The metabolism of Oxazepam can be decreased when combined with Mefenamic acid.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Oxazepam is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Oxazepam.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Oxazepam.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Oxazepam is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Clozapine.]
[J01GB12, arbekacin, Oxazepam may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Oxazepam.]
[S02DA02, cocaine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Oxazepam may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Oxazepam.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Oxazepam is combined with Hexafluronium.]
[M04AC01, colchicine, Oxazepam may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Oxazepam may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Oxazepam is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Desloratadine.]
[J05AB14, valganciclovir, Oxazepam may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Oxazepam may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Oxazepam may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Oxazepam may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Oxazepam may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Oxazepam may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Oxazepam is combined with Almotriptan.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AX09, lamotrigine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Oxazepam can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Oxazepam may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Medifoxamine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N04AA03, methixene, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Oxazepam is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Oxazepam is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Oxazepam.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Moclobemide.]
[R06AX02, cyproheptadine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[L01AX04, dacarbazine, Oxazepam may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Oxazepam is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N07BB05, nalmefene, Oxazepam may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nordazepam.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Niaprazine.]
[C01DX16, nicorandil, Oxazepam may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tiagabine.]
[C01CA23, theodrenaline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Oxazepam.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Oxazepam.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Oxazepam is combined with Escitalopram.]
[G04BD08, solifenacin, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AA01, desipramine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[V04CH02, indigo carmine, Oxazepam may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Oxazepam.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Oxiracetam.]
[N04AA08, dexetimide, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Oxazepam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Oxazepam.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Oxazepam.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Oxazepam.]
[C04AD01, pentifylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Pentifylline.]
[P03AC04, permethrin, Oxazepam may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Oxazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Oxazepam is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Oxazepam.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Oxazepam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Oxazepam.]
[R05DA08, pholcodine, Oxazepam may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[A03AA07, dicyclomine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Oxazepam may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pipamperone.]
[A03AB14, pipenzolate, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Oxazepam is combined with Diethylpropion.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[D07XC04, diflucortolone, Oxazepam may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The metabolism of Oxazepam can be decreased when combined with Diflunisal.]
[C01AA05, digoxin, Oxazepam may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Oxazepam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Oxazepam.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[H03BC01, potassium perchlorate, Oxazepam may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pramocaine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Dimenhydrinate.]
[V03AB09, dimercaprol, Oxazepam may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Oxazepam is combined with Pridinol.]
[R06AB03, dimethindene, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, Oxazepam may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Oxazepam.]
[N06BC02, propentofylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Propentofylline.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R03DA03, proxyphylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Proxyphylline.]
[R06AA02, diphenhydramine, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Oxazepam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Oxazepam.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Oxazepam.]
[S01AX06, resorcinol, Oxazepam may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Oxazepam.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Oxazepam.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Oxazepam.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[C01CA04, dopamine, Oxazepam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AA16, dothiepin, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Oxazepam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sibutramine.]
[A12CA02, sodium sulfate, Oxazepam may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The therapeutic efficacy of Oxazepam can be decreased when used in combination with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Oxazepam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Oxazepam.]
[V04CX07, edrophonium, Oxazepam may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[L01AX03, temozolomide, Oxazepam may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Oxazepam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Thiopropazate.]
[G04BD01, emepronium, Oxazepam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Tofisopam.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Toloxatone.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Oxazepam which could result in a higher serum level.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Oxazepam.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Oxazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Oxazepam is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Oxazepam is combined with Chloral hydrate.]
