[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fluvoxamine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Fluvoxamine.]
[A04AD14, rolapitant, The metabolism of Fluvoxamine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Fluvoxamine.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Fluvoxamine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Fluvoxamine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Fluvoxamine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Fluvoxamine.]
[V03AB37, idarucizumab, Fluvoxamine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Fluvoxamine.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Fluvoxamine.]
[L01EB04, osimertinib, The serum concentration of Fluvoxamine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Fluvoxamine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Fluvoxamine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Fluvoxamine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Fluvoxamine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Fluvoxamine.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Fluvoxamine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Fluvoxamine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Fluvoxamine.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Fluvoxamine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Fluvoxamine.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Fluvoxamine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Fluvoxamine.]
[N05BA08, bromazepam, The serum concentration of Bromazepam can be increased when it is combined with Fluvoxamine.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Fluvoxamine.]
[A02AD05, aluminum magnesium silicate, Fluvoxamine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Fluvoxamine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fluvoxamine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Fluvoxamine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Fluvoxamine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be increased when combined with Fluvoxamine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Fluvoxamine.]
[A05AA04, obeticholic acid, The metabolism of Fluvoxamine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Fluvoxamine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Fluvoxamine.]
[N07BC01, buprenorphine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Fluvoxamine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Fluvoxamine.]
[L01XX27, arsenic trioxide, Fluvoxamine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Fluvoxamine.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Fluvoxamine.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Butorphanol is combined with Fluvoxamine.]
[S01GX07, azelastine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Fluvoxamine.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Fluvoxamine.]
[L01EF02, ribociclib, The metabolism of Fluvoxamine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Balsalazide.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Fluvoxamine.]
[A06AH05, naldemedine, Fluvoxamine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Fluvoxamine.]
[N02BF02, pregabalin, The therapeutic efficacy of Fluvoxamine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Beclamide is combined with Fluvoxamine.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Fluvoxamine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Fluvoxamine.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Fluvoxamine.]
[P01CA02, benznidazole, Fluvoxamine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Fluvoxamine.]
[J05AF06, abacavir, Fluvoxamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Fluvoxamine can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Fluvoxamine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Fluvoxamine.]
[L04AB02, infliximab, The metabolism of Fluvoxamine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Fluvoxamine can be decreased when combined with Midostaurin.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Fluvoxamine.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Fluvoxamine.]
[N04BD03, safinamide, Safinamide may increase the serotonergic activities of Fluvoxamine.]
[J01MA23, delafloxacin, Fluvoxamine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Betrixaban.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Fluvoxamine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Fluvoxamine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Fluvoxamine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Fluvoxamine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Fluvoxamine.]
[C07AB07, bisoprolol, The metabolism of Bisoprolol can be decreased when combined with Fluvoxamine.]
[J05AG03, efavirenz, The metabolism of Fluvoxamine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Fluvoxamine.]
[N04AA11, bornaprine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Bromperidol is combined with Fluvoxamine.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Brotizolam is combined with Fluvoxamine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Budesonide can be decreased when combined with Fluvoxamine.]
[C04AX20, buflomedil, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Fluvoxamine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Fluvoxamine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Fluvoxamine.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Butriptyline is combined with Fluvoxamine.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Semaglutide.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Fluvoxamine.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vinylbital is combined with Fluvoxamine.]
[R06AX18, acrivastine, Fluvoxamine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Fluvoxamine.]
[L02BB05, apalutamide, The metabolism of Fluvoxamine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Fluvoxamine.]
[A03AA03, camylofine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Fluvoxamine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Fluvoxamine.]
[L03AB06, interferon alfa-n1, The metabolism of Fluvoxamine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Fluvoxamine.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Fluvoxamine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Fluvoxamine.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Fluvoxamine.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Fluvoxamine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Fluvoxamine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01GB14, plazomicin, Fluvoxamine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Fluvoxamine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Fluvoxamine.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Fluvoxamine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Fluvoxamine.]
[A16AX14, migalastat, Fluvoxamine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Fluvoxamine can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Fluvoxamine.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Fluvoxamine.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Fluvoxamine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Fluvoxamine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Fluvoxamine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Carbromal is combined with Fluvoxamine.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Fluvoxamine.]
[D08AE05, chloroxylenol, Fluvoxamine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Fluvoxamine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Fluvoxamine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Fluvoxamine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Fluvoxamine.]
[L04AA39, emapalumab, The metabolism of Fluvoxamine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Fluvoxamine.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Fluvoxamine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Fluvoxamine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Fluvoxamine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Fluvoxamine.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Cibenzoline.]
[B01AX07, caplacizumab, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Caplacizumab.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Fluvoxamine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Fluvoxamine.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Fluvoxamine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Fluvoxamine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Fluvoxamine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Solriamfetol is combined with Fluvoxamine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Brexanolone is combined with Fluvoxamine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Fluvoxamine.]
[N05BA09, clobazam, The metabolism of Fluvoxamine can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Fluvoxamine.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Fluvoxamine.]
[L04AB01, etanercept, The metabolism of Fluvoxamine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Fluvoxamine.]
[L01FX14, polatuzumab vedotin, The metabolism of Polatuzumab vedotin can be decreased when combined with Fluvoxamine.]
[J01DC04, cefaclor, Fluvoxamine may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Fluvoxamine.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Fluvoxamine.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Fluvoxamine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cyamemazine is combined with Fluvoxamine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Fluvoxamine.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Fluvoxamine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Fluvoxamine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Fluvoxamine.]
[N07XX11, pitolisant, The serum concentration of Fluvoxamine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Fluvoxamine.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Fluvoxamine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Fluvoxamine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Fluvoxamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The therapeutic efficacy of Fluvoxamine can be increased when used in combination with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Fluvoxamine.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Fluvoxamine.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Fluvoxamine.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Fluvoxamine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Fluvoxamine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Fluvoxamine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Fluvoxamine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Fluvoxamine.]
[N03AX25, cenobamate, The serum concentration of Fluvoxamine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Fluvoxamine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Fluvoxamine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Fluvoxamine.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be decreased when combined with Fluvoxamine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Fluvoxamine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Fluvoxamine.]
[S01XA12, dexpanthenol, Fluvoxamine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Dezocine is combined with Fluvoxamine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Fluvoxamine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Fluvoxamine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Fluvoxamine.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Fluvoxamine.]
[M01AX21, diacetylrhein, The metabolism of Fluvoxamine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Fluvoxamine.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Fluvoxamine.]
[S01AE06, gatifloxacin, The metabolism of Fluvoxamine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Fluvoxamine.]
[J05AE05, amprenavir, The metabolism of Fluvoxamine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Fluvoxamine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Fluvoxamine.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Fluvoxamine.]
[R02AA03, dichlorobenzyl alcohol, Fluvoxamine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Fluvoxamine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Fluvoxamine.]
[N02AA08, dihydrocodeine, The risk or severity of serotonin syndrome can be increased when Dihydrocodeine is combined with Fluvoxamine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Fluvoxamine.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Fluvoxamine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Fluvoxamine.]
[C01BD07, dronedarone, The metabolism of Fluvoxamine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Fluvoxamine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Fluvoxamine.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Fluvoxamine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Fluvoxamine.]
[A03AA08, dihexyverine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Fluvoxamine.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Fluvoxamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Fluvoxamine.]
[G04BD09, trospium, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Droxicam.]
[L01EX19, ripretinib, The metabolism of Ripretinib can be decreased when combined with Fluvoxamine.]
[V08CA05, mangafodipir, Fluvoxamine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Fluvoxamine.]
[B01AE02, lepirudin, The risk or severity of hemorrhage can be increased when Fluvoxamine is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Fluvoxamine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Fluvoxamine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Fluvoxamine.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Fluvoxamine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Fluvoxamine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Fluvoxamine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Fluvoxamine.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Fluvoxamine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Fluvoxamine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Remimazolam is combined with Fluvoxamine.]
[L01FX15, belantamab mafodotin, Fluvoxamine may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Fluvoxamine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Fluvoxamine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Fluvoxamine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Fluvoxamine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Fluvoxamine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Fluvoxamine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Fluvoxamine.]
[C03BA04, chlorthalidone, The risk or severity of hyponatremia can be increased when Fluvoxamine is combined with Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Fluvoxamine.]
