[S02DA03, antipyrine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Antipyrine.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Tadalafil can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Tadalafil.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Tadalafil.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Tadalafil.]
[N03AX25, cenobamate, The serum concentration of Tadalafil can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[M09AX08, golodirsen, Tadalafil may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Tadalafil may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Tadalafil.]
[H02CA02, osilodrostat, The metabolism of Tadalafil can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Tadalafil can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Tadalafil.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Tadalafil.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Tadalafil.]
[R02AA03, dichlorobenzyl alcohol, Tadalafil may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Tadalafil may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Tadalafil.]
[M01AH02, rofecoxib, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, Tadalafil may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Tadalafil.]
[S03AA08, chloramphenicol, The metabolism of Tadalafil can be decreased when combined with Chloramphenicol.]
[C02AA06, methoserpidine, Tadalafil may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Tadalafil.]
[N04BX04, opicapone, Opicapone may increase the hypotensive activities of Tadalafil.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Tadalafil.]
[D07XB03, fluprednidene, The metabolism of Tadalafil can be increased when combined with Fluprednidene.]
[M01AC04, droxicam, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Tadalafil may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Tadalafil.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Dexketoprofen.]
[C08CA17, levamlodipine, Tadalafil may increase the hypotensive activities of Levamlodipine.]
[L04AC19, satralizumab, The serum concentration of Tadalafil can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01EX23, pralsetinib, The metabolism of Tadalafil can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Tadalafil.]
[N05AA01, chlorpromazine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02BA07, ethenzamide, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Ethenzamide.]
[N02BA03, choline salicylate, Tadalafil may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Tadalafil can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Tadalafil can be increased when it is combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Tadalafil.]
[M01AX25, chondroitin sulfates, Tadalafil may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Tadalafil.]
[P03AX07, abametapir, The serum concentration of Tadalafil can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of hypotension can be increased when Tadalafil is combined with Vericiguat.]
[M01AE05, fenbufen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Fenoldopam may increase the hypotensive activities of Tadalafil.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Tadalafil.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02BG07, flupirtine, Tadalafil may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Formoterol may decrease the antihypertensive activities of Tadalafil.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Tadalafil.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Tadalafil.]
[H04AA02, dasiglucagon, Tadalafil may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Tadalafil can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01XX73, sotorasib, The serum concentration of Tadalafil can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Tadalafil can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Tadalafil may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Tadalafil.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Tadalafil.]
[V09AB03, ioflupane I-123, Tadalafil may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Tadalafil may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Tadalafil may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Tadalafil.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Tadalafil.]
[N06AX25, St. John's wort extract, The metabolism of Tadalafil can be increased when combined with St. John's Wort.]
[J04BA01, clofazimine, The metabolism of Tadalafil can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, Tadalafil may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, Clomipramine may decrease the antihypertensive activities of Tadalafil.]
[N03AE01, clonazepam, Tadalafil may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Tadalafil.]
[C01EB24, mavacamten, The serum concentration of Tadalafil can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Tadalafil.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Tadalafil.]
[L01XX77, adagrasib, The serum concentration of Tadalafil can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Clozapine.]
[J01GB12, arbekacin, Tadalafil may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Tadalafil can be increased when combined with Somatrogon.]
[C02KB01, metyrosine, Metyrosine may increase the hypotensive activities of Tadalafil.]
[L04AC21, bimekizumab, The metabolism of Tadalafil can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Proquazone.]
[M04AC01, colchicine, Tadalafil may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Tadalafil may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Tadalafil.]
[A04AA03, tropisetron, Tadalafil may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Tadalafil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Imidazole salicylate.]
[J01FA15, telithromycin, The serum concentration of Tadalafil can be increased when it is combined with Telithromycin.]
[B01AC10, indobufen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Indobufen.]
[J05AB14, valganciclovir, Tadalafil may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Tadalafil may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Tadalafil may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Tadalafil may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Tadalafil may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Tadalafil may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Valdecoxib.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Tadalafil.]
[N02CC05, almotriptan, Almotriptan may decrease the antihypertensive activities of Tadalafil.]
[M01AH04, parecoxib, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Tadalafil can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N05BA10, ketazolam, Tadalafil may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Kebuzone.]
[L01EA01, imatinib, The metabolism of Tadalafil can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The serum concentration of Tadalafil can be increased when it is combined with Posaconazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Tadalafil.]
[S01EE03, bimatoprost, Tadalafil may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Tadalafil may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[S01BA03, cortisone, The metabolism of Tadalafil can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Lofexidine may decrease the antihypertensive activities of Tadalafil.]
[M01AB09, lonazolac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Lonazolac.]
[M02AA31, loxoprofen, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may increase the hypotensive activities of Tadalafil.]
[A06AD01, magnesium carbonate, Tadalafil may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Tadalafil may increase the hypotensive activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Tadalafil.]
[H02AB15, meprednisone, The metabolism of Tadalafil can be increased when combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Tadalafil.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Tadalafil may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Tadalafil can be increased when used in combination with Cyclopenthiazide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Tadalafil.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Tadalafil.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Tadalafil.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Tadalafil.]
[N06BA07, modafinil, The metabolism of Tadalafil can be increased when combined with Modafinil.]
[C09AA13, moexipril, Moexipril may increase the hypotensive activities of Tadalafil.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Tadalafil.]
[M02AA02, mofebutazone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, The serum concentration of Tadalafil can be increased when it is combined with Conivaptan.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Tadalafil.]
[G04BE09, vardenafil, The risk or severity of adverse effects can be increased when Tadalafil is combined with Vardenafil.]
[M01AH05, etoricoxib, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Tadalafil may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[G03XA01, danazol, The serum concentration of Tadalafil can be increased when it is combined with Danazol.]
[J04BA02, dapsone, The metabolism of Tadalafil can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Tadalafil can be increased when combined with Daunorubicin.]
[C02CC04, debrisoquin, Tadalafil may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the hypotensive activities of Tadalafil.]
[M01AX01, nabumetone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Tadalafil may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, Tadalafil may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N06AX06, nefazodone, The serum concentration of Tadalafil can be increased when it is combined with Nefazodone.]
[C01DX16, nicorandil, Tadalafil may increase the hypotensive activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Tadalafil.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Tadalafil.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Tadalafil.]
[A07EC03, olsalazine, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, Desipramine may decrease the antihypertensive activities of Tadalafil.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Tadalafil.]
[V04CH02, indigo carmine, Tadalafil may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C09XA02, aliskiren, Tadalafil may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Oxaprozin.]
[N03AF02, oxcarbazepine, The metabolism of Tadalafil can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Tadalafil can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Tadalafil.]
[L04AB04, adalimumab, The metabolism of Tadalafil can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Tadalafil can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the antihypertensive activities of Tadalafil.]
[R05DA09, dextromethorphan, The metabolism of Tadalafil can be decreased when combined with Dextromethorphan.]
[B01AC04, clopidogrel, The metabolism of Tadalafil can be decreased when combined with Clopidogrel.]
[P03AC04, permethrin, Tadalafil may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Tadalafil may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Tadalafil.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Tadalafil.]
[R05DA08, pholcodine, Tadalafil may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J05AF02, didanosine, Tadalafil may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Tadalafil may increase the hypotensive activities of Pinacidil.]
[N05AD05, pipamperone, Pipamperone may increase the hypotensive activities of Tadalafil.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Tadalafil.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Tadalafil.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Tadalafil.]
[C08CA03, isradipine, The metabolism of Tadalafil can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Tadalafil can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Diflunisal.]
[C01AA05, digoxin, Tadalafil may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Tadalafil may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Tadalafil.]
[N02CA01, dihydroergotamine, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Dihydroergotamine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[J05AE08, atazanavir, The serum concentration of Tadalafil can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Tadalafil.]
[H03BC01, potassium perchlorate, Tadalafil may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C08DB01, diltiazem, The metabolism of Tadalafil can be decreased when combined with Diltiazem.]
[V03AB09, dimercaprol, Tadalafil may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, Procaterol may decrease the antihypertensive activities of Tadalafil.]
[M02AX03, dimethyl sulfoxide, Tadalafil may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Propyphenazone.]
[M01AB14, proglumetacin, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Proglumetacin.]
[C09AA06, quinapril, Tadalafil may increase the hypotensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Tadalafil is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may decrease the antihypertensive activities of Tadalafil.]
[N06AA23, quinupramine, Quinupramine may decrease the antihypertensive activities of Tadalafil.]
[A03FA02, cisapride, The metabolism of Tadalafil can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Ramipril may increase the hypotensive activities of Tadalafil.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Tadalafil.]
[R03CC14, reproterol, Reproterol may decrease the antihypertensive activities of Tadalafil.]
[S01AX06, resorcinol, Tadalafil may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Tadalafil.]
[S02AA12, rifamycin SV, The metabolism of Tadalafil can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Tadalafil can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Risperidone.]
[R06AE09, levocetirizine, Tadalafil may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Tadalafil.]
[A04AD12, aprepitant, The metabolism of Tadalafil can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA13, fusidic acid, The metabolism of Tadalafil can be decreased when combined with Fusidic acid.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, The risk or severity of hypotension can be increased when Tadalafil is combined with Pentaerythritol tetranitrate.]
[S01BC05, ketorolac, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Ketorolac.]
[C02KX02, ambrisentan, Tadalafil may increase the hypotensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02BA06, salsalate, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Salsalate.]
[R03AC12, salmeterol, Salmeterol may decrease the antihypertensive activities of Tadalafil.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the antihypertensive activities of Tadalafil.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Tadalafil.]
[C01CA04, dopamine, Dopamine may decrease the antihypertensive activities of Tadalafil.]
[N06AA16, dothiepin, Dosulepin may decrease the antihypertensive activities of Tadalafil.]
[R07AB01, doxapram, Doxapram may decrease the antihypertensive activities of Tadalafil.]
[N06AA12, doxepin, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N01AB08, sevoflurane, Sevoflurane may decrease the antihypertensive activities of Tadalafil.]
[N05AD08, droperidol, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Droperidol.]
[A08AA10, sibutramine, Tadalafil may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[C10AA01, simvastatin, The metabolism of Tadalafil can be decreased when combined with Simvastatin.]
[A12CA02, sodium sulfate, Tadalafil may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Tadalafil may increase the hypotensive activities of Spirapril.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the antihypertensive activities of Tadalafil.]
[V04CX07, edrophonium, Tadalafil may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Tadalafil may increase the hypotensive activities of Talinolol.]
[L01AX03, temozolomide, Tadalafil may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Tenoxicam.]
[G04CA03, terazosin, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Terazosin.]
[S01GA02, tetrahydrozoline, Tetryzoline may decrease the antihypertensive activities of Tadalafil.]
[N06AX14, tianeptine, Tianeptine may decrease the antihypertensive activities of Tadalafil.]
[C09AA02, enalapril, Enalapril may increase the hypotensive activities of Tadalafil.]
[M01AG02, tolfenamic acid, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypotensive activities of Tadalafil.]
[N06BA09, atomoxetine, Atomoxetine may decrease the antihypertensive activities of Tadalafil.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Tadalafil which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, Tramazoline may decrease the antihypertensive activities of Tadalafil.]
[C09AA10, trandolapril, Trandolapril may increase the hypotensive activities of Tadalafil.]
[R03CC11, tulobuterol, Tulobuterol may decrease the antihypertensive activities of Tadalafil.]
[C02CA06, urapidil, The risk or severity of hypotension and syncope can be increased when Tadalafil is combined with Urapidil.]
[S01FB02, ephedrine, Ephedrine may decrease the antihypertensive activities of Tadalafil.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Tadalafil which could result in a higher serum level.]
[C01CX07, xamoterol, Xamoterol may decrease the antihypertensive activities of Tadalafil.]
[S01GA03, xylometazoline, Xylometazoline may decrease the antihypertensive activities of Tadalafil.]
[C08CA12, mepirodipine, Tadalafil may increase the antihypertensive activities of Barnidipine.]
[S01EA01, epinephrine, Epinephrine may decrease the antihypertensive activities of Tadalafil.]
