[S02DA03, antipyrine, The risk or severity of bleeding can be increased when Antipyrine is combined with Sertraline.]
[J01FA09, clarithromycin, The metabolism of Sertraline can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Solriamfetol is combined with Sertraline.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Brexanolone is combined with Sertraline.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Sertraline.]
[N05BA09, clobazam, The metabolism of Sertraline can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Sertraline.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Sertraline.]
[L04AB01, etanercept, The metabolism of Sertraline can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Sertraline can be decreased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cyamemazine is combined with Sertraline.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Sertraline.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Sertraline.]
[N07XX11, pitolisant, The serum concentration of Sertraline can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Sertraline.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Sertraline.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin pork.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Sertraline.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Sertraline.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Sertraline.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Sertraline.]
[N03AX25, cenobamate, The serum concentration of Sertraline can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Sertraline can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Sertraline.]
[R06AB02, dexchlorpheniramine, The metabolism of Sertraline can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Dezocine is combined with Sertraline.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Sertraline.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Lemborexant is combined with Sertraline.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Sertraline.]
[M01AX21, diacetylrhein, The metabolism of Sertraline can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Sertraline.]
[H02CA02, osilodrostat, The metabolism of Sertraline can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Sertraline can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Sertraline.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Sertraline.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Sertraline.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Sertraline.]
[N02AA08, dihydrocodeine, The risk or severity of serotonin syndrome can be increased when Dihydrocodeine is combined with Sertraline.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sertraline.]
[M01AH02, rofecoxib, The risk or severity of bleeding can be increased when Rofecoxib is combined with Sertraline.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Sertraline.]
[C08CA16, clevidipine, The metabolism of Sertraline can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Sertraline can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Sertraline.]
[S03AA08, chloramphenicol, The metabolism of Sertraline can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Sertraline.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Sertraline.]
[A03AA08, dihexyverine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Sertraline.]
[G04BD09, trospium, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of bleeding can be increased when Droxicam is combined with Sertraline.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Sertraline is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of bleeding can be increased when Dexketoprofen is combined with Sertraline.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Sertraline.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Sertraline.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Sertraline.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Sertraline.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Remimazolam is combined with Sertraline.]
[L04AC19, satralizumab, The serum concentration of Sertraline can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Sertraline is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Sertraline can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Sertraline can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Sertraline.]
[N05AA01, chlorpromazine, The metabolism of Sertraline can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Sertraline.]
[C03BA04, chlorthalidone, The risk or severity of hyponatremia can be increased when Sertraline is combined with Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Sertraline.]
[A11CC05, cholecalciferol, The metabolism of Sertraline can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Etifoxine is combined with Sertraline.]
[N02BA07, ethenzamide, The risk or severity of bleeding can be increased when Ethenzamide is combined with Sertraline.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vinpocetine is combined with Sertraline.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Sertraline.]
[M01AB08, etodolac, The risk or severity of bleeding can be increased when Etodolac is combined with Sertraline.]
[M02AA06, etofenamate, The risk or severity of bleeding can be increased when Etofenamate is combined with Sertraline.]
[B06AC06, berotralstat, The metabolism of Sertraline can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Sertraline.]
[P03AX07, abametapir, The serum concentration of Sertraline can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Sertraline can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Febarbamate is combined with Sertraline.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Sertraline.]
[M01AE05, fenbufen, The risk or severity of bleeding can be increased when Fenbufen is combined with Sertraline.]
[R03CC15, formoterol, The metabolism of Sertraline can be decreased when combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Sertraline.]
[L03AB10, peginterferon alfa-2b, The metabolism of Sertraline can be decreased when combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Sertraline.]
[A02BA01, cimetidine, The metabolism of Sertraline can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Sertraline.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Sertraline.]
[L01XX73, sotorasib, The serum concentration of Sertraline can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Sertraline can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Sertraline.]
[H01AC07, somapacitan, The metabolism of Sertraline can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Sertraline can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Sertraline.]
[V09AB03, ioflupane I-123, Sertraline may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Sertraline.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Gliquidone.]
[N06AX25, St. John's wort extract, The metabolism of Sertraline can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Sertraline can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Sertraline.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Sertraline.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Sertraline is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Sertraline.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Sertraline.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Sertraline.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Sertraline.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Sertraline.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Tirzepatide.]
[A02BC08, vonoprazan, The metabolism of Sertraline can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Clothiapine is combined with Sertraline.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Sertraline.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Sertraline.]
[M02AA08, felbinac, The risk or severity of bleeding can be increased when Felbinac is combined with Sertraline.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Sertraline.]
[N05AH02, clozapine, The metabolism of Sertraline can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Sertraline.]
[H01AC08, somatrogon, The metabolism of Sertraline can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms can be increased when Metyrosine is combined with Sertraline.]
[L04AC21, bimekizumab, The metabolism of Sertraline can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of bleeding can be increased when Proquazone is combined with Sertraline.]
[R05DA04, codeine, The risk or severity of serotonin syndrome can be increased when Codeine is combined with Sertraline.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Sertraline.]
[A03AB10, hexocyclium, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Sertraline can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Sertraline.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Tropisetron is combined with Sertraline.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Sertraline.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of bleeding can be increased when Imidazole salicylate is combined with Sertraline.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Sertraline can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Sertraline.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Sertraline is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Sertraline.]
[M01AH03, valdecoxib, The risk or severity of bleeding can be increased when Valdecoxib is combined with Sertraline.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Sertraline.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Sertraline.]
[M01AH04, parecoxib, The risk or severity of bleeding can be increased when Parecoxib is combined with Sertraline.]
[J02AC02, itraconazole, The metabolism of Sertraline can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Sertraline is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Sertraline.]
[M01AA06, kebuzone, The risk or severity of bleeding can be increased when Kebuzone is combined with Sertraline.]
[L01EA01, imatinib, The serum concentration of Sertraline can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Sertraline can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Sertraline can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Sertraline.]
[S01GX02, levocabastine, The risk or severity of adverse effects can be increased when Levocabastine is combined with Sertraline.]
[N07BC04, lofexidine, The therapeutic efficacy of Sertraline can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of bleeding can be increased when Lonazolac is combined with Sertraline.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lormetazepam is combined with Sertraline.]
[M02AA31, loxoprofen, The risk or severity of bleeding can be increased when Loxoprofen is combined with Sertraline.]
[C08CA11, manidipine, The metabolism of Sertraline can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Medifoxamine is combined with Sertraline.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Sertraline.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Sertraline.]
[N04AA03, methixene, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Sertraline.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Cyclobarbital is combined with Sertraline.]
[S01BC10, nepafenac, The risk or severity of bleeding can be increased when Nepafenac is combined with Sertraline.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Melperone is combined with Sertraline.]
[C03AA07, cyclopenthiazide, The risk or severity of hyponatremia can be increased when Sertraline is combined with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Sertraline.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Sertraline can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Sertraline can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Sertraline can be decreased when used in combination with Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Sertraline.]
[M02AA02, mofebutazone, The risk or severity of bleeding can be increased when Mofebutazone is combined with Sertraline.]
[M01AX22, morniflumate, The risk or severity of bleeding can be increased when Morniflumate is combined with Sertraline.]
[C03XA02, conivaptan, The metabolism of Sertraline can be decreased when combined with Conivaptan.]
[M01AH05, etoricoxib, The risk or severity of bleeding can be increased when Etoricoxib is combined with Sertraline.]
[G03XA01, danazol, The metabolism of Sertraline can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Sertraline.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Sertraline.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Deanol is combined with Sertraline.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Sertraline.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[M01AX01, nabumetone, The risk or severity of bleeding can be increased when Nabumetone is combined with Sertraline.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Nordazepam is combined with Sertraline.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Sertraline.]
[N06AX06, nefazodone, The metabolism of Sertraline can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Niaprazine is combined with Sertraline.]
[L02BB02, nilutamide, The metabolism of Sertraline can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Sertraline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Sertraline.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Normethadone is combined with Sertraline.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Sertraline is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Escitalopram.]
[G04BD08, solifenacin, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of bleeding can be increased when Olsalazine is combined with Sertraline.]
[N06AA01, desipramine, The metabolism of Sertraline can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Sertraline is combined with Desmopressin.]
[M01AE12, oxaprozin, The risk or severity of bleeding can be increased when Oxaprozin is combined with Sertraline.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Sertraline.]
[S03BA01, dexamethasone, The metabolism of Sertraline can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxiracetam is combined with Sertraline.]
[N04AA08, dexetimide, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Sertraline can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Sertraline can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Sertraline.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Sertraline.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Sertraline.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Dextromoramide is combined with Sertraline.]
[H05AA02, teriparatide, The therapeutic efficacy of Teriparatide can be decreased when used in combination with Sertraline.]
[N06AB05, paroxetine, The metabolism of Sertraline can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be reduced when Clopidogrel is used in combination with Sertraline resulting in a loss in efficacy.]
[N07BC06, heroin, The risk or severity of serotonin syndrome can be increased when Diamorphine is combined with Sertraline.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Sertraline.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Sertraline.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Sertraline.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Dibenzepin is combined with Sertraline.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Sertraline.]
[S01BC03, diclofenac, The risk or severity of bleeding can be increased when Diclofenac is combined with Sertraline.]
[A03AA07, dicyclomine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A10BG03, pioglitazone, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Pipamperone is combined with Sertraline.]
[A03AB14, pipenzolate, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Sertraline.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Sertraline.]
[L02AA01, diethylstilbestrol, The metabolism of Sertraline can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Sertraline can be decreased when combined with Isradipine.]
[A03AB11, poldine, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of bleeding can be increased when Diflunisal is combined with Sertraline.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Sertraline.]
[N02AA03, hydromorphone, The risk or severity of serotonin syndrome can be increased when Hydromorphone is combined with Sertraline.]
[J05AE08, atazanavir, The metabolism of Sertraline can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Sertraline.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Potassium perchlorate can be decreased when used in combination with Sertraline.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Pramocaine is combined with Sertraline.]
[C08DB01, diltiazem, The metabolism of Sertraline can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Sertraline.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pridinol is combined with Sertraline.]
[R06AB03, dimethindene, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Sertraline can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Sertraline.]
[N02BB04, propyphenazone, The risk or severity of bleeding can be increased when Propyphenazone is combined with Sertraline.]
[M01AB14, proglumetacin, The risk or severity of bleeding can be increased when Proglumetacin is combined with Sertraline.]
[C05CA03, diosmin, The metabolism of Sertraline can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Sertraline.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Diphenoxylate is combined with Sertraline.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Sertraline.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Sertraline is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Dexmethylphenidate is combined with Sertraline.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Sertraline is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Quinupramine is combined with Sertraline.]
[A03FA02, cisapride, The metabolism of Sertraline can be decreased when combined with Cisapride.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Sertraline.]
[C01BA03, disopyramide, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The risk or severity of adverse effects can be increased when Disulfiram is combined with Sertraline.]
[S02AA12, rifamycin SV, The metabolism of Sertraline can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Sertraline can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Sertraline.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Sertraline.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Levocetirizine is combined with Sertraline.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Sertraline.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Sertraline can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Sertraline can be decreased when combined with Bortezomib.]
[S01BC05, ketorolac, The risk or severity of bleeding can be increased when Ketorolac is combined with Sertraline.]
[C01EB18, ranolazine, The serum concentration of Sertraline can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of bleeding can be increased when Salsalate is combined with Sertraline.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Salmon calcitonin can be decreased when used in combination with Sertraline.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Sertraline.]
[N06AA16, dothiepin, The metabolism of Sertraline can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of adverse effects can be increased when Doxepin is combined with Sertraline.]
[L01DB01, doxorubicin, The metabolism of Sertraline can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[S01AA13, fusidic acid, The metabolism of Sertraline can be decreased when combined with Fusidic acid.]
[N07XX04, sodium oxybate, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The risk or severity of bleeding can be increased when Mefenamic acid is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Sertraline.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Sertraline is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Sertraline can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Sultopride is combined with Sertraline.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Sertraline.]
