[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Nifedipine.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Nifedipine.]
[A06AH05, naldemedine, Nifedipine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Nifedipine.]
[N06BC01, caffeine, The metabolism of Nifedipine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Benazepril is combined with Nifedipine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Benfluorex.]
[P01CA02, benznidazole, Nifedipine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Nifedipine.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Nifedipine can be decreased when combined with Tipranavir.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, Nifedipine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Nifedipine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Nifedipine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Nifedipine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Nifedipine.]
[D01AC10, bifonazole, The therapeutic efficacy of Bifonazole can be increased when used in combination with Nifedipine.]
[P03AC02, bioallethrin, Nifedipine may increase the arrhythmogenic activities of Bioallethrin.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Nifedipine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Nifedipine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Nifedipine.]
[C07AB07, bisoprolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Bisoprolol.]
[J05AG03, efavirenz, The serum concentration of Nifedipine can be decreased when it is combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C07AA17, bopindolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Bopindolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Nifedipine is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Nifedipine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Nifedipine can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Nifedipine.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Semaglutide.]
[N01BX04, capsaicin, The metabolism of Nifedipine can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Nifedipine.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Nifedipine is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Nifedipine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Nifedipine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Nifedipine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Nifedipine.]
[L03AB06, interferon alfa-n1, The metabolism of Nifedipine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Nifedipine.]
[N03AX24, cannabidiol, The metabolism of Nifedipine can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, Nifedipine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Nifedipine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01GB14, plazomicin, Nifedipine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The risk or severity of congestive heart failure and hypotension can be increased when Nifedipine is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Nifedipine.]
[L01XX62, ivosidenib, The metabolism of Nifedipine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Nifedipine.]
[A16AX14, migalastat, Nifedipine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Nifedipine can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Nifedipine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Nifedipine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Nifedipine.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Carbutamide.]
[D08AE05, chloroxylenol, Nifedipine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Nifedipine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Nifedipine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Nifedipine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Nifedipine.]
[L04AA39, emapalumab, The metabolism of Nifedipine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Nifedipine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Nifedipine.]
[C01BG07, cifenline, Nifedipine may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Nifedipine is combined with Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Nifedipine.]
[S01ED05, carteolol, Nifedipine may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Nifedipine can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The metabolism of Nifedipine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Nifedipine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, The metabolism of Nifedipine can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Nifedipine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Nifedipine.]
[V03AE07, calcium acetate, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Nifedipine can be increased when combined with Etanercept.]
[A12CC06, magnesium lactate, The risk or severity of hypotension can be increased when Magnesium lactate is combined with Nifedipine.]
[H02AB17, cortivazol, The metabolism of Nifedipine can be increased when combined with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C03BX03, cicletanine, Nifedipine may increase the arrhythmogenic activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Nifedipine can be decreased when combined with Cyclobenzaprine.]
[L01EJ02, fedratinib, The metabolism of Nifedipine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Nifedipine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Nifedipine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Nifedipine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Nifedipine.]
[A10AE03, insulin, regular, pork, The metabolism of Nifedipine can be increased when combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Nifedipine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Nifedipine.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Nifedipine.]
[N03AX25, cenobamate, The serum concentration of Nifedipine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Nifedipine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Nifedipine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Nifedipine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Nifedipine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Nifedipine.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Nifedipine.]
[M01AX21, diacetylrhein, The metabolism of Nifedipine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Nifedipine.]
[S01AE06, gatifloxacin, The metabolism of Nifedipine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Nifedipine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Nifedipine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Nifedipine can be decreased when combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Nifedipine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Nifedipine.]
[R02AA03, dichlorobenzyl alcohol, Nifedipine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Nifedipine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Nifedipine.]
[N02CC06, eletriptan, The metabolism of Nifedipine can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Nifedipine can be decreased when combined with Rofecoxib.]
[C08CA16, clevidipine, Nifedipine may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Nifedipine can be increased when it is combined with Dronedarone.]
[S03AA08, chloramphenicol, The metabolism of Nifedipine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Nifedipine.]
[C02AA06, methoserpidine, Nifedipine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Nifedipine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Nifedipine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Nifedipine is combined with Opicapone.]
[D07XB03, fluprednidene, The metabolism of Nifedipine can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Nifedipine can be decreased when combined with Trospium.]
[M01AC04, droxicam, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Droxicam.]
[V08CA05, mangafodipir, Nifedipine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Nifedipine.]
[M02AA27, dexketoprofen, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Nifedipine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Nifedipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Nifedipine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Nifedipine.]
[P01BB01, proguanil, The metabolism of Nifedipine can be decreased when combined with Proguanil.]
[L01FX15, belantamab mafodotin, Nifedipine may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Nifedipine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Nifedipine.]
[P01BA01, chloroquine, The metabolism of Nifedipine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Nifedipine.]
[N05AA01, chlorpromazine, The metabolism of Nifedipine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Nifedipine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Nifedipine can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Nifedipine can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Nifedipine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, Nifedipine may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, The risk or severity of hyperkalemia can be increased when Etodolac is combined with Nifedipine.]
[M02AA06, etofenamate, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Nifedipine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Nifedipine can be decreased when combined with Lonafarnib.]
[M09AA01, hydroquinine, Nifedipine may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Nifedipine.]
[M01AX25, chondroitin sulfates, Nifedipine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Nifedipine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Nifedipine is combined with Vericiguat.]
[V03AF12, trilaciclib, The metabolism of Nifedipine can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Nifedipine.]
[M01AE05, fenbufen, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Nifedipine.]
[C01CA19, fenoldopam, The risk or severity of adverse effects can be increased when Fenoldopam is combined with Nifedipine.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Nifedipine.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Nifedipine can be decreased when combined with Flumequine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[S01JA01, fluorescein, Fluorescein may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N02BG07, flupirtine, Nifedipine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Nifedipine can be decreased when combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Nifedipine.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Nifedipine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Nifedipine can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Nifedipine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The serum concentration of Nifedipine can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Nifedipine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Nifedipine.]
[L01XX73, sotorasib, The serum concentration of Nifedipine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Nifedipine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Nifedipine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Nifedipine can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Nifedipine is combined with Fexinidazole.]
[H01AC09, lonapegsomatropin, The metabolism of Nifedipine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Nifedipine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Nifedipine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Nifedipine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Nifedipine can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, Glimepiride may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Gliquidone.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Nifedipine can be decreased when used in combination with Calcium glubionate anhydrous.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Nifedipine.]
[N06AX25, St. John's wort extract, The serum concentration of Nifedipine can be decreased when it is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Nifedipine can be decreased when combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Nifedipine can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Nifedipine can be decreased when combined with Clofibrate.]
[N01BB10, levobupivacaine, The metabolism of Nifedipine can be decreased when combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Nifedipine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Nifedipine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Nifedipine.]
[S01EA04, clonidine, Clonidine may increase the atrioventricular blocking (AV block) activities of Nifedipine.]
[C01EB24, mavacamten, The serum concentration of Nifedipine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Tirzepatide.]
[J02AC06, oteseconazole, The therapeutic efficacy of Oteseconazole can be increased when used in combination with Nifedipine.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Nifedipine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Nifedipine.]
[A05BA08, glycyrrhizic acid, Nifedipine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Nifedipine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Nifedipine.]
[N05AH02, clozapine, The metabolism of Nifedipine can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Sotagliflozin.]
[J01GB12, arbekacin, Nifedipine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Nifedipine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Nifedipine is combined with Cocaine.]
[C02KB01, metyrosine, Nifedipine may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Nifedipine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Proquazone.]
[R05DA04, codeine, The metabolism of Nifedipine can be decreased when combined with Codeine.]
[M04AC01, colchicine, Nifedipine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Nifedipine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Nifedipine can be decreased when it is combined with Leflunomide.]
[C01BA13, hydroquinidine, Nifedipine may increase the arrhythmogenic activities of Hydroquinidine.]
[A02AD04, hydrotalcite, The risk or severity of hypotension can be increased when Hydrotalcite is combined with Nifedipine.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Nifedipine.]
[A04AA03, tropisetron, Nifedipine may increase the arrhythmogenic activities of Tropisetron.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Nifedipine is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Nifedipine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Nifedipine.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Nifedipine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Nifedipine.]
[J05AB14, valganciclovir, Nifedipine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Nifedipine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Nifedipine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Nifedipine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Nifedipine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Nifedipine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
