[S02DA03, antipyrine, The metabolism of Perampanel can be decreased when combined with Antipyrine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Perampanel.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Perampanel.]
[M01AX21, diacetylrhein, The metabolism of Perampanel can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Perampanel.]
[S01AE06, gatifloxacin, The metabolism of Perampanel can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Perampanel can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Perampanel can be increased when combined with Amprenavir.]
[N02CC07, frovatriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Perampanel can be decreased when combined with Dutasteride.]
[N05CC04, dichloralphenazone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Perampanel.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Perampanel.]
[A07DA04, difenoxin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Difenoxin.]
[N02AA08, dihydrocodeine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dihydrocodeine.]
[N02CC06, eletriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Perampanel can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Perampanel can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Perampanel can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Perampanel.]
[N03AG02, dipropylacetamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Perampanel can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Perampanel can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlordiazepoxide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Perampanel.]
[A03AA08, dihexyverine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Perampanel.]
[D07XB03, fluprednidene, The metabolism of Perampanel can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Perampanel.]
[G04BD09, trospium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Perampanel.]
[N05CM02, chlormethiazole, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Clomethiazole.]
[M03BB02, chlormezanone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlormezanone.]
[R02AD04, dyclonine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dyclonine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Perampanel.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Perampanel.]
[N05CD14, remimazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Remimazolam.]
[N07XX04, sodium oxybate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Perampanel can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Perampanel is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Perampanel can be increased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Perampanel can be increased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chlorzoxazone.]
[N05BX03, etifoxine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Etifoxine.]
[N06BX18, vinpocetine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Perampanel.]
[B06AC06, berotralstat, The metabolism of Perampanel can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Perampanel can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Perampanel.]
[P03AX07, abametapir, The serum concentration of Perampanel can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Perampanel can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Febarbamate.]
[N03AX10, felbamate, The metabolism of Perampanel can be increased when combined with Felbamate.]
[N06BA10, fenethylline, Perampanel may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[G04CB01, finasteride, The metabolism of Perampanel can be decreased when combined with Finasteride.]
[J01MB07, flumequine, The metabolism of Perampanel can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Perampanel can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Perampanel can be increased when combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Perampanel.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Perampanel.]
[N01AB05, trichloroethylene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Perampanel can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Perampanel can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Perampanel can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Perampanel can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Perampanel can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Perampanel.]
[S03AA07, ciprofloxacin, The metabolism of Perampanel can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Perampanel can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Citalopram.]
[H01AC07, somapacitan, The metabolism of Perampanel can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Perampanel.]
[H01AC09, lonapegsomatropin, The metabolism of Perampanel can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Perampanel.]
[R06AA04, clemastine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Perampanel can be decreased when combined with Mefenamic acid.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Perampanel.]
[N06AX25, St. John's wort extract, The metabolism of Perampanel can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Perampanel.]
[J04BA01, clofazimine, The metabolism of Perampanel can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Perampanel can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Perampanel can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Perampanel can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Clomipramine.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Perampanel.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Perampanel.]
[C01EB24, mavacamten, The serum concentration of Perampanel can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Perampanel.]
[N05AH06, clothiapine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Clothiapine.]
[N05BA21, clotiazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Clotiazepam.]
[A04AA01, ondansetron, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ondansetron.]
[A04AA02, granisetron, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Granisetron.]
[N05AH02, clozapine, The metabolism of Perampanel can be increased when combined with Clozapine.]
[N05BA13, halazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Halazepam.]
[H01AC08, somatrogon, The metabolism of Perampanel can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Cocaine.]
[C02KB01, metyrosine, Perampanel may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Perampanel can be increased when combined with Bimekizumab.]
[R05DA04, codeine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Codeine.]
[M03AC05, hexafluorenium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Hexafluronium.]
[A03AB10, hexocyclium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Perampanel can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Desflurane.]
[A04AA03, tropisetron, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tropisetron.]
[C04AX28, ifenprodil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Perampanel can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Perampanel can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Perampanel can be decreased when used in combination with Valganciclovir.]
[H01AX01, pegvisomant, The metabolism of Perampanel can be increased when combined with Pegvisomant.]
[N02CC05, almotriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Almotriptan.]
[J02AC02, itraconazole, The metabolism of Perampanel can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Perampanel can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ketazolam.]
[L01EA01, imatinib, The metabolism of Perampanel can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Perampanel can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levocabastine.]
[S01BA03, cortisone, The metabolism of Perampanel can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Perampanel can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Perampanel can be decreased when combined with Lomefloxacin.]
[N05CD06, lormetazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Perampanel.]
[C08CA11, manidipine, The metabolism of Perampanel can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Perampanel can be increased when combined with Meprednisone.]
[R06AD04, methdilazine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cyclizine.]
[N05CA10, cyclobarbital, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Perampanel can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Melperone.]
[L01AA01, cyclophosphamide, The metabolism of Perampanel can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Minaprine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be increased when combined with Perampanel.]
[N06AG02, moclobemide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Moclobemide.]
[N06BA07, modafinil, The metabolism of Perampanel can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Perampanel.]
[C03XA02, conivaptan, The metabolism of Perampanel can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Perampanel can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Perampanel can be decreased when combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Perampanel can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Perampanel can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Perampanel can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dantrolene.]
[J04BA02, dapsone, The metabolism of Perampanel can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Perampanel can be increased when combined with Daunorubicin.]
[N06BX04, deanol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[M01AX01, nabumetone, The metabolism of Perampanel can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nordazepam.]
[N06AX06, nefazodone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Nefazodone.]
[N05CM16, niaprazine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Niaprazine.]
[N03AG06, tiagabine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Perampanel.]
[C01CA23, theodrenaline, Perampanel may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cisatracurium.]
[R05DA06, normethadone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Normethadone.]
[N06AB10, escitalopram, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Escitalopram.]
[G04BD08, solifenacin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[N03AF02, oxcarbazepine, The metabolism of Perampanel can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Perampanel can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxiracetam.]
[N04AA08, dexetimide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Perampanel can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Perampanel can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Perampanel can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Perampanel can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dextromethorphan.]
[N03AC01, paramethadione, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Paramethadione.]
[N02AC01, dextromoramide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dextromoramide.]
[N06AB05, paroxetine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Perampanel can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diamorphine.]
[C04AD01, pentifylline, Perampanel may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diazepam.]
[N03AX07, phenacemide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Phenol.]
[N03AD02, phensuximide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Phensuximide.]
[N06AA08, dibenzepin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dibenzepin.]
[S02DA04, dibucaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Perampanel can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Perampanel can be increased when combined with Dicloxacillin.]
[A03AA07, dicyclomine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pipamperone.]
[A03AB14, pipenzolate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Perampanel.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Perampanel.]
[A08AA03, diethylpropion, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Perampanel.]
[C08CA03, isradipine, The metabolism of Perampanel can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Perampanel can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be increased when combined with Perampanel.]
[C02DB01, dihydralazine, The metabolism of Perampanel can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be increased when combined with Perampanel.]
[N02CA01, dihydroergotamine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dihydroergotamine.]
[N02AA03, hydromorphone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Perampanel can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pramocaine.]
[C08DB01, diltiazem, The metabolism of Perampanel can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dimenhydrinate.]
[M03BX03, pridinol, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Pridinol.]
[R06AB03, dimethindene, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Progabide.]
[N06BC02, propentofylline, Perampanel may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Perampanel is combined with Proparacaine.]
[R03DA03, proxyphylline, Perampanel may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Diphenoxylate.]
[N05CD10, quazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Quazepam.]
[N06BA11, dexmethylphenidate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dexmethylphenidate.]
[N06AA23, quinupramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Quinupramine.]
[A03FA02, cisapride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be increased when combined with Perampanel.]
[N05AL04, remoxipride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Remoxipride.]
[C01BA03, disopyramide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Perampanel can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Perampanel can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Perampanel can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Perampanel can be increased when combined with Rifaximin.]
[N07XX02, riluzole, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Riluzole.]
[N05AX08, risperidone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Risperidone.]
[R06AE09, levocetirizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Levocetirizine.]
[N01BB09, ropivacaine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Perampanel can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be increased when combined with Perampanel.]
[A04AD12, aprepitant, The metabolism of Perampanel can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be increased when combined with Perampanel.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be increased when combined with Perampanel.]
[G04BE08, tadalafil, The metabolism of Perampanel can be decreased when combined with Tadalafil.]
[C02KX02, ambrisentan, The metabolism of Perampanel can be decreased when combined with Ambrisentan.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Perampanel.]
[R03AC12, salmeterol, The metabolism of Perampanel can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Perampanel can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be increased when combined with Perampanel.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[N06AB06, sertraline, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sertraline.]
[N01AB08, sevoflurane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[A08AA10, sibutramine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sibutramine.]
[C10AA01, simvastatin, The metabolism of Perampanel can be increased when combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Perampanel can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, Perampanel may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sultopride.]
[N02CC01, sumatriptan, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Sumatriptan.]
[H01AA01, corticotropin, The metabolism of Perampanel can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Perampanel can be decreased when combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Perampanel can be increased when combined with Terbinafine.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Perampanel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tetrazepam.]
[M03BX05, thiocolchicoside, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thiocolchicoside.]
[N05AB05, thiopropazate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Thiopropazate.]
[G04BD01, emepronium, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tianeptine.]
[N05BA23, tofisopam, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tofisopam.]
[N06AG03, toloxatone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Toloxatone.]
[N03AX11, topiramate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Topiramate.]
[N05CD11, triazulenone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Loprazolam.]
[N05CC01, chloral hydrate, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Chloral hydrate.]
[N05CM07, triclofos, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Triclofos.]
[A03AB08, tridihexethyl, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Trimethobenzamide.]
[N04AA12, tropatepine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Enflurane.]
[C02CA06, urapidil, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Urapidil.]
[J01MA04, enoxacin, The metabolism of Perampanel can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Veralipride.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be increased when combined with Perampanel.]
[S01GX10, epinastine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Epinastine.]
[N06AX16, venlafaxine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Perampanel can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zonisamide.]
[N05CF01, zopiclone, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zopiclone.]
[N05AX11, zotepine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Zotepine.]
[C02AC02, guanfacine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[C01BG01, moricizine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Moricizine.]
[G02AB03, ergonovine, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ergometrine.]
[C04AE01, ergoloid mesylates, USP, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Ergoloid mesylate.]
