[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Morphine.]
[G03AC09, desogestrel, The metabolism of Morphine can be increased when combined with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Morphine can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Morphine.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Morphine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Morphine is combined with Dexbrompheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Morphine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Morphine is combined with Lemborexant.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be increased when it is combined with Morphine.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Morphine is combined with Lumateperone.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Morphine.]
[J05AE05, amprenavir, The metabolism of Morphine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Morphine is combined with Frovatriptan.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Morphine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Morphine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Morphine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Morphine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Morphine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Morphine.]
[M01AH02, rofecoxib, The metabolism of Morphine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Morphine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Morphine is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Morphine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Morphine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Morphine is combined with Chlordiazepoxide.]
[C02AA06, methoserpidine, Morphine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Morphine which could result in a higher serum level.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Dihexyverine is combined with Morphine.]
[L01EX17, capmatinib, The serum concentration of Morphine can be increased when it is combined with Capmatinib.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Morphine is combined with Opicapone.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Morphine.]
[L01EX19, ripretinib, The serum concentration of Morphine can be increased when it is combined with Ripretinib.]
[L01EX22, selpercatinib, The serum concentration of Morphine can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Morphine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Morphine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Morphine is combined with Dyclonine.]
[C08CA17, levamlodipine, Morphine may increase the hypotensive activities of Levamlodipine.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Morphine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Morphine is combined with Remimazolam.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Morphine.]
[L04AC19, satralizumab, The serum concentration of Morphine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Morphine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Morphine.]
[L01EX23, pralsetinib, The serum concentration of Morphine can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorothiazide can be decreased when used in combination with Morphine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Morphine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Chlorpromazine is combined with Morphine.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Morphine.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Morphine.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Morphine is combined with Chlorzoxazone.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Morphine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Morphine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Morphine is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The metabolism of Morphine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Morphine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Morphine.]
[L04AD03, voclosporin, The serum concentration of Morphine can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Morphine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Morphine is combined with Vericiguat.]
[L01EX21, tepotinib, The serum concentration of Morphine can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Morphine can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Morphine.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Morphine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Morphine is combined with Felbamate.]
[C01CA19, fenoldopam, The risk or severity of adverse effects can be increased when Morphine is combined with Fenoldopam.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Morphine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Morphine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Morphine may increase the hypotensive activities of Dasiglucagon.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Morphine.]
[A02BA01, cimetidine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Morphine.]
[N02BF01, gabapentin, The serum concentration of Gabapentin can be increased when it is combined with Morphine.]
[L01XX73, sotorasib, The serum concentration of Morphine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Morphine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Citalopram.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Morphine.]
[L04AA48, belumosudil, The serum concentration of Morphine can be increased when it is combined with Belumosudil.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Morphine.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Morphine.]
[M01AG01, mefenamic acid, The metabolism of Morphine can be decreased when combined with Mefenamic acid.]
[N06AX25, St. John's wort extract, The metabolism of Morphine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Morphine can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Morphine can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Morphine.]
[D11AH08, abrocitinib, The serum concentration of Morphine can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Morphine can be increased when it is combined with Clofazimine.]
[B06AX04, mitapivat, The metabolism of Morphine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Morphine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Morphine can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Morphine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Morphine is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Morphine.]
[C01EB24, mavacamten, The serum concentration of Morphine can be decreased when it is combined with Mavacamten.]
[C03BA03, clopamide, The therapeutic efficacy of Clopamide can be decreased when used in combination with Morphine.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Morphine is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Morphine can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Morphine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Morphine is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Clozapine is combined with Morphine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Morphine.]
[A10BK06, sotagliflozin, The serum concentration of Morphine can be increased when it is combined with Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Morphine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Morphine.]
[C02KB01, metyrosine, Morphine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Morphine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Morphine is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Morphine.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Morphine.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Hexocyclium is combined with Morphine.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Morphine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Morphine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Morphine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Morphine is combined with Ifenprodil.]
[J01FA15, telithromycin, The metabolism of Morphine can be decreased when combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Morphine.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Morphine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Morphine is combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Morphine can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Morphine is combined with Ketazolam.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Morphine.]
[J02AC04, posaconazole, The metabolism of Morphine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Morphine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Morphine.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Morphine.]
[N07BC04, lofexidine, The therapeutic efficacy of Morphine can be increased when used in combination with Lofexidine.]
[R06AX13, loratadine, The metabolism of Morphine can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Lormetazepam.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Morphine is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Morphine.]
[C08CA11, manidipine, Morphine may increase the hypotensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Mebeverine is combined with Morphine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Morphine is combined with Medifoxamine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Morphine.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the analgesic activities of Morphine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Morphine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Morphine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The therapeutic efficacy of Eplerenone can be decreased when used in combination with Morphine.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Morphine is combined with Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Cyclopenthiazide can be decreased when used in combination with Morphine.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Morphine.]
[L01AA01, cyclophosphamide, The metabolism of Morphine can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the analgesic activities of Morphine.]
[S01XA18, cyclosporine, The metabolism of Morphine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the analgesic activities of Morphine.]
[R06AX02, cyproheptadine, The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Morphine.]
[C09AA13, moexipril, The risk or severity of adverse effects can be increased when Morphine is combined with Moexipril.]
[C03XA02, conivaptan, The metabolism of Morphine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of adverse effects can be increased when Morphine is combined with Moxonidine.]
[G04BE09, vardenafil, The serum concentration of Morphine can be increased when it is combined with Vardenafil.]
[L01DA01, dactinomycin, The serum concentration of Dactinomycin can be increased when it is combined with Morphine.]
[G03XA01, danazol, The metabolism of Morphine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Morphine is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Morphine can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Morphine is combined with Deanol.]
[C02CC04, debrisoquin, Morphine may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[N07BB05, nalmefene, The therapeutic efficacy of Morphine can be decreased when used in combination with Nalmefene.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Morphine.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Nordazepam.]
[C07AB12, nebivolol, The risk or severity of adverse effects can be increased when Morphine is combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Morphine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Morphine is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Morphine.]
[L02BB02, nilutamide, The metabolism of Morphine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Morphine is combined with Tiagabine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Morphine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Morphine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Morphine.]
[N06AA01, desipramine, The risk or severity of adverse effects can be increased when Desipramine is combined with Morphine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Morphine is combined with Desmopressin.]
[C09XA02, aliskiren, The risk or severity of adverse effects can be increased when Morphine is combined with Aliskiren.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Morphine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Morphine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Morphine is combined with Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Morphine.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Morphine.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Morphine.]
[L04AB04, adalimumab, The metabolism of Morphine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may increase the analgesic activities of Morphine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Morphine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Morphine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Morphine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Paroxetine.]
[B01AC04, clopidogrel, The serum concentration of the active metabolites of Clopidogrel can be decreased when Clopidogrel is used in combination with Morphine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Morphine is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Morphine is combined with Phenacemide.]
[V03AH01, diazoxide, The risk or severity of adverse effects can be increased when Morphine is combined with Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Morphine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Morphine is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Morphine is combined with Cinchocaine.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Diclofenamide can be decreased when used in combination with Morphine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Morphine.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Morphine.]
[C02DG01, pinacidil, Morphine may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, The metabolism of Morphine can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Morphine is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Morphine.]
[L01DC04, ixabepilone, The serum concentration of Morphine can be increased when it is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Morphine.]
[C03CA03, piretanide, The therapeutic efficacy of Piretanide can be decreased when used in combination with Morphine.]
[A08AA03, diethylpropion, Diethylpropion may increase the analgesic activities of Morphine.]
[L02AA01, diethylstilbestrol, The metabolism of Morphine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Morphine can be decreased when combined with Isradipine.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Morphine.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Morphine.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Morphine.]
[C02DB01, dihydralazine, Morphine may increase the hypotensive activities of Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Morphine is combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Morphine is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Morphine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Morphine.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Morphine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Morphine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Morphine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Morphine is combined with Pridinol.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Morphine.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Morphine is combined with Progabide.]
[C05CA03, diosmin, The serum concentration of Morphine can be increased when it is combined with Diosmin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Morphine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Morphine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Quazepam.]
[C09AA06, quinapril, The risk or severity of adverse effects can be increased when Morphine is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Morphine is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Morphine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Morphine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Morphine is combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of adverse effects can be increased when Ramipril is combined with Morphine.]
[S01XA23, sirolimus, The serum concentration of Sirolimus can be increased when it is combined with Morphine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Morphine is combined with Remoxipride.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Morphine.]
[S02AA12, rifamycin SV, The metabolism of Morphine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Morphine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Morphine is combined with Riluzole.]
[N05AX08, risperidone, Morphine may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Morphine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Morphine is combined with Ropivacaine.]
[A04AD12, aprepitant, The metabolism of Morphine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The serum concentration of Tolvaptan can be increased when it is combined with Morphine.]
[L01XG01, bortezomib, The serum concentration of Bortezomib can be increased when it is combined with Morphine.]
[G04BE08, tadalafil, Morphine may increase the hypotensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Morphine.]
[C02KX02, ambrisentan, The serum concentration of Ambrisentan can be increased when it is combined with Morphine.]
[C01EB18, ranolazine, The serum concentration of Morphine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Morphine can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Morphine.]
[N06AA16, dothiepin, The risk or severity of adverse effects can be increased when Dosulepin is combined with Morphine.]
[N06AA12, doxepin, The risk or severity of adverse effects can be increased when Doxepin is combined with Morphine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Morphine.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Morphine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Morphine.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Sibutramine.]
[C10AA01, simvastatin, The serum concentration of Morphine can be increased when it is combined with Simvastatin.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Morphine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Morphine.]
[C09AA11, spirapril, Morphine may increase the hypotensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Morphine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Morphine is combined with Sumatriptan.]
[C07AB13, talinolol, The serum concentration of Talinolol can be increased when it is combined with Morphine.]
[G04CA03, terazosin, The risk or severity of adverse effects can be increased when Morphine is combined with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Morphine.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Morphine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Morphine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Morphine is combined with Thiopropazate.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Morphine.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Morphine is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of adverse effects can be increased when Morphine is combined with Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Morphine is combined with Tofisopam.]
[N06AG03, toloxatone, Toloxatone may increase the analgesic activities of Morphine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Morphine.]
[L02BA02, toremifene, The serum concentration of Morphine can be increased when it is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Morphine can be decreased when combined with Torasemide.]
[C09AA10, trandolapril, The risk or severity of adverse effects can be increased when Morphine is combined with Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Morphine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Morphine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Morphine is combined with Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Morphine.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Morphine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Morphine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Morphine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Morphine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Morphine is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Morphine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Morphine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Morphine can be decreased when combined with Barnidipine.]
[C09AA15, zofenopril, Morphine may increase the hypotensive activities of Zofenopril.]
[N05CF02, zolpidem, Morphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Morphine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Morphine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Morphine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Morphine is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Morphine is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of hypotension and CNS depression can be increased when Moricizine is combined with Morphine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Morphine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Morphine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Morphine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Morphine is combined with Valproic acid.]
[S01AA17, erythromycin, The metabolism of Morphine can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Morphine is combined with Estazolam.]
