[P02BB01, trichlorfon, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Metrifonate.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Quetiapine.]
[G04CA01, alfuzosin, Quetiapine may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, Quetiapine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Quetiapine.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Quetiapine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01XX52, venetoclax, The metabolism of Quetiapine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N04BC01, bromocriptine, Bromocriptine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A02AD05, aluminum magnesium silicate, Quetiapine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C08CA01, amlodipine, Quetiapine may increase the hypotensive activities of Amlodipine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C07AA19, bupranolol, Quetiapine may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Quetiapine.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Artemether.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Quetiapine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Quetiapine.]
[S01GX07, azelastine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Quetiapine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Quetiapine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Quetiapine.]
[L01EF02, ribociclib, The serum concentration of Quetiapine can be increased when it is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Quetiapine.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Quetiapine.]
[A06AH05, naldemedine, Quetiapine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Quetiapine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C09AA07, benazepril, Quetiapine may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Quetiapine.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[P01CA02, benznidazole, Quetiapine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Quetiapine.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J05AE09, tipranavir, The serum concentration of Quetiapine can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, Quetiapine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Quetiapine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The serum concentration of Quetiapine can be increased when it is combined with Midostaurin.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Quetiapine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Quetiapine.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Quetiapine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Quetiapine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Quetiapine.]
[C07AB07, bisoprolol, Quetiapine may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Quetiapine.]
[J05AG03, efavirenz, The serum concentration of Quetiapine can be increased when it is combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C07AA17, bopindolol, Bopindolol may increase the orthostatic hypotensive activities of Quetiapine.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Quetiapine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Quetiapine is combined with Nesiritide.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Quetiapine can be increased when combined with Budesonide.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Quetiapine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Quetiapine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Quetiapine is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Quetiapine can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J05AX18, letermovir, The metabolism of Quetiapine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Quetiapine.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Quetiapine.]
[N01BX04, capsaicin, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Quetiapine.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Quetiapine.]
[C09AA01, captopril, Quetiapine may increase the hypotensive activities of Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Quetiapine.]
[L02BB05, apalutamide, The metabolism of Quetiapine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The serum concentration of the active metabolites of Carbamazepine can be increased when Carbamazepine is used in combination with Quetiapine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Quetiapine.]
[A03AA03, camylofine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C07AG02, carvedilol, Quetiapine may increase the hypotensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Quetiapine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Quetiapine.]
[L04AA37, baricitinib, Quetiapine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Encorafenib.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01GB14, plazomicin, Quetiapine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Quetiapine may increase the hypotensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Quetiapine.]
[L01XX62, ivosidenib, The metabolism of Quetiapine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Quetiapine.]
[A16AX14, migalastat, Quetiapine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The serum concentration of Quetiapine can be increased when it is combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Quetiapine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Quetiapine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Quetiapine.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[D08AE05, chloroxylenol, Quetiapine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Quetiapine is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Quetiapine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Quetiapine.]
[R03BB08, revefenacin, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Quetiapine.]
[L04AA39, emapalumab, The metabolism of Quetiapine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Quetiapine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Quetiapine.]
[C09AA08, cilazapril, Quetiapine may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Quetiapine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S01ED05, carteolol, Quetiapine may increase the hypotensive activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Quetiapine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Quetiapine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Quetiapine is combined with Siponimod.]
[J01FA09, clarithromycin, The serum concentration of Quetiapine can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Quetiapine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05BA09, clobazam, The metabolism of Quetiapine can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Quetiapine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Quetiapine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C09CA06, candesartan, Quetiapine may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Quetiapine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Quetiapine can be increased when combined with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[C03BX03, cicletanine, Quetiapine may increase the hypotensive activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Quetiapine.]
[L01EJ02, fedratinib, The metabolism of Quetiapine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Entrectinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Quetiapine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Quetiapine.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Quetiapine.]
[C03AA09, cyclothiazide, Quetiapine may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Quetiapine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Quetiapine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Quetiapine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Quetiapine.]
[N03AX25, cenobamate, The serum concentration of Quetiapine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Quetiapine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Quetiapine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Quetiapine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AX21, diacetylrhein, The metabolism of Quetiapine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Quetiapine.]
[H02CA02, osilodrostat, The metabolism of Quetiapine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Quetiapine can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Quetiapine.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Quetiapine.]
[R02AA03, dichlorobenzyl alcohol, Quetiapine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Quetiapine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Quetiapine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Quetiapine.]
[C08CA16, clevidipine, The risk or severity of hypotension can be increased when Quetiapine is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Quetiapine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[S03AA08, chloramphenicol, The metabolism of Quetiapine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Quetiapine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C02AA06, methoserpidine, Quetiapine may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Quetiapine.]
[A03AA08, dihexyverine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Quetiapine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Quetiapine.]
[D07XB03, fluprednidene, The metabolism of Quetiapine can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Quetiapine is combined with Droxicam.]
[V08CA05, mangafodipir, Quetiapine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Quetiapine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Quetiapine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[C08CA17, levamlodipine, Quetiapine may increase the hypotensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Quetiapine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Quetiapine.]
[P01BB01, proguanil, The metabolism of Quetiapine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L04AC19, satralizumab, The serum concentration of Quetiapine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Quetiapine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Quetiapine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Quetiapine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Quetiapine may increase the hypotensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quetiapine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Quetiapine.]
[N05AF03, chlorprothixene, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Quetiapine may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[A11CC05, cholecalciferol, The metabolism of Quetiapine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Quetiapine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Quetiapine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Quetiapine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Quetiapine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Quetiapine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Quetiapine can be increased when it is combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Quetiapine.]
[M01AX25, chondroitin sulfates, Quetiapine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Quetiapine is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Quetiapine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Quetiapine is combined with Vericiguat.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Quetiapine is combined with Fenbufen.]
[C01CA19, fenoldopam, Quetiapine may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Quetiapine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Quetiapine.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Quetiapine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N02BG07, flupirtine, Quetiapine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Quetiapine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Quetiapine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Quetiapine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Quetiapine can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Quetiapine may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Quetiapine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hypotension can be increased when Quetiapine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Quetiapine.]
[L01XX73, sotorasib, The serum concentration of Quetiapine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Quetiapine.]
[L01XA01, cisplatin, Quetiapine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Quetiapine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Quetiapine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Quetiapine is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Quetiapine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
