[S02DA03, antipyrine, The metabolism of Pirfenidone can be decreased when combined with Antipyrine.]
[N05AA01, chlorpromazine, The metabolism of Pirfenidone can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Pirfenidone can be decreased when combined with Chlorpropamide.]
[M03BB03, chlorzoxazone, The metabolism of Pirfenidone can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Pirfenidone can be decreased when combined with Cholecalciferol.]
[M01AB08, etodolac, The metabolism of Pirfenidone can be decreased when combined with Etodolac.]
[B06AC06, berotralstat, The metabolism of Pirfenidone can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Pirfenidone can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Pirfenidone.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Pirfenidone can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Pirfenidone can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Pirfenidone can be increased when combined with Trilaciclib.]
[N03AX10, felbamate, The metabolism of Pirfenidone can be decreased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Pirfenidone can be decreased when combined with Fenethylline.]
[J01MB07, flumequine, The metabolism of Pirfenidone can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Pirfenidone.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Pirfenidone.]
[R03CC15, formoterol, The metabolism of Pirfenidone can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Pirfenidone can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Pirfenidone can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Pirfenidone can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Pirfenidone can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The serum concentration of Pirfenidone can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Pirfenidone.]
[N06AB04, citalopram, The metabolism of Pirfenidone can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Pirfenidone can be decreased when combined with Somapacitan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Pirfenidone can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Anifrolumab.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Pirfenidone.]
[H01AC09, lonapegsomatropin, The metabolism of Pirfenidone can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, The metabolism of Pirfenidone can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Pirfenidone can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Pirfenidone can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Pirfenidone can be decreased when combined with Gliquidone.]
[N06AX25, St. John's wort extract, The metabolism of Pirfenidone can be decreased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Pirfenidone can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Pirfenidone.]
[C10AB01, clofibrate, The metabolism of Pirfenidone can be increased when combined with Clofibrate.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Pirfenidone can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Pirfenidone.]
[N03AE01, clonazepam, The metabolism of Pirfenidone can be decreased when combined with Clonazepam.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Pirfenidone.]
[C01EB24, mavacamten, The serum concentration of Pirfenidone can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Pirfenidone can be decreased when combined with Vonoprazan.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Pirfenidone can be decreased when combined with Ondansetron.]
[N05AH02, clozapine, The metabolism of Pirfenidone can be decreased when combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Pirfenidone can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Pirfenidone can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Pirfenidone can be decreased when combined with Codeine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Leflunomide.]
[A10BX03, nateglinide, The metabolism of Pirfenidone can be decreased when combined with Nateglinide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pirfenidone.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Pirfenidone.]
[M01AH03, valdecoxib, The metabolism of Pirfenidone can be decreased when combined with Valdecoxib.]
[N02CC05, almotriptan, The metabolism of Pirfenidone can be decreased when combined with Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Pirfenidone.]
[J02AC02, itraconazole, The metabolism of Pirfenidone can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Pirfenidone can be decreased when combined with Acyclovir.]
[L01EA01, imatinib, The serum concentration of Pirfenidone can be increased when it is combined with Imatinib.]
[A02BC05, esomeprazole, The metabolism of Pirfenidone can be decreased when combined with Esomeprazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Pirfenidone.]
[N07BC04, lofexidine, The metabolism of Pirfenidone can be decreased when combined with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Pirfenidone can be decreased when combined with Lomefloxacin.]
[C08CA11, manidipine, The metabolism of Pirfenidone can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Pirfenidone.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Pirfenidone can be decreased when combined with Mequitazine.]
[R06AE03, cyclizine, The metabolism of Pirfenidone can be decreased when combined with Cyclizine.]
[N05AD03, metylperon, The metabolism of Pirfenidone can be decreased when combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Pirfenidone.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Pirfenidone.]
[N06AX07, minaprine, The metabolism of Pirfenidone can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, Pirfenidone may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Pirfenidone can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Pirfenidone can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Pirfenidone can be decreased when combined with Rosuvastatin.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Pirfenidone.]
[J05AF10, entecavir, The metabolism of Pirfenidone can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Pirfenidone can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Pirfenidone.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Pirfenidone.]
[J04BA02, dapsone, The metabolism of Pirfenidone can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Pirfenidone.]
[C02CC04, debrisoquin, The metabolism of Pirfenidone can be decreased when combined with Debrisoquine.]
[A04AD11, nabilone, The metabolism of Pirfenidone can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The metabolism of Pirfenidone can be decreased when combined with Nabumetone.]
[C07AB12, nebivolol, The metabolism of Pirfenidone can be decreased when combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Pirfenidone can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Pirfenidone can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Pirfenidone.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Pirfenidone.]
[N06AB10, escitalopram, The serum concentration of Pirfenidone can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Pirfenidone can be decreased when combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Pirfenidone can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Pirfenidone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Pirfenidone.]
[N03AF02, oxcarbazepine, The metabolism of Pirfenidone can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Pirfenidone.]
[G04BD04, oxybutynin, The metabolism of Pirfenidone can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Pirfenidone can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Pirfenidone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Pirfenidone can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Pirfenidone can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Pirfenidone can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Pirfenidone can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Pirfenidone can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Pirfenidone can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Pirfenidone.]
[N05BA01, diazepam, The metabolism of Pirfenidone can be decreased when combined with Diazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Pirfenidone can be decreased when combined with Diclofenac.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Ixabepilone is combined with Pirfenidone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Pirfenidone.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Pirfenidone can be decreased when combined with Diethylstilbestrol.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Difluocortolone.]
[C02DB01, dihydralazine, The metabolism of Pirfenidone can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Pirfenidone.]
[N02AA03, hydromorphone, The metabolism of Pirfenidone can be decreased when combined with Hydromorphone.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Pirfenidone.]
[J05AE08, atazanavir, The metabolism of Pirfenidone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Pirfenidone can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Pirfenidone can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Pirfenidone can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Pirfenidone.]
[C05CA03, diosmin, The metabolism of Pirfenidone can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Pirfenidone.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Pirfenidone can be decreased when combined with Quazepam.]
[A03FA02, cisapride, The metabolism of Pirfenidone can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Pirfenidone.]
[N05AL04, remoxipride, The metabolism of Pirfenidone can be decreased when combined with Remoxipride.]
[C01BA03, disopyramide, The metabolism of Pirfenidone can be decreased when combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Natalizumab.]
[P03AA04, disulfiram, The metabolism of Pirfenidone can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Pirfenidone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Pirfenidone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Pirfenidone can be decreased when combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Pirfenidone can be decreased when combined with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Pirfenidone.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Pirfenidone can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Sunitinib is combined with Pirfenidone.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Pirfenidone.]
[S01BC05, ketorolac, The metabolism of Pirfenidone can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, The serum concentration of Pirfenidone can be increased when it is combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Pirfenidone can be decreased when combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Pirfenidone can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Pirfenidone can be decreased when combined with Doxepin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Doxorubicin is combined with Pirfenidone.]
[N06AB06, sertraline, The metabolism of Pirfenidone can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The metabolism of Pirfenidone can be decreased when combined with Sevoflurane.]
[C10AA01, simvastatin, The metabolism of Pirfenidone can be decreased when combined with Simvastatin.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Pirfenidone.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Corticotropin is combined with Pirfenidone.]
[J01MA05, temafloxacin, The metabolism of Pirfenidone can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Pirfenidone.]
[M01AC02, tenoxicam, The metabolism of Pirfenidone can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Pirfenidone can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Pirfenidone.]
[N06BA09, atomoxetine, The metabolism of Pirfenidone can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, The metabolism of Pirfenidone can be decreased when combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Pirfenidone can be decreased when combined with Torasemide.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Trilostane is combined with Pirfenidone.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Trofosfamide.]
[N01AB04, enflurane, The metabolism of Pirfenidone can be decreased when combined with Enflurane.]
[J01MA04, enoxacin, The metabolism of Pirfenidone can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Pirfenidone.]
[S01GX10, epinastine, The metabolism of Pirfenidone can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Pirfenidone can be decreased when combined with Venlafaxine.]
[S01EA01, epinephrine, The metabolism of Pirfenidone can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Pirfenidone.]
[N05CF02, zolpidem, The metabolism of Pirfenidone can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The metabolism of Pirfenidone can be decreased when combined with Zonisamide.]
[N05CF01, zopiclone, The metabolism of Pirfenidone can be decreased when combined with Zopiclone.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Pirfenidone.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Pirfenidone.]
[A02BC02, pantoprazole, The metabolism of Pirfenidone can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Pirfenidone can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Pirfenidone can be decreased when combined with Estradiol.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Estramustine is combined with Pirfenidone.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pirfenidone can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Pirfenidone can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Pirfenidone can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Pirfenidone can be decreased when combined with Ethinylestradiol.]
[N03AD01, ethosuximide, The metabolism of Pirfenidone can be decreased when combined with Ethosuximide.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Pirfenidone can be decreased when combined with Ethylmorphine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Etoposide is combined with Pirfenidone.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Pirfenidone.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Pirfenidone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Pirfenidone.]
[R06AX12, terfenadine, The metabolism of Pirfenidone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Pirfenidone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Pirfenidone can be decreased when combined with Fluvoxamine.]
[C01BB03, tocainide, The metabolism of Pirfenidone can be decreased when combined with Tocainide.]
[C01BC08, encainide, The metabolism of Pirfenidone can be decreased when combined with Encainide.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Pirfenidone.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Pirfenidone.]
[A02BA03, famotidine, The metabolism of Pirfenidone can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Pirfenidone can be increased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Pirfenidone can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The metabolism of Pirfenidone can be decreased when combined with Fenfluramine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Pirfenidone.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Pirfenidone.]
[N07AX03, cevimeline, The metabolism of Pirfenidone can be decreased when combined with Cevimeline.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Pirfenidone.]
[J02AC01, fluconazole, The metabolism of Pirfenidone can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Flucytosine is combined with Pirfenidone.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Pirfenidone.]
[N07CA03, flunarizine, The metabolism of Pirfenidone can be decreased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Pirfenidone can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Fluocinonide is combined with Pirfenidone.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Pirfenidone can be decreased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Pirfenidone.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Pirfenidone.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Pirfenidone.]
[N06AB03, fluoxetine, The serum concentration of Pirfenidone can be increased when it is combined with Fluoxetine.]
[N05AB02, fluphenazine, The metabolism of Pirfenidone can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Pirfenidone can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Pirfenidone can be decreased when combined with Flurbiprofen.]
[L02BB01, flutamide, The metabolism of Pirfenidone can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Pirfenidone.]
[J05AE10, darunavir, The metabolism of Pirfenidone can be decreased when combined with Darunavir.]
[N06DA04, galantamine, The metabolism of Pirfenidone can be decreased when combined with Galantamine.]
[C10AB04, gemfibrozil, The metabolism of Pirfenidone can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Dasatinib is combined with Pirfenidone.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Pirfenidone.]
[J05AG04, etravirine, The metabolism of Pirfenidone can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Pirfenidone can be decreased when combined with Methsuximide.]
[L01EH01, lapatinib, The metabolism of Pirfenidone can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Pirfenidone can be decreased when combined with Glyburide.]
[A10BB09, gliclazide, The metabolism of Pirfenidone can be decreased when combined with Gliclazide.]
[A10BB07, glipizide, The metabolism of Pirfenidone can be decreased when combined with Glipizide.]
[N05CM18, dexmedetomidine, The metabolism of Pirfenidone can be decreased when combined with Dexmedetomidine.]
[A06AX01, glycerin, The metabolism of Pirfenidone can be increased when combined with Glycerin.]
[C02CA04, doxazosin, The metabolism of Pirfenidone can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Sorafenib is combined with Pirfenidone.]
[C07AB09, esmolol, The metabolism of Pirfenidone can be decreased when combined with Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Pirfenidone.]
[P01BX01, halofantrine, The metabolism of Pirfenidone can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Pirfenidone can be increased when it is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Pirfenidone can be decreased when combined with Halothane.]
[N05AH04, quetiapine, The metabolism of Pirfenidone can be decreased when combined with Quetiapine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pirfenidone.]
[C09CA01, losartan, The metabolism of Pirfenidone can be decreased when combined with Losartan.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Pirfenidone.]
[N05CA16, hexobarbital, The metabolism of Pirfenidone can be decreased when combined with Hexobarbital.]
[J05AG01, nevirapine, The metabolism of Pirfenidone can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Pirfenidone can be decreased when combined with Nilvadipine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pirfenidone.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Hydroxyurea is combined with Pirfenidone.]
[N05BB01, hydroxyzine, The metabolism of Pirfenidone can be decreased when combined with Hydroxyzine.]
[J04AB04, rifabutin, The metabolism of Pirfenidone can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Pirfenidone can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pirfenidone.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Pirfenidone.]
[H01AC02, somatrem, The metabolism of Pirfenidone can be increased when combined with Somatrem.]
[N06AA02, imipramine, The metabolism of Pirfenidone can be decreased when combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Paclitaxel is combined with Pirfenidone.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Pirfenidone can be decreased when combined with Tizanidine.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Topotecan is combined with Pirfenidone.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Pirfenidone.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Pirfenidone.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Pirfenidone.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Eculizumab is combined with Pirfenidone.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Articaine.]
[N05CH02, ramelteon, The metabolism of Pirfenidone can be decreased when combined with Ramelteon.]
[C10AA06, cerivastatin, The metabolism of Pirfenidone can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The metabolism of Pirfenidone can be decreased when combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Pirfenidone can be decreased when combined with Alprenolol.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Pirfenidone.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Pirfenidone.]
[N06AF05, iproniazid, The metabolism of Pirfenidone can be decreased when combined with Iproniazid.]
[J05AB13, penciclovir, The metabolism of Pirfenidone can be decreased when combined with Penciclovir.]
[P01AX06, atovaquone, The metabolism of Pirfenidone can be decreased when combined with Atovaquone.]
[N01AB06, isoflurane, The metabolism of Pirfenidone can be decreased when combined with Isoflurane.]
[N04BX02, entacapone, The metabolism of Pirfenidone can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Pirfenidone can be decreased when combined with Isoniazid.]
[C05AE02, isosorbide dinitrate, The metabolism of Pirfenidone can be decreased when combined with Isosorbide dinitrate.]
[N06AX18, reboxetine, The metabolism of Pirfenidone can be decreased when combined with Reboxetine.]
