[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Zolpidem.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AB02, dexchlorpheniramine, The metabolism of Zolpidem can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, Dezocine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EX18, avapritinib, The metabolism of Zolpidem can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AX21, diacetylrhein, The metabolism of Zolpidem can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Zolpidem can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Zolpidem can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Zolpidem can be increased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Zolpidem.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AA08, dihydrocodeine, Dihydrocodeine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AH02, rofecoxib, The metabolism of Zolpidem can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Zolpidem can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Zolpidem can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Zolpidem can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S03AA08, chloramphenicol, The metabolism of Zolpidem can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Zolpidem.]
[A03AA08, dihexyverine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Zolpidem can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Zolpidem can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Zolpidem.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L04AC19, satralizumab, The serum concentration of Zolpidem can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Zolpidem is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Zolpidem can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Zolpidem can be increased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AA01, chlorpromazine, The risk or severity of adverse effects can be increased when Zolpidem is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Zolpidem.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A11CC05, cholecalciferol, The metabolism of Zolpidem can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Zolpidem.]
[B06AC06, berotralstat, The metabolism of Zolpidem can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Zolpidem can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Zolpidem can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Zolpidem can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Zolpidem can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Zolpidem.]
[J01MB07, flumequine, The metabolism of Zolpidem can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Zolpidem can be increased when combined with Flunisolide.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Zolpidem.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Zolpidem can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Zolpidem can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Zolpidem.]
[J01MB06, cinoxacin, The metabolism of Zolpidem can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Zolpidem can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Zolpidem can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H01AC07, somapacitan, The metabolism of Zolpidem can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Zolpidem can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Zolpidem.]
[H01AC09, lonapegsomatropin, The metabolism of Zolpidem can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BB12, glimepiride, The metabolism of Zolpidem can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Zolpidem.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EA06, asciminib, The metabolism of Zolpidem can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Zolpidem.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Zolpidem.]
[C10AB01, clofibrate, The metabolism of Zolpidem can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Zolpidem can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EJ03, pacritinib, The metabolism of Zolpidem can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, Clomipramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Zolpidem.]
[C01EB24, mavacamten, The metabolism of Zolpidem can be increased when combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Zolpidem can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[H01AC08, somatrogon, The metabolism of Zolpidem can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Zolpidem may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Zolpidem can be increased when combined with Bimekizumab.]
[R05DA04, codeine, Codeine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB10, hexocyclium, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Zolpidem can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Zolpidem.]
[J01FA15, telithromycin, The metabolism of Zolpidem can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Zolpidem.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AH03, valdecoxib, The metabolism of Zolpidem can be decreased when combined with Valdecoxib.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Zolpidem.]
[J02AC02, itraconazole, The metabolism of Zolpidem can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Zolpidem.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01EA01, imatinib, The serum concentration of Zolpidem can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Zolpidem can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Zolpidem can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01BA03, cortisone, The metabolism of Zolpidem can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Zolpidem.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C08CA11, manidipine, The metabolism of Zolpidem can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Zolpidem.]
[H02AB15, meprednisone, The metabolism of Zolpidem can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Zolpidem.]
[N04AA03, methixene, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01AA01, cyclophosphamide, The metabolism of Zolpidem can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01XA18, cyclosporine, The metabolism of Zolpidem can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BA07, modafinil, The metabolism of Zolpidem can be decreased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Zolpidem.]
[C03XA02, conivaptan, The metabolism of Zolpidem can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Zolpidem.]
[M01AH05, etoricoxib, The metabolism of Zolpidem can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Zolpidem.]
[G03XA01, danazol, The metabolism of Zolpidem can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J04BA02, dapsone, The metabolism of Zolpidem can be decreased when combined with Dapsone.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Zolpidem.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Zolpidem.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Zolpidem.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02BB02, nilutamide, The metabolism of Zolpidem can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Zolpidem.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R05DA06, normethadone, Normethadone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G04BD08, solifenacin, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Desipramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S03BA01, dexamethasone, The metabolism of Zolpidem can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04AA08, dexetimide, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Zolpidem.]
[A03AA01, oxyphencyclimine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Zolpidem can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Zolpidem can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Zolpidem can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AC01, dextromoramide, Dextromoramide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Zolpidem.]
[N07BC06, heroin, Diamorphine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Zolpidem.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Zolpidem.]
[J01CF01, dicloxacillin, The metabolism of Zolpidem can be increased when combined with Dicloxacillin.]
[A03AA07, dicyclomine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB14, pipenzolate, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Zolpidem.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L02AA01, diethylstilbestrol, The metabolism of Zolpidem can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Zolpidem can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Zolpidem can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C02DB01, dihydralazine, The metabolism of Zolpidem can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02AA03, hydromorphone, Hydromorphone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J05AE08, atazanavir, The metabolism of Zolpidem can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Zolpidem can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C08DB01, diltiazem, The metabolism of Zolpidem can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AB03, dimethindene, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Zolpidem can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Zolpidem.]
[C05CA03, diosmin, The metabolism of Zolpidem can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Zolpidem.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A07DA01, diphenoxylate, Diphenoxylate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BA03, disopyramide, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Zolpidem can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Zolpidem can be increased when combined with Rifapentine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01MB01, rosoxacin, The metabolism of Zolpidem can be decreased when combined with Rosoxacin.]
[A04AD12, aprepitant, The metabolism of Zolpidem can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Zolpidem can be decreased when combined with Bortezomib.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Zolpidem.]
[C01EB18, ranolazine, The serum concentration of Zolpidem can be increased when it is combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Zolpidem.]
[N06AA16, dothiepin, Dosulepin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01DB01, doxorubicin, The metabolism of Zolpidem can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C10AA01, simvastatin, The metabolism of Zolpidem can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Zolpidem.]
[H01AA01, corticotropin, The metabolism of Zolpidem can be increased when combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Zolpidem can be decreased when combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Zolpidem.]
[D01BA02, terbinafine, The metabolism of Zolpidem can be increased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Zolpidem.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06BA09, atomoxetine, The metabolism of Zolpidem can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, Topiramate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C03CA04, torsemide, The metabolism of Zolpidem can be decreased when combined with Torasemide.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[A03AB08, tridihexethyl, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N04AA12, tropatepine, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[J01MA04, enoxacin, The metabolism of Zolpidem can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[L01CA04, vinorelbine, The metabolism of Zolpidem can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C08CA12, mepirodipine, The metabolism of Zolpidem can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Zolpidem can be decreased when combined with Epinephrine.]
[S01AA13, fusidic acid, The metabolism of Zolpidem can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Zolpidem can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, The metabolism of Zolpidem can be increased when combined with Fluocinolone acetonide.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[S01AA17, erythromycin, The metabolism of Zolpidem can be decreased when combined with Erythromycin.]
