[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Vindesine.]
[C08CA11, manidipine, The metabolism of Vindesine can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Vindesine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Vindesine can be decreased when combined with Mequitazine.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Vindesine.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Vindesine.]
[J01FA03, midecamycin, The metabolism of Vindesine can be decreased when combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Vindesine can be increased when combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Vindesine may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Vindesine can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Vindesine can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Vindesine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Cytarabine.]
[M01AH05, etoricoxib, The metabolism of Vindesine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Vindesine is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Vindesine is combined with Dactinomycin.]
[G03XA01, danazol, The metabolism of Vindesine can be decreased when combined with Danazol.]
[L01DB02, daunorubicin, The metabolism of Vindesine can be decreased when combined with Daunorubicin.]
[N06AX06, nefazodone, The metabolism of Vindesine can be decreased when combined with Nefazodone.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Vindesine.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Vindesine.]
[N06AA01, desipramine, The metabolism of Vindesine can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Vindesine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Vindesine is combined with Desoximetasone.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Vindesine is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The metabolism of Vindesine can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Vindesine can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Vindesine can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Vindesine can be increased when combined with Adalimumab.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Vindesine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Cinchocaine.]
[J01CF01, dicloxacillin, The metabolism of Vindesine can be increased when combined with Dicloxacillin.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Vindesine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Vindesine can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Vindesine is combined with Pirarubicin.]
[L03AA13, pegfilgrastim, The risk or severity of peripheral neuropathy can be increased when Pegfilgrastim is combined with Vindesine.]
[L02AA01, diethylstilbestrol, The metabolism of Vindesine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Vindesine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Vindesine can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Vindesine.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Vindesine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Vindesine.]
[C04AE04, dihydroergocristine, The metabolism of Vindesine can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Vindesine can be decreased when combined with Dihydroergotamine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Vindesine is combined with Lenalidomide.]
[J05AE08, atazanavir, The metabolism of Vindesine can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Vindesine can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Vindesine can be decreased when combined with Dimethyl sulfoxide.]
[C05CA03, diosmin, The metabolism of Vindesine can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Vindesine.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Vindesine.]
[A03FA02, cisapride, The metabolism of Vindesine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Vindesine is combined with Sirolimus.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Vindesine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Vindesine can be increased when combined with Rifapentine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Vindesine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Vindesine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Vindesine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Vindesine.]
[J05AE07, fosamprenavir, The metabolism of Vindesine can be decreased when combined with Fosamprenavir.]
[C01EB18, ranolazine, The metabolism of Vindesine can be decreased when combined with Ranolazine.]
[L01DB01, doxorubicin, The metabolism of Vindesine can be decreased when combined with Doxorubicin.]
[H01AA01, corticotropin, The metabolism of Vindesine can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Vindesine is combined with Temozolomide.]
[D01BA02, terbinafine, The metabolism of Vindesine can be increased when combined with Terbinafine.]
[N03AX11, topiramate, The metabolism of Vindesine can be increased when combined with Topiramate.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Vindesine.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Vindesine is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Vindesine is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Vindesine.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vindesine is combined with Vinorelbine.]
[C08CA12, mepirodipine, The metabolism of Vindesine can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Vindesine can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Vindesine is combined with Epirubicin.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Vindesine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Vindesine is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Vindesine.]
[N02CA02, ergotamine, The metabolism of Vindesine can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Vindesine can be decreased when combined with Erythromycin.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Vindesine is combined with Estramustine.]
[J04AK02, ethambutol, The metabolism of Vindesine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The metabolism of Vindesine can be increased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Vindesine can be increased when combined with Fluticasone.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Vindesine is combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Vindesine.]
[R06AX11, astemizole, The metabolism of Vindesine can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The metabolism of Vindesine can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The metabolism of Vindesine can be decreased when combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Vindesine.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Vindesine.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Vindesine is combined with Dexrazoxane.]
[P02CA03, albendazole, The metabolism of Vindesine can be decreased when combined with Albendazole.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Vindesine.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Vindesine is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Vindesine.]
[J01CF05, floxacillin, The metabolism of Vindesine can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Vindesine can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Vindesine is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Vindesine is combined with Fludrocortisone.]
[D07AC08, fluocinonide, The metabolism of Vindesine can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Vindesine can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Vindesine can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Vindesine is combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Vindesine is combined with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Vindesine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Vindesine can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Vindesine.]
[J05AE10, darunavir, The serum concentration of Vindesine can be increased when it is combined with Darunavir.]
[N03AA04, barbexaclone, The metabolism of Vindesine can be increased when combined with Barbexaclone.]
[L01EA02, dasatinib, The metabolism of Vindesine can be decreased when combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Vindesine can be increased when combined with Etravirine.]
[L01EH01, lapatinib, The metabolism of Vindesine can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Vindesine can be decreased when combined with Glyburide.]
[C02CA04, doxazosin, The metabolism of Vindesine can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Vindesine is combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Vindesine.]
[D01BA01, griseofulvin, The metabolism of Vindesine can be increased when combined with Griseofulvin.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Vindesine.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Vindesine is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Vindesine.]
[C09CA01, losartan, The metabolism of Vindesine can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Vindesine.]
[G03DC01, allylestrenol, The metabolism of Vindesine can be decreased when combined with Allylestrenol.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Vindesine is combined with Altretamine.]
[C08CA10, nilvadipine, The metabolism of Vindesine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Vindesine.]
[C02DB02, hydralazine, The metabolism of Vindesine can be decreased when combined with Hydralazine.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Vindesine.]
[S02BA01, hydrocortisone, The metabolism of Vindesine can be increased when combined with Hydrocortisone.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Vindesine.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Vindesine is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Vindesine is combined with Hydroxyurea.]
[J04AB04, rifabutin, The metabolism of Vindesine can be increased when combined with Rifabutin.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Vindesine.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Vindesine is combined with Idarubicin.]
[L01AA06, ifosfamide, The metabolism of Vindesine can be increased when combined with Ifosfamide.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Vindesine is combined with Paclitaxel poliglumex.]
[L01CD01, paclitaxel, The metabolism of Vindesine can be increased when combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Vindesine is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Vindesine is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Vindesine is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Vindesine.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Vindesine.]
[N06AX17, milnacipran, The metabolism of Vindesine can be decreased when combined with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Articaine.]
[C10AA06, cerivastatin, The metabolism of Vindesine can be increased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Vindesine.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Vindesine.]
[J04AC01, isoniazid, The metabolism of Vindesine can be decreased when combined with Isoniazid.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Vindesine.]
[J01FA07, josamycin, The serum concentration of Vindesine can be increased when it is combined with Josamycin.]
[L04AC07, tocilizumab, The metabolism of Vindesine can be increased when combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Vindesine.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Vindesine.]
[H02CA04, levoketoconazole, The metabolism of Vindesine can be decreased when combined with Levoketoconazole.]
[J02AB02, ketoconazole, The metabolism of Vindesine can be decreased when combined with Ketoconazole.]
[V03AC03, deferasirox, The metabolism of Vindesine can be increased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Vindesine can be increased when combined with Abatacept.]
[N03AX18, lacosamide, The metabolism of Vindesine can be decreased when combined with Lacosamide.]
[L01DC03, mitomycin, The risk or severity of bronchospasm, shortness of breath, and dyspnea can be increased when Vindesine is combined with Mitomycin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Lidocaine.]
[N06BA13, armodafinil, The metabolism of Vindesine can be increased when combined with Armodafinil.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Vindesine is combined with Lomustine.]
[C10AA02, lovastatin, The metabolism of Vindesine can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Vindesine is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Vindesine is combined with Pralatrexate.]
[L01EA03, nilotinib, The metabolism of Vindesine can be decreased when combined with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Vindesine is combined with Mechlorethamine.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Vindesine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Vindesine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Vindesine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Vindesine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Vindesine is combined with Melphalan.]
[N02AB02, meperidine, The metabolism of Vindesine can be decreased when combined with Meperidine.]
[N03AA01, mephobarbital, The metabolism of Vindesine can be increased when combined with Methylphenobarbital.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Mepivacaine.]
[L02BG01, aminoglutethimide, The metabolism of Vindesine can be increased when combined with Aminoglutethimide.]
[H01CB03, lanreotide, The metabolism of Vindesine can be decreased when combined with Lanreotide.]
[N07BC02, methadone, The metabolism of Vindesine can be decreased when combined with Methadone.]
[H03BB02, methimazole, The metabolism of Vindesine can be decreased when combined with Methimazole.]
[L03AA02, filgrastim, The risk or severity of peripheral neuropathy can be increased when Filgrastim is combined with Vindesine.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Vindesine is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Vindesine is combined with Methotrexate.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Vindesine.]
[V04CG05, methylene blue, The metabolism of Vindesine can be decreased when combined with Methylene blue.]
[G02AB01, methylergonovine, The metabolism of Vindesine can be decreased when combined with Methylergometrine.]
[H02AB04, methylprednisolone, The metabolism of Vindesine can be increased when combined with Methylprednisolone.]
[N03AF03, rufinamide, The metabolism of Vindesine can be increased when combined with Rufinamide.]
[N02CA04, methysergide, The metabolism of Vindesine can be decreased when combined with Methysergide.]
[P01AB01, metronidazole, The metabolism of Vindesine can be decreased when combined with Metronidazole.]
[V04CD01, metyrapone, The metabolism of Vindesine can be increased when combined with Metyrapone.]
[S02AA13, miconazole, The metabolism of Vindesine can be decreased when combined with Miconazole.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Vindesine.]
[N05CD08, midazolam, The metabolism of Vindesine can be decreased when combined with Midazolam.]
[L03AA09, sargramostim, The risk or severity of peripheral neuropathy can be increased when Sargramostim is combined with Vindesine.]
[G03XB01, mifepristone, The metabolism of Vindesine can be increased when combined with Mifepristone.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Vindesine.]
[J01FA11, miocamycin, The metabolism of Vindesine can be decreased when combined with Miocamycin.]
[L01XX23, mitotane, The metabolism of Vindesine can be increased when combined with Mitotane.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Vindesine is combined with Mitoxantrone.]
[L03AA03, molgramostim, The risk or severity of peripheral neuropathy can be increased when Molgramostim is combined with Vindesine.]
[L03AA10, lenograstim, The risk or severity of peripheral neuropathy can be increased when Lenograstim is combined with Vindesine.]
[L03AC01, aldesleukin, The metabolism of Vindesine can be decreased when combined with Aldesleukin.]
[C01BD01, amiodarone, The metabolism of Vindesine can be decreased when combined with Amiodarone.]
[L04AB05, certolizumab pegol, The metabolism of Vindesine can be increased when combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Ofatumumab.]
[L01EX03, pazopanib, The metabolism of Vindesine can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Vindesine is combined with Mycophenolic acid.]
[N05CA02, amobarbital, The metabolism of Vindesine can be increased when combined with Amobarbital.]
[G03XC01, raloxifene, The metabolism of Vindesine can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The serum concentration of Fosphenytoin can be decreased when it is combined with Vindesine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Vindesine.]
[J01CF06, nafcillin, The metabolism of Vindesine can be increased when combined with Nafcillin.]
[V03AB15, naloxone, The metabolism of Vindesine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Vindesine can be increased when combined with Anakinra.]
[A10BG01, troglitazone, The metabolism of Vindesine can be increased when combined with Troglitazone.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Vindesine.]
[L01CD02, docetaxel, The metabolism of Vindesine can be decreased when combined with Docetaxel.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Vindesine.]
[N06AX23, desvenlafaxine, The metabolism of Vindesine can be decreased when combined with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Vindesine.]
[C10AD02, niacin, The metabolism of Vindesine can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Vindesine can be decreased when combined with Nicardipine.]
[G03DC02, norethindrone, The metabolism of Vindesine can be decreased when combined with Norethisterone.]
[C02KX01, bosentan, The metabolism of Vindesine can be increased when combined with Bosentan.]
[R05DA07, noscapine, The metabolism of Vindesine can be decreased when combined with Noscapine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Vindesine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Vindesine.]
[H01CB02, octreotide, The serum concentration of Vindesine can be increased when it is combined with Octreotide.]
[J01FA05, oleandomycin, The metabolism of Vindesine can be decreased when combined with Oleandomycin.]
[L04AC04, rilonacept, The metabolism of Vindesine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Vindesine can be increased when combined with Omeprazole.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Vindesine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Vindesine.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Vindesine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Vindesine.]
[H02AB05, paramethasone, The metabolism of Vindesine can be increased when combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Vindesine is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Vindesine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Vindesine.]
[N05CA01, pentobarbital, The metabolism of Vindesine can be increased when combined with Pentobarbital.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Vindesine is combined with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Vindesine.]
[B02BX04, romiplostim, The risk or severity of peripheral neuropathy can be increased when Romiplostim is combined with Vindesine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Vindesine.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Vindesine.]
[N03AA02, phenobarbital, The metabolism of Vindesine can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Vindesine.]
[M02AA01, phenylbutazone, The metabolism of Vindesine can be increased when combined with Phenylbutazone.]
[N03AB02, phenytoin, The serum concentration of Phenytoin can be decreased when it is combined with Vindesine.]
[L04AB06, golimumab, The metabolism of Vindesine can be increased when combined with Golimumab.]
[L02BB03, bicalutamide, The metabolism of Vindesine can be decreased when combined with Bicalutamide.]
[C08CX01, mibefradil, The metabolism of Vindesine can be decreased when combined with Mibefradil.]
[N05AG02, pimozide, The metabolism of Vindesine can be decreased when combined with Pimozide.]
[J05AE01, saquinavir, The metabolism of Vindesine can be decreased when combined with Saquinavir.]
[J05AG02, delavirdine, The metabolism of Vindesine can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Vindesine can be decreased when combined with Irbesartan.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Vindesine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Vindesine.]
[L02BG03, anastrozole, The risk or severity of cardiotoxicity can be increased when Vindesine is combined with Anastrozole.]
[L04AC08, canakinumab, The metabolism of Vindesine can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Vindesine.]
[J05AE03, ritonavir, The serum concentration of Vindesine can be increased when it is combined with Ritonavir.]
[S03BA02, prednisolone, The metabolism of Vindesine can be increased when combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Vindesine is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Vindesine can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Vindesine can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Vindesine can be increased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Vindesine is combined with Procarbazine.]
[C10AB05, fenofibrate, The metabolism of Vindesine can be decreased when combined with Fenofibrate.]
[N01AX10, propofol, The metabolism of Vindesine can be decreased when combined with Propofol.]
[N02AC04, propoxyphene, The metabolism of Vindesine can be decreased when combined with Dextropropoxyphene.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Vindesine is combined with Propylthiouracil.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Vindesine.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Vindesine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Vindesine.]
[C01BA01, quinidine, The metabolism of Vindesine can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Vindesine can be increased when combined with Quinine.]
[J04AB02, rifampin, The metabolism of Vindesine can be increased when combined with Rifampicin.]
[J01FA06, roxithromycin, The metabolism of Vindesine can be decreased when combined with Roxithromycin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Vindesine is combined with Sulfasalazine.]
[N05CA06, secobarbital, The metabolism of Vindesine can be increased when combined with Secobarbital.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Vindesine is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Vindesine.]
[H01CB01, somatostatin, The metabolism of Vindesine can be decreased when combined with Somatostatin.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Vindesine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Vindesine.]
[N03AG01, valproic acid, The metabolism of Vindesine can be decreased when combined with Valproic acid.]
[D07AB02, hydrocortisone butyrate, The metabolism of Vindesine can be increased when combined with Hydrocortisone butyrate.]
