[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Duloxetine.]
[S01GX07, azelastine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Duloxetine.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Balsalazide.]
[R03CC12, bambuterol, Duloxetine may increase the tachycardic activities of Bambuterol.]
[A06AH05, naldemedine, Duloxetine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Duloxetine.]
[N02BF02, pregabalin, The therapeutic efficacy of Duloxetine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Beclamide is combined with Duloxetine.]
[C09AA07, benazepril, The risk or severity of orthostatic hypotension and syncope can be increased when Benazepril is combined with Duloxetine.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Benfluorex.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Duloxetine.]
[P01CA02, benznidazole, Duloxetine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Duloxetine.]
[J05AF06, abacavir, Duloxetine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Duloxetine.]
[H03BA03, benzylthiouracil, The therapeutic efficacy of Benzylthiouracil can be decreased when used in combination with Duloxetine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Duloxetine.]
[L04AB02, infliximab, The metabolism of Duloxetine can be increased when combined with Infliximab.]
[H05AA04, abaloparatide, The therapeutic efficacy of Abaloparatide can be decreased when used in combination with Duloxetine.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome can be increased when Safinamide is combined with Duloxetine.]
[J01MA23, delafloxacin, Duloxetine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Duloxetine.]
[L01BC06, capecitabine, The metabolism of Duloxetine can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Duloxetine.]
[C07AB07, bisoprolol, The risk or severity of orthostatic hypotension and syncope can be increased when Bisoprolol is combined with Duloxetine.]
[R03AC17, bitolterol, Duloxetine may increase the tachycardic activities of Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Duloxetine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Duloxetine.]
[N04AA11, bornaprine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of orthostatic hypotension and syncope can be increased when Nesiritide is combined with Duloxetine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Bromperidol is combined with Duloxetine.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Brotizolam is combined with Duloxetine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Duloxetine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Duloxetine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Duloxetine.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Butriptyline is combined with Duloxetine.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Semaglutide.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vinylbital is combined with Duloxetine.]
[R06AX18, acrivastine, Duloxetine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of orthostatic hypotension and syncope can be increased when Captopril is combined with Duloxetine.]
[L02BB05, apalutamide, Duloxetine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Duloxetine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Duloxetine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Duloxetine.]
[C07AG02, carvedilol, The risk or severity of orthostatic hypotension and syncope can be increased when Carvedilol is combined with Duloxetine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Duloxetine.]
[B02BX08, avatrombopag, The metabolism of Duloxetine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Duloxetine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Duloxetine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01GB14, plazomicin, Duloxetine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Duloxetine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Duloxetine.]
[L01XX62, ivosidenib, The metabolism of Duloxetine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Duloxetine.]
[A16AX14, migalastat, Duloxetine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Duloxetine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Duloxetine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Duloxetine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Carbromal is combined with Duloxetine.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Duloxetine.]
[D08AE05, chloroxylenol, Duloxetine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Duloxetine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Duloxetine.]
[L04AA39, emapalumab, The metabolism of Duloxetine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Duloxetine can be decreased when used in combination with Gilteritinib.]
[A06AX05, prucalopride, Duloxetine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of orthostatic hypotension and syncope can be increased when Cilazapril is combined with Duloxetine.]
[B01AX07, caplacizumab, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Caplacizumab.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Duloxetine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Duloxetine.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Duloxetine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Duloxetine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Duloxetine.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Duloxetine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Brexanolone is combined with Duloxetine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Duloxetine.]
[N05BA09, clobazam, The metabolism of Duloxetine can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Duloxetine.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Duloxetine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Duloxetine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Duloxetine can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cyamemazine is combined with Duloxetine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Duloxetine.]
[L01EJ02, fedratinib, The metabolism of Duloxetine can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Duloxetine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Duloxetine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Duloxetine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Duloxetine.]
[G03AC09, desogestrel, The metabolism of Duloxetine can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Duloxetine.]
[A16AX16, givosiran, The serum concentration of Duloxetine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Duloxetine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Duloxetine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Duloxetine.]
[S01XA12, dexpanthenol, Duloxetine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Dezocine is combined with Duloxetine.]
[L01EX18, avapritinib, The metabolism of Duloxetine can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Lemborexant is combined with Duloxetine.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Duloxetine.]
[M01AX21, diacetylrhein, The metabolism of Duloxetine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Duloxetine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Duloxetine.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Duloxetine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Duloxetine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Duloxetine.]
[R02AA03, dichlorobenzyl alcohol, Duloxetine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Duloxetine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Duloxetine.]
[N02AA08, dihydrocodeine, The risk or severity of serotonin syndrome can be increased when Dihydrocodeine is combined with Duloxetine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Duloxetine.]
[M01AH02, rofecoxib, The metabolism of Duloxetine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Duloxetine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The risk or severity of orthostatic hypotension and syncope can be increased when Clevidipine is combined with Duloxetine.]
[C01BD07, dronedarone, The metabolism of Duloxetine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Duloxetine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Duloxetine.]
[A03AA08, dihexyverine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of orthostatic hypotension and syncope can be increased when Opicapone is combined with Duloxetine.]
[C01CA14, dopexamine, Duloxetine may increase the tachycardic activities of Dopexamine.]
[G04BD09, trospium, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Droxicam.]
[V08CA05, mangafodipir, Duloxetine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Duloxetine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Duloxetine.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Duloxetine.]
[P01BB01, proguanil, The metabolism of Duloxetine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Remimazolam is combined with Duloxetine.]
[L04AC19, satralizumab, The serum concentration of Duloxetine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Duloxetine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Duloxetine.]
[L01EX23, pralsetinib, The metabolism of Duloxetine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of orthostatic hypotension and syncope can be increased when Chlorothiazide is combined with Duloxetine.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Duloxetine.]
[N05AA01, chlorpromazine, The risk or severity of orthostatic hypotension and syncope can be increased when Chlorpromazine is combined with Duloxetine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Duloxetine.]
[C03BA04, chlorthalidone, The risk or severity of orthostatic hypotension and syncope can be increased when Chlorthalidone is combined with Duloxetine.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Duloxetine.]
[A11CC05, cholecalciferol, The metabolism of Duloxetine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Etifoxine is combined with Duloxetine.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Duloxetine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vinpocetine is combined with Duloxetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Duloxetine.]
[M01AB08, etodolac, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Duloxetine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Duloxetine.]
[M01AX25, chondroitin sulfates, Duloxetine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[C01DX22, vericiguat, The risk or severity of orthostatic hypotension and syncope can be increased when Vericiguat is combined with Duloxetine.]
[L01EX21, tepotinib, The metabolism of Duloxetine can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Febarbamate is combined with Duloxetine.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Duloxetine.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Fenbufen.]
[C01CA19, fenoldopam, The risk or severity of orthostatic hypotension and syncope can be increased when Fenoldopam is combined with Duloxetine.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Duloxetine is combined with Fenozolone.]
[J01DD15, cefdinir, Duloxetine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Duloxetine may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Duloxetine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Duloxetine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Duloxetine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Duloxetine can be decreased when combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Duloxetine.]
[A02BA01, cimetidine, The metabolism of Duloxetine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Duloxetine.]
[V08CA04, gadoteridol, Duloxetine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Duloxetine.]
[S03AA07, ciprofloxacin, The metabolism of Duloxetine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Duloxetine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Duloxetine.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Duloxetine.]
[V09AB03, ioflupane I-123, Duloxetine may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[V09AA01, technetium Tc 99m exametazime, Duloxetine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Duloxetine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Duloxetine.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Mefenamic acid.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Gliquidone.]
[R03CC13, clenbuterol, Duloxetine may increase the tachycardic activities of Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when St. John's Wort is combined with Duloxetine.]
[L01EA06, asciminib, The metabolism of Duloxetine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Duloxetine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Duloxetine.]
[B01AD11, tenecteplase, The risk or severity of hemorrhage can be increased when Duloxetine is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The risk or severity of orthostatic hypotension and syncope can be increased when Levobupivacaine is combined with Duloxetine.]
[N06AA04, clomipramine, The risk or severity of orthostatic hypotension and syncope can be increased when Clomipramine is combined with Duloxetine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Duloxetine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Duloxetine.]
[C01EB24, mavacamten, The serum concentration of Duloxetine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Duloxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Clothiapine is combined with Duloxetine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Duloxetine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Duloxetine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Duloxetine.]
[N05AH02, clozapine, The risk or severity of orthostatic hypotension and syncope can be increased when Clozapine is combined with Duloxetine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Sotagliflozin.]
[J01GB12, arbekacin, Duloxetine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Duloxetine.]
[S02DA02, cocaine, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms can be increased when Metyrosine is combined with Duloxetine.]
[L04AC21, bimekizumab, The metabolism of Duloxetine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of serotonin syndrome can be increased when Codeine is combined with Duloxetine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Duloxetine.]
[M04AC01, colchicine, Duloxetine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Duloxetine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Duloxetine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Duloxetine which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Duloxetine can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of orthostatic hypotension and syncope can be increased when Desflurane is combined with Duloxetine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Tropisetron is combined with Duloxetine.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Duloxetine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Duloxetine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Insulin glargine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Duloxetine.]
[B01AC10, indobufen, The risk or severity of gastrointestinal bleeding can be increased when Duloxetine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Duloxetine.]
[J05AB14, valganciclovir, Duloxetine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Duloxetine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Duloxetine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Duloxetine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Duloxetine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Duloxetine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
