[S02DA03, antipyrine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Antipyrine.]
[L04AA37, baricitinib, Guanfacine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01GB14, plazomicin, Guanfacine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Celiprolol.]
[L01XX62, ivosidenib, The metabolism of Guanfacine can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Guanfacine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Guanfacine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The risk or severity of adverse effects can be increased when Dacomitinib is combined with Guanfacine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Guanfacine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Guanfacine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Guanfacine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Guanfacine.]
[R03BB08, revefenacin, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Guanfacine.]
[A06AX05, prucalopride, Guanfacine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Guanfacine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, Guanfacine may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cinitapride.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Guanfacine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Guanfacine.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Guanfacine.]
[J01FA09, clarithromycin, The metabolism of Guanfacine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Guanfacine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Guanfacine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cloxazolam.]
[C09CA06, candesartan, Guanfacine may decrease the antihypertensive activities of Candesartan.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Guanfacine.]
[N07XX11, pitolisant, The serum concentration of Guanfacine can be decreased when it is combined with Pitolisant.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Guanfacine.]
[N03AX25, cenobamate, The serum concentration of Guanfacine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[M09AX08, golodirsen, Guanfacine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Guanfacine.]
[S01XA12, dexpanthenol, Guanfacine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Guanfacine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Guanfacine.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Guanfacine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dichloralphenazone.]
[R02AA03, dichlorobenzyl alcohol, Guanfacine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Guanfacine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Guanfacine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Guanfacine.]
[M01AH02, rofecoxib, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Clevidipine.]
[C01BD07, dronedarone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Guanfacine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Guanfacine.]
[C02AA06, methoserpidine, Guanfacine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Guanfacine.]
[A03AA08, dihexyverine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Guanfacine.]
[G04BD09, trospium, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Guanfacine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Guanfacine.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Guanfacine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Guanfacine.]
[C08CA17, levamlodipine, Guanfacine may decrease the antihypertensive activities of Levamlodipine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Guanfacine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Guanfacine is combined with Oliceridine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N05AF03, chlorprothixene, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Guanfacine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Etifoxine.]
[N02BA07, ethenzamide, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Ethenzamide.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Choline salicylate.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Guanfacine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Guanfacine can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Guanfacine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Guanfacine.]
[P03AX07, abametapir, The serum concentration of Guanfacine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Guanfacine is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Guanfacine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Guanfacine.]
[M01AE05, fenbufen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Guanfacine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Guanfacine.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Guanfacine.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02BG07, flupirtine, Guanfacine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Guanfacine may increase the sympathomimetic activities of Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Guanfacine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Guanfacine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Guanfacine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The risk or severity of adverse effects can be increased when Cimetidine is combined with Guanfacine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Guanfacine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Guanfacine.]
[L01XX73, sotorasib, The serum concentration of Guanfacine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Guanfacine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Guanfacine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Guanfacine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Guanfacine is combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Guanfacine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Guanfacine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Guanfacine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Guanfacine.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Guanfacine.]
[N06AX25, St. John's wort extract, The serum concentration of Guanfacine can be decreased when it is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Guanfacine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Guanfacine.]
[L01EJ03, pacritinib, The serum concentration of Guanfacine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of hypertension can be increased when Clomipramine is combined with Guanfacine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Guanfacine.]
[C01EB24, mavacamten, The serum concentration of Guanfacine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Guanfacine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Guanfacine.]
[N05AH02, clozapine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Clozapine.]
[J01GB12, arbekacin, Guanfacine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Guanfacine.]
[H01AC08, somatrogon, The metabolism of Guanfacine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Guanfacine may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Guanfacine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Guanfacine.]
[M04AC01, colchicine, Guanfacine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Guanfacine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Guanfacine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Guanfacine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Guanfacine can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Guanfacine.]
[J05AB14, valganciclovir, Guanfacine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Guanfacine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Guanfacine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Guanfacine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Guanfacine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Guanfacine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Valdecoxib.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Guanfacine.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Guanfacine.]
[M01AH04, parecoxib, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Guanfacine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Guanfacine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Ketazolam.]
[M01AA06, kebuzone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Kebuzone.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Guanfacine is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Guanfacine can be decreased when combined with Posaconazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Guanfacine.]
[S01EE03, bimatoprost, Bimatoprost may increase the hypotensive activities of Guanfacine.]
[C08CA09, lacidipine, Guanfacine may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Guanfacine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C09AA03, lisinopril, Guanfacine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Guanfacine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Guanfacine may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Medifoxamine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Guanfacine.]
[C07AA14, mepindolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Mepindolol.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Guanfacine.]
[N04AA03, methixene, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Guanfacine may increase the bradycardic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Guanfacine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Guanfacine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Guanfacine is combined with Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Guanfacine can be increased when used in combination with Cyclopenthiazide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Guanfacine.]
[S01XA18, cyclosporine, The metabolism of Guanfacine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Guanfacine.]
[R06AX02, cyproheptadine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Guanfacine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Guanfacine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Guanfacine may decrease the antihypertensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Cytarabine.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Guanfacine.]
[M01AH05, etoricoxib, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Guanfacine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Guanfacine is combined with Deanol.]
[C02CC04, debrisoquin, Guanfacine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Guanfacine.]
[M01AX01, nabumetone, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Guanfacine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nordazepam.]
[C07AB12, nebivolol, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Guanfacine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Guanfacine.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Guanfacine.]
[C01CA23, theodrenaline, Theodrenaline may decrease the antihypertensive activities of Guanfacine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Guanfacine.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Guanfacine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Guanfacine is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Guanfacine is combined with Escitalopram.]
[G04BD08, solifenacin, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, The risk or severity of hypertension can be increased when Desipramine is combined with Guanfacine.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Guanfacine.]
[V04CH02, indigo carmine, Guanfacine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[C09XA02, aliskiren, Guanfacine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Guanfacine can be decreased when used in combination with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Guanfacine.]
[S03BA01, dexamethasone, The metabolism of Guanfacine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Guanfacine is combined with Oxiracetam.]
[N04AA08, dexetimide, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the antihypertensive activities of Guanfacine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Guanfacine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Guanfacine.]
