[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Labetalol.]
[J05AG03, efavirenz, The metabolism of Labetalol can be increased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C07AA17, bopindolol, Bopindolol may increase the orthostatic hypotensive activities of Labetalol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Labetalol is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Labetalol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Labetalol.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Labetalol.]
[J05AX18, letermovir, The metabolism of Labetalol can be increased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Labetalol.]
[C01AA02, acetyldigoxins, Labetalol may increase the bradycardic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Labetalol.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Labetalol.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Labetalol.]
[R06AX18, acrivastine, Labetalol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Labetalol may increase the hypotensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Labetalol is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The serum concentration of Labetalol can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Labetalol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium polycarbophil.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of adverse effects can be increased when Labetalol is combined with Carbimazole.]
[C07AG02, carvedilol, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Labetalol.]
[N03AX24, cannabidiol, The metabolism of Labetalol can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, Labetalol may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Labetalol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01GB14, plazomicin, Labetalol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Celiprolol can be decreased when used in combination with Labetalol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Labetalol.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Labetalol.]
[A16AX14, migalastat, Labetalol may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Labetalol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Labetalol can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Labetalol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Labetalol.]
[D08AE05, chloroxylenol, Labetalol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Labetalol.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Labetalol can be decreased when combined with Carisoprodol.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Labetalol.]
[L04AA39, emapalumab, The metabolism of Labetalol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A06AX05, prucalopride, Labetalol may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Labetalol may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Labetalol.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Labetalol.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Labetalol.]
[P02BX04, triclabendazole, The metabolism of Labetalol can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Labetalol.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Labetalol.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Labetalol.]
[N05BA09, clobazam, The metabolism of Labetalol can be decreased when combined with Clobazam.]
[V03AE07, calcium acetate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Labetalol may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Labetalol can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Labetalol can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Labetalol can be decreased when combined with Pexidartinib.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Labetalol can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Labetalol.]
[N07XX11, pitolisant, The metabolism of Labetalol can be decreased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Labetalol.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Labetalol.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Labetalol.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Labetalol.]
[G03AC09, desogestrel, The metabolism of Labetalol can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Labetalol.]
[N03AX25, cenobamate, The serum concentration of Labetalol can be increased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Labetalol can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Labetalol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Labetalol.]
[S01XA12, dexpanthenol, Labetalol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[M01AX21, diacetylrhein, The metabolism of Labetalol can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Labetalol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Labetalol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Labetalol.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Labetalol.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Labetalol.]
[R02AA03, dichlorobenzyl alcohol, Labetalol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Labetalol may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Labetalol.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Labetalol.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Labetalol.]
[C08CA16, clevidipine, The risk or severity of bradycardia can be increased when Clevidipine is combined with Labetalol.]
[C01BD07, dronedarone, Dronedarone may increase the bradycardic activities of Labetalol.]
[S03AA08, chloramphenicol, The metabolism of Labetalol can be decreased when combined with Chloramphenicol.]
[C02AA06, methoserpidine, Labetalol may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Labetalol is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Labetalol.]
[G04BD09, trospium, The metabolism of Labetalol can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Labetalol.]
[V08CA05, mangafodipir, Labetalol may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Labetalol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Labetalol.]
[C08CA17, levamlodipine, The risk or severity of bradycardia can be increased when Levamlodipine is combined with Labetalol.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Labetalol.]
[L04AC19, satralizumab, The serum concentration of Labetalol can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Labetalol.]
[P01BA01, chloroquine, The metabolism of Labetalol can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Labetalol.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Labetalol.]
[N05AF03, chlorprothixene, The risk or severity of Tachycardia can be increased when Labetalol is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Labetalol.]
[A11CC05, cholecalciferol, The metabolism of Labetalol can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Labetalol.]
[N02BA03, choline salicylate, Labetalol may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of bradycardia can be increased when Vinpocetine is combined with Labetalol.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Labetalol.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Labetalol.]
[B06AC06, berotralstat, The metabolism of Labetalol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Labetalol can be decreased when combined with Lonafarnib.]
[M01AX25, chondroitin sulfates, Labetalol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Labetalol.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Labetalol is combined with Vericiguat.]
[N03AX10, felbamate, The metabolism of Labetalol can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Labetalol.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Labetalol is combined with Fenethylline.]
[C01CA19, fenoldopam, Labetalol may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Labetalol.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Labetalol.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N02BG07, flupirtine, Labetalol may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Labetalol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Labetalol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Labetalol.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Labetalol.]
[L03AB10, peginterferon alfa-2b, The metabolism of Labetalol can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Labetalol may increase the hypotensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of adverse effects can be increased when Labetalol is combined with Follitropin.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of bradycardia can be increased when Cinnarizine is combined with Labetalol.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01XA01, cisplatin, Labetalol may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The metabolism of Labetalol can be decreased when combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Labetalol can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Labetalol is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Labetalol.]
[V09AB03, ioflupane I-123, Labetalol may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Labetalol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Labetalol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The metabolism of Labetalol can be decreased when combined with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Labetalol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Labetalol.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Labetalol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Labetalol can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Labetalol.]
[L01EA06, asciminib, The metabolism of Labetalol can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Labetalol can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Labetalol.]
[B06AX04, mitapivat, The metabolism of Labetalol can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Labetalol is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Labetalol.]
[N03AE01, clonazepam, Labetalol may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Labetalol.]
[C01EB24, mavacamten, The serum concentration of Labetalol can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Labetalol.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Labetalol can be decreased when combined with Vonoprazan.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Labetalol.]
[N05AH02, clozapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Labetalol.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Labetalol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Labetalol.]
[J01GB12, arbekacin, Labetalol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Cocaine.]
[C02KB01, metyrosine, Labetalol may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Labetalol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Labetalol.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Labetalol.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Labetalol.]
[M04AC01, colchicine, Labetalol may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Labetalol is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Labetalol is combined with Homatropine methylbromide.]
[J01XB01, colistin, Labetalol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Labetalol.]
[A04AA03, tropisetron, Labetalol may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Labetalol.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Labetalol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Labetalol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Labetalol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Labetalol.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Labetalol.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Labetalol.]
[J05AB14, valganciclovir, Labetalol may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Labetalol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Labetalol may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Labetalol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Labetalol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Labetalol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Labetalol.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Labetalol.]
[C01AA06, lanatoside C, Labetalol may increase the bradycardic activities of Lanatoside C.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Labetalol.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Labetalol.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Labetalol.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N05BA10, ketazolam, Labetalol may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Labetalol.]
[L01EA01, imatinib, The serum concentration of Labetalol can be increased when it is combined with Imatinib.]
[A02BC05, esomeprazole, The metabolism of Labetalol can be decreased when combined with Esomeprazole.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Labetalol.]
[S01EE03, bimatoprost, Labetalol may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Labetalol may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, The metabolism of Labetalol can be increased when combined with Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Lofexidine can be decreased when used in combination with Labetalol.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Labetalol.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Labetalol.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[C09AA03, lisinopril, Labetalol may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Labetalol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The risk or severity of bradycardia can be increased when Manidipine is combined with Labetalol.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Mebeverine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Labetalol.]
[C07AA14, mepindolol, Mepindolol may increase the orthostatic hypotensive activities of Labetalol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Labetalol.]
[J01DH02, meropenem, Labetalol may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Labetalol is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Labetalol.]
[C04AX01, cyclandelate, The risk or severity of bradycardia can be increased when Cyclandelate is combined with Labetalol.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Labetalol can be decreased when used in combination with Methoxyphenamine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The metabolism of Labetalol can be decreased when combined with Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Labetalol can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Labetalol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Labetalol can be decreased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the bradycardic activities of Labetalol.]
[S01XA18, cyclosporine, The metabolism of Labetalol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Labetalol.]
[N06BA07, modafinil, The metabolism of Labetalol can be decreased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The risk or severity of Tachycardia can be increased when Cyproheptadine is combined with Labetalol.]
[C09AA13, moexipril, Labetalol may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Labetalol.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Labetalol.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Labetalol which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Labetalol.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Labetalol.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Labetalol.]
[L01AX04, dacarbazine, Labetalol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Labetalol is combined with Dantrolene.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Labetalol.]
[A04AD11, nabilone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Labetalol.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Labetalol.]
[N07BB05, nalmefene, Labetalol may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Labetalol.]
[C07AB12, nebivolol, The therapeutic efficacy of Nebivolol can be decreased when used in combination with Labetalol.]
[S01GX04, nedocromil, Labetalol may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, Labetalol may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nefazodone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Labetalol.]
[L02BB02, nilutamide, The metabolism of Labetalol can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The therapeutic efficacy of Labetalol can be increased when used in combination with Theodrenaline.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Labetalol.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Labetalol which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Labetalol can be increased when it is combined with Escitalopram.]
