[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Epinephrine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Epinephrine.]
[R06AA07, diphenylpyraline, The therapeutic efficacy of Epinephrine can be increased when used in combination with Diphenylpyraline.]
[R06AE04, chlorcyclizine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Chlorcyclizine.]
[C02AA06, methoserpidine, Epinephrine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The serum concentration of Epinephrine can be increased when it is combined with Tucatinib.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Dihexyverine.]
[N04BX04, opicapone, The metabolism of Epinephrine can be decreased when combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Epinephrine is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Epinephrine.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Epinephrine.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Epinephrine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Epinephrine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Epinephrine is combined with Dexketoprofen.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Epinephrine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Epinephrine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Epinephrine.]
[C03AA04, chlorothiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Epinephrine.]
[N05AF03, chlorprothixene, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Chlorthalidone.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Epinephrine is combined with Ethenzamide.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Epinephrine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Epinephrine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Epinephrine is combined with Etofenamate.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Epinephrine.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Epinephrine is combined with Naxitamab.]
[V03AF12, trilaciclib, The serum concentration of Epinephrine can be increased when it is combined with Trilaciclib.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Epinephrine is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Fenethylline.]
[C01CA19, fenoldopam, Epinephrine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The therapeutic efficacy of Fenozolone can be increased when used in combination with Epinephrine.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Epinephrine is combined with Finasteride.]
[R03BA03, flunisolide, The risk or severity of hypokalemia can be increased when Flunisolide is combined with Epinephrine.]
[R03CC15, formoterol, Epinephrine may increase the sympathomimetic activities of Formoterol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Epinephrine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the arrhythmogenic activities of Epinephrine.]
[H04AA02, dasiglucagon, Epinephrine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of adverse effects can be increased when Epinephrine is combined with Follitropin.]
[A02BA01, cimetidine, The serum concentration of Epinephrine can be increased when it is combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Epinephrine.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Epinephrine.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Epinephrine.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Epinephrine.]
[P01CA03, fexinidazole, The serum concentration of Epinephrine can be increased when it is combined with Fexinidazole.]
[R06AA04, clemastine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Epinephrine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Epinephrine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be increased when used in combination with Epinephrine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Epinephrine.]
[L01EJ03, pacritinib, The serum concentration of Epinephrine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Epinephrine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Epinephrine.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be decreased when combined with Epinephrine.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Epinephrine.]
[C03BA03, clopamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Clopamide.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Epinephrine.]
[N05AH02, clozapine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Epinephrine.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Epinephrine.]
[S02DA02, cocaine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Cocaine.]
[C02KB01, metyrosine, Epinephrine may decrease the antihypertensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Epinephrine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Epinephrine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Epinephrine.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Epinephrine.]
[N01AB07, desflurane, Desflurane may increase the arrhythmogenic activities of Epinephrine.]
[C04AX28, ifenprodil, Ifenprodil may decrease the hypertensive activities of Epinephrine.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Epinephrine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Epinephrine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Epinephrine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Epinephrine.]
[R03BA08, ciclesonide, The risk or severity of hypokalemia can be increased when Ciclesonide is combined with Epinephrine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Epinephrine is combined with Indobufen.]
[R06AX27, desloratadine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Epinephrine.]
[C01AA06, lanatoside C, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Lanatoside C.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Epinephrine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Epinephrine is combined with Almotriptan.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Epinephrine.]
[R06AD09, isothipendyl, The therapeutic efficacy of Epinephrine can be increased when used in combination with Isothipendyl.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Epinephrine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Epinephrine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Epinephrine can be increased when it is combined with Imatinib.]
[C08CA09, lacidipine, Epinephrine may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, The serum concentration of Epinephrine can be increased when it is combined with Lamotrigine.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Epinephrine.]
[N07BC04, lofexidine, Epinephrine may decrease the antihypertensive activities of Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Epinephrine is combined with Lonazolac.]
[R06AX13, loratadine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Loratadine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Epinephrine is combined with Loxoprofen.]
[C09AA03, lisinopril, Epinephrine may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, Epinephrine may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Mebeverine.]
[R06AX15, mebhydroline, The therapeutic efficacy of Epinephrine can be increased when used in combination with Mebhydrolin.]
[A08AA09, mefenorex, The therapeutic efficacy of Mefenorex can be increased when used in combination with Epinephrine.]
[C07AA14, mepindolol, Mepindolol may decrease the bronchodilatory activities of Epinephrine.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Epinephrine.]
[R06AD07, mequitazine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Mequitazine.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Epinephrine.]
[R06AD04, methdilazine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Methdilazine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Epinephrine.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Methoxyphenamine can be increased when used in combination with Epinephrine.]
[R06AE03, cyclizine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Cyclizine.]
[C03DA04, eplerenone, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Eplerenone.]
[C03AA07, cyclopenthiazide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Epinephrine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Epinephrine.]
[N06AX07, minaprine, Minaprine may increase the hypertensive activities of Epinephrine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Epinephrine.]
[N06AG02, moclobemide, Moclobemide may increase the hypertensive activities of Epinephrine.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Cyproheptadine.]
[C09AA13, moexipril, Epinephrine may decrease the antihypertensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Epinephrine.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Epinephrine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Epinephrine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Epinephrine.]
[C02AC05, moxonidine, Epinephrine may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Epinephrine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Epinephrine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Epinephrine.]
[C02CC04, debrisoquin, Epinephrine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Epinephrine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Epinephrine.]
[C07AB12, nebivolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the tachycardic activities of Epinephrine.]
[C01DX16, nicorandil, Epinephrine may decrease the antihypertensive activities of Nicorandil.]
[C01CA23, theodrenaline, The therapeutic efficacy of Epinephrine can be increased when used in combination with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Norfenefrine.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Epinephrine is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Epinephrine is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may increase the vasopressor activities of Epinephrine.]
[C01AA07, deslanoside, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Deslanoside.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Epinephrine.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Epinephrine.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Epinephrine.]
[C09XA02, aliskiren, Epinephrine may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Epinephrine.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Epinephrine is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of hypokalemia can be increased when Dexamethasone is combined with Epinephrine.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Epinephrine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Amphetamine can be increased when used in combination with Epinephrine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Epinephrine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Epinephrine.]
[H05AA02, teriparatide, The risk or severity of adverse effects can be increased when Epinephrine is combined with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Paroxetine.]
[B01AC04, clopidogrel, The serum concentration of Epinephrine can be increased when it is combined with Clopidogrel.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Pentifylline.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Epinephrine.]
[V03AH01, diazoxide, Epinephrine may decrease the antihypertensive activities of Diazoxide.]
[R06AX04, phenindamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Phenindamine.]
[N06AA08, dibenzepin, Dibenzepin may increase the vasopressor activities of Epinephrine.]
[S01EC02, dichlorphenamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Diclofenamide.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Epinephrine.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Dicyclomine.]
[R06AX23, pimethixene, The therapeutic efficacy of Epinephrine can be increased when used in combination with Pimethixene.]
[C02DG01, pinacidil, Epinephrine may decrease the antihypertensive activities of Pinacidil.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Epinephrine.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Epinephrine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Epinephrine.]
[R03CC07, pirbuterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Pirbuterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Piretanide.]
[A08AA03, diethylpropion, The therapeutic efficacy of Diethylpropion can be increased when used in combination with Epinephrine.]
[C08CA03, isradipine, Epinephrine may decrease the antihypertensive activities of Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Epinephrine.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Epinephrine is combined with Diflunisal.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Epinephrine.]
[C01AA05, digoxin, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Digoxin.]
[C02DB01, dihydralazine, Epinephrine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Epinephrine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Epinephrine.]
[J05AE08, atazanavir, The metabolism of Atazanavir can be decreased when combined with Epinephrine.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Epinephrine.]
[H03BC01, potassium perchlorate, The risk or severity of adverse effects can be increased when Epinephrine is combined with Potassium perchlorate.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Epinephrine.]
[R06AA11, dimenhydrinate, The therapeutic efficacy of Epinephrine can be increased when used in combination with Dimenhydrinate.]
[R06AB03, dimethindene, The therapeutic efficacy of Epinephrine can be increased when used in combination with Dimetindene.]
[R03CC08, procaterol, The therapeutic efficacy of Procaterol can be increased when used in combination with Epinephrine.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Propentofylline.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Epinephrine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Epinephrine is combined with Proglumetacin.]
[G02AD02, dinoprostone, The serum concentration of Epinephrine can be increased when it is combined with Dinoprostone.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Proxyphylline.]
[R06AA02, diphenhydramine, The serum concentration of Epinephrine can be increased when it is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Epinephrine.]
[C09AA06, quinapril, Epinephrine may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Epinephrine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the vasopressor activities of Epinephrine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Epinephrine.]
[C09AA05, ramipril, Epinephrine may decrease the antihypertensive activities of Ramipril.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Epinephrine.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Epinephrine is combined with Reproterol.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Epinephrine.]
[N05AX08, risperidone, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Levocetirizine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Epinephrine.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Epinephrine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Epinephrine.]
[G04BE08, tadalafil, Epinephrine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Epinephrine.]
[C02KX02, ambrisentan, Epinephrine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Epinephrine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Epinephrine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Salmeterol.]
[H05BA01, salmon calcitonin, The risk or severity of adverse effects can be increased when Epinephrine is combined with Salmon calcitonin.]
[C01CA07, dobutamine, The therapeutic efficacy of Dobutamine can be increased when used in combination with Epinephrine.]
[C01CA04, dopamine, The therapeutic efficacy of Dopamine can be increased when used in combination with Epinephrine.]
[N06AA16, dothiepin, Dosulepin may increase the vasopressor activities of Epinephrine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Epinephrine.]
[N06AA12, doxepin, Doxepin may increase the vasopressor activities of Epinephrine.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Epinephrine.]
[R06AA09, doxylamine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Doxylamine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Epinephrine.]
[N01AB08, sevoflurane, Sevoflurane may increase the arrhythmogenic activities of Epinephrine.]
[N05AD08, droperidol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Epinephrine.]
[C09AA11, spirapril, Epinephrine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Epinephrine is combined with Dyphylline.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Epinephrine is combined with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Epinephrine.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Epinephrine.]
[G04CA03, terazosin, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Terazosin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Epinephrine.]
[C07AA16, tertatolol, Tertatolol may decrease the bronchodilatory activities of Epinephrine.]
[S01GA02, tetrahydrozoline, The therapeutic efficacy of Tetryzoline can be increased when used in combination with Epinephrine.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Emepronium.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Epinephrine.]
[C09AA02, enalapril, Epinephrine may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Epinephrine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypertensive activities of Epinephrine.]
[N06BA09, atomoxetine, Atomoxetine may increase the tachycardic activities of Epinephrine.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Epinephrine is combined with Torasemide.]
[R01AA09, tramazoline, The therapeutic efficacy of Tramazoline can be increased when used in combination with Epinephrine.]
[C09AA10, trandolapril, Epinephrine may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Epinephrine.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Epinephrine.]
[R06AA10, trimethobenzamide, The therapeutic efficacy of Epinephrine can be increased when used in combination with Trimethobenzamide.]
[G03GA05, follitropin alfa, The risk or severity of adverse effects can be increased when Epinephrine is combined with Follitropin.]
[R06AX21, tritoqualine, The therapeutic efficacy of Epinephrine can be increased when used in combination with Tritoqualine.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Epinephrine is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the arrhythmogenic activities of Epinephrine.]
[C02CA06, urapidil, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Urapidil.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Epinephrine.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Epinephrine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Epinephrine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Epinephrine is combined with Xylometazoline.]
[S02BA08, fluocinolone acetonide, The risk or severity of hypokalemia can be increased when Fluocinolone acetonide is combined with Epinephrine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Epinephrine.]
[C09AA15, zofenopril, Epinephrine may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Epinephrine.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Epinephrine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of Cardiac Arrhythmia can be increased when Epinephrine is combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Epinephrine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Epinephrine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Epinephrine.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Epinephrine.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Epinephrine.]
[G03CA03, estradiol, The serum concentration of Epinephrine can be increased when it is combined with Estradiol.]
[R03BA09, fluticasone furoate, The risk or severity of hypokalemia can be increased when Fluticasone furoate is combined with Epinephrine.]
[R03BA05, fluticasone, The risk or severity of hypokalemia can be increased when Fluticasone is combined with Epinephrine.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Epinephrine.]
[C01CA15, gepefrine, The therapeutic efficacy of Gepefrine can be increased when used in combination with Epinephrine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Epinephrine.]
[N04AA05, profenamine, The therapeutic efficacy of Epinephrine can be decreased when used in combination with Profenamine.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Epinephrine.]
[C01CA01, etilefrine, The therapeutic efficacy of Etilefrine can be increased when used in combination with Epinephrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Epinephrine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Epinephrine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Epinephrine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Epinephrine.]
[R06AX12, terfenadine, The metabolism of Terfenadine can be decreased when combined with Epinephrine.]
[N06AX12, bupropion, The excretion of Epinephrine can be decreased when combined with Bupropion.]
[A02BA03, famotidine, The serum concentration of Epinephrine can be increased when it is combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Epinephrine.]
[C08CA02, felodipine, Epinephrine may decrease the antihypertensive activities of Felodipine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Epinephrine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be increased when used in combination with Epinephrine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Epinephrine.]
[R03CC02, albuterol, The risk or severity of adverse effects can be increased when Epinephrine is combined with Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Epinephrine.]
[G04BD02, flavoxate, The risk or severity of Tachycardia can be increased when Epinephrine is combined with Flavoxate.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Epinephrine is combined with Floctafenine.]
[H02AA02, fludrocortisone, The risk or severity of hypokalemia can be increased when Fludrocortisone is combined with Epinephrine.]
[D07XB01, flumethasone, The risk or severity of hypokalemia can be increased when Flumethasone is combined with Epinephrine.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Epinephrine.]
