[B01AD01, streptokinase, The risk or severity of bleeding can be increased when Streptokinase is combined with Nelarabine.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Nelarabine.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Nelarabine.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Melphalan is combined with Nelarabine.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Mepivacaine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Methimazole is combined with Nelarabine.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Pemetrexed is combined with Nelarabine.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Methotrexate is combined with Nelarabine.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Nelarabine.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Methylprednisolone is combined with Nelarabine.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Nelarabine.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Nelarabine.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Mitoxantrone is combined with Nelarabine.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Aldesleukin is combined with Nelarabine.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Nelarabine is combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Nelarabine is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Mycophenolic acid is combined with Nelarabine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Nelarabine.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Nelarabine.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Nelarabine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Docetaxel is combined with Nelarabine.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Nelarabine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Nelarabine.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Nelarabine.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Nelarabine.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Nelarabine is combined with Rilonacept.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Nelarabine.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Nelarabine.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Nelarabine.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Nelarabine is combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Penicillamine is combined with Nelarabine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Nelarabine.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Nelarabine.]
[L01XX08, pentostatin, The therapeutic efficacy of Nelarabine can be decreased when used in combination with Pentostatin.]
[C04AD03, pentoxifylline, The risk or severity of bleeding can be increased when Pentoxifylline is combined with Nelarabine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Nelarabine.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Nelarabine.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Nelarabine.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Golimumab.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Nelarabine.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Nelarabine.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Nelarabine.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Prednisolone is combined with Nelarabine.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Prednisone is combined with Nelarabine.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Prilocaine.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Nelarabine is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Procarbazine is combined with Nelarabine.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Nelarabine.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Nelarabine.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Nelarabine.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Sulfasalazine is combined with Nelarabine.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Nelarabine is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Nelarabine.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Nelarabine is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Nelarabine.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Nelarabine is combined with Hydrocortisone butyrate.]
