[S02DA03, antipyrine, The protein binding of Glimepiride can be decreased when combined with Antipyrine.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Glimepiride.]
[C01EB24, mavacamten, The serum concentration of Glimepiride can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Clopamide.]
[A05BA08, glycyrrhizic acid, Glimepiride may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Glimepiride.]
[L01XX77, adagrasib, The serum concentration of Glimepiride can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Glimepiride.]
[H01AC08, somatrogon, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Glimepiride can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The protein binding of Glimepiride can be decreased when combined with Proquazone.]
[L04AA13, leflunomide, The metabolism of Glimepiride can be decreased when combined with Leflunomide.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The protein binding of Glimepiride can be decreased when combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Glimepiride.]
[B01AC10, indobufen, The protein binding of Glimepiride can be decreased when combined with Indobufen.]
[M01AH03, valdecoxib, The protein binding of Glimepiride can be decreased when combined with Valdecoxib.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Glimepiride.]
[M01AH04, parecoxib, The protein binding of Glimepiride can be decreased when combined with Parecoxib.]
[M01AA06, kebuzone, The protein binding of Glimepiride can be decreased when combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Glimepiride can be decreased when combined with Imatinib.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Glimepiride.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Glimepiride.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Lomefloxacin.]
[M01AB09, lonazolac, The protein binding of Glimepiride can be decreased when combined with Lonazolac.]
[R06AX13, loratadine, Glimepiride may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[M02AA31, loxoprofen, The protein binding of Glimepiride can be decreased when combined with Loxoprofen.]
[C08CA11, manidipine, The metabolism of Glimepiride can be decreased when combined with Manidipine.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Glimepiride.]
[C07AA14, mepindolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Glimepiride.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Glimepiride.]
[R06AE03, cyclizine, The metabolism of Glimepiride can be decreased when combined with Cyclizine.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Miglitol.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Glimepiride.]
[N06AX07, minaprine, Minaprine may increase the hypoglycemic activities of Glimepiride.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[N06AG02, moclobemide, Moclobemide may increase the hypoglycemic activities of Glimepiride.]
[N06BA07, modafinil, The metabolism of Glimepiride can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Rosuvastatin.]
[M02AA02, mofebutazone, The protein binding of Glimepiride can be decreased when combined with Mofebutazone.]
[M01AX22, morniflumate, The protein binding of Glimepiride can be decreased when combined with Morniflumate.]
[M01AH05, etoricoxib, The protein binding of Glimepiride can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Glimepiride.]
[L01DB02, daunorubicin, Glimepiride may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Glimepiride.]
[M01AX01, nabumetone, The protein binding of Glimepiride can be decreased when combined with Nabumetone.]
[C07AB12, nebivolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of hypoglycemia can be increased when Nefazodone is combined with Glimepiride.]
[L02BB02, nilutamide, The metabolism of Glimepiride can be decreased when combined with Nilutamide.]
[G03DB04, nomegestrol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Nomegestrol.]
[N06AB10, escitalopram, The risk or severity of hypoglycemia can be increased when Escitalopram is combined with Glimepiride.]
[A07EC03, olsalazine, Olsalazine may increase the hypoglycemic activities of Glimepiride.]
[N06AA01, desipramine, Desipramine may decrease the hypoglycemic activities of Glimepiride.]
[S01BA11, desonide, The risk or severity of hyperglycemia can be increased when Desonide is combined with Glimepiride.]
[D07XC02, desoximetasone, The risk or severity of hyperglycemia can be increased when Desoximetasone is combined with Glimepiride.]
[H02AA03, desoxycorticosterone, The risk or severity of hyperglycemia can be increased when Desoxycortone is combined with Glimepiride.]
[M01AE12, oxaprozin, The protein binding of Glimepiride can be decreased when combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of hyperglycemia can be increased when Dexamethasone is combined with Glimepiride.]
[L04AB04, adalimumab, The metabolism of Glimepiride can be increased when combined with Adalimumab.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Glimepiride.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Glimepiride.]
[H05AA02, teriparatide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Glimepiride.]
[B01AC04, clopidogrel, The metabolism of Glimepiride can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Glimepiride.]
[V03AH01, diazoxide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the hypoglycemic activities of Glimepiride.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Diclofenamide.]
[S01BC03, diclofenac, The protein binding of Glimepiride can be decreased when combined with Diclofenac.]
[A07AB02, phthalylsulfathiazole, The therapeutic efficacy of Glimepiride can be increased when used in combination with Phthalylsulfathiazole.]
[G03CC02, dienestrol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Dienestrol.]
[A03AX04, pinaverium, The risk or severity of hypoglycemia can be increased when Pinaverium is combined with Glimepiride.]
[C03CA03, piretanide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Diethylstilbestrol.]
[C08CA03, isradipine, Glimepiride may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Glimepiride.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Glimepiride.]
[C01AA05, digoxin, Glimepiride may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[L02AA02, polyestradiol phosphate, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Polyestradiol phosphate.]
[C10AX09, ezetimibe, Glimepiride may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Glimepiride may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Glimepiride.]
[J05AE08, atazanavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Glimepiride.]
[H03BC01, potassium perchlorate, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Potassium perchlorate.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Glimepiride.]
[C08DB01, diltiazem, The risk or severity of hypoglycemia can be increased when Diltiazem is combined with Glimepiride.]
[G03CA09, promestriene, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Promestriene.]
[N02BB04, propyphenazone, The protein binding of Glimepiride can be decreased when combined with Propyphenazone.]
[M01AB14, proglumetacin, The protein binding of Glimepiride can be decreased when combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Glimepiride can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Diphenhydramine can be decreased when combined with Glimepiride.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Glimepiride.]
[B01AC07, dipyridamole, Glimepiride may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Glimepiride.]
[S01XA23, sirolimus, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Disopyramide.]
[P03AA04, disulfiram, Glimepiride may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Glimepiride can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Risperidone.]
[J01MB01, rosoxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Sunitinib.]
[L01XG01, bortezomib, The metabolism of Glimepiride can be decreased when combined with Bortezomib.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Fosamprenavir.]
[S01BC05, ketorolac, The protein binding of Glimepiride can be decreased when combined with Ketorolac.]
[C01EB18, ranolazine, Glimepiride may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02BA06, salsalate, The protein binding of Glimepiride can be decreased when combined with Salsalate.]
[H05BA01, salmon calcitonin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Salmon calcitonin.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Glimepiride.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Glimepiride.]
[L01DB01, doxorubicin, Glimepiride may decrease the excretion rate of Doxorubicin which could result in a higher serum level.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Glimepiride.]
[C10AA01, simvastatin, Glimepiride may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Glimepiride can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Glimepiride can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Glimepiride.]
[J01MA05, temafloxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Temafloxacin.]
[M01AC02, tenoxicam, The protein binding of Glimepiride can be decreased when combined with Tenoxicam.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Glimepiride.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Glimepiride.]
[C07AA16, tertatolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Glimepiride.]
[G03CX01, tibolone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Tibolone.]
[M01AG02, tolfenamic acid, The protein binding of Glimepiride can be decreased when combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Glimepiride.]
[C03CA04, torsemide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Glimepiride.]
[G03GA05, follitropin alfa, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Follitropin.]
[L02AE04, triptorelin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Glimepiride.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Glimepiride.]
[C08CA12, mepirodipine, The risk or severity of hypoglycemia can be increased when Barnidipine is combined with Glimepiride.]
[S01EA01, epinephrine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Epinephrine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Glimepiride.]
[M01AB04, zomepirac, The protein binding of Glimepiride can be decreased when combined with Zomepirac.]
[N03AX15, zonisamide, The therapeutic efficacy of Glimepiride can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Glimepiride.]
[C01BG01, moricizine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Moricizine.]
[S01AA17, erythromycin, Erythromycin may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[G03CA03, estradiol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Glimepiride can be decreased when used in combination with Conjugated estrogens.]
[G03CC04, estrone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Estrone.]
[J04AK02, ethambutol, The metabolism of Glimepiride can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The risk or severity of hyperglycemia can be increased when Fluticasone furoate is combined with Glimepiride.]
[R03BA05, fluticasone, The risk or severity of hyperglycemia can be increased when Fluticasone is combined with Glimepiride.]
[C10AA04, fluvastatin, The metabolism of Glimepiride can be decreased when combined with Fluvastatin.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Glimepiride.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Ethinylestradiol.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Glimepiride.]
[M01AC06, meloxicam, The protein binding of Glimepiride can be decreased when combined with Meloxicam.]
[L04AD02, tacrolimus, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Glimepiride can be increased when used in combination with Fleroxacin.]
[R06AX11, astemizole, Glimepiride may decrease the excretion rate of Astemizole which could result in a higher serum level.]
[R06AX12, terfenadine, Glimepiride may decrease the excretion rate of Terfenadine which could result in a higher serum level.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Glimepiride.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Glimepiride.]
[L02AE02, leuprolide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Leuprolide.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[D11AX24, deoxycholic acid, Deoxycholic acid may increase the excretion rate of Glimepiride which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA02, felodipine, Glimepiride may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Glimepiride.]
[M01AE04, fenoprofen, The protein binding of Glimepiride can be decreased when combined with Fenoprofen.]
[C01BC04, flecainide, The metabolism of Glimepiride can be decreased when combined with Flecainide.]
[N02BG04, floctafenine, The protein binding of Glimepiride can be decreased when combined with Floctafenine.]
[J01CF05, floxacillin, Glimepiride may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, The serum concentration of Glimepiride can be increased when it is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Glimepiride.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Glimepiride.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Glimepiride.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Glimepiride.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Glimepiride.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Glimepiride.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Glimepiride.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Glimepiride is combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Glimepiride can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Glimepiride.]
[L01BC02, fluorouracil, The metabolism of Glimepiride can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Glimepiride.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Glimepiride.]
[N05AB02, fluphenazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Fluphenazine.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Glimepiride.]
[S01BC04, flurbiprofen, The protein binding of Glimepiride can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Glimepiride.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Glimepiride.]
[J05AE10, darunavir, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Furosemide.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Glimepiride.]
[C10AB04, gemfibrozil, The metabolism of Glimepiride can be decreased when combined with Gemfibrozil.]
[A10BJ02, liraglutide, Liraglutide may increase the hypoglycemic activities of Glimepiride.]
[J05AG04, etravirine, The metabolism of Glimepiride can be decreased when combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Glimepiride.]
[G03XA02, gestrinone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Gestrinone.]
[A10BB01, glyburide, Glyburide may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[A10BB09, gliclazide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Gliclazide.]
[A10BB07, glipizide, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Glipizide.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Glimepiride.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Glimepiride.]
[L01EX02, sorafenib, The metabolism of Glimepiride can be decreased when combined with Sorafenib.]
[C07AB09, esmolol, Esmolol may increase the hypoglycemic activities of Glimepiride.]
[B01AA12, fluindione, Glimepiride may increase the anticoagulant activities of Fluindione.]
[L02AE03, goserelin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Goserelin.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Glimepiride.]
[N05AD01, haloperidol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Glimepiride.]
[L02AE05, histrelin, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Insulin aspart.]
[C09CA01, losartan, Glimepiride may decrease the excretion rate of Losartan which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Glimepiride.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Glimepiride.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Glimepiride.]
[C08CA10, nilvadipine, The risk or severity of hypoglycemia can be increased when Nilvadipine is combined with Glimepiride.]
[M02AA26, nimesulide, The protein binding of Glimepiride can be decreased when combined with Nimesulide.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The risk or severity of hyperglycemia can be increased when Hydrocortisone is combined with Glimepiride.]
[D07AC16, hydrocortisone aceponate, The risk or severity of hyperglycemia can be increased when Hydrocortisone aceponate is combined with Glimepiride.]
[D07AB11, hydrocortisone probutate, The risk or severity of hyperglycemia can be increased when Hydrocortisone probutate is combined with Glimepiride.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Glimepiride can be increased when used in combination with Hydroxychloroquine.]
[A05AX02, hymecromone, The therapeutic efficacy of Glimepiride can be increased when used in combination with Hymecromone.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Glimepiride.]
[R02AX02, ibuprofen, The protein binding of Glimepiride can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Glimepiride.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Glimepiride.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Glimepiride.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Glimepiride.]
[L01CD01, paclitaxel, Paclitaxel may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Glimepiride.]
[C03BA11, indapamide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Glimepiride.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Glimepiride.]
[N01BB08, articaine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, Sitagliptin may increase the hypoglycemic activities of Glimepiride.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Glimepiride.]
[A10BH02, vildagliptin, Vildagliptin may increase the hypoglycemic activities of Glimepiride.]
[C10AA06, cerivastatin, Glimepiride may decrease the excretion rate of Cerivastatin which could result in a higher serum level.]
[C07AA01, alprenolol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Glimepiride.]
[N06AF05, iproniazid, The metabolism of Glimepiride can be decreased when combined with Iproniazid.]
[N05AA07, chlorproethazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Chlorproethazine.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Glimepiride.]
[P01AX06, atovaquone, The metabolism of Glimepiride can be decreased when combined with Atovaquone.]
[J04AC01, isoniazid, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, Exenatide may increase the hypoglycemic activities of Glimepiride.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Glimepiride.]
[L04AC07, tocilizumab, The metabolism of Glimepiride can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Glimepiride.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Glimepiride.]
[J02AB02, ketoconazole, Ketoconazole may decrease the excretion rate of Glimepiride which could result in a higher serum level.]
[N05AH03, olanzapine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The protein binding of Glimepiride can be decreased when combined with Ketoprofen.]
[L04AA24, abatacept, The metabolism of Glimepiride can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Glimepiride is combined with Ketotifen.]
[A16AX01, thioctic acid, The risk or severity of hypoglycemia can be increased when Lipoic acid is combined with Glimepiride.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Glimepiride can be increased when used in combination with Nalidixic acid.]
[M01AE11, tiaprofenic acid, The protein binding of Glimepiride can be decreased when combined with Tiaprofenic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Glimepiride can be increased when used in combination with Labetalol.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Glimepiride.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Glimepiride.]
[N06BA13, armodafinil, The metabolism of Glimepiride can be decreased when combined with Armodafinil.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Glimepiride.]
[A07DA03, loperamide, The risk or severity of hypoglycemia can be increased when Loperamide is combined with Glimepiride.]
[C10AA02, lovastatin, Glimepiride may decrease the excretion rate of Lovastatin which could result in a higher serum level.]
[G03DC03, lynestrenol, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Lynestrenol.]
[L01EG01, temsirolimus, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Glimepiride.]
[L01EA03, nilotinib, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Nilotinib.]
[M02AA18, meclofenamic acid, The protein binding of Glimepiride can be decreased when combined with Meclofenamic acid.]
[C03BA05, mefruside, The therapeutic efficacy of Glimepiride can be increased when used in combination with Mefruside.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Glimepiride.]
[N05AC03, mesoridazine, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Mesoridazine.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Glimepiride.]
[N05AX13, paliperidone, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Paliperidone.]
[H01CB03, lanreotide, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Lanreotide.]
