[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Imatinib.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Imatinib.]
[J05AG03, efavirenz, The serum concentration of Imatinib can be increased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Imatinib.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Imatinib.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Imatinib.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Imatinib.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Imatinib is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Imatinib.]
[L01EL02, acalabrutinib, The serum concentration of Acalabrutinib can be increased when it is combined with Imatinib.]
[J05AX18, letermovir, The serum concentration of Letermovir can be increased when it is combined with Imatinib.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Butriptyline is combined with Imatinib.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Imatinib.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Capsaicin.]
[A10BK04, ertugliflozin, Imatinib may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Imatinib.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Imatinib can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Imatinib can be increased when combined with Carbamazepine.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Imatinib.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Carbinoxamine is combined with Imatinib.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Imatinib.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be increased when it is combined with Imatinib.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Imatinib.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Baricitinib.]
[L01EC03, encorafenib, The serum concentration of Encorafenib can be increased when it is combined with Imatinib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Imatinib.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Imatinib.]
[H01CC03, elagolix, The serum concentration of Elagolix can be increased when it is combined with Imatinib.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Ivosidenib.]
[P01BA07, tafenoquine, The serum concentration of Tafenoquine can be increased when it is combined with Imatinib.]
[N03AX17, stiripentol, The serum concentration of Imatinib can be increased when it is combined with Stiripentol.]
[B02BX07, lusutrombopag, Imatinib may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Imatinib can be decreased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Imatinib.]
[L01EM04, duvelisib, Imatinib may decrease the excretion rate of Duvelisib which could result in a higher serum level.]
[L01EB07, dacomitinib, The serum concentration of Dacomitinib can be increased when it is combined with Imatinib.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Imatinib.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Imatinib.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Imatinib.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Imatinib.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Imatinib.]
[L01XK04, talazoparib, Imatinib may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Imatinib can be decreased when combined with Carisoprodol.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Imatinib.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Imatinib.]
[L04AA39, emapalumab, The metabolism of Imatinib can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Imatinib.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gilteritinib is combined with Imatinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Amifampridine is combined with Imatinib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Imatinib.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Imatinib.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Imatinib.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Imatinib.]
[S01ED05, carteolol, The serum concentration of Carteolol can be increased when it is combined with Imatinib.]
[P02BX04, triclabendazole, The metabolism of Imatinib can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Imatinib.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Imatinib is combined with Siponimod.]
[J01FA09, clarithromycin, The serum concentration of Imatinib can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Imatinib.]
[L01EN01, erdafitinib, The serum concentration of Erdafitinib can be increased when it is combined with Imatinib.]
[N05BA09, clobazam, The metabolism of Imatinib can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Imatinib is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Imatinib.]
[L04AB01, etanercept, The metabolism of Imatinib can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Imatinib is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Imatinib.]
[J01DC04, cefaclor, Imatinib may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Imatinib can be increased when it is combined with Darolutamide.]
[L01EX15, pexidartinib, The serum concentration of Pexidartinib can be increased when it is combined with Imatinib.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Imatinib.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Imatinib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Upadacitinib.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Imatinib can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Imatinib.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Imatinib.]
[N04CX01, istradefylline, The serum concentration of Istradefylline can be increased when it is combined with Imatinib.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Imatinib.]
[G04BE04, yohimbine, The serum concentration of Yohimbine can be increased when it is combined with Imatinib.]
[A10AE03, insulin, regular, pork, The metabolism of Imatinib can be increased when combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Imatinib.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Imatinib is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Imatinib.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Imatinib.]
[N02CC08, lasmiditan, The serum concentration of Imatinib can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Imatinib is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The serum concentration of Zanubrutinib can be increased when it is combined with Imatinib.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Imatinib.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Imatinib.]
[N03AX25, cenobamate, The serum concentration of Imatinib can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Imatinib can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Imatinib.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Imatinib.]
[R06AB02, dexchlorpheniramine, The serum concentration of Dexchlorpheniramine can be increased when it is combined with Imatinib.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Imatinib.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Imatinib.]
[L01XX72, tazemetostat, Imatinib may decrease the excretion rate of Tazemetostat which could result in a higher serum level.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Imatinib can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Imatinib.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Imatinib.]
[H02CA02, osilodrostat, The metabolism of Imatinib can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Imatinib can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Imatinib.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Imatinib.]
[L04AA38, ozanimod, Imatinib may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Imatinib.]
[N02AA08, dihydrocodeine, The serum concentration of Dihydrocodeine can be increased when it is combined with Imatinib.]
[N02CC06, eletriptan, The serum concentration of Eletriptan can be increased when it is combined with Imatinib.]
[M01AH02, rofecoxib, The metabolism of Imatinib can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Imatinib.]
[C08CA16, clevidipine, The serum concentration of Clevidipine can be increased when it is combined with Imatinib.]
[C01BD07, dronedarone, Imatinib may increase the QTc-prolonging activities of Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Imatinib.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Imatinib.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Imatinib.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Imatinib.]
[L01EX17, capmatinib, The serum concentration of Imatinib can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Imatinib is combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Imatinib can be decreased when combined with Trospium.]
[L01EX19, ripretinib, Imatinib may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Imatinib can be increased when it is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Imatinib.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Imatinib is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Imatinib is combined with Stepronin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Imatinib.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Imatinib.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Imatinib.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Imatinib.]
[L01FX15, belantamab mafodotin, Imatinib may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Imatinib can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Imatinib.]
[P01BA01, chloroquine, The serum concentration of Chloroquine can be increased when it is combined with Imatinib.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Imatinib.]
[R06AB04, chlorpheniramine, The serum concentration of Chlorpheniramine can be increased when it is combined with Imatinib.]
[N05AA01, chlorpromazine, The serum concentration of Chlorpromazine can be increased when it is combined with Imatinib.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Imatinib.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Imatinib.]
[M03BB03, chlorzoxazone, The serum concentration of Chlorzoxazone can be increased when it is combined with Imatinib.]
[A11CC05, cholecalciferol, The metabolism of Imatinib can be decreased when combined with Cholecalciferol.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Imatinib.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Imatinib.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Imatinib.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Imatinib.]
[L01BB05, fludarabine, The therapeutic efficacy of Fludarabine can be decreased when used in combination with Imatinib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Imatinib.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Imatinib is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Imatinib can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Imatinib can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, Imatinib may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Imatinib.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Imatinib.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Imatinib.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Imatinib.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Imatinib.]
[S01JA01, fluorescein, Imatinib may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The serum concentration of Formoterol can be increased when it is combined with Imatinib.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Imatinib.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Imatinib.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Imatinib can be increased when it is combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Imatinib.]
[A02BA01, cimetidine, The metabolism of Imatinib can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be increased when it is combined with Imatinib.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Imatinib.]
[L01XX73, sotorasib, The serum concentration of Imatinib can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Imatinib.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Imatinib.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Imatinib.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Imatinib.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Imatinib is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Imatinib can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Imatinib.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Imatinib is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Imatinib is combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Imatinib is combined with Anifrolumab.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Imatinib.]
[H01AC09, lonapegsomatropin, The metabolism of Imatinib can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Imatinib is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clemastine is combined with Imatinib.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Imatinib.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Imatinib.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Imatinib.]
[N06AX25, St. John's wort extract, The metabolism of Imatinib can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Imatinib can be decreased when combined with Asciminib.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Imatinib is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Imatinib.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Imatinib.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Imatinib.]
[B06AX04, mitapivat, The metabolism of Imatinib can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Imatinib can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be increased when it is combined with Imatinib.]
[S01EA04, clonidine, The serum concentration of Clonidine can be increased when it is combined with Imatinib.]
[C01EB24, mavacamten, The serum concentration of Imatinib can be decreased when it is combined with Mavacamten.]
[J02AC06, oteseconazole, The serum concentration of Imatinib can be increased when it is combined with Oteseconazole.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Imatinib.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Imatinib is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Deucravacitinib.]
[A05BA08, glycyrrhizic acid, Imatinib may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[H01CC04, linzagolix, The serum concentration of Imatinib can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The serum concentration of Ondansetron can be increased when it is combined with Imatinib.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Imatinib.]
[N05AH02, clozapine, The serum concentration of Clozapine can be increased when it is combined with Imatinib.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Imatinib which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Imatinib can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Imatinib is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Imatinib can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The serum concentration of Codeine can be increased when it is combined with Imatinib.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Imatinib.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Imatinib is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Imatinib.]
[A10BX03, nateglinide, The serum concentration of Nateglinide can be increased when it is combined with Imatinib.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Imatinib is combined with Nelarabine.]
[J01FA15, telithromycin, The serum concentration of Imatinib can be increased when it is combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Imatinib.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Imatinib.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Imatinib.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Imatinib.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Imatinib.]
[N02CC05, almotriptan, The serum concentration of Almotriptan can be increased when it is combined with Imatinib.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Imatinib.]
[J02AC02, itraconazole, The serum concentration of Imatinib can be increased when it is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Imatinib.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Imatinib.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Imatinib.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Imatinib is combined with Antilymphocyte immunoglobulin (horse).]
[S01AA13, fusidic acid, The serum concentration of Fusidic acid can be increased when it is combined with Imatinib.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Imatinib.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Imatinib.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The serum concentration of Imatinib can be increased when it is combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Imatinib can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Imatinib.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Imatinib.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Imatinib.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Imatinib.]
[S01BA03, cortisone, The metabolism of Imatinib can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The serum concentration of Lofexidine can be increased when it is combined with Imatinib.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Imatinib.]
[R06AX13, loratadine, The metabolism of Imatinib can be decreased when combined with Loratadine.]
[C08CA11, manidipine, The metabolism of Imatinib can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Imatinib.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Imatinib is combined with Meprednisone.]
[R06AD07, mequitazine, The serum concentration of Mequitazine can be increased when it is combined with Imatinib.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Imatinib.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Imatinib.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Imatinib.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Melperone is combined with Imatinib.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Imatinib.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Imatinib.]
[L01AA01, cyclophosphamide, The serum concentration of Cyclophosphamide can be increased when it is combined with Imatinib.]
[N06AX07, minaprine, The serum concentration of Minaprine can be increased when it is combined with Imatinib.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be increased when it is combined with Imatinib.]
[N06AG02, moclobemide, The serum concentration of Moclobemide can be increased when it is combined with Imatinib.]
[N06BA07, modafinil, The metabolism of Imatinib can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Imatinib.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Imatinib.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Imatinib.]
[C03XA02, conivaptan, The serum concentration of Imatinib can be increased when it is combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Imatinib is combined with Cytarabine.]
[J05AF10, entecavir, The metabolism of Imatinib can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Imatinib.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Imatinib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Imatinib is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Imatinib is combined with Dactinomycin.]
[G03XA01, danazol, The serum concentration of Imatinib can be increased when it is combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Imatinib.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Imatinib is combined with Daunorubicin.]
[C02CC04, debrisoquin, The serum concentration of Debrisoquine can be increased when it is combined with Imatinib.]
[A04AD11, nabilone, The metabolism of Imatinib can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Imatinib.]
[C07AB12, nebivolol, The serum concentration of Nebivolol can be increased when it is combined with Imatinib.]
[N06AX06, nefazodone, The serum concentration of Imatinib can be increased when it is combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Imatinib can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Imatinib.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Imatinib.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Imatinib.]
[N06AB10, escitalopram, The serum concentration of Imatinib can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The serum concentration of Solifenacin can be increased when it is combined with Imatinib.]
[N06AA01, desipramine, The serum concentration of Desipramine can be increased when it is combined with Imatinib.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Imatinib.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Imatinib.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Imatinib.]
[N03AF02, oxcarbazepine, The metabolism of Imatinib can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Imatinib can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Imatinib can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The serum concentration of Dexfenfluramine can be increased when it is combined with Imatinib.]
