[P02BB01, trichlorfon, The therapeutic efficacy of Imipramine can be decreased when used in combination with Metrifonate.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Imipramine.]
[C09AA01, captopril, Imipramine may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Imipramine.]
[L02BB05, apalutamide, The serum concentration of Imipramine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Imipramine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Imipramine.]
[A03AA03, camylofine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The risk or severity of Cardiac Arrhythmia can be increased when Carbimazole is combined with Imipramine.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L03AB06, interferon alfa-n1, The metabolism of Imipramine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Imipramine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Imipramine.]
[B02BX08, avatrombopag, The serum concentration of Imipramine can be increased when it is combined with Avatrombopag.]
[L04AA37, baricitinib, Imipramine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Imipramine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Imipramine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01GB14, plazomicin, Imipramine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Imipramine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Imipramine.]
[L01XX62, ivosidenib, The metabolism of Imipramine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Imipramine.]
[A16AX14, migalastat, Imipramine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Imipramine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Imipramine can be increased when it is combined with Lusutrombopag.]
[J05AX24, tecovirimat, The metabolism of Imipramine can be decreased when combined with Tecovirimat.]
[L01EM04, duvelisib, The serum concentration of Imipramine can be increased when it is combined with Duvelisib.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Imipramine.]
[J01AA14, sarecycline, The serum concentration of Imipramine can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Imipramine can be increased when it is combined with Omadacycline.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A10BB06, carbutamide, Imipramine may decrease the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[D08AE05, chloroxylenol, Imipramine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Imipramine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Imipramine.]
[L01XK04, talazoparib, The serum concentration of Imipramine can be increased when it is combined with Talazoparib.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Imipramine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Imipramine.]
[L01ED05, lorlatinib, The serum concentration of Imipramine can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Imipramine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Imipramine.]
[L01EX12, larotrectinib, The serum concentration of Imipramine can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The therapeutic efficacy of Imipramine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Imipramine can be increased when it is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Imipramine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Imipramine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Imipramine.]
[C09AA08, cilazapril, Imipramine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Imipramine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[P02BX04, triclabendazole, The metabolism of Imipramine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Imipramine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Imipramine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Imipramine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Imipramine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01EN01, erdafitinib, The serum concentration of Imipramine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Imipramine can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Imipramine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C09CA06, candesartan, Imipramine may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Imipramine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Imipramine can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Imipramine can be increased when it is combined with Darolutamide.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Imipramine can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Imipramine.]
[L01EJ02, fedratinib, The serum concentration of Imipramine can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Entrectinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Imipramine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Imipramine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Imipramine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The serum concentration of Yohimbine can be increased when it is combined with Imipramine.]
[A10AE03, insulin, regular, pork, The metabolism of Imipramine can be increased when combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Imipramine.]
[J01XX09, daptomycin, The serum concentration of Imipramine can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Imipramine can be increased when it is combined with Trastuzumab emtansine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Imipramine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Imipramine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Imipramine.]
[N03AX25, cenobamate, The serum concentration of Imipramine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Imipramine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Imipramine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Imipramine can be increased when it is combined with Ubrogepant.]
[L01FX13, enfortumab vedotin, The serum concentration of Imipramine can be increased when it is combined with Enfortumab vedotin.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Imipramine.]
[S01XA12, dexpanthenol, Imipramine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Imipramine is combined with Dezocine.]
[N05CM21, lemborexant, The serum concentration of Imipramine can be decreased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The serum concentration of Imipramine can be increased when it is combined with Tazemetostat.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AX21, diacetylrhein, The metabolism of Imipramine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Imipramine can be increased when it is combined with Rimegepant.]
[S01AE06, gatifloxacin, The metabolism of Imipramine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Imipramine can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Imipramine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Imipramine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Imipramine.]
[R02AA03, dichlorobenzyl alcohol, Imipramine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Imipramine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Imipramine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Imipramine.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Rofecoxib.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Imipramine.]
[C01BD07, dronedarone, Dronedarone may increase the QTc-prolonging activities of Imipramine.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S03AA08, chloramphenicol, The metabolism of Imipramine can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Imipramine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C02AA06, methoserpidine, Imipramine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Imipramine.]
[A03AA08, dihexyverine, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Imipramine can be increased when it is combined with Capmatinib.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Imipramine is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Imipramine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Imipramine.]
[G04BD09, trospium, The metabolism of Imipramine can be decreased when combined with Trospium.]
[M01AC04, droxicam, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Droxicam.]
[L01EX19, ripretinib, The serum concentration of Imipramine can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Imipramine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Imipramine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C08CA17, levamlodipine, The risk or severity of hypotension can be increased when Imipramine is combined with Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Imipramine.]
[J05AX29, fostemsavir, The serum concentration of Imipramine can be increased when it is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Imipramine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01FX15, belantamab mafodotin, The serum concentration of Imipramine can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Imipramine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Imipramine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Imipramine.]
[L01EX23, pralsetinib, The serum concentration of Imipramine can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA06, chlorotrianisene, The serum concentration of Imipramine can be increased when it is combined with Chlorotrianisene.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Imipramine.]
[N05AA01, chlorpromazine, Imipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Imipramine may decrease the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Imipramine.]
[A11CC05, cholecalciferol, The metabolism of Imipramine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Ethenzamide.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Imipramine.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M01AB08, etodolac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Etofenamate.]
[B06AC06, berotralstat, The serum concentration of Imipramine can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Imipramine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Imipramine can be increased when it is combined with Relugolix.]
[M01AX25, chondroitin sulfates, Imipramine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Imipramine is combined with Naxitamab.]
[L04AD03, voclosporin, The serum concentration of Imipramine can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Imipramine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Imipramine is combined with Vericiguat.]
[L01EX21, tepotinib, The serum concentration of Imipramine can be increased when it is combined with Tepotinib.]
[L01EX25, umbralisib, The serum concentration of Imipramine can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The metabolism of Imipramine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N03AX10, felbamate, The metabolism of Imipramine can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Imipramine.]
[C01CA19, fenoldopam, Imipramine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Imipramine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Imipramine is combined with Finasteride.]
[J01DD15, cefdinir, Imipramine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Imipramine can be decreased when combined with Flumequine.]
[S02BA08, fluocinolone acetonide, Imipramine may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Imipramine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Imipramine.]
[A10AF01, insulin, regular, human, Imipramine may decrease the hypoglycemic activities of Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Imipramine.]
[L01EK03, tivozanib, The serum concentration of Imipramine can be increased when it is combined with Tivozanib.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Imipramine can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Imipramine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of Cardiac Arrhythmia can be increased when Follitropin is combined with Imipramine.]
[L01FX22, loncastuximab tesirine, The serum concentration of Imipramine can be increased when it is combined with Loncastuximab tesirine.]
[A02BA01, cimetidine, The metabolism of Imipramine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[V08CA04, gadoteridol, Imipramine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Imipramine.]
[J01MB06, cinoxacin, The metabolism of Imipramine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Imipramine can be increased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Imipramine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Imipramine.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Imipramine.]
[H01AC07, somapacitan, The metabolism of Imipramine can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The serum concentration of Imipramine can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Imipramine is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Imipramine.]
[H01AC09, lonapegsomatropin, The metabolism of Imipramine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Imipramine is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Imipramine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Imipramine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Imipramine can be increased when it is combined with Technetium Tc-99m sestamibi.]
[V09AX06, florbetaben f-18, Imipramine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The metabolism of Imipramine can be decreased when combined with Clemastine.]
[A10BB12, glimepiride, Imipramine may decrease the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Imipramine may decrease the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Imipramine.]
[J01FF01, clindamycin, Imipramine may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The serum concentration of Imipramine can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Imipramine can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Imipramine can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Imipramine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Imipramine.]
[J04BA01, clofazimine, The serum concentration of Imipramine can be increased when it is combined with Clofazimine.]
[B06AX04, mitapivat, The metabolism of Imipramine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01EJ03, pacritinib, The serum concentration of Imipramine can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Imipramine can be increased when it is combined with Clomifene.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Imipramine.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Imipramine.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Imipramine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[A10BX16, tirzepatide, Imipramine may decrease the hypoglycemic activities of Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Imipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Imipramine can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Imipramine.]
[M02AA08, felbinac, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Felbinac.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[L01XX77, adagrasib, The serum concentration of Imipramine can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Imipramine.]
[L01EN04, futibatinib, The serum concentration of Imipramine can be increased when it is combined with Futibatinib.]
[A10BX01, guar gum, Imipramine may decrease the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, The serum concentration of Imipramine can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Imipramine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[H01AC08, somatrogon, The metabolism of Imipramine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The metabolism of Imipramine can be decreased when combined with Cocaine.]
[C02KB01, metyrosine, Imipramine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Imipramine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal bleeding can be increased when Imipramine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Imipramine is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M04AC01, colchicine, The serum concentration of Imipramine can be increased when it is combined with Colchicine.]
[A03AB10, hexocyclium, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Imipramine is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Imipramine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Imipramine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Imipramine which could result in a higher serum level.]
[L04AA13, leflunomide, The serum concentration of Imipramine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
