[S02DA03, antipyrine, The metabolism of Pomalidomide can be decreased when combined with Antipyrine.]
[S01EC01, acetazolamide, The metabolism of Pomalidomide can be decreased when combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Pomalidomide.]
[V03AB37, idarucizumab, Pomalidomide may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Pomalidomide.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Pomalidomide.]
[J02AC05, isavuconazole, The serum concentration of Pomalidomide can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Pomalidomide can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Pomalidomide.]
[L01EE02, cobimetinib, The metabolism of Pomalidomide can be decreased when combined with Cobimetinib.]
[L01XG03, ixazomib, Pomalidomide may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, The serum concentration of Pomalidomide can be increased when it is combined with Selexipag.]
[M04AB05, lesinurad, The metabolism of Pomalidomide can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The serum concentration of Pomalidomide can be increased when it is combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Pomalidomide can be increased when it is combined with Grazoprevir.]
[N05CA05, aprobarbital, The metabolism of Pomalidomide can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Brivaracetam is combined with Pomalidomide.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ixekizumab.]
[L01XX52, venetoclax, The serum concentration of Pomalidomide can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Bromazepam is combined with Pomalidomide.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Pomalidomide.]
[A02AD05, aluminum magnesium silicate, Pomalidomide may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Alverine is combined with Pomalidomide.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Pomalidomide.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Amineptine is combined with Pomalidomide.]
[N05AX17, pimavanserin, The metabolism of Pomalidomide can be decreased when combined with Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Aniracetam is combined with Pomalidomide.]
[A05AA04, obeticholic acid, The risk or severity of adverse effects can be increased when Obeticholic acid is combined with Pomalidomide.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Bupivacaine.]
[N07BC01, buprenorphine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Pomalidomide.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Pomalidomide.]
[L01XX27, arsenic trioxide, The serum concentration of Pomalidomide can be increased when it is combined with Arsenic trioxide.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Pomalidomide.]
[S01GX07, azelastine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Pomalidomide can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Pomalidomide can be decreased when combined with Azithromycin.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Pomalidomide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Pomalidomide.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ocrelizumab.]
[A06AH05, naldemedine, Pomalidomide may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Pomalidomide may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Pomalidomide can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Beclamide.]
[N06BC01, caffeine, The metabolism of Pomalidomide can be decreased when combined with Caffeine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Oxybuprocaine.]
[D05AX03, calcitriol, The metabolism of Pomalidomide can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Pomalidomide may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Pomalidomide.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Pomalidomide.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Pomalidomide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Pomalidomide may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Pomalidomide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Pomalidomide can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Safinamide is combined with Pomalidomide.]
[L04AC14, sarilumab, The metabolism of Pomalidomide can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Pomalidomide may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, The serum concentration of Pomalidomide can be increased when it is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Pomalidomide can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Pomalidomide.]
[L01XX59, enasidenib, The serum concentration of Pomalidomide can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Pomalidomide can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Pomalidomide can be increased when it is combined with Inotuzumab ozogamicin.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Pomalidomide.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Pomalidomide.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Pomalidomide.]
[C07AB07, bisoprolol, The serum concentration of Pomalidomide can be increased when it is combined with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Pomalidomide can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N04AA11, bornaprine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Pomalidomide.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Pomalidomide.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Pomalidomide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Pomalidomide can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Pomalidomide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Pomalidomide can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Pomalidomide.]
[J05AX18, letermovir, The metabolism of Pomalidomide can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Butriptyline.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Vinylbital.]
[R06AX18, acrivastine, Pomalidomide may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The serum concentration of Pomalidomide can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Pomalidomide can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Pomalidomide.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Pomalidomide.]
[C07AG02, carvedilol, The serum concentration of Pomalidomide can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Pomalidomide can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Pomalidomide.]
[B02BX08, avatrombopag, The serum concentration of Pomalidomide can be increased when it is combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Pomalidomide.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01GB14, plazomicin, Pomalidomide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The serum concentration of Pomalidomide can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Pomalidomide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Pomalidomide can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Pomalidomide can be increased when it is combined with Lusutrombopag.]
[J05AX24, tecovirimat, The metabolism of Pomalidomide can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Pomalidomide can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The serum concentration of Pomalidomide can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Pomalidomide can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Pomalidomide can be increased when it is combined with Omadacycline.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Pomalidomide.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Pomalidomide may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[R03DA02, oxtriphylline, The metabolism of Pomalidomide can be decreased when combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Pomalidomide.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Pomalidomide.]
[R03BB08, revefenacin, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The serum concentration of Pomalidomide can be decreased when it is combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Pomalidomide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Pomalidomide.]
[L01EX12, larotrectinib, The serum concentration of Pomalidomide can be increased when it is combined with Larotrectinib.]
[L01EX13, gilteritinib, The metabolism of Pomalidomide can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The serum concentration of Pomalidomide can be increased when it is combined with Glasdegib.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ravulizumab.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Pomalidomide.]
[B01AC23, cilostazol, The metabolism of Pomalidomide can be decreased when combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Pomalidomide.]
[P02BX04, triclabendazole, The metabolism of Pomalidomide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Esketamine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Pomalidomide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Brexanolone.]
[L01EN01, erdafitinib, The serum concentration of Pomalidomide can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Pomalidomide can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Pomalidomide can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Pomalidomide.]
[L04AB01, etanercept, The metabolism of Pomalidomide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Pomalidomide can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Pomalidomide can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Pomalidomide can be increased when it is combined with Darolutamide.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pomalidomide.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Upadacitinib.]
[L01EJ02, fedratinib, The serum concentration of Pomalidomide can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Pomalidomide can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Pomalidomide can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pomalidomide can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Pomalidomide can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, The serum concentration of Pomalidomide can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pomalidomide.]
[A10AE03, insulin, regular, pork, The metabolism of Pomalidomide can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The serum concentration of Pomalidomide can be increased when it is combined with Daptomycin.]
[J01DB01, cephalexin, The metabolism of Pomalidomide can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Pomalidomide can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Pomalidomide can be increased when combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Pomalidomide.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Pomalidomide.]
[N02CC08, lasmiditan, The serum concentration of Pomalidomide can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Diroximel fumarate.]
[B06AX03, voxelotor, The serum concentration of Pomalidomide can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Pomalidomide can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Pomalidomide can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Pomalidomide may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Pomalidomide can be increased when it is combined with Ubrogepant.]
[L01FX13, enfortumab vedotin, The serum concentration of Pomalidomide can be increased when it is combined with Enfortumab vedotin.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Pomalidomide.]
[S01XA12, dexpanthenol, Pomalidomide may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Pomalidomide.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Pomalidomide can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Pomalidomide.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Pomalidomide.]
[M01AX21, diacetylrhein, The metabolism of Pomalidomide can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Pomalidomide can be increased when it is combined with Rimegepant.]
[J05AB16, remdesivir, The metabolism of Pomalidomide can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The metabolism of Pomalidomide can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Pomalidomide can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Pomalidomide can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pomalidomide.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Ozanimod.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Pomalidomide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Pomalidomide.]
[R02AA03, dichlorobenzyl alcohol, Pomalidomide may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Pomalidomide may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Pomalidomide.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Pomalidomide.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pomalidomide.]
[M01AH02, rofecoxib, The serum concentration of Pomalidomide can be increased when it is combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Pomalidomide can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Pomalidomide can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Pomalidomide can be increased when it is combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Pomalidomide.]
[J01FA13, dirithromycin, The metabolism of Pomalidomide can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Pomalidomide.]
[S03AA08, chloramphenicol, The metabolism of Pomalidomide can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Pomalidomide.]
[L01EH03, tucatinib, Tucatinib may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[A03AA08, dihexyverine, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Pomalidomide can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Pomalidomide can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Pomalidomide can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Pomalidomide.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Pomalidomide.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Pomalidomide.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Pomalidomide is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Pomalidomide.]
[R06AX22, ebastine, The metabolism of Pomalidomide can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, The serum concentration of Pomalidomide can be increased when it is combined with Fostemsavir.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Remimazolam.]
[N07XX04, sodium oxybate, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L01FX15, belantamab mafodotin, The serum concentration of Pomalidomide can be increased when it is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The serum concentration of Pomalidomide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Pomalidomide is combined with Oliceridine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[L01EX23, pralsetinib, The serum concentration of Pomalidomide can be increased when it is combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Pomalidomide.]
[N05AA01, chlorpromazine, The metabolism of Pomalidomide can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N05AF03, chlorprothixene, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Pomalidomide.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[N02BA03, choline salicylate, Pomalidomide may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Pomalidomide is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Pomalidomide.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Pomalidomide can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Pomalidomide can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Pomalidomide.]
[L02BX04, relugolix, The serum concentration of Pomalidomide can be increased when it is combined with Relugolix.]
[M01AX25, chondroitin sulfates, Pomalidomide may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The serum concentration of Pomalidomide can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Pomalidomide can be increased when it is combined with Abametapir.]
