[S02DA03, antipyrine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Antipyrine.]
[J01DD14, ceftibuten, Metolazone may increase the excretion rate of Ceftibuten which could result in a lower serum level and potentially a reduction in efficacy.]
[J01GB14, plazomicin, Metolazone may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Metolazone may increase the hypotensive activities of Celiprolol.]
[A16AX14, migalastat, Metolazone may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, Metolazone may increase the excretion rate of Stiripentol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01GX12, cetirizine, Metolazone may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Metolazone.]
[N01BA04, chloroprocaine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Chloroprocaine.]
[D08AE05, chloroxylenol, Metolazone may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA06, chlorphenoxamine, The serum concentration of Metolazone can be increased when it is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The therapeutic efficacy of Metolazone can be decreased when used in combination with Lornoxicam.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[R03BB08, revefenacin, The serum concentration of Metolazone can be increased when it is combined with Revefenacin.]
[L01AD01, carmustine, Metolazone may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Metolazone is combined with Prucalopride.]
[C09AA08, cilazapril, The risk or severity of hypotension can be increased when Metolazone is combined with Cilazapril.]
[B01AC23, cilostazol, Metolazone may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Metolazone.]
[S01ED05, carteolol, Carteolol may increase the hypotensive activities of Metolazone.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Metolazone.]
[N06BA14, solriamfetol, Metolazone may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA09, clobazam, Metolazone may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB14, cloprednol, Cloprednol may increase the hypokalemic activities of Metolazone.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Metolazone is combined with Castor oil.]
[V03AE07, calcium acetate, Metolazone may decrease the excretion rate of Calcium acetate which could result in a higher serum level.]
[C09CA06, candesartan, Metolazone may increase the hypotensive activities of Candesartan.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Metolazone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, Cortivazol may increase the hypokalemic activities of Metolazone.]
[J01DC04, cefaclor, Metolazone may increase the excretion rate of Cefaclor which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB05, cefadroxil, Metolazone may increase the excretion rate of Cefadroxil which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DC05, cefotetan, Metolazone may increase the excretion rate of Cefotetan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD02, ceftazidime, Metolazone may increase the excretion rate of Ceftazidime which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DD04, ceftriaxone, Metolazone may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[N07XX11, pitolisant, Metolazone may increase the excretion rate of Pitolisant which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Metolazone.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin pork.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Metolazone is combined with Dantron.]
[J01XX09, daptomycin, Metolazone may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, Metolazone may increase the excretion rate of Cephalexin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[J01DB09, cephradine, Metolazone may increase the excretion rate of Cefradine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB13, deflazacort, Deflazacort may increase the hypokalemic activities of Metolazone.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[M09AX08, golodirsen, Metolazone may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA12, dexpanthenol, The risk or severity of hypokalemia can be increased when Dexpanthenol is combined with Metolazone.]
[N02AX03, dezocine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Dezocine.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Metolazone.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Metolazone.]
[R02AA03, dichlorobenzyl alcohol, Metolazone may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Metolazone may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may decrease the antihypertensive activities of Metolazone.]
[M01AH02, rofecoxib, The therapeutic efficacy of Metolazone can be decreased when used in combination with Rofecoxib.]
[C08CA16, clevidipine, Metolazone may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, Dronedarone may decrease the antihypertensive activities of Metolazone.]
[C02AA06, methoserpidine, Metolazone may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The serum concentration of Metolazone can be increased when it is combined with Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Metolazone is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Metolazone.]
[D07XB03, fluprednidene, Fluprednidene may increase the hypokalemic activities of Metolazone.]
[G04BD09, trospium, The serum concentration of Metolazone can be increased when it is combined with Trospium.]
[M01AC04, droxicam, The therapeutic efficacy of Metolazone can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Metolazone may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Metolazone.]
[M02AA27, dexketoprofen, The risk or severity of adverse effects can be increased when Dexketoprofen is combined with Metolazone.]
[C08CA17, levamlodipine, Metolazone may increase the hypotensive activities of Levamlodipine.]
[N02AX07, oliceridine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Metolazone may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, Metolazone may increase the excretion rate of Chlorpromazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Metolazone.]
[N05AF03, chlorprothixene, The serum concentration of Metolazone can be increased when it is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Metolazone may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A11CC05, cholecalciferol, The risk or severity of hypokalemia can be increased when Cholecalciferol is combined with Metolazone.]
[N02BA07, ethenzamide, The therapeutic efficacy of Metolazone can be decreased when used in combination with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Metolazone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, Metolazone may increase the excretion rate of Choline salicylate which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB08, etodolac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Metolazone can be decreased when used in combination with Etofenamate.]
[M01AX25, chondroitin sulfates, Metolazone may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Metolazone.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Metolazone is combined with Vericiguat.]
[M01AE05, fenbufen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Metolazone may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Metolazone.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Metolazone.]
[J01DD15, cefdinir, Metolazone may increase the excretion rate of Cefdinir which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA03, flunisolide, Flunisolide may increase the hypokalemic activities of Metolazone.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may increase the hypokalemic activities of Metolazone.]
[N02BG07, flupirtine, Metolazone may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, Formoterol may decrease the antihypertensive activities of Metolazone.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin human.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Metolazone.]
[H04AA02, dasiglucagon, Metolazone may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, Metolazone may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA04, gadoteridol, Metolazone may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[S03AA07, ciprofloxacin, Metolazone may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA01, cisplatin, Metolazone may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of hyponatremia can be increased when Citalopram is combined with Metolazone.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Metolazone may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Metolazone may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX06, florbetaben f-18, Metolazone may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Metolazone can be decreased when used in combination with Mefenamic acid.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Metolazone.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Metolazone.]
[R03CC13, clenbuterol, Clenbuterol may decrease the antihypertensive activities of Metolazone.]
[A12AA02, calcium glubionate, Metolazone may decrease the excretion rate of Calcium glubionate anhydrous which could result in a higher serum level.]
[N01BB10, levobupivacaine, Metolazone may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA04, clomipramine, Metolazone may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Metolazone may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Metolazone.]
[J05AH02, oseltamivir, Metolazone may increase the excretion rate of Oseltamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Metolazone.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, Metolazone may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Metolazone.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Metolazone.]
[J01GB12, arbekacin, Metolazone may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The serum concentration of Metolazone can be increased when it is combined with Cocaine.]
[C02KB01, metyrosine, Metolazone may increase the hypotensive activities of Metyrosine.]
[M01AX13, proquazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Codeine.]
[M03AC05, hexafluorenium, The serum concentration of Metolazone can be increased when it is combined with Hexafluronium.]
[M04AC01, colchicine, Metolazone may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Metolazone resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AB10, hexocyclium, The serum concentration of Metolazone can be increased when it is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The serum concentration of Metolazone can be increased when it is combined with Homatropine methylbromide.]
[J01XB01, colistin, Metolazone may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Metolazone.]
[A04AA03, tropisetron, Metolazone may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Metolazone.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Metolazone.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Metolazone can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Metolazone.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Metolazone is combined with Insulin glargine.]
[R03BA08, ciclesonide, Ciclesonide may increase the hypokalemic activities of Metolazone.]
[B01AC10, indobufen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Indobufen.]
[R06AX27, desloratadine, The serum concentration of Metolazone can be increased when it is combined with Desloratadine.]
[J05AB14, valganciclovir, Metolazone may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Metolazone may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Metolazone may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Metolazone may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Metolazone may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Metolazone may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The therapeutic efficacy of Metolazone can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Metolazone is combined with Lanatoside C.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Metolazone.]
[N02CC05, almotriptan, Metolazone may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The therapeutic efficacy of Metolazone can be decreased when used in combination with Parecoxib.]
[S01AD03, acyclovir, Metolazone may increase the excretion rate of Acyclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA10, ketazolam, Metolazone may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AA06, kebuzone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Kebuzone.]
[S01EE04, travoprost, Travoprost may increase the hypotensive activities of Metolazone.]
[S01EE03, bimatoprost, Metolazone may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Metolazone may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Metolazone is combined with Lactitol.]
[N03AX09, lamotrigine, Metolazone may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA03, cortisone, Cortisone may increase the hypokalemic activities of Metolazone.]
[N07BC04, lofexidine, Metolazone may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB09, lonazolac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Lonazolac.]
[M02AA31, loxoprofen, The therapeutic efficacy of Metolazone can be decreased when used in combination with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of hypotension can be increased when Metolazone is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Metolazone is combined with Magnesium carbonate.]
[C08CA11, manidipine, Metolazone may increase the hypotensive activities of Manidipine.]
[A03AA04, mebeverine, The serum concentration of Metolazone can be increased when it is combined with Mebeverine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Metolazone.]
[H02AB15, meprednisone, Meprednisone may increase the hypokalemic activities of Metolazone.]
[J01DH02, meropenem, Metolazone may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[N04AA03, methixene, The serum concentration of Metolazone can be increased when it is combined with Metixene.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Metolazone.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Metolazone may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Metolazone can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Metolazone.]
[J05AF07, tenofovir disoproxil, Metolazone may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA01, cyclophosphamide, The risk or severity of granulocytopenia can be increased when Metolazone is combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Metolazone.]
[S01XA18, cyclosporine, The risk or severity of renal failure can be increased when Metolazone is combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Metolazone.]
[R06AX02, cyproheptadine, The serum concentration of Metolazone can be increased when it is combined with Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of hypotension can be increased when Metolazone is combined with Moexipril.]
[M02AA02, mofebutazone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Metolazone can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Metolazone.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Metolazone.]
[M01AH05, etoricoxib, The therapeutic efficacy of Metolazone can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Metolazone may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02CC04, debrisoquin, Metolazone may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Nabilone is combined with Metolazone.]
[M01AX01, nabumetone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Metolazone may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Metolazone is combined with Potassium lactate.]
[C07AB12, nebivolol, Metolazone may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Metolazone may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, The risk or severity of hyponatremia can be increased when Nefazodone is combined with Metolazone.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Metolazone.]
[L02BB02, nilutamide, Metolazone may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Metolazone.]
[M03AC11, cisatracurium, The serum concentration of Metolazone can be increased when it is combined with Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Metolazone.]
[R05DA06, normethadone, The therapeutic efficacy of Metolazone can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Metolazone may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AB10, escitalopram, The risk or severity of hyponatremia can be increased when Escitalopram is combined with Metolazone.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Metolazone.]
[A07EC03, olsalazine, The therapeutic efficacy of Metolazone can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, Metolazone may increase the excretion rate of Desipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Metolazone is combined with Deslanoside.]
[H01BA02, desmopressin, Metolazone may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC02, desoximetasone, Desoximetasone may increase the hypokalemic activities of Metolazone.]
[V04CH02, indigo carmine, Metolazone may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, Desoxycortone may increase the hypokalemic activities of Metolazone.]
[J01DH03, ertapenem, Metolazone may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, Metolazone may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Metolazone can be decreased when used in combination with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of hyponatremia can be increased when Metolazone is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, Dexamethasone may increase the hypokalemic activities of Metolazone.]
[N04AA08, dexetimide, The serum concentration of Metolazone can be increased when it is combined with Dexetimide.]
[G04BD04, oxybutynin, The serum concentration of Metolazone can be increased when it is combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The serum concentration of Metolazone can be increased when it is combined with Oxyphencyclimine.]
[N06BA02, dextroamphetamine, Metolazone may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA09, dextromethorphan, The serum concentration of Metolazone can be increased when it is combined with Dextromethorphan.]
[N02AC01, dextromoramide, The therapeutic efficacy of Metolazone can be decreased when used in combination with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Metolazone.]
[N07BC06, heroin, The therapeutic efficacy of Metolazone can be decreased when used in combination with Diamorphine.]
[P03AC04, permethrin, Metolazone may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Metolazone may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Metolazone.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Metolazone.]
[R05DA08, pholcodine, Metolazone may increase the excretion rate of Pholcodine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The therapeutic efficacy of Metolazone can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Metolazone which could result in a higher serum level.]
[A03AA07, dicyclomine, Metolazone may increase the excretion rate of Dicyclomine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF02, didanosine, Metolazone may increase the excretion rate of Didanosine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02DG01, pinacidil, Metolazone may increase the hypotensive activities of Pinacidil.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Metolazone.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Metolazone is combined with Pipamperone.]
[A03AB14, pipenzolate, The serum concentration of Metolazone can be increased when it is combined with Pipenzolate.]
[R03CC07, pirbuterol, Pirbuterol may decrease the antihypertensive activities of Metolazone.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Metolazone which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, Diethylpropion may decrease the antihypertensive activities of Metolazone.]
[C08CA03, isradipine, Metolazone may increase the excretion rate of Isradipine which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC04, diflucortolone, Difluocortolone may increase the hypokalemic activities of Metolazone.]
[A03AB11, poldine, The serum concentration of Metolazone can be increased when it is combined with Poldine.]
[N02BA11, diflunisal, The therapeutic efficacy of Metolazone can be decreased when used in combination with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of adverse effects can be increased when Metolazone is combined with Digitoxin.]
[C01AA05, digoxin, Metolazone may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Metolazone may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may decrease the antihypertensive activities of Metolazone.]
[N02CA01, dihydroergotamine, Dihydroergotamine may decrease the antihypertensive activities of Metolazone.]
[N02AA03, hydromorphone, Metolazone may increase the excretion rate of Hydromorphone which could result in a lower serum level and potentially a reduction in efficacy.]
