[S02DA03, antipyrine, The serum concentration of Antipyrine can be increased when it is combined with Ranolazine.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Ranolazine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Ranolazine can be increased when combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Ranolazine.]
[J05AX18, letermovir, The serum concentration of Letermovir can be increased when it is combined with Ranolazine.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Ranolazine.]
[A10BK04, ertugliflozin, The serum concentration of Ertugliflozin can be increased when it is combined with Ranolazine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Ranolazine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Ranolazine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Ranolazine can be increased when combined with Carbamazepine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The serum concentration of Ranolazine can be increased when it is combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Ranolazine can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Avatrombopag can be increased when it is combined with Ranolazine.]
[L04AA37, baricitinib, The excretion of Baricitinib can be decreased when combined with Ranolazine.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EC03, encorafenib, The serum concentration of Encorafenib can be increased when it is combined with Ranolazine.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Ranolazine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01GB14, plazomicin, Ranolazine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Ranolazine.]
[H01CC03, elagolix, The serum concentration of Ranolazine can be increased when it is combined with Elagolix.]
[L01XX62, ivosidenib, The metabolism of Ranolazine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The serum concentration of Tafenoquine can be increased when it is combined with Ranolazine.]
[A16AX14, migalastat, Ranolazine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Ranolazine can be decreased when combined with Stiripentol.]
[B02BX07, lusutrombopag, The serum concentration of Lusutrombopag can be increased when it is combined with Ranolazine.]
[J05AX24, tecovirimat, The metabolism of Ranolazine can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The serum concentration of Duvelisib can be increased when it is combined with Ranolazine.]
[L01EB07, dacomitinib, The serum concentration of Ranolazine can be increased when it is combined with Dacomitinib.]
[J01AA14, sarecycline, The serum concentration of Ranolazine can be increased when it is combined with Sarecycline.]
[J01AA15, omadacycline, The serum concentration of Omadacycline can be increased when it is combined with Ranolazine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Ranolazine.]
[D08AE05, chloroxylenol, Ranolazine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Ranolazine.]
[L01XK04, talazoparib, The serum concentration of Talazoparib can be increased when it is combined with Ranolazine.]
[R03BB08, revefenacin, The serum concentration of Revefenacin can be increased when it is combined with Ranolazine.]
[L01ED05, lorlatinib, The metabolism of Ranolazine can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Ranolazine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Ranolazine may decrease the excretion rate of Carmustine which could result in a higher serum level.]
[L01EX12, larotrectinib, The serum concentration of Larotrectinib can be increased when it is combined with Ranolazine.]
[L01EX13, gilteritinib, The serum concentration of Gilteritinib can be increased when it is combined with Ranolazine.]
[L01XJ03, glasdegib, The serum concentration of Ranolazine can be increased when it is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Amifampridine.]
[A06AX05, prucalopride, The serum concentration of Prucalopride can be increased when it is combined with Ranolazine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Ranolazine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Ranolazine.]
[S01ED05, carteolol, The serum concentration of Carteolol can be increased when it is combined with Ranolazine.]
[P02BX04, triclabendazole, The serum concentration of Triclabendazole can be increased when it is combined with Ranolazine.]
[N06AX27, esketamine, The metabolism of Ranolazine can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Ranolazine.]
[J01FA09, clarithromycin, The metabolism of Ranolazine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Ranolazine.]
[L01EN01, erdafitinib, The serum concentration of Ranolazine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, The metabolism of Ranolazine can be increased when combined with Clobazam.]
[L04AB01, etanercept, The metabolism of Ranolazine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Ranolazine can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, Ranolazine may decrease the excretion rate of Cefaclor which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Ranolazine.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Ranolazine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EJ02, fedratinib, The serum concentration of Ranolazine can be increased when it is combined with Fedratinib.]
[L01EX14, entrectinib, The serum concentration of Ranolazine can be increased when it is combined with Entrectinib.]
[N07XX11, pitolisant, The metabolism of Ranolazine can be increased when combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Ranolazine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Ranolazine.]
[N04CX01, istradefylline, The serum concentration of Ranolazine can be increased when it is combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The serum concentration of Yohimbine can be increased when it is combined with Ranolazine.]
[J01XX09, daptomycin, The serum concentration of Daptomycin can be increased when it is combined with Ranolazine.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Ranolazine can be increased when combined with Cefradine.]
[L01FD03, ado-trastuzumab emtansine, The serum concentration of Trastuzumab emtansine can be increased when it is combined with Ranolazine.]
[N02CC08, lasmiditan, The serum concentration of Ranolazine can be increased when it is combined with Lasmiditan.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Ranolazine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Ranolazine.]
[N03AX25, cenobamate, The metabolism of Ranolazine can be increased when combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Ranolazine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Ranolazine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Ranolazine.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Ranolazine.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Ranolazine.]
[R06AB02, dexchlorpheniramine, The serum concentration of Dexchlorpheniramine can be increased when it is combined with Ranolazine.]
[S01XA12, dexpanthenol, Ranolazine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Ranolazine.]
[L01XX72, tazemetostat, The serum concentration of Tazemetostat can be increased when it is combined with Ranolazine.]
[M01AX21, diacetylrhein, The metabolism of Ranolazine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Ranolazine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ranolazine.]
[H02CA02, osilodrostat, The metabolism of Ranolazine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Ranolazine can be decreased when combined with Amprenavir.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Ranolazine.]
[R02AA03, dichlorobenzyl alcohol, Ranolazine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Ranolazine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02AA08, dihydrocodeine, The serum concentration of Dihydrocodeine can be increased when it is combined with Ranolazine.]
[N02CC06, eletriptan, The serum concentration of Eletriptan can be increased when it is combined with Ranolazine.]
[M01AH02, rofecoxib, The metabolism of Ranolazine can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Ranolazine can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Ranolazine can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Ranolazine can be increased when it is combined with Dronedarone.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Ranolazine.]
[L01EH03, tucatinib, The serum concentration of Ranolazine can be increased when it is combined with Tucatinib.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Ranolazine.]
[G04BD09, trospium, The metabolism of Ranolazine can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Ranolazine can be increased when it is combined with Ripretinib.]
[V08CA05, mangafodipir, Ranolazine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Ranolazine.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Ranolazine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Ranolazine.]
[J05AX29, fostemsavir, The serum concentration of Fostemsavir can be increased when it is combined with Ranolazine.]
[P01BB01, proguanil, The metabolism of Ranolazine can be decreased when combined with Proguanil.]
[L01FX15, belantamab mafodotin, The serum concentration of Belantamab mafodotin can be increased when it is combined with Ranolazine.]
[L04AC19, satralizumab, The serum concentration of Ranolazine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Ranolazine.]
[P01BA01, chloroquine, The serum concentration of Chloroquine can be increased when it is combined with Ranolazine.]
[L01EX23, pralsetinib, The metabolism of Ranolazine can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[D01AE07, chlorphenesin, The metabolism of Ranolazine can be increased when combined with Chlorphenesin.]
[R06AB04, chlorpheniramine, The serum concentration of Chlorpheniramine can be increased when it is combined with Ranolazine.]
[N05AA01, chlorpromazine, The metabolism of Ranolazine can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Ranolazine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Ranolazine.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The serum concentration of Chlorzoxazone can be increased when it is combined with Ranolazine.]
[A11CC05, cholecalciferol, The metabolism of Ranolazine can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Ranolazine.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Ranolazine.]
[A16AX20, lonafarnib, The metabolism of Ranolazine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The serum concentration of Relugolix can be increased when it is combined with Ranolazine.]
[M01AX25, chondroitin sulfates, Ranolazine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The serum concentration of Ranolazine can be increased when it is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Ranolazine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Ranolazine.]
[L01EX25, umbralisib, The serum concentration of Ranolazine can be increased when it is combined with Umbralisib.]
[V03AF12, trilaciclib, The serum concentration of Trilaciclib can be increased when it is combined with Ranolazine.]
[N03AX10, felbamate, The metabolism of Ranolazine can be increased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C01CA19, fenoldopam, Ranolazine may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[J01DD15, cefdinir, Ranolazine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Ranolazine.]
[R03BA03, flunisolide, The metabolism of Ranolazine can be increased when combined with Flunisolide.]
[S01JA01, fluorescein, Ranolazine may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[N02BG07, flupirtine, Ranolazine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The serum concentration of Formoterol can be increased when it is combined with Ranolazine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Ranolazine.]
[L01EK03, tivozanib, The serum concentration of Tivozanib can be increased when it is combined with Ranolazine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Ranolazine can be decreased when combined with Peginterferon alfa-2b.]
[L01FX22, loncastuximab tesirine, The serum concentration of Loncastuximab tesirine can be increased when it is combined with Ranolazine.]
[A02BA01, cimetidine, The metabolism of Ranolazine can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Ranolazine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The serum concentration of Cinnarizine can be increased when it is combined with Ranolazine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Ranolazine can be increased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Ranolazine.]
[S03AA07, ciprofloxacin, The metabolism of Ranolazine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Ranolazine.]
[N06AB04, citalopram, The serum concentration of Citalopram can be increased when it is combined with Ranolazine.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Ranolazine.]
[L04AA48, belumosudil, The serum concentration of Ranolazine can be increased when it is combined with Belumosudil.]
[P01CA03, fexinidazole, The serum concentration of Fexinidazole can be increased when it is combined with Ranolazine.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Ranolazine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09GA01, technetium Tc 99m sestamibi, The serum concentration of Technetium Tc-99m sestamibi can be increased when it is combined with Ranolazine.]
[V09AA01, technetium Tc 99m exametazime, Ranolazine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ranolazine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Clemastine.]
[A10BB12, glimepiride, Glimepiride may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Ranolazine.]
[N06AX25, St. John's wort extract, The serum concentration of Ranolazine can be decreased when it is combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Ranolazine can be increased when it is combined with Asciminib.]
[J05AX10, maribavir, The serum concentration of Ranolazine can be increased when it is combined with Maribavir.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Ranolazine can be decreased when combined with Ropeginterferon alfa-2b.]
[D07AD01, clobetasol, The metabolism of Ranolazine can be increased when combined with Clobetasol.]
[D11AH08, abrocitinib, The serum concentration of Ranolazine can be increased when it is combined with Abrocitinib.]
[J04BA01, clofazimine, The serum concentration of Ranolazine can be increased when it is combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Ranolazine can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Ranolazine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Ranolazine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Ranolazine can be increased when it is combined with Pacritinib.]
[G03GB02, clomiphene, The serum concentration of Clomifene can be increased when it is combined with Ranolazine.]
[N06AA04, clomipramine, The serum concentration of Clomipramine can be increased when it is combined with Ranolazine.]
[N03AE01, clonazepam, Ranolazine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The serum concentration of Clonidine can be increased when it is combined with Ranolazine.]
[C01EB24, mavacamten, The serum concentration of Ranolazine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A05BA08, glycyrrhizic acid, Ranolazine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The serum concentration of Ondansetron can be increased when it is combined with Ranolazine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Ranolazine can be increased when combined with Clozapine.]
[L01EN04, futibatinib, The serum concentration of Futibatinib can be increased when it is combined with Ranolazine.]
[A10BK06, sotagliflozin, The serum concentration of Ranolazine can be increased when it is combined with Sotagliflozin.]
[J01GB12, arbekacin, Ranolazine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Ranolazine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Ranolazine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[R05DA04, codeine, The serum concentration of Codeine can be increased when it is combined with Ranolazine.]
[M04AC01, colchicine, The serum concentration of Colchicine can be increased when it is combined with Ranolazine.]
[J01XB01, colistin, Ranolazine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Ranolazine.]
[A04AA03, tropisetron, Ranolazine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The serum concentration of Nateglinide can be increased when it is combined with Ranolazine.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Ranolazine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Ranolazine.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Desloratadine.]
[J05AB14, valganciclovir, Ranolazine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Emtricitabine can be decreased when combined with Ranolazine.]
[C05BB03, invert sugar, Ranolazine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ranolazine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ranolazine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ranolazine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ranolazine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[H01AX01, pegvisomant, The metabolism of Ranolazine can be increased when combined with Pegvisomant.]
[N02CC05, almotriptan, The serum concentration of Almotriptan can be increased when it is combined with Ranolazine.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Ranolazine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The excretion of Acyclovir can be decreased when combined with Ranolazine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Emedastine.]
[N05BA10, ketazolam, Ranolazine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Imatinib can be increased when it is combined with Ranolazine.]
[J02AC04, posaconazole, The metabolism of Ranolazine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Ranolazine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Ranolazine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Ranolazine.]
[N07BC04, lofexidine, The serum concentration of Lofexidine can be increased when it is combined with Ranolazine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[R06AX13, loratadine, Ranolazine may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[C09AA03, lisinopril, Ranolazine may decrease the excretion rate of Lisinopril which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Ranolazine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Ranolazine can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The serum concentration of Mepindolol can be increased when it is combined with Ranolazine.]
[R06AD07, mequitazine, The serum concentration of Mequitazine can be increased when it is combined with Ranolazine.]
[J01DH02, meropenem, Ranolazine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Ranolazine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Ranolazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, The serum concentration of Tenofovir disoproxil can be increased when it is combined with Ranolazine.]
[L01AA01, cyclophosphamide, The metabolism of Ranolazine can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The serum concentration of Minaprine can be increased when it is combined with Ranolazine.]
[S01XA18, cyclosporine, The serum concentration of Ranolazine can be increased when it is combined with Cyclosporine.]
[N06AG02, moclobemide, The serum concentration of Moclobemide can be increased when it is combined with Ranolazine.]
[N06BA07, modafinil, The metabolism of Ranolazine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Ranolazine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Ranolazine.]
[C10AA07, rosuvastatin, Ranolazine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
