[P02BB01, trichlorfon, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Metrifonate.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Paroxetine.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Butriptyline is combined with Paroxetine.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Semaglutide.]
[N01BX04, capsaicin, The metabolism of Paroxetine can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vinylbital is combined with Paroxetine.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Paroxetine.]
[L02BB05, apalutamide, The serum concentration of Paroxetine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Paroxetine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Paroxetine.]
[A03AA03, camylofine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The therapeutic efficacy of Carbimazole can be decreased when used in combination with Paroxetine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Paroxetine.]
[L03AB06, interferon alfa-n1, The metabolism of Paroxetine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Paroxetine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Paroxetine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Paroxetine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Paroxetine.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Paroxetine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Paroxetine.]
[L01XX62, ivosidenib, The metabolism of Paroxetine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Paroxetine.]
[N03AX17, stiripentol, The metabolism of Paroxetine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Paroxetine can be decreased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Paroxetine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Paroxetine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Carbromal is combined with Paroxetine.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Paroxetine.]
[R06AA06, chlorphenoxamine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Paroxetine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Paroxetine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Paroxetine.]
[L04AA39, emapalumab, The metabolism of Paroxetine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Paroxetine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Gilteritinib.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Paroxetine.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Cibenzoline.]
[B01AX07, caplacizumab, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Caplacizumab.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Paroxetine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Paroxetine.]
[P02BX04, triclabendazole, The metabolism of Paroxetine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Paroxetine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Paroxetine.]
[J01FA09, clarithromycin, The metabolism of Paroxetine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Paroxetine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Brexanolone is combined with Paroxetine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Paroxetine.]
[N05BA09, clobazam, The metabolism of Paroxetine can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Paroxetine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Paroxetine.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Paroxetine.]
[L04AB01, etanercept, The metabolism of Paroxetine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Paroxetine can be decreased when combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Cyamemazine is combined with Paroxetine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Paroxetine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Paroxetine.]
[N07XX11, pitolisant, The serum concentration of Pitolisant can be increased when it is combined with Paroxetine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Paroxetine.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Paroxetine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Paroxetine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Paroxetine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Paroxetine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Paroxetine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Paroxetine.]
[N03AX25, cenobamate, The serum concentration of Paroxetine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Paroxetine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Paroxetine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Paroxetine.]
[N02AX03, dezocine, The risk or severity of serotonin syndrome can be increased when Dezocine is combined with Paroxetine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Paroxetine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be increased when it is combined with Paroxetine.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Paroxetine.]
[M01AX21, diacetylrhein, The metabolism of Paroxetine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Paroxetine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Paroxetine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of Paroxetine can be decreased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Paroxetine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Paroxetine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Paroxetine.]
[N02AA08, dihydrocodeine, The risk or severity of serotonin syndrome can be increased when Dihydrocodeine is combined with Paroxetine.]
[N02CC06, eletriptan, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Paroxetine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Paroxetine.]
[C01BD07, dronedarone, The metabolism of Paroxetine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Paroxetine.]
[S03AA08, chloramphenicol, The metabolism of Paroxetine can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Paroxetine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Paroxetine.]
[A03AA08, dihexyverine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be increased when it is combined with Paroxetine.]
[C01CA14, dopexamine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Dopexamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Paroxetine.]
[G04BD09, trospium, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Droxicam.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Paroxetine.]
[B01AE02, lepirudin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Paroxetine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Paroxetine.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Paroxetine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Paroxetine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Paroxetine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Remimazolam is combined with Paroxetine.]
[L04AC19, satralizumab, The serum concentration of Paroxetine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Paroxetine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Paroxetine can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Paroxetine.]
[N05AA01, chlorpromazine, The metabolism of Paroxetine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of adverse effects can be increased when Chlorprothixene is combined with Paroxetine.]
[C03BA04, chlorthalidone, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Paroxetine.]
[A11CC05, cholecalciferol, The metabolism of Paroxetine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Etifoxine is combined with Paroxetine.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vinpocetine is combined with Paroxetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Paroxetine.]
[M01AB08, etodolac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Paroxetine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Paroxetine.]
[P03AX07, abametapir, The serum concentration of Paroxetine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Paroxetine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Febarbamate is combined with Paroxetine.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Paroxetine.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Paroxetine.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Fenozolone.]
[J01MB07, flumequine, The metabolism of Paroxetine can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Paroxetine.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Paroxetine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Paroxetine can be increased when it is combined with Peginterferon alfa-2b.]
[G03GA06, follitropin beta, The therapeutic efficacy of Follitropin can be decreased when used in combination with Paroxetine.]
[A02BA01, cimetidine, The serum concentration of Paroxetine can be increased when it is combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Paroxetine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Paroxetine.]
[J01MB06, cinoxacin, The metabolism of Paroxetine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Paroxetine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Paroxetine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Paroxetine.]
[H01AC07, somapacitan, The metabolism of Paroxetine can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Paroxetine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Paroxetine.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Paroxetine.]
[H01AC09, lonapegsomatropin, The metabolism of Paroxetine can be increased when combined with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Paroxetine may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Paroxetine.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Glimepiride.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Paroxetine.]
[N06AX25, St. John's wort extract, The metabolism of Paroxetine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Paroxetine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Paroxetine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Paroxetine.]
[B01AD11, tenecteplase, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Tenecteplase.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Paroxetine.]
[L01EJ03, pacritinib, The metabolism of Paroxetine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Paroxetine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Paroxetine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Paroxetine.]
[C01EB24, mavacamten, The serum concentration of Paroxetine can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Tirzepatide.]
[A02BC08, vonoprazan, The metabolism of Paroxetine can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Clothiapine is combined with Paroxetine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Paroxetine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Paroxetine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Paroxetine.]
[N05AH02, clozapine, The metabolism of Paroxetine can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Sotagliflozin.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Paroxetine.]
[H01AC08, somatrogon, The metabolism of Paroxetine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, The risk or severity of extrapyramidal symptoms can be increased when Metyrosine is combined with Paroxetine.]
[L04AC21, bimekizumab, The metabolism of Paroxetine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of serotonin syndrome can be increased when Codeine is combined with Paroxetine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Paroxetine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Paroxetine.]
[A03AB10, hexocyclium, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Paroxetine is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Desflurane is combined with Paroxetine.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Tropisetron is combined with Paroxetine.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Ifenprodil is combined with Paroxetine.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Paroxetine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Insulin glargine.]
[J01FA15, telithromycin, The metabolism of Paroxetine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Paroxetine.]
[B01AC10, indobufen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Paroxetine.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Paroxetine can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Bemiparin.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Paroxetine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Ketazolam is combined with Paroxetine.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Paroxetine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Paroxetine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Paroxetine can be decreased when combined with Esomeprazole.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Paroxetine.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Paroxetine.]
[S01GX02, levocabastine, The risk or severity of adverse effects can be increased when Levocabastine is combined with Paroxetine.]
[N07BC04, lofexidine, The therapeutic efficacy of Paroxetine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Paroxetine.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Lonazolac.]
[R06AX13, loratadine, Paroxetine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Lormetazepam is combined with Paroxetine.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Loxoprofen.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Paroxetine.]
[C08CA11, manidipine, The metabolism of Paroxetine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Medifoxamine is combined with Paroxetine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Paroxetine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Paroxetine.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Paroxetine.]
[N04AA03, methixene, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Cyclizine is combined with Paroxetine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Cyclobarbital is combined with Paroxetine.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Melperone is combined with Paroxetine.]
[C03AA07, cyclopenthiazide, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Cyclopenthiazide.]
[A10BF02, miglitol, The risk or severity of hypoglycemia can be increased when Paroxetine is combined with Miglitol.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Paroxetine is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Paroxetine.]
[N06AX07, minaprine, Minaprine may increase the serotonergic activities of Paroxetine.]
[S01XA18, cyclosporine, The metabolism of Paroxetine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic activities of Paroxetine.]
[N06BA07, modafinil, The metabolism of Paroxetine can be decreased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Paroxetine.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Paroxetine can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Moxonidine.]
[J05AF10, entecavir, The metabolism of Paroxetine can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Paroxetine.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Paroxetine.]
[G03XA01, danazol, The metabolism of Paroxetine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dantrolene is combined with Paroxetine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Paroxetine.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Deanol is combined with Paroxetine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Paroxetine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Paroxetine.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Nordazepam is combined with Paroxetine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Paroxetine.]
[N06AX06, nefazodone, The metabolism of Paroxetine can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Niaprazine is combined with Paroxetine.]
[L02BB02, nilutamide, The metabolism of Paroxetine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Paroxetine.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Paroxetine.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Paroxetine.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Normethadone is combined with Paroxetine.]
[B01AX05, fondaparinux, The risk or severity of hemorrhage can be increased when Paroxetine is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Paroxetine.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Paroxetine can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Paroxetine is combined with Desmopressin.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Paroxetine.]
[S03BA01, dexamethasone, The metabolism of Paroxetine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Oxiracetam is combined with Paroxetine.]
[N04AA08, dexetimide, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Paroxetine.]
[A03AA01, oxyphencyclimine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
