[P02BB01, trichlorfon, The therapeutic efficacy of Trospium can be decreased when used in combination with Metrifonate.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03AA07, cyclopenthiazide, The serum concentration of Cyclopenthiazide can be increased when it is combined with Trospium.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Trospium is combined with Cyclopentolate.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Trospium is combined with Moxonidine.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Trospium.]
[A04AD11, nabilone, The risk or severity of Tachycardia and drowsiness can be increased when Trospium is combined with Nabilone.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Trospium.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Trospium is combined with Normethadone.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Trospium is combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Trospium.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Trospium is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Trospium is combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Trospium.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Trospium is combined with Oxyphencyclimine.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Trospium.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Trospium.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Trospium is combined with Dextromoramide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Trospium is combined with Diamorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Trospium is combined with Dicyclomine.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Trospium is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Trospium.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Trospium can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Trospium is combined with Poldine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Trospium is combined with Hydromorphone.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Trospium.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Trospium is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Procaterol.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Trospium is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Trospium is combined with Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Trospium can be decreased when used in combination with Distigmine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Trospium.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be decreased when combined with Trospium.]
[R03AC12, salmeterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Trospium.]
[C01CA04, dopamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Trospium.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Trospium.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Trospium.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Trospium.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Trospium.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V04CX07, edrophonium, The therapeutic efficacy of Trospium can be decreased when used in combination with Edrophonium.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Trospium.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Trospium.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Trospium is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Trospium.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Trospium is combined with Topiramate.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Trospium is combined with Tramazoline.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Trospium is combined with Tridihexethyl.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Trospium is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01FB02, ephedrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of Tachycardia can be increased when Trospium is combined with Xylometazoline.]
[S01EA01, epinephrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Epinephrine.]
[N05CF02, zolpidem, Zolpidem may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Trospium.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Trospium is combined with Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Trospium is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Trospium is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A02BA04, nizatidine, The therapeutic efficacy of Trospium can be decreased when used in combination with Nizatidine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Trospium.]
[R06AX12, terfenadine, The risk or severity of adverse effects can be increased when Trospium is combined with Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AB08, fluvoxamine, Fluvoxamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Trospium.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Trospium is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Trospium is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Trospium is combined with Salbutamol.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Trospium.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Trospium is combined with Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Trospium.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[V03AZ01, ethanol, The risk or severity of drowsiness and CNS depression can be increased when Ethanol is combined with Trospium.]
[N06AB03, fluoxetine, Fluoxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AF01, flupenthixol, Flupentixol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Trospium is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CF04, eszopiclone, Eszopiclone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06DA04, galantamine, The therapeutic efficacy of Trospium can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Trospium is combined with Alfentanil.]
[H04AA01, glucagon, Trospium may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Trospium.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Trospium.]
[C07AB09, esmolol, The metabolism of Esmolol can be decreased when combined with Trospium.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Trospium.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AH04, quetiapine, Quetiapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Magnesium citrate can be decreased when used in combination with Trospium.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Trospium.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Trospium is combined with Hexoprenaline.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Trospium.]
[C03AA03, hydrochlorothiazide, The serum concentration of Hydrochlorothiazide can be increased when it is combined with Trospium.]
[R05DA03, hydrocodone, The risk or severity of adverse effects can be increased when Trospium is combined with Hydrocodone.]
[C03AA02, hydroflumethiazide, The serum concentration of Hydroflumethiazide can be increased when it is combined with Trospium.]
[G04BD06, propiverine, The risk or severity of adverse effects can be increased when Trospium is combined with Propiverine.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Trospium.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02AC06, rilmenidine, The risk or severity of Tachycardia can be increased when Trospium is combined with Rilmenidine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Trospium.]
[A06AD21, sodium tartrate, The therapeutic efficacy of Sodium tartrate can be decreased when used in combination with Trospium.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Trospium is combined with Sufentanil.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Trospium.]
[M03BX02, tizanidine, Tizanidine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03BA11, indapamide, The serum concentration of Indapamide can be increased when it is combined with Trospium.]
[N06AX17, milnacipran, Milnacipran may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AA30, piperidolate, The risk or severity of adverse effects can be increased when Trospium is combined with Piperidolate.]
[N01BB08, articaine, Articaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA12, alprazolam, Alprazolam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CH02, ramelteon, Ramelteon may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R06AE01, buclizine, The risk or severity of adverse effects can be increased when Trospium is combined with Buclizine.]
[L01XX35, anagrelide, The risk or severity of Tachycardia can be increased when Trospium is combined with Anagrelide.]
[C07AA01, alprenolol, Alprenolol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03BA02, quinethazone, The serum concentration of Quinethazone can be increased when it is combined with Trospium.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Trospium.]
[N06AA13, iprindole, Iprindole may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AF05, iproniazid, Iproniazid may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AA07, chlorproethazine, Chlorproethazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CC06, isoetharine, The risk or severity of Tachycardia can be increased when Trospium is combined with Isoetharine.]
[N01AB06, isoflurane, Isoflurane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[S01EB07, isoflurophate, The therapeutic efficacy of Trospium can be decreased when used in combination with Isoflurophate.]
[N04BX02, entacapone, Entacapone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[R03CB01, isoproterenol, The therapeutic efficacy of Trospium can be decreased when used in combination with Isoprenaline.]
[C04AA01, isoxsuprine, The risk or severity of Tachycardia can be increased when Trospium is combined with Isoxsuprine.]
[N06AX18, reboxetine, Reboxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01AX03, ketamine, Ketamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02KD01, ketanserin, Ketanserin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AH03, olanzapine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CA22, arbutamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Arbutamine.]
[N04BC09, rotigotine, Rotigotine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Trospium.]
[N04BB01, amantadine, The risk or severity of adverse effects can be increased when Trospium is combined with Amantadine.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Trospium.]
[N07AA30, ambenonium, The therapeutic efficacy of Trospium can be decreased when used in combination with Ambenonium.]
[A06AX03, lubiprostone, The therapeutic efficacy of Lubiprostone can be decreased when used in combination with Trospium.]
[N03AX18, lacosamide, Lacosamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N04BA01, levodopa, The absorption of Levodopa can be decreased when combined with Trospium.]
[S02DA01, lidocaine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02CA07, lisuride, Lisuride may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA07, lofepramine, Lofepramine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA06, lorazepam, Lorazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AH01, loxapine, Loxapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G04BX01, magnesium hydroxide, The therapeutic efficacy of Magnesium hydroxide can be decreased when used in combination with Trospium.]
[A12CC10, magnesium oxide, The therapeutic efficacy of Magnesium oxide can be decreased when used in combination with Trospium.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06AA21, maprotiline, Maprotiline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A08AA05, mazindol, Mazindol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C02BB01, mecamylamine, The risk or severity of adverse effects can be increased when Trospium is combined with Mecamylamine.]
[L01AA05, mechlorethamine, The therapeutic efficacy of Trospium can be decreased when used in combination with Mechlorethamine.]
[R06AE05, meclizine, Meclizine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BA03, medazepam, Medazepam may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A06AB07, cascara sagrada, The therapeutic efficacy of Frangula purshiana bark can be decreased when used in combination with Trospium.]
[P01BC02, mefloquine, The therapeutic efficacy of Trospium can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, Melatonin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N06DX01, memantine, The therapeutic efficacy of Trospium can be decreased when used in combination with Memantine.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Trospium is combined with Meperidine.]
[C01CA11, mephentermine, The risk or severity of Tachycardia can be increased when Trospium is combined with Mephentermine.]
[N03AB04, mephenytoin, Mephenytoin may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AA01, mephobarbital, Methylphenobarbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N01BB03, mepivacaine, Mepivacaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05BC01, meprobamate, Meprobamate may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Trospium is combined with Meptazinol.]
[N05AC03, mesoridazine, Mesoridazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AX13, paliperidone, Paliperidone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CA09, metaraminol, The risk or severity of Tachycardia can be increased when Trospium is combined with Metaraminol.]
[A10BA02, metformin, The serum concentration of Trospium can be decreased when it is combined with Metformin.]
[A04AA04, dolasetron, Dolasetron may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N07BC02, methadone, The risk or severity of adverse effects can be increased when Trospium is combined with Methadone.]
[N06BA03, methamphetamine, Metamfetamine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03AB07, methantheline, The risk or severity of adverse effects can be increased when Trospium is combined with Methantheline.]
[R06AC05, methapyrilene, Methapyrilene may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CM01, methaqualone, Methaqualone may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AA30, metharbital, Metharbital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[G02CB05, metergoline, Metergoline may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M03BA03, methocarbamol, Methocarbamol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CA15, methohexital, Methohexital may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02BG08, ziconotide, Ziconotide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05AA02, methotrimeprazine, Methotrimeprazine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C01CA10, methoxamine, The risk or severity of Tachycardia can be increased when Trospium is combined with Methoxamine.]
[N02BG09, methoxyflurane, Methoxyflurane may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[C03AA08, methyclothiazide, The serum concentration of Methyclothiazide can be increased when it is combined with Trospium.]
[A06AC06, methylcellulose, The therapeutic efficacy of Methylcellulose can be decreased when used in combination with Trospium.]
[V04CG05, methylene blue, Methylene blue may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N03AF03, rufinamide, Rufinamide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N05CE02, methyprylon, Methyprylon may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[N02CA04, methysergide, Methysergide may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[A03FA01, metoclopramide, The therapeutic efficacy of Metoclopramide can be decreased when used in combination with Trospium.]
[C03BA08, metolazone, The serum concentration of Metolazone can be increased when it is combined with Trospium.]
[C07AB02, metoprolol, The metabolism of Metoprolol can be decreased when combined with Trospium.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Trospium.]
