[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Rilpivirine.]
[S01BA03, cortisone, The serum concentration of Rilpivirine can be decreased when it is combined with Cortisone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Rilpivirine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Lomefloxacin.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Rilpivirine can be decreased when combined with Manidipine.]
[S01BA08, medrysone, The serum concentration of Rilpivirine can be decreased when it is combined with Medrysone.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Rilpivirine.]
[H02AB15, meprednisone, The serum concentration of Rilpivirine can be decreased when it is combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Rilpivirine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Rilpivirine.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Melperone.]
[L01AA01, cyclophosphamide, The serum concentration of Rilpivirine can be decreased when it is combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Rilpivirine.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Rilpivirine.]
[N06AG02, moclobemide, The metabolism of Rilpivirine can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The serum concentration of Rilpivirine can be decreased when it is combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Rilpivirine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Rilpivirine.]
[C10AA07, rosuvastatin, Rilpivirine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Rilpivirine can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Rilpivirine.]
[M01AH05, etoricoxib, The metabolism of Rilpivirine can be decreased when combined with Etoricoxib.]
[L01DA01, dactinomycin, Rilpivirine may decrease the excretion rate of Dactinomycin which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Rilpivirine can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Rilpivirine.]
[L01DB02, daunorubicin, The serum concentration of Rilpivirine can be decreased when it is combined with Daunorubicin.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Rilpivirine.]
[G03XX01, prasterone, The serum concentration of Rilpivirine can be increased when it is combined with Prasterone.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Rilpivirine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Rilpivirine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Rilpivirine.]
[N06AX06, nefazodone, The serum concentration of Rilpivirine can be increased when it is combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Rilpivirine can be decreased when combined with Nilutamide.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Rilpivirine.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Rilpivirine.]
[S01BA11, desonide, The serum concentration of Rilpivirine can be decreased when it is combined with Desonide.]
[L01XA03, oxaliplatin, Rilpivirine may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The serum concentration of Rilpivirine can be decreased when it is combined with Oxcarbazepine.]
[G01AF17, oxiconazole, The serum concentration of Rilpivirine can be decreased when it is combined with Oxiconazole.]
[S03BA01, dexamethasone, The serum concentration of Rilpivirine can be decreased when it is combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Rilpivirine.]
[L04AB04, adalimumab, The metabolism of Rilpivirine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Rilpivirine may decrease the excretion rate of Gefitinib which could result in a higher serum level.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Rilpivirine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Rilpivirine.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Rilpivirine.]
[N06AB05, paroxetine, The serum concentration of Rilpivirine can be increased when it is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Rilpivirine.]
[N05BA01, diazepam, The metabolism of Rilpivirine can be decreased when combined with Diazepam.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Rilpivirine.]
[J01CF01, dicloxacillin, The serum concentration of Rilpivirine can be decreased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Rilpivirine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Rilpivirine.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Rilpivirine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Rilpivirine.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Rilpivirine.]
[C08CA03, isradipine, The metabolism of Rilpivirine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The serum concentration of Rilpivirine can be decreased when it is combined with Difluocortolone.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Rilpivirine.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Rilpivirine.]
[C10AX09, ezetimibe, Rilpivirine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Rilpivirine.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Rilpivirine.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Rilpivirine.]
[J05AE08, atazanavir, The serum concentration of Rilpivirine can be increased when it is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Rilpivirine.]
[D07AC18, prednicarbate, The serum concentration of Rilpivirine can be decreased when it is combined with Prednicarbate.]
[C08DB01, diltiazem, The serum concentration of Rilpivirine can be increased when it is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Dimenhydrinate.]
[M02AX03, dimethyl sulfoxide, The metabolism of Rilpivirine can be decreased when combined with Dimethyl sulfoxide.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Rilpivirine.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Diphenhydramine is combined with Rilpivirine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Rilpivirine.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Rilpivirine.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Rilpivirine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Rilpivirine.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Rilpivirine.]
[S02AA12, rifamycin SV, The serum concentration of Rilpivirine can be decreased when it is combined with Rifamycin.]
[J04AB05, rifapentine, The serum concentration of Rilpivirine can be decreased when it is combined with Rifapentine.]
[D06AX11, rifaximin, The serum concentration of Rilpivirine can be decreased when it is combined with Rifaximin.]
[N07XX02, riluzole, Rilpivirine may decrease the excretion rate of Riluzole which could result in a higher serum level.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Rilpivirine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Rilpivirine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Rilpivirine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Rilpivirine.]
[A04AD12, aprepitant, The metabolism of Rilpivirine can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Rilpivirine.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Rilpivirine.]
[J05AE07, fosamprenavir, The serum concentration of Rilpivirine can be increased when it is combined with Fosamprenavir.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Rilpivirine.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Rilpivirine.]
[C01EB18, ranolazine, The serum concentration of Rilpivirine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Rilpivirine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Rilpivirine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Rilpivirine.]
[N06AA12, doxepin, Doxepin can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Rilpivirine.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Rilpivirine.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Rilpivirine.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Rilpivirine.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Droperidol.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Rilpivirine.]
[B05XA02, sodium bicarbonate, Sodium bicarbonate can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Sultopride.]
[N02CC01, sumatriptan, Rilpivirine may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Talinolol.]
[H01AA01, corticotropin, The serum concentration of Rilpivirine can be decreased when it is combined with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Rilpivirine.]
[D01BA02, terbinafine, The serum concentration of Rilpivirine can be decreased when it is combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Terodiline.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Rilpivirine.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Rilpivirine.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Rilpivirine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Rilpivirine.]
[N03AX11, topiramate, The serum concentration of Rilpivirine can be decreased when it is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Rilpivirine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Rilpivirine.]
[N01AB04, enflurane, The metabolism of Enflurane can be decreased when combined with Rilpivirine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Rilpivirine.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Rilpivirine.]
[S01GX10, epinastine, Epinastine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX16, venlafaxine, The metabolism of Venlafaxine can be decreased when combined with Rilpivirine.]
[C08CA12, mepirodipine, The metabolism of Rilpivirine can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Rilpivirine.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Rilpivirine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Rilpivirine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Rilpivirine.]
[N02CA02, ergotamine, The metabolism of Rilpivirine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Valproic acid can be decreased when combined with Rilpivirine.]
[S01AA17, erythromycin, The serum concentration of Rilpivirine can be increased when it is combined with Erythromycin.]
[A02BC02, pantoprazole, The therapeutic efficacy of Rilpivirine can be decreased when used in combination with Pantoprazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Rilpivirine.]
[G03CA57, estrogens, conjugated (USP), Rilpivirine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Rilpivirine can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The serum concentration of Rilpivirine can be decreased when it is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The serum concentration of Rilpivirine can be decreased when it is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Rilpivirine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Rilpivirine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Rilpivirine.]
[N03AB01, ethotoin, The serum concentration of Rilpivirine can be decreased when it is combined with Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Rilpivirine.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Rilpivirine.]
[L01CB01, etoposide, The serum concentration of Rilpivirine can be decreased when it is combined with Etoposide.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Rilpivirine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Ajmaline is combined with Rilpivirine.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Rilpivirine.]
[A02BA04, nizatidine, Nizatidine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Fleroxacin is combined with Rilpivirine.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Rilpivirine.]
[R06AX12, terfenadine, The serum concentration of Rilpivirine can be decreased when it is combined with Terfenadine.]
[N06AX12, bupropion, The serum concentration of Bupropion can be increased when it is combined with Rilpivirine.]
[N06AB08, fluvoxamine, The serum concentration of Rilpivirine can be increased when it is combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Encainide is combined with Rilpivirine.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Leuprolide.]
[C10AA03, pravastatin, Rilpivirine may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[A02BA03, famotidine, Famotidine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Rilpivirine.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Felodipine is combined with Rilpivirine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Rilpivirine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Rilpivirine.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Salbutamol is combined with Rilpivirine.]
[L01BB06, clofarabine, Rilpivirine may decrease the excretion rate of Clofarabine which could result in a higher serum level.]
[L04AA40, cladribine, Rilpivirine may decrease the excretion rate of Cladribine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Rilpivirine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Rilpivirine.]
[J01CF05, floxacillin, The serum concentration of Rilpivirine can be decreased when it is combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Rilpivirine can be decreased when combined with Fluconazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Rilpivirine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be decreased when combined with Rilpivirine.]
[D07AC08, fluocinonide, The serum concentration of Rilpivirine can be decreased when it is combined with Fluocinonide.]
[H02AB03, fluocortolone, The serum concentration of Rilpivirine can be decreased when it is combined with Fluocortolone.]
[V03AZ01, ethanol, The serum concentration of Rilpivirine can be decreased when it is combined with Ethanol.]
[S01CB05, fluorometholone, The serum concentration of Rilpivirine can be decreased when it is combined with Fluorometholone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Rilpivirine.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Rilpivirine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Flupentixol.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Rilpivirine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Fluspirilene.]
[V04CX02, folic acid, Rilpivirine may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Rilpivirine.]
[J05AE10, darunavir, The serum concentration of Rilpivirine can be increased when it is combined with Darunavir.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Rilpivirine.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Amisulpride is combined with Rilpivirine.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Rilpivirine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Gallopamil.]
[N03AA04, barbexaclone, The serum concentration of Rilpivirine can be decreased when it is combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Rilpivirine can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Degarelix is combined with Rilpivirine.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Rilpivirine.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Rilpivirine.]
[J05AG04, etravirine, The serum concentration of Rilpivirine can be decreased when it is combined with Etravirine.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Methsuximide is combined with Rilpivirine.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Lapatinib is combined with Rilpivirine.]
[A10BB01, glyburide, Rilpivirine may decrease the excretion rate of Glyburide which could result in a higher serum level.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Rilpivirine.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Rilpivirine.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Rilpivirine.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Rilpivirine.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Rilpivirine.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Rilpivirine.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Rilpivirine.]
[D01BA01, griseofulvin, The serum concentration of Rilpivirine can be decreased when it is combined with Griseofulvin.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Rilpivirine.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Histrelin is combined with Rilpivirine.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Rilpivirine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Rilpivirine.]
[M04AA01, allopurinol, Rilpivirine may decrease the excretion rate of Allopurinol which could result in a higher serum level.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Rilpivirine.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Rilpivirine.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Rilpivirine.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Rilpivirine.]
[J05AG01, nevirapine, The metabolism of Nevirapine can be decreased when combined with Rilpivirine.]
[C08CA10, nilvadipine, The metabolism of Rilpivirine can be decreased when combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Hydrochlorothiazide is combined with Rilpivirine.]
[R05DA03, hydrocodone, The metabolism of Hydrocodone can be decreased when combined with Rilpivirine.]
[S02BA01, hydrocortisone, The serum concentration of Rilpivirine can be decreased when it is combined with Hydrocortisone.]
[D07AC16, hydrocortisone aceponate, The serum concentration of Rilpivirine can be decreased when it is combined with Hydrocortisone aceponate.]
[D07AB11, hydrocortisone probutate, The serum concentration of Rilpivirine can be decreased when it is combined with Hydrocortisone probutate.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Rilpivirine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Hydroxyzine.]
[J04AB04, rifabutin, The serum concentration of Rilpivirine can be decreased when it is combined with Rifabutin.]
[S01BA13, rimexolone, The serum concentration of Rilpivirine can be decreased when it is combined with Rimexolone.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Rilpivirine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Rilpivirine.]
[L01AA06, ifosfamide, The serum concentration of Rilpivirine can be decreased when it is combined with Ifosfamide.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Rilpivirine.]
[L01CD01, paclitaxel, The serum concentration of Rilpivirine can be decreased when it is combined with Paclitaxel.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Rilpivirine.]
[L01CE01, topotecan, Rilpivirine may decrease the excretion rate of Topotecan which could result in a higher serum level.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Rilpivirine.]
[S01BC01, indomethacin, The metabolism of Indomethacin can be decreased when combined with Rilpivirine.]
[N06AX17, milnacipran, The metabolism of Rilpivirine can be decreased when combined with Milnacipran.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Rilpivirine.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Rilpivirine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Rilpivirine.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Rilpivirine.]
[C10AA06, cerivastatin, The serum concentration of Rilpivirine can be decreased when it is combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Anagrelide.]
[C07AA01, alprenolol, The metabolism of Alprenolol can be decreased when combined with Rilpivirine.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Rilpivirine.]
[N01AB06, isoflurane, The metabolism of Isoflurane can be decreased when combined with Rilpivirine.]
[J04AC01, isoniazid, The metabolism of Rilpivirine can be decreased when combined with Isoniazid.]
[P02CF01, ivermectin, Rilpivirine may decrease the excretion rate of Ivermectin which could result in a higher serum level.]
[A02AB01, aluminum hydroxide, Aluminum hydroxide can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AC07, tocilizumab, The serum concentration of Rilpivirine can be decreased when it is combined with Tocilizumab.]
[N01AX03, ketamine, The serum concentration of Rilpivirine can be decreased when it is combined with Ketamine.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Rilpivirine.]
[J02AB02, ketoconazole, The serum concentration of Ketoconazole can be decreased when it is combined with Rilpivirine.]
[H02CA04, levoketoconazole, The serum concentration of Rilpivirine can be increased when it is combined with Levoketoconazole.]
[N05AH03, olanzapine, Olanzapine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AC03, deferasirox, The serum concentration of Rilpivirine can be decreased when it is combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Rilpivirine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Rotigotine can be decreased when combined with Rilpivirine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Nalidixic acid.]
[C07AG01, labetalol, The metabolism of Labetalol can be decreased when combined with Rilpivirine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Rilpivirine.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Rilpivirine.]
[A05AA02, ursodiol, The serum concentration of Rilpivirine can be decreased when it is combined with Ursodeoxycholic acid.]
[S02DA01, lidocaine, The metabolism of Lidocaine can be decreased when combined with Rilpivirine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Rilpivirine is combined with Lidoflazine.]
[N06BA13, armodafinil, The serum concentration of Rilpivirine can be decreased when it is combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Rilpivirine.]
[N02CA07, lisuride, The metabolism of Lisuride can be decreased when combined with Rilpivirine.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Rilpivirine.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Rilpivirine.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Rilpivirine.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Rilpivirine.]
[G04BX01, magnesium hydroxide, Magnesium hydroxide can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC10, magnesium oxide, Magnesium oxide can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BA05, pralatrexate, Rilpivirine may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Rilpivirine can be decreased when combined with Nilotinib.]
