[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Interferon alfa-2b.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Ropivacaine.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Bortezomib.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Interferon alfa-2b.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Interferon alfa-2b.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Doxorubicin.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Interferon alfa-2b.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Temafloxacin can be decreased when combined with Interferon alfa-2b.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Temozolomide.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Interferon alfa-2b.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Interferon alfa-2b.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Interferon alfa-2b.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Vinorelbine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Epirubicin.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Interferon alfa-2b.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Interferon alfa-2b.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Interferon alfa-2b.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Interferon alfa-2b.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Interferon alfa-2b.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Interferon alfa-2b.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Interferon alfa-2b.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluticasone.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be decreased when combined with Interferon alfa-2b.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Interferon alfa-2b.]
[N06AB08, fluvoxamine, The metabolism of Fluvoxamine can be decreased when combined with Interferon alfa-2b.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Interferon alfa-2b.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Interferon alfa-2b.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Interferon alfa-2b.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Dexrazoxane.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Interferon alfa-2b.]
[N03AX26, fenfluramine, The metabolism of Fenfluramine can be decreased when combined with Interferon alfa-2b.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Interferon alfa-2b.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Cladribine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Interferon alfa-2b.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fludrocortisone.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Interferon alfa-2b.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluocinonide.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Ethanol can be decreased when combined with Interferon alfa-2b.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Floxuridine.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluorouracil.]
[N06AB03, fluoxetine, The metabolism of Fluoxetine can be decreased when combined with Interferon alfa-2b.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Interferon alfa-2b.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Interferon alfa-2b.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Interferon alfa-2b.]
[J05AF11, telbivudine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Telbivudine.]
[L01EA02, dasatinib, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Dasatinib.]
[C01CA21, cafedrine, The metabolism of Cafedrine can be decreased when combined with Interferon alfa-2b.]
[L01EX02, sorafenib, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Sorafenib.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Interferon alfa-2b.]
[N05AD01, haloperidol, The metabolism of Haloperidol can be decreased when combined with Interferon alfa-2b.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Interferon alfa-2b.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Interferon alfa-2b.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Altretamine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Interferon alfa-2b.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Interferon alfa-2b.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Interferon alfa-2b.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Hydroxyurea.]
[B05CB02, sodium citrate, The risk or severity of bleeding can be increased when Sodium citrate is combined with Interferon alfa-2b.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Ifosfamide.]
[N06AA02, imipramine, The metabolism of Imipramine can be decreased when combined with Interferon alfa-2b.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Tixocortol.]
[M03BX02, tizanidine, The metabolism of Tizanidine can be decreased when combined with Interferon alfa-2b.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Indomethacin.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Interferon alfa-2b.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Antilymphocyte immunoglobulin (horse).]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Interferon alfa-2b.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Fluticasone furoate.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Eculizumab.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Articaine.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Interferon alfa-2b.]
[L01XX35, anagrelide, The metabolism of Anagrelide can be decreased when combined with Interferon alfa-2b.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Interferon alfa-2b.]
[J05AB13, penciclovir, The metabolism of Penciclovir can be decreased when combined with Interferon alfa-2b.]
[B01AE06, bivalirudin, The risk or severity of bleeding can be increased when Bivalirudin is combined with Interferon alfa-2b.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Interferon alfa-2b.]
[B01AC22, prasugrel, The risk or severity of bleeding can be increased when Prasugrel is combined with Interferon alfa-2b.]
[N05AH03, olanzapine, The metabolism of Olanzapine can be decreased when combined with Interferon alfa-2b.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Abatacept.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mitomycin.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Lidocaine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Lomustine.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Pralatrexate.]
[L01EA03, nilotinib, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Nilotinib.]
[N06AA21, maprotiline, The metabolism of Maprotiline can be decreased when combined with Interferon alfa-2b.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mechlorethamine.]
[B01AB06, nadroparin, The risk or severity of bleeding can be increased when Nadroparin is combined with Interferon alfa-2b.]
[B01AB05, enoxaparin, The risk or severity of bleeding can be increased when Enoxaparin is combined with Interferon alfa-2b.]
[B01AB04, dalteparin, The risk or severity of bleeding can be increased when Dalteparin is combined with Interferon alfa-2b.]
[N05CH01, melatonin, The metabolism of Melatonin can be decreased when combined with Interferon alfa-2b.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Melphalan.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Interferon alfa-2b.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Mepivacaine.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Interferon alfa-2b.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Methotrexate.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Interferon alfa-2b.]
[V04CG05, methylene blue, The metabolism of Methylene blue can be decreased when combined with Interferon alfa-2b.]
[R03DA05, aminophylline, The metabolism of Aminophylline can be decreased when combined with Interferon alfa-2b.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Methylprednisolone.]
[A03FA01, metoclopramide, The metabolism of Metoclopramide can be decreased when combined with Interferon alfa-2b.]
[C01BB02, mexiletine, The metabolism of Mexiletine can be decreased when combined with Interferon alfa-2b.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Interferon alfa-2b.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Interferon alfa-2b.]
[B01AB07, parnaparin, The risk or severity of bleeding can be increased when Parnaparin is combined with Interferon alfa-2b.]
[B01AB10, tinzaparin, The risk or severity of bleeding can be increased when Tinzaparin is combined with Interferon alfa-2b.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mitoxantrone.]
[L03AC01, aldesleukin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Aldesleukin.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Interferon alfa-2b.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Interferon alfa-2b.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Ofatumumab.]
[L01EX03, pazopanib, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Mycophenolic acid.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Interferon alfa-2b.]
[N04BC04, ropinirole, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Ropinirole.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Interferon alfa-2b.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Interferon alfa-2b.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Interferon alfa-2b.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Docetaxel.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Interferon alfa-2b.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Amsacrine.]
[C08CA05, nifedipine, The metabolism of Nifedipine can be decreased when combined with Interferon alfa-2b.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Interferon alfa-2b.]
[B01AB08, reviparin, The risk or severity of bleeding can be increased when Reviparin is combined with Interferon alfa-2b.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Rilonacept.]
[B01AD07, reteplase, The risk or severity of bleeding can be increased when Reteplase is combined with Interferon alfa-2b.]
[B01AD09, ancrod, The risk or severity of bleeding can be increased when Ancrod is combined with Interferon alfa-2b.]
[N05AH05, asenapine, The metabolism of Asenapine can be decreased when combined with Interferon alfa-2b.]
[B01AB09, danaparoid, The risk or severity of bleeding can be increased when Danaparoid is combined with Interferon alfa-2b.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Interferon alfa-2b.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Interferon alfa-2b.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Pentostatin.]
[C04AD03, pentoxifylline, The metabolism of Pentoxifylline can be decreased when combined with Interferon alfa-2b.]
[N05AB03, perphenazine, The metabolism of Perphenazine can be decreased when combined with Interferon alfa-2b.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Interferon alfa-2b.]
[N02BE03, phenacetin, The metabolism of Phenacetin can be decreased when combined with Interferon alfa-2b.]
[B01AA02, phenindione, The risk or severity of bleeding can be increased when Phenindione is combined with Interferon alfa-2b.]
[B01AA04, phenprocoumon, The risk or severity of bleeding can be increased when Phenprocoumon is combined with Interferon alfa-2b.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Golimumab.]
[N05AG02, pimozide, The metabolism of Pimozide can be decreased when combined with Interferon alfa-2b.]
[J01MA11, grepafloxacin, The metabolism of Grepafloxacin can be decreased when combined with Interferon alfa-2b.]
[B01AC13, abciximab, The risk or severity of bleeding can be increased when Abciximab is combined with Interferon alfa-2b.]
[S01XA13, alteplase, The risk or severity of bleeding can be increased when Alteplase is combined with Interferon alfa-2b.]
[A03AE01, alosetron, The metabolism of Alosetron can be decreased when combined with Interferon alfa-2b.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Interferon alfa-2b.]
[P02BA01, praziquantel, The metabolism of Praziquantel can be decreased when combined with Interferon alfa-2b.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Prednisolone.]
[H02AB07, prednisone, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Prednisone.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Prilocaine.]
[P01BA03, primaquine, The metabolism of Primaquine can be decreased when combined with Interferon alfa-2b.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Interferon alfa-2b is combined with Procaine.]
[L01XB01, procarbazine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Procarbazine.]
[N05AA03, promazine, The metabolism of Promazine can be decreased when combined with Interferon alfa-2b.]
[C01BC03, propafenone, The metabolism of Propafenone can be decreased when combined with Interferon alfa-2b.]
[C07AA05, propranolol, The metabolism of Propranolol can be decreased when combined with Interferon alfa-2b.]
[H03BA02, propylthiouracil, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Propylthiouracil.]
[B01AC09, epoprostenol, The risk or severity of bleeding can be increased when Epoprostenol is combined with Interferon alfa-2b.]
[J06BB05, rabies immune globulin, human, The therapeutic efficacy of Rabies immune globulin, human can be decreased when used in combination with Interferon alfa-2b.]
[P01BC01, quinine, The metabolism of Quinine can be decreased when combined with Interferon alfa-2b.]
[A02BA02, ranitidine, The metabolism of Ranitidine can be decreased when combined with Interferon alfa-2b.]
[J05AP01, ribavirin, The risk or severity of anemia can be increased when Interferon alfa-2b is combined with Ribavirin.]
[A07EC01, sulfasalazine, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Sulfasalazine.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Interferon alfa-2b.]
[L01FA03, obinutuzumab, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Obinutuzumab.]
[M05BX04, denosumab, The risk or severity of adverse effects can be increased when Denosumab is combined with Interferon alfa-2b.]
[L01CD04, cabazitaxel, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Cabazitaxel.]
[L03AX17, sipuleucel-T, The therapeutic efficacy of Sipuleucel-T can be decreased when used in combination with Interferon alfa-2b.]
