[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Antipyrine.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Dobutamine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[M09AX08, golodirsen, Dobutamine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Dobutamine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Dobutamine is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dobutamine is combined with Dutasteride.]
[R02AA03, dichlorobenzyl alcohol, Dobutamine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Dobutamine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Dobutamine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Dobutamine.]
[C08CA16, clevidipine, Dobutamine may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Dronedarone.]
[C02AA06, methoserpidine, Dobutamine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Dihexyverine.]
[N04BX04, opicapone, The metabolism of Dobutamine can be decreased when combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Dobutamine.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Dobutamine.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Dobutamine is combined with Droxicam.]
[V08CA05, mangafodipir, Dobutamine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Dobutamine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Dobutamine is combined with Dexketoprofen.]
[C08CA17, levamlodipine, Dobutamine may decrease the antihypertensive activities of Levamlodipine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Dobutamine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Dobutamine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Dobutamine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Dobutamine is combined with Etofenamate.]
[M01AX25, chondroitin sulfates, Dobutamine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Dobutamine is combined with Naxitamab.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Dobutamine is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Fenethylline.]
[C01CA19, fenoldopam, Dobutamine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Dobutamine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Dobutamine is combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R03BA03, flunisolide, The risk or severity of hypokalemia can be increased when Flunisolide is combined with Dobutamine.]
[N02BG07, flupirtine, Dobutamine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Dobutamine may increase the sympathomimetic activities of Formoterol.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Dobutamine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Dobutamine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of adverse effects can be increased when Dobutamine is combined with Follitropin.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L01XA01, cisplatin, Dobutamine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Dobutamine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Dobutamine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Dobutamine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Clenbuterol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Calcium glubionate anhydrous.]
[N01BB10, levobupivacaine, Dobutamine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, Clomipramine may increase the vasopressor activities of Dobutamine.]
[N03AE01, clonazepam, Dobutamine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, Dobutamine may decrease the antihypertensive activities of Clonidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Clozapine.]
[J01GB12, arbekacin, Dobutamine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Cocaine.]
[C02KB01, metyrosine, Dobutamine may decrease the antihypertensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Dobutamine is combined with Proquazone.]
[M04AC01, colchicine, Dobutamine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Homatropine methylbromide is combined with Dobutamine.]
[J01XB01, colistin, Dobutamine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of hypertension can be increased when Dobutamine is combined with Desflurane.]
[A04AA03, tropisetron, Dobutamine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Dobutamine is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Dobutamine is combined with Imidazole salicylate.]
[R03BA08, ciclesonide, The risk or severity of hypokalemia can be increased when Ciclesonide is combined with Dobutamine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Dobutamine is combined with Indobufen.]
[J05AB14, valganciclovir, Dobutamine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Dobutamine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Dobutamine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Dobutamine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Dobutamine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Dobutamine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Dobutamine.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Dobutamine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Dobutamine is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Dobutamine is combined with Parecoxib.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05BA10, ketazolam, Dobutamine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Dobutamine is combined with Kebuzone.]
[C08CA09, lacidipine, Dobutamine may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Dobutamine.]
[N07BC04, lofexidine, Dobutamine may decrease the antihypertensive activities of Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Dobutamine is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Dobutamine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C09AA03, lisinopril, Dobutamine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Dobutamine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Dobutamine may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Mebeverine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Dobutamine is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may decrease the bronchodilatory activities of Dobutamine.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Dobutamine.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Dobutamine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Dobutamine.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Methoxyphenamine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Dobutamine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Cyclopenthiazide.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the hypertensive activities of Dobutamine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Dobutamine.]
[N06AG02, moclobemide, Moclobemide may increase the hypertensive activities of Dobutamine.]
[R06AX02, cyproheptadine, The risk or severity of Tachycardia can be increased when Cyproheptadine is combined with Dobutamine.]
[C09AA13, moexipril, Dobutamine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Dobutamine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Dobutamine is combined with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Dobutamine may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Dobutamine is combined with Etoricoxib.]
[L01AX04, dacarbazine, Dobutamine may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[C02CC04, debrisoquin, Dobutamine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Dobutamine.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Dobutamine.]
[N07BB05, nalmefene, Dobutamine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N06AX06, nefazodone, Nefazodone may increase the tachycardic activities of Dobutamine.]
[C01DX16, nicorandil, Dobutamine may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA23, theodrenaline, The therapeutic efficacy of Dobutamine can be increased when used in combination with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Norfenefrine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Dobutamine is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Dobutamine is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may increase the vasopressor activities of Dobutamine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Dobutamine.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Dobutamine.]
[V04CH02, indigo carmine, Dobutamine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Dobutamine.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C09XA02, aliskiren, Dobutamine may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Dobutamine is combined with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of hypokalemia can be increased when Dexamethasone is combined with Dobutamine.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Dobutamine.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Dobutamine.]
[H05AA02, teriparatide, The risk or severity of adverse effects can be increased when Dobutamine is combined with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Dobutamine.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Pentifylline.]
[P03AC04, permethrin, Dobutamine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[V03AH01, diazoxide, Dobutamine may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, Dibenzepin may increase the vasopressor activities of Dobutamine.]
[R05DA08, pholcodine, Dobutamine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Dobutamine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J05AF02, didanosine, Dobutamine may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Dobutamine may decrease the antihypertensive activities of Pinacidil.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Pipenzolate.]
[R03CC07, pirbuterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Pirbuterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Piretanide.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Dobutamine is combined with Diethylpropion.]
[C08CA03, isradipine, Dobutamine may decrease the antihypertensive activities of Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Dobutamine.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Dobutamine is combined with Diflunisal.]
[C01AA05, digoxin, Dobutamine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Dobutamine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[B01AC21, treprostinil, Dobutamine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, The risk or severity of adverse effects can be increased when Dobutamine is combined with Potassium perchlorate.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C08DB01, diltiazem, Dobutamine may decrease the antihypertensive activities of Diltiazem.]
[V03AB09, dimercaprol, Dobutamine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R06AB03, dimethindene, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dobutamine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Propentofylline.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Dobutamine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Dobutamine is combined with Proglumetacin.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Proxyphylline.]
[R06AA02, diphenhydramine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Diphenhydramine.]
[C09AA06, quinapril, Dobutamine may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Dobutamine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, Quinupramine may increase the vasopressor activities of Dobutamine.]
[C09AA05, ramipril, Dobutamine may decrease the antihypertensive activities of Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Dobutamine is combined with Reproterol.]
[S01AX06, resorcinol, Dobutamine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N05AX08, risperidone, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, Dobutamine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Dobutamine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Dobutamine.]
[C02KX02, ambrisentan, Dobutamine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Dobutamine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Dobutamine is combined with Salmeterol.]
[H05BA01, salmon calcitonin, The risk or severity of adverse effects can be increased when Dobutamine is combined with Salmon calcitonin.]
[S02BA08, fluocinolone acetonide, The risk or severity of hypokalemia can be increased when Fluocinolone acetonide is combined with Dobutamine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Dobutamine.]
[C01DA05, pentaerythritol tetranitrate, Dobutamine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Dopamine.]
[N06AA16, dothiepin, Dosulepin may increase the vasopressor activities of Dobutamine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Dobutamine.]
[N06AA12, doxepin, Doxepin may increase the vasopressor activities of Dobutamine.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of Tachycardia can be increased when Doxylamine is combined with Dobutamine.]
[N01AB08, sevoflurane, The risk or severity of hypertension can be increased when Dobutamine is combined with Sevoflurane.]
[N05AD08, droperidol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Dobutamine.]
[A12CA02, sodium sulfate, Dobutamine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Dobutamine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Dobutamine is combined with Dyphylline.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Dobutamine.]
[V04CX07, edrophonium, Dobutamine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Dobutamine.]
[L01AX03, temozolomide, Dobutamine may decrease the excretion rate of Temozolomide which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Dobutamine.]
[G04CA03, terazosin, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Terazosin.]
[C07AA16, tertatolol, Tertatolol may decrease the bronchodilatory activities of Dobutamine.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Dobutamine is combined with Tetryzoline.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the vasopressor activities of Dobutamine.]
[C09AA02, enalapril, Dobutamine may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Dobutamine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, Toloxatone may increase the hypertensive activities of Dobutamine.]
[N06BA09, atomoxetine, Atomoxetine may increase the tachycardic activities of Dobutamine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Dobutamine is combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Dobutamine is combined with Tramazoline.]
[C09AA10, trandolapril, Dobutamine may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Dobutamine.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Dobutamine.]
[G03GA05, follitropin alfa, The risk or severity of adverse effects can be increased when Dobutamine is combined with Follitropin.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Dobutamine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Dobutamine is combined with Tulobuterol.]
[C02CA06, urapidil, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Urapidil.]
[S01FB02, ephedrine, The therapeutic efficacy of Dobutamine can be increased when used in combination with Ephedrine.]
[N06AX16, venlafaxine, Venlafaxine may increase the tachycardic activities of Dobutamine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Dobutamine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Dobutamine is combined with Xylometazoline.]
[S01EA01, epinephrine, The therapeutic efficacy of Dobutamine can be increased when used in combination with Epinephrine.]
[C09AA15, zofenopril, Dobutamine may decrease the antihypertensive activities of Zofenopril.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Dobutamine is combined with Zomepirac.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Dobutamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C02AC02, guanfacine, Dobutamine may decrease the antihypertensive activities of Guanfacine.]
[G02AB03, ergonovine, Ergometrine may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[N02CA02, ergotamine, Ergotamine may increase the hypertensive and vasoconstricting activities of Dobutamine.]
[L03AX05, pidotimod, Dobutamine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Dobutamine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[R03BA09, fluticasone furoate, The risk or severity of hypokalemia can be increased when Fluticasone furoate is combined with Dobutamine.]
[R03BA05, fluticasone, The risk or severity of hypokalemia can be increased when Fluticasone is combined with Dobutamine.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Dobutamine is combined with Gepefrine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Dobutamine which could result in a higher serum level.]
[N04AA05, profenamine, The therapeutic efficacy of Dobutamine can be decreased when used in combination with Profenamine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Dobutamine.]
