[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dexmedetomidine.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Brotizolam.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Dexmedetomidine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Dexmedetomidine.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Butriptyline is combined with Dexmedetomidine.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Dexmedetomidine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vinylbital.]
[R06AX18, acrivastine, Dexmedetomidine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Dexmedetomidine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, Dexmedetomidine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Dexmedetomidine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension can be increased when Fostamatinib is combined with Dexmedetomidine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Dexmedetomidine.]
[L04AA37, baricitinib, Dexmedetomidine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Dexmedetomidine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Dexmedetomidine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01GB14, plazomicin, Dexmedetomidine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Dexmedetomidine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Dexmedetomidine.]
[A16AX14, migalastat, Dexmedetomidine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Dexmedetomidine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Dexmedetomidine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Dexmedetomidine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Dexmedetomidine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Dexmedetomidine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Dexmedetomidine.]
[R03BB08, revefenacin, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Dexmedetomidine.]
[A06AX05, prucalopride, Dexmedetomidine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Dexmedetomidine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Dexmedetomidine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Dexmedetomidine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Dexmedetomidine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Dexmedetomidine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Dexmedetomidine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cloxazolam.]
[C09CA06, candesartan, Dexmedetomidine may decrease the antihypertensive activities of Candesartan.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dexmedetomidine.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Dexmedetomidine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Dexmedetomidine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Dexmedetomidine.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[M09AX08, golodirsen, Dexmedetomidine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Dexmedetomidine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Dexmedetomidine.]
[S01XA12, dexpanthenol, Dexmedetomidine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lumateperone.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Dexmedetomidine.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Dexmedetomidine.]
[R02AA03, dichlorobenzyl alcohol, Dexmedetomidine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Dexmedetomidine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dexmedetomidine.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Dexmedetomidine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Dexmedetomidine.]
[C01BD07, dronedarone, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Dexmedetomidine.]
[C02AA06, methoserpidine, Dexmedetomidine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dopexamine.]
[G04BD09, trospium, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Droxicam.]
[V08CA05, mangafodipir, Dexmedetomidine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dyclonine.]
[C08CA17, levamlodipine, Dexmedetomidine may decrease the antihypertensive activities of Levamlodipine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Dexmedetomidine is combined with Remimazolam.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Dexmedetomidine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Dexmedetomidine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Chlorpromazine.]
[A10BB02, chlorpropamide, Dexmedetomidine may decrease the excretion rate of Chlorpropamide which could result in a higher serum level.]
[N05AF03, chlorprothixene, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Dexmedetomidine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Dexmedetomidine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Etofenamate.]
[M01AX25, chondroitin sulfates, Dexmedetomidine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Naxitamab.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Dexmedetomidine.]
[C01CA19, fenoldopam, Dexmedetomidine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N02BG07, flupirtine, Dexmedetomidine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, Dexmedetomidine may increase the sympathomimetic activities of Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Dexmedetomidine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Dexmedetomidine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Dexmedetomidine.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L01XA01, cisplatin, Dexmedetomidine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Dexmedetomidine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Dexmedetomidine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Dexmedetomidine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Dexmedetomidine.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Dexmedetomidine.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Dexmedetomidine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Dexmedetomidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Granisetron.]
[N05AH02, clozapine, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Clozapine.]
[J01GB12, arbekacin, Dexmedetomidine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Halazepam.]
[S02DA02, cocaine, The risk or severity of seizure can be decreased when Dexmedetomidine is combined with Cocaine.]
[C02KB01, metyrosine, Dexmedetomidine may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Dexmedetomidine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Hexafluronium.]
[M04AC01, colchicine, Dexmedetomidine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Dexmedetomidine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Dexmedetomidine.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Dexmedetomidine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Imidazole salicylate.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Dexmedetomidine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Desloratadine.]
[J05AB14, valganciclovir, Dexmedetomidine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Dexmedetomidine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Dexmedetomidine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Dexmedetomidine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Dexmedetomidine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Dexmedetomidine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Dexmedetomidine.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Parecoxib.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Dexmedetomidine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Dexmedetomidine.]
[C08CA09, lacidipine, Dexmedetomidine may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Dexmedetomidine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Dexmedetomidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[C09AA03, lisinopril, Dexmedetomidine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Dexmedetomidine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Dexmedetomidine may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Mefenorex.]
[C07AA14, mepindolol, The therapeutic efficacy of Dexmedetomidine can be decreased when used in combination with Mepindolol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Dexmedetomidine.]
[J01DH02, meropenem, Dexmedetomidine may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Dexmedetomidine is combined with Adenosine.]
[N04AA03, methixene, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Dexmedetomidine may increase the bradycardic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Dexmedetomidine which could result in a higher serum level.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Dexmedetomidine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Dexmedetomidine.]
[R06AX02, cyproheptadine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Dexmedetomidine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Dexmedetomidine is combined with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Dexmedetomidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Dexmedetomidine may decrease the antihypertensive activities of Moxonidine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Dexmedetomidine.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Dexmedetomidine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Dexmedetomidine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Dexmedetomidine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Dexmedetomidine.]
