[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Halothane.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Halothane is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Halothane can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Halothane is combined with Oliceridine.]
[L01EX23, pralsetinib, The metabolism of Halothane can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Halothane may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Halothane.]
[N05AA01, chlorpromazine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Halothane can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Halothane may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Halothane may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Halothane.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Halothane is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Halothane is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Halothane is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Halothane is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Halothane.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Halothane is combined with Etofenamate.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Halothane.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Halothane is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Halothane can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Halothane is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Halothane can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Halothane is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Halothane.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Halothane is combined with Fenbufen.]
[C01CA19, fenoldopam, Halothane may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Halothane is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Halothane is combined with Finasteride.]
[R03CC15, formoterol, Halothane may increase the arrhythmogenic activities of Formoterol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Halothane is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Halothane can be increased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Halothane may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Halothane can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Halothane.]
[N07CA02, cinnarizine, The metabolism of Halothane can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Halothane can be decreased when it is combined with Sotorasib.]
[L01XA01, cisplatin, The metabolism of Halothane can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Halothane is combined with Citalopram.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Halothane.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Halothane.]
[A10BB12, glimepiride, The metabolism of Halothane can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Halothane.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Halothane is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Halothane is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Halothane can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Halothane.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Halothane.]
[C10AB01, clofibrate, The metabolism of Halothane can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Halothane can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Halothane.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Halothane is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Halothane.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Halothane.]
[C01EB24, mavacamten, The serum concentration of Halothane can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Halothane is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Halothane.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Halothane.]
[N05AH02, clozapine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Halothane.]
[H01AC08, somatrogon, The metabolism of Halothane can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Halothane may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Halothane can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Halothane is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Halothane.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Halothane.]
[A03AB10, hexocyclium, Halothane may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Halothane may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Halothane can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Halothane is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Halothane is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Halothane is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Halothane can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Halothane is combined with Imidazole salicylate.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Halothane is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Halothane.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Halothane.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Halothane is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Halothane.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Halothane is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Halothane can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Halothane is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Halothane is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Halothane can be decreased when combined with Imatinib.]
[C08CA09, lacidipine, Halothane may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Halothane can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Halothane is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Halothane is combined with Loxoprofen.]
[C09AA03, lisinopril, Halothane may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Halothane can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Halothane is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Halothane is combined with Mefenorex.]
[C07AA14, mepindolol, Halothane may increase the cardiodepressant activities of Mepindolol.]
[N04AA03, methixene, Halothane may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Halothane is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Halothane is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Halothane is combined with Cyclobarbital.]
[C03DA04, eplerenone, Halothane may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Halothane is combined with Melperone.]
[C03AA07, cyclopenthiazide, Halothane may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Halothane.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Halothane is combined with Minaprine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Halothane.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Halothane is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Halothane can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Halothane may decrease the antihypertensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Halothane can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Halothane is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Halothane is combined with Morniflumate.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Conivaptan is combined with Halothane.]
[C02AC05, moxonidine, Halothane may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Halothane.]
[M01AH05, etoricoxib, The metabolism of Halothane can be decreased when combined with Etoricoxib.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Halothane is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Halothane can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Halothane is combined with Deanol.]
[C02CC04, debrisoquin, Halothane may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Halothane.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Nordazepam.]
[C07AB12, nebivolol, Halothane may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Halothane is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Halothane is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Halothane.]
[L02BB02, nilutamide, The metabolism of Halothane can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Halothane.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Halothane is combined with Theodrenaline.]
[M03AC11, cisatracurium, Halothane may increase the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Halothane is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Halothane is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Halothane is combined with Escitalopram.]
[G04BD08, solifenacin, Halothane may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Halothane is combined with Olsalazine.]
[N06AA01, desipramine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Halothane.]
[C09XA02, aliskiren, Halothane may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Oxaprozin is combined with Halothane.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Halothane.]
[S03BA01, dexamethasone, The metabolism of Halothane can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Halothane is combined with Oxiracetam.]
[N04AA08, dexetimide, Halothane may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Halothane may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Halothane can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Halothane can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Halothane.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Halothane.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Halothane.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Halothane is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Halothane is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Halothane can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Halothane is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Halothane.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Halothane.]
[V03AH01, diazoxide, Halothane may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Halothane.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Halothane is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Halothane.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Diclofenamide is combined with Halothane.]
[S01BC03, diclofenac, The metabolism of Halothane can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Halothane may decrease the antihypertensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Halothane is combined with Pipamperone.]
[A03AB14, pipenzolate, Halothane may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Halothane is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Halothane.]
[L02AA01, diethylstilbestrol, The metabolism of Halothane can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, Halothane may decrease the antihypertensive activities of Isradipine.]
[A03AB11, poldine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Halothane.]
[C02DB01, dihydralazine, Halothane may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Halothane is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Halothane.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Halothane.]
[J05AE08, atazanavir, The metabolism of Halothane can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Halothane may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Halothane is combined with Pramocaine.]
[C08DB01, diltiazem, Halothane may decrease the antihypertensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Halothane.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Halothane is combined with Pridinol.]
[R06AB03, dimethindene, Halothane may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Halothane is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Halothane.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Halothane is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Halothane is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Halothane can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Halothane.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Quazepam.]
[C09AA06, quinapril, Halothane may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Dipyridamole is combined with Halothane.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the hypertensive activities of Halothane.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Halothane is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Halothane.]
[C09AA05, ramipril, Halothane may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Halothane.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Halothane is combined with Reproterol.]
[C01BA03, disopyramide, Halothane may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The metabolism of Halothane can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Halothane can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Halothane.]
[N05AX08, risperidone, Halothane may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Halothane is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Halothane.]
[L01XG01, bortezomib, The metabolism of Halothane can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Halothane may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Halothane.]
[C02KX02, ambrisentan, Halothane may decrease the antihypertensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Halothane is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Salmeterol is combined with Halothane.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Halothane.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Halothane.]
[C01CA04, dopamine, Halothane may increase the arrhythmogenic activities of Dopamine.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Halothane.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Halothane.]
[N06AA12, doxepin, Halothane may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Halothane is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Halothane is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Halothane.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Halothane is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Halothane can be increased when combined with Simvastatin.]
[C09AA11, spirapril, Halothane may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Halothane is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Halothane.]
[C07AB13, talinolol, Halothane may decrease the antihypertensive activities of Talinolol.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Halothane.]
[G04CA03, terazosin, Halothane may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Halothane can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, Halothane may increase the cardiodepressant activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Halothane is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Halothane is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Halothane is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Halothane is combined with Thiopropazate.]
[G04BD01, emepronium, Halothane may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Halothane is combined with Tianeptine.]
[C09AA02, enalapril, Halothane may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Halothane is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Halothane is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Halothane is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Halothane.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Halothane.]
[C03CA04, torsemide, The metabolism of Halothane can be decreased when combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Halothane is combined with Tramazoline.]
[C09AA10, trandolapril, Halothane may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Halothane is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Halothane is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Halothane is combined with Triclofos.]
[A03AB08, tridihexethyl, Halothane may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Halothane.]
[N04AA12, tropatepine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Halothane is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Halothane.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Halothane is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Halothane is combined with Veralipride.]
[S01FB02, ephedrine, Ephedrine may increase the arrhythmogenic activities of Halothane.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Halothane.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Halothane.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Halothane is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Halothane is combined with Xylometazoline.]
[C08CA12, mepirodipine, The risk or severity of adverse effects can be increased when Halothane is combined with Barnidipine.]
[S01EA01, epinephrine, Halothane may increase the arrhythmogenic activities of Epinephrine.]
[C09AA15, zofenopril, Halothane may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Halothane may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Halothane is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Halothane.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Halothane is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Halothane is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Halothane.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Iloprost is combined with Halothane.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Halothane.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Halothane is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Halothane.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Ergotamine is combined with Halothane.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Halothane.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Halothane is combined with Estazolam.]
[G03CA03, estradiol, The metabolism of Halothane can be decreased when combined with Estradiol.]
[J04AK02, ethambutol, The metabolism of Halothane can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Halothane can be increased when combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Halothane is combined with Gepefrine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Halothane.]
[L02AA03, ethinyl estradiol, The metabolism of Halothane can be decreased when combined with Ethinylestradiol.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Amifostine is combined with Halothane.]
[N04AA05, profenamine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Halothane.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Halothane.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Halothane.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Halothane is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Halothane is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Halothane.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Halothane is combined with Sertindole.]
[R06AX12, terfenadine, Halothane may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Halothane.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Halothane is combined with Fluvoxamine.]
[C08CA02, felodipine, The metabolism of Halothane can be decreased when combined with Felodipine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Halothane.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Halothane.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Halothane is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Halothane.]
