[S02DA03, antipyrine, The metabolism of Vortioxetine can be decreased when combined with Antipyrine.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[P01BE02, artemether, The metabolism of Vortioxetine can be decreased when combined with Artemether.]
[M02AA03, clofezone, The metabolism of Vortioxetine can be decreased when combined with Rabeprazole.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Vortioxetine.]
[S01GX07, azelastine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Vortioxetine can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Vortioxetine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Vortioxetine.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Bambuterol is combined with Vortioxetine.]
[A06AH05, naldemedine, Vortioxetine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Vortioxetine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, The therapeutic efficacy of Vortioxetine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Beclamide is combined with Vortioxetine.]
[C09AA07, benazepril, Vortioxetine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Vortioxetine.]
[P01CA02, benznidazole, Vortioxetine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Vortioxetine.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Vortioxetine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Vortioxetine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Vortioxetine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Vortioxetine can be increased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Vortioxetine.]
[N04BD03, safinamide, The metabolism of Vortioxetine can be decreased when combined with Safinamide.]
[J01MA23, delafloxacin, Vortioxetine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Vortioxetine can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Vortioxetine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Vortioxetine.]
[C07AB07, bisoprolol, Vortioxetine may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Vortioxetine.]
[J05AG03, efavirenz, The metabolism of Vortioxetine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Vortioxetine can be decreased when combined with Bopindolol.]
[N04AA11, bornaprine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Brotizolam is combined with Vortioxetine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Vortioxetine can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Vortioxetine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Vortioxetine is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Vortioxetine can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Vortioxetine.]
[J05AX18, letermovir, The metabolism of Vortioxetine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Butriptyline is combined with Vortioxetine.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Vinylbital.]
[R06AX18, acrivastine, Vortioxetine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Vortioxetine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Vortioxetine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Vortioxetine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Vortioxetine.]
[C07AG02, carvedilol, Vortioxetine may decrease the antihypertensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Vortioxetine.]
[B02BX08, avatrombopag, The metabolism of Vortioxetine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Vortioxetine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Vortioxetine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01GB14, plazomicin, Vortioxetine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Vortioxetine may decrease the antihypertensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Vortioxetine.]
[L01XX62, ivosidenib, The metabolism of Vortioxetine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Vortioxetine can be decreased when combined with Tafenoquine.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Vortioxetine can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Vortioxetine can be decreased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Vortioxetine.]
[L01EB07, dacomitinib, The metabolism of Vortioxetine can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Vortioxetine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Vortioxetine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Vortioxetine.]
[D08AE05, chloroxylenol, Vortioxetine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Lornoxicam is combined with Vortioxetine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Vortioxetine.]
[R03BB08, revefenacin, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Vortioxetine.]
[L04AA39, emapalumab, The metabolism of Vortioxetine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EX13, gilteritinib, The therapeutic efficacy of Vortioxetine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Vortioxetine.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C09AA08, cilazapril, Vortioxetine may decrease the antihypertensive activities of Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Vortioxetine is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Vortioxetine is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Cinitapride is combined with Vortioxetine.]
[P02BX04, triclabendazole, The metabolism of Vortioxetine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Vortioxetine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Vortioxetine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Vortioxetine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Vortioxetine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Vortioxetine.]
[N05BA09, clobazam, The metabolism of Vortioxetine can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Vortioxetine can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Vortioxetine.]
[C09CA06, candesartan, The metabolism of Vortioxetine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Vortioxetine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Vortioxetine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Vortioxetine can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Vortioxetine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Vortioxetine.]
[N07XX11, pitolisant, The serum concentration of Vortioxetine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Vortioxetine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The therapeutic efficacy of Vortioxetine can be increased when used in combination with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Vortioxetine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Vortioxetine.]
[G03AC09, desogestrel, The metabolism of Vortioxetine can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Vortioxetine.]
[N03AX25, cenobamate, The serum concentration of Vortioxetine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Vortioxetine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Vortioxetine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Vortioxetine.]
[R06AB02, dexchlorpheniramine, The metabolism of Vortioxetine can be decreased when combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Vortioxetine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Vortioxetine.]
[L01EX18, avapritinib, The metabolism of Vortioxetine can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Vortioxetine can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Vortioxetine can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Vortioxetine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Vortioxetine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Vortioxetine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Vortioxetine.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Vortioxetine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Dichloralphenazone is combined with Vortioxetine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Vortioxetine.]
[R02AA03, dichlorobenzyl alcohol, Vortioxetine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Vortioxetine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Difenoxin is combined with Vortioxetine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Vortioxetine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vortioxetine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Vortioxetine.]
[L01XF03, bexarotene, The metabolism of Vortioxetine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Vortioxetine can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Vortioxetine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Valpromide is combined with Vortioxetine.]
[S03AA08, chloramphenicol, The metabolism of Vortioxetine can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Vortioxetine.]
[C02AA06, methoserpidine, Vortioxetine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Vortioxetine.]
[A03AA08, dihexyverine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Vortioxetine is combined with Dopexamine.]
[D07XB03, fluprednidene, The metabolism of Vortioxetine can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Vortioxetine.]
[G04BD09, trospium, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Vortioxetine is combined with Droxicam.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Vortioxetine can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Vortioxetine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Clomethiazole is combined with Vortioxetine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Chlormezanone is combined with Vortioxetine.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Vortioxetine.]
[C08CA17, levamlodipine, Vortioxetine may decrease the antihypertensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Vortioxetine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Vortioxetine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Vortioxetine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Vortioxetine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Vortioxetine can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Chlorpheniramine is combined with Vortioxetine.]
[N05AA01, chlorpromazine, The metabolism of Vortioxetine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N05AF03, chlorprothixene, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Vortioxetine.]
[A11CC05, cholecalciferol, The metabolism of Vortioxetine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Etifoxine is combined with Vortioxetine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Vortioxetine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Vortioxetine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Vortioxetine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Vortioxetine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Etofenamate is combined with Vortioxetine.]
[B06AC06, berotralstat, The metabolism of Vortioxetine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Vortioxetine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Vortioxetine.]
[M01AX25, chondroitin sulfates, Vortioxetine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Vortioxetine is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Vortioxetine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Vortioxetine can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Vortioxetine.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Fenbufen is combined with Vortioxetine.]
[C01CA19, fenoldopam, Vortioxetine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Vortioxetine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Finasteride is combined with Vortioxetine.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Vortioxetine can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Vortioxetine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Vortioxetine can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Vortioxetine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Vortioxetine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Vortioxetine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Vortioxetine can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Vortioxetine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Vortioxetine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Vortioxetine may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Vortioxetine can be decreased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Vortioxetine can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Vortioxetine.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Vortioxetine.]
[V09AX06, florbetaben f-18, Vortioxetine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Vortioxetine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Vortioxetine.]
[A10BB12, glimepiride, The metabolism of Vortioxetine can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Vortioxetine can be decreased when combined with Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Clenbuterol is combined with Vortioxetine.]
[J01FF01, clindamycin, The metabolism of Vortioxetine can be decreased when combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Vortioxetine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Vortioxetine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Vortioxetine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Vortioxetine.]
[J04BA01, clofazimine, The metabolism of Vortioxetine can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Vortioxetine can be decreased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Vortioxetine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Vortioxetine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Vortioxetine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Vortioxetine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Vortioxetine.]
[C01EB24, mavacamten, The serum concentration of Vortioxetine can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vortioxetine can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Vortioxetine can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Vortioxetine.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Vortioxetine.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Vortioxetine.]
[N05AH02, clozapine, The metabolism of Vortioxetine can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Vortioxetine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Vortioxetine.]
[H01AC08, somatrogon, The metabolism of Vortioxetine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Vortioxetine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Vortioxetine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Vortioxetine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Vortioxetine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Vortioxetine.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[A03AB10, hexocyclium, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Vortioxetine may decrease the excretion rate of Colistin which could result in a higher serum level.]
