[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Pioglitazone.]
[S01AA13, fusidic acid, The metabolism of Pioglitazone can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Pioglitazone.]
[L01EB02, erlotinib, The serum concentration of Pioglitazone can be increased when it is combined with Erlotinib.]
[C03CA03, piretanide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Piretanide.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Pioglitazone.]
[C08CA03, isradipine, The metabolism of Pioglitazone can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of hyperglycemia can be increased when Difluocortolone is combined with Pioglitazone.]
[N02BA11, diflunisal, Diflunisal may increase the hypoglycemic activities of Pioglitazone.]
[J05AE08, atazanavir, The metabolism of Pioglitazone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Pioglitazone.]
[D07AC18, prednicarbate, The risk or severity of hyperglycemia can be increased when Prednicarbate is combined with Pioglitazone.]
[C08DB01, diltiazem, The metabolism of Pioglitazone can be decreased when combined with Diltiazem.]
[N06AA23, quinupramine, Quinupramine may decrease the hypoglycemic activities of Pioglitazone.]
[A03FA02, cisapride, The metabolism of Cisapride can be decreased when combined with Pioglitazone.]
[S01XA23, sirolimus, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Sirolimus.]
[C01BA03, disopyramide, The risk or severity of hypoglycemia can be increased when Disopyramide is combined with Pioglitazone.]
[S02AA12, rifamycin SV, The metabolism of Pioglitazone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Pioglitazone can be increased when combined with Rifapentine.]
[D06AX11, rifaximin, The metabolism of Pioglitazone can be increased when combined with Rifaximin.]
[N05AX08, risperidone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Risperidone.]
[J01MB01, rosoxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Pioglitazone can be decreased when combined with Aprepitant.]
[J05AE07, fosamprenavir, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Fosamprenavir.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Pioglitazone.]
[R03AC12, salmeterol, The serum concentration of Pioglitazone can be increased when it is combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Pioglitazone.]
[N06AA16, dothiepin, Dosulepin may decrease the hypoglycemic activities of Pioglitazone.]
[N06AA12, doxepin, Doxepin may decrease the hypoglycemic activities of Pioglitazone.]
[N06AB06, sertraline, The risk or severity of hypoglycemia can be increased when Sertraline is combined with Pioglitazone.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Pioglitazone.]
[A07AB04, succinylsulfathiazole, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Succinylsulfathiazole.]
[N02CC01, sumatriptan, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Sumatriptan.]
[C07AB13, talinolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hyperglycemia can be increased when Corticotropin is combined with Pioglitazone.]
[J01MA05, temafloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Pioglitazone.]
[G04BD05, terodiline, The risk or severity of hypoglycemia can be increased when Terodiline is combined with Pioglitazone.]
[C07AA16, tertatolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Tertatolol.]
[N06AX14, tianeptine, Tianeptine may decrease the hypoglycemic activities of Pioglitazone.]
[N06AG03, toloxatone, Toloxatone may increase the hypoglycemic activities of Pioglitazone.]
[N03AX11, topiramate, The serum concentration of Pioglitazone can be decreased when it is combined with Topiramate.]
[C03CA04, torsemide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Torasemide.]
[H02CA01, trilostane, The risk or severity of hyperglycemia can be increased when Trilostane is combined with Pioglitazone.]
[L02AE04, triptorelin, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Triptorelin.]
[J01MA04, enoxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Enoxacin.]
[N06AX16, venlafaxine, The risk or severity of hypoglycemia can be increased when Venlafaxine is combined with Pioglitazone.]
[S01GA03, xylometazoline, The risk or severity of hypoglycemia can be increased when Xylometazoline is combined with Pioglitazone.]
[C08CA12, mepirodipine, The metabolism of Pioglitazone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Epinephrine.]
[N03AX15, zonisamide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Zonisamide.]
[A10AB06, insulin glulisine, human, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin glulisine.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Pioglitazone.]
[N02CA02, ergotamine, The metabolism of Pioglitazone can be decreased when combined with Ergotamine.]
[S01AA17, erythromycin, The metabolism of Pioglitazone can be decreased when combined with Erythromycin.]
[G03CA03, estradiol, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Estradiol.]
[R03BA09, fluticasone furoate, The serum concentration of Pioglitazone can be increased when it is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The serum concentration of Pioglitazone can be increased when it is combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Pioglitazone can be decreased when combined with Fluvastatin.]
[D07AC21, halobetasol, The risk or severity of hyperglycemia can be increased when Ulobetasol is combined with Pioglitazone.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Ethinylestradiol.]
[N03AD01, ethosuximide, The risk or severity of hypoglycemia can be increased when Ethosuximide is combined with Pioglitazone.]
[L04AD02, tacrolimus, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Tacrolimus.]
[J01MA08, fleroxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Fleroxacin.]
[R06AX12, terfenadine, The metabolism of Pioglitazone can be decreased when combined with Terfenadine.]
[N06AB08, fluvoxamine, The risk or severity of hypoglycemia can be increased when Fluvoxamine is combined with Pioglitazone.]
[L02AE02, leuprolide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Leuprolide.]
[C08CA02, felodipine, The serum concentration of Pioglitazone can be increased when it is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hypoglycemia can be increased when Fendiline is combined with Pioglitazone.]
[J02AC01, fluconazole, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Fluconazole.]
[H02AA02, fludrocortisone, The risk or severity of hyperglycemia can be increased when Fludrocortisone is combined with Pioglitazone.]
[D07XB01, flumethasone, The risk or severity of hyperglycemia can be increased when Flumethasone is combined with Pioglitazone.]
[N07CA03, flunarizine, The risk or severity of hypoglycemia can be increased when Flunarizine is combined with Pioglitazone.]
[D07AC08, fluocinonide, The risk or severity of hyperglycemia can be increased when Fluocinonide is combined with Pioglitazone.]
[N06AA14, melitracen, Melitracen may decrease the hypoglycemic activities of Pioglitazone.]
[H02AB03, fluocortolone, The risk or severity of hyperglycemia can be increased when Fluocortolone is combined with Pioglitazone.]
[S01CB05, fluorometholone, The risk or severity of hyperglycemia can be increased when Fluorometholone is combined with Pioglitazone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Pioglitazone.]
[N06AB03, fluoxetine, The risk or severity of hypoglycemia can be increased when Fluoxetine is combined with Pioglitazone.]
[G03BA01, fluoxymesterone, Fluoxymesterone may increase the hypoglycemic activities of Pioglitazone.]
[D07AC07, flurandrenolide, The risk or severity of hyperglycemia can be increased when Flurandrenolide is combined with Pioglitazone.]
[N05AG01, fluspirilene, The risk or severity of hypoglycemia can be increased when Fluspirilene is combined with Pioglitazone.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Pioglitazone.]
[G01AX06, furazolidone, Furazolidone may increase the hypoglycemic activities of Pioglitazone.]
[J05AE10, darunavir, The metabolism of Pioglitazone can be decreased when combined with Darunavir.]
[C03CA01, furosemide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Furosemide.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Pioglitazone.]
[C08DA02, gallopamil, The risk or severity of hypoglycemia can be increased when Gallopamil is combined with Pioglitazone.]
[C10AB04, gemfibrozil, The serum concentration of Pioglitazone can be increased when it is combined with Gemfibrozil.]
[A10BJ02, liraglutide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Liraglutide.]
[N03AD03, methsuximide, The risk or severity of hypoglycemia can be increased when Methsuximide is combined with Pioglitazone.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Pioglitazone.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be increased when used in combination with Pioglitazone.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be increased when used in combination with Pioglitazone.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be increased when used in combination with Pioglitazone.]
[H01AB01, thyrotropin alfa, Thyrotropin alfa may decrease the hypoglycemic activities of Pioglitazone.]
[L01EX02, sorafenib, The serum concentration of Pioglitazone can be increased when it is combined with Sorafenib.]
[L02AE03, goserelin, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Goserelin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Pioglitazone.]
[D07AD02, halcinonide, The risk or severity of hyperglycemia can be increased when Halcinonide is combined with Pioglitazone.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Pioglitazone.]
[L02AE05, histrelin, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Quetiapine.]
[A10AD05, insulin aspart, human, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin aspart.]
[C09CA01, losartan, The metabolism of Pioglitazone can be decreased when combined with Losartan.]
[A07EC02, mesalamine, Mesalazine may increase the hypoglycemic activities of Pioglitazone.]
[C08CA10, nilvadipine, The metabolism of Pioglitazone can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hypoglycemia can be increased when Nimesulide is combined with Pioglitazone.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Pioglitazone can be increased when combined with Hydrocortisone.]
[D07AC16, hydrocortisone aceponate, The metabolism of Pioglitazone can be increased when combined with Hydrocortisone aceponate.]
[C03AA02, hydroflumethiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Hydroflumethiazide.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Hydroxychloroquine.]
[J04AB04, rifabutin, The metabolism of Pioglitazone can be increased when combined with Rifabutin.]
[S01BA13, rimexolone, The risk or severity of hyperglycemia can be increased when Rimexolone is combined with Pioglitazone.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Pioglitazone.]
[L01AA06, ifosfamide, The metabolism of Pioglitazone can be increased when combined with Ifosfamide.]
[H01AC02, somatrem, Somatrem may decrease the hypoglycemic activities of Pioglitazone.]
[N06AA02, imipramine, Imipramine may decrease the hypoglycemic activities of Pioglitazone.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Pioglitazone.]
[R01AD07, tixocortol, The risk or severity of hyperglycemia can be increased when Tixocortol is combined with Pioglitazone.]
[C03BA11, indapamide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Indapamide.]
[S01BC01, indomethacin, The risk or severity of hypoglycemia can be increased when Indomethacin is combined with Pioglitazone.]
[N06AX17, milnacipran, The risk or severity of hypoglycemia can be increased when Milnacipran is combined with Pioglitazone.]
[N01BB08, articaine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Articaine.]
[A10BH01, sitagliptin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Sitagliptin.]
[A10BH02, vildagliptin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Vildagliptin.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Pioglitazone.]
[C07AA01, alprenolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Alprenolol.]
[C03BA02, quinethazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Quinethazone.]
[N06AA13, iprindole, Iprindole may decrease the hypoglycemic activities of Pioglitazone.]
[N06AF05, iproniazid, Iproniazid may increase the hypoglycemic activities of Pioglitazone.]
[N06AF01, isocarboxazid, Isocarboxazid may increase the hypoglycemic activities of Pioglitazone.]
[J04AC01, isoniazid, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Isoniazid.]
[A10BJ01, exenatide, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Exenatide.]
[H01AC01, somatropin, Somatotropin may decrease the hypoglycemic activities of Pioglitazone.]
[L04AC07, tocilizumab, The metabolism of Pioglitazone can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Pioglitazone.]
[J02AB02, ketoconazole, The metabolism of Pioglitazone can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Olanzapine.]
[M02AA10, ketoprofen, The metabolism of Pioglitazone can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Pioglitazone can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Pioglitazone can be increased when combined with Abatacept.]
[S01GX08, ketotifen, The risk or severity of thrombocytopenia can be increased when Pioglitazone is combined with Ketotifen.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Nalidixic acid.]
[C07AG01, labetalol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Labetalol.]
[C03CC01, ethacrynic acid, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Etacrynic acid.]
[G03AD01, levonorgestrel, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Levonorgestrel.]
[C08EX01, lidoflazine, The risk or severity of hypoglycemia can be increased when Lidoflazine is combined with Pioglitazone.]
[N06AA07, lofepramine, Lofepramine may decrease the hypoglycemic activities of Pioglitazone.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Pioglitazone.]
[C10AA02, lovastatin, The metabolism of Pioglitazone can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Temsirolimus.]
[V04CC02, magnesium sulfate, The risk or severity of hypoglycemia can be increased when Magnesium sulfate is combined with Pioglitazone.]
[L01EA03, nilotinib, The metabolism of Pioglitazone can be decreased when combined with Nilotinib.]
[C03BA05, mefruside, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Mefruside.]
[N03AB04, mephenytoin, The metabolism of Mephenytoin can be decreased when combined with Pioglitazone.]
[G03BB01, mesterolone, Mesterolone may increase the hypoglycemic activities of Pioglitazone.]
[N05AX13, paliperidone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Paliperidone.]
[H01CB03, lanreotide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Lanreotide.]
[S01EC05, methazolamide, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Methazolamide.]
[H03BB02, methimazole, The metabolism of Pioglitazone can be decreased when combined with Methimazole.]
[N02BG08, ziconotide, The risk or severity of hypoglycemia can be increased when Ziconotide is combined with Pioglitazone.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Methotrimeprazine.]
[C03AA08, methyclothiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Methyclothiazide.]
[V04CG05, methylene blue, The metabolism of Pioglitazone can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The risk or severity of hyperglycemia can be increased when Methylprednisolone is combined with Pioglitazone.]
[D07AC14, methylprednisolone aceponate, The risk or severity of hyperglycemia can be increased when Methylprednisolone aceponate is combined with Pioglitazone.]
[G03EK01, methyltestosterone, Methyltestosterone may increase the hypoglycemic activities of Pioglitazone.]
[C03BA08, metolazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Metolazone.]
[C07AB02, metoprolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Metoprolol.]
[P01AB01, metronidazole, The metabolism of Pioglitazone can be decreased when combined with Metronidazole.]
[S02AA13, miconazole, The metabolism of Pioglitazone can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Pioglitazone.]
[G03XB01, mifepristone, The serum concentration of Pioglitazone can be increased when it is combined with Mifepristone.]
[L01XX23, mitotane, The metabolism of Pioglitazone can be increased when combined with Mitotane.]
[C01BD01, amiodarone, The metabolism of Pioglitazone can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Amitriptyline may decrease the hypoglycemic activities of Pioglitazone.]
[N02AA01, morphine, The metabolism of Morphine can be decreased when combined with Pioglitazone.]
[L04AB05, certolizumab pegol, The metabolism of Pioglitazone can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Eltrombopag can be decreased when combined with Pioglitazone.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Pioglitazone.]
[P01BA06, amodiaquine, The metabolism of Amodiaquine can be decreased when combined with Pioglitazone.]
[G03XC01, raloxifene, The metabolism of Pioglitazone can be decreased when combined with Raloxifene.]
[N06AA17, amoxapine, Amoxapine may decrease the hypoglycemic activities of Pioglitazone.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Pioglitazone.]
[C07AA12, nadolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Nadolol.]
[V03AB15, naloxone, The metabolism of Pioglitazone can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Pioglitazone can be increased when combined with Anakinra.]
[S01XA11, nandrolone, Nandrolone phenpropionate may increase the hypoglycemic activities of Pioglitazone.]
[M02AA12, naproxen, The metabolism of Naproxen can be decreased when combined with Pioglitazone.]
[A10BG01, troglitazone, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Troglitazone.]
[N06AX21, duloxetine, The risk or severity of hypoglycemia can be increased when Duloxetine is combined with Pioglitazone.]
[A10BX02, repaglinide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Pioglitazone.]
[N05AX14, iloperidone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Iloperidone.]
[N06AX23, desvenlafaxine, The risk or severity of hypoglycemia can be increased when Desvenlafaxine is combined with Pioglitazone.]
[C10AD02, niacin, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Niacin.]
[N06AF02, nialamide, Nialamide may increase the hypoglycemic activities of Pioglitazone.]
[C08CA04, nicardipine, The metabolism of Pioglitazone can be decreased when combined with Nicardipine.]
[C08CA05, nifedipine, The serum concentration of Nifedipine can be decreased when it is combined with Pioglitazone.]
[C08CA06, nimodipine, The risk or severity of hypoglycemia can be increased when Nimodipine is combined with Pioglitazone.]
[C08CA07, nisoldipine, The risk or severity of hypoglycemia can be increased when Nisoldipine is combined with Pioglitazone.]
[C08CA08, nitrendipine, The risk or severity of hypoglycemia can be increased when Nitrendipine is combined with Pioglitazone.]
[G03DC02, norethindrone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Norethisterone.]
[S01AE02, norfloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Norfloxacin.]
[C02KX01, bosentan, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Bosentan.]
[N06AA10, nortriptyline, Nortriptyline may decrease the hypoglycemic activities of Pioglitazone.]
[G02CA02, nylidrin, The risk or severity of hypoglycemia can be increased when Nylidrin is combined with Pioglitazone.]
[H01CB02, octreotide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Octreotide.]
[S02AA16, ofloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Pioglitazone can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Omeprazole can be decreased when combined with Pioglitazone.]
[N06AA05, opipramol, Opipramol may decrease the hypoglycemic activities of Pioglitazone.]
[G04CA02, tamsulosin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Tamsulosin.]
[A14AA08, oxandrolone, Oxandrolone may increase the hypoglycemic activities of Pioglitazone.]
[J01MB05, oxolinic acid, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Oxolinic acid.]
[C07AA02, oxprenolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Oxprenolol.]
[A14AA05, oxymetholone, Oxymetholone may increase the hypoglycemic activities of Pioglitazone.]
[J04AA01, aminosalicylic acid, Aminosalicylic acid may increase the hypoglycemic activities of Pioglitazone.]
[N05AH05, asenapine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Asenapine.]
[H02AB05, paramethasone, The risk or severity of hyperglycemia can be increased when Paramethasone is combined with Pioglitazone.]
[C02KC01, pargyline, Pargyline may increase the hypoglycemic activities of Pioglitazone.]
[J01MA03, pefloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Pefloxacin.]
[C07AA23, penbutolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Penbutolol.]
[N05AG03, penfluridol, The risk or severity of hypoglycemia can be increased when Penfluridol is combined with Pioglitazone.]
[N05CA01, pentobarbital, The metabolism of Pioglitazone can be increased when combined with Pentobarbital.]
[C08EX02, perhexiline, The risk or severity of hypoglycemia can be increased when Perhexiline is combined with Pioglitazone.]
[N06AF03, phenelzine, Phenelzine may increase the hypoglycemic activities of Pioglitazone.]
[A10BA01, phenformin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Phenformin.]
[N03AA02, phenobarbital, The metabolism of Pioglitazone can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Pioglitazone.]
[A08AA01, phentermine, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Phentermine.]
[N03AB02, phenytoin, The metabolism of Pioglitazone can be increased when combined with Phenytoin.]
[L04AB06, golimumab, The metabolism of Pioglitazone can be increased when combined with Golimumab.]
[S01AE05, levofloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Levofloxacin.]
[C08CX01, mibefradil, The risk or severity of hypoglycemia can be increased when Mibefradil is combined with Pioglitazone.]
[C07AA03, pindolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Pindolol.]
[C10AA05, atorvastatin, The metabolism of Atorvastatin can be decreased when combined with Pioglitazone.]
[J05AE01, saquinavir, The metabolism of Pioglitazone can be decreased when combined with Saquinavir.]
[P02CB01, piperazine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Piperazine.]
[N05AC04, pipothiazine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Pipotiazine.]
[S01BC06, piroxicam, The metabolism of Piroxicam can be decreased when combined with Pioglitazone.]
[J01MA11, grepafloxacin, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Grepafloxacin.]
[J05AG02, delavirdine, The metabolism of Pioglitazone can be decreased when combined with Delavirdine.]
[C09CA04, irbesartan, The metabolism of Pioglitazone can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Tazarotene can be decreased when combined with Pioglitazone.]
[A10BG02, rosiglitazone, The risk or severity of hypoglycemia can be increased when Rosiglitazone is combined with Pioglitazone.]
[L02BG03, anastrozole, The metabolism of Anastrozole can be decreased when combined with Pioglitazone.]
[L04AC08, canakinumab, The metabolism of Pioglitazone can be increased when combined with Canakinumab.]
[C03AA05, polythiazide, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Polythiazide.]
[J05AE03, ritonavir, The serum concentration of Pioglitazone can be increased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, The risk or severity of hypoglycemia can be increased when Pioglitazone is combined with Saxagliptin.]
[A10AD04, insulin lispro, The risk or severity of adverse effects can be increased when Pioglitazone is combined with Insulin lispro.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Pioglitazone.]
[C07AB01, practolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Practolol.]
[S03BA02, prednisolone, The risk or severity of hyperglycemia can be increased when Prednisolone is combined with Pioglitazone.]
[H02AB07, prednisone, The risk or severity of hyperglycemia can be increased when Prednisone is combined with Pioglitazone.]
[C01DX02, prenylamine, The risk or severity of hypoglycemia can be increased when Prenylamine is combined with Pioglitazone.]
[P01BA03, primaquine, The metabolism of Pioglitazone can be decreased when combined with Primaquine.]
[N03AA03, primidone, The metabolism of Pioglitazone can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Pioglitazone can be increased when combined with Probenecid.]
[S01HA05, procaine, Procaine may increase the hypoglycemic activities of Pioglitazone.]
[L01XB01, procarbazine, Procarbazine may increase the hypoglycemic activities of Pioglitazone.]
[C10AB05, fenofibrate, The metabolism of Pioglitazone can be decreased when combined with Fenofibrate.]
[G03DA04, progesterone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Progesterone.]
[C01BC03, propafenone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Propafenone.]
[N01AX10, propofol, The metabolism of Propofol can be decreased when combined with Pioglitazone.]
[C07AA05, propranolol, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Propranolol.]
[R03DC03, montelukast, The metabolism of Montelukast can be decreased when combined with Pioglitazone.]
[N06AA11, protriptyline, Protriptyline may decrease the hypoglycemic activities of Pioglitazone.]
[R01BA02, pseudoephedrine, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Pseudoephedrine.]
[N05AX12, aripiprazole, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Aripiprazole.]
[P01BD01, pyrimethamine, The metabolism of Pioglitazone can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Pioglitazone can be increased when combined with Quinidine.]
[P01BC01, quinine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Pioglitazone.]
[D07AC10, diflorasone, The risk or severity of hyperglycemia can be increased when Diflorasone is combined with Pioglitazone.]
[J04AB02, rifampin, The metabolism of Pioglitazone can be increased when combined with Rifampicin.]
[A07EC01, sulfasalazine, Sulfasalazine may increase the hypoglycemic activities of Pioglitazone.]
[S01BC08, salicylic acid, Salicylic acid may increase the hypoglycemic activities of Pioglitazone.]
[N05CA06, secobarbital, The metabolism of Pioglitazone can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Selegiline can be decreased when combined with Pioglitazone.]
[C07AA07, sotalol, The risk or severity of hypoglycemia can be increased when Sotalol is combined with Pioglitazone.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Pioglitazone.]
[C03DA01, spironolactone, The metabolism of Pioglitazone can be decreased when combined with Spironolactone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Pioglitazone can be increased when combined with Hydrocortisone butyrate.]
[D07AB11, hydrocortisone probutate, The metabolism of Pioglitazone can be increased when combined with Hydrocortisone probutate.]
[H02CA04, levoketoconazole, The metabolism of Pioglitazone can be decreased when combined with Levoketoconazole.]
