[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01GB14, plazomicin, Zaleplon may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[L01XX62, ivosidenib, The metabolism of Zaleplon can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Zaleplon may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Zaleplon can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Zaleplon.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Zaleplon.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Zaleplon is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Zaleplon may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R03DA02, oxtriphylline, Zaleplon may increase the excretion rate of Oxtriphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Zaleplon.]
[R03BB08, revefenacin, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Zaleplon.]
[L04AA39, emapalumab, The metabolism of Zaleplon can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A06AX05, prucalopride, Zaleplon may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, Zaleplon may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Zaleplon is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Zaleplon can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Brexanolone.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Zaleplon.]
[H02AB14, cloprednol, The metabolism of Zaleplon can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Zaleplon can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Zaleplon can be increased when combined with Cortivazol.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD01, cefotaxime, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Zaleplon.]
[N07XX11, pitolisant, The serum concentration of Zaleplon can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Zaleplon.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB03, cephalothin, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Zaleplon.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Zaleplon.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Zaleplon.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Zaleplon.]
[N03AX25, cenobamate, The serum concentration of Zaleplon can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M09AX08, golodirsen, Zaleplon may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Zaleplon.]
[R06AB02, dexchlorpheniramine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Zaleplon may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lumateperone.]
[H02CA02, osilodrostat, The metabolism of Zaleplon can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Zaleplon can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Zaleplon is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Zaleplon.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Zaleplon.]
[R02AA03, dichlorobenzyl alcohol, Zaleplon may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Zaleplon.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Zaleplon.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C08CA16, clevidipine, Zaleplon may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Zaleplon.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Valpromide.]
[L01AA02, chlorambucil, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Chlorambucil.]
[S03AA08, chloramphenicol, The metabolism of Zaleplon can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Zaleplon.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Zaleplon.]
[A03AA08, dihexyverine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[D07XB03, fluprednidene, The metabolism of Zaleplon can be increased when combined with Fluprednidene.]
[G04BD09, trospium, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[V08CA05, mangafodipir, Zaleplon may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Zaleplon is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Dyclonine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Zaleplon.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Zaleplon can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Zaleplon is combined with Oliceridine.]
[P01BA01, chloroquine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Zaleplon can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05AF03, chlorprothixene, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Zaleplon.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02BA03, choline salicylate, Zaleplon may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Zaleplon.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[B06AC06, berotralstat, The metabolism of Zaleplon can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Zaleplon can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Zaleplon.]
[M01AX25, chondroitin sulfates, Zaleplon may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Zaleplon can be increased when it is combined with Abametapir.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Zaleplon is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Zaleplon.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06BA10, fenethylline, Zaleplon may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Zaleplon.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02BG07, flupirtine, Zaleplon may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Zaleplon.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Zaleplon is combined with Trichloroethylene.]
[A02BA01, cimetidine, The metabolism of Zaleplon can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Zaleplon is combined with Gabapentin.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01XX73, sotorasib, The serum concentration of Zaleplon can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Zaleplon can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, Zaleplon may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Zaleplon is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Zaleplon.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Zaleplon.]
[V09AB03, ioflupane I-123, Zaleplon may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Zaleplon may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Zaleplon may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Zaleplon.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Zaleplon.]
[N06AX25, St. John's wort extract, The metabolism of Zaleplon can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Zaleplon.]
[J04BA01, clofazimine, The metabolism of Zaleplon can be decreased when combined with Clofazimine.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Zaleplon.]
[C01EB24, mavacamten, The serum concentration of Zaleplon can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Zaleplon.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Ondansetron is combined with Zaleplon.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Zaleplon.]
[N05AH02, clozapine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01GB12, arbekacin, Zaleplon may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Zaleplon.]
[H01AC08, somatrogon, The metabolism of Zaleplon can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Zaleplon is combined with Cocaine.]
[C02KB01, metyrosine, Zaleplon may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Zaleplon can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Zaleplon.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Zaleplon.]
[M04AC01, colchicine, Zaleplon may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Zaleplon may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Zaleplon is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Zaleplon is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01FA15, telithromycin, The metabolism of Zaleplon can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Valganciclovir.]
[C05BB03, invert sugar, Zaleplon may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Zaleplon may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Zaleplon may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Zaleplon may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Zaleplon may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Almotriptan is combined with Zaleplon.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Zaleplon can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Zaleplon can be decreased when combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Zaleplon can be decreased when combined with Posaconazole.]
[N03AX09, lamotrigine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[S01BA03, cortisone, The metabolism of Zaleplon can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Zaleplon can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Zaleplon.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Zaleplon may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[A03AA04, mebeverine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Medifoxamine.]
[H02AB15, meprednisone, The metabolism of Zaleplon can be increased when combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[R06AD04, methdilazine, The therapeutic efficacy of Zaleplon can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Zaleplon is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Zaleplon which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Zaleplon.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Zaleplon.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Zaleplon.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Zaleplon is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Zaleplon can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Zaleplon.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Zaleplon can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The metabolism of Zaleplon can be decreased when combined with Vardenafil.]
[M01AH05, etoricoxib, Etoricoxib may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Zaleplon can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Zaleplon is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Zaleplon can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Zaleplon can be increased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Zaleplon is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Zaleplon.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N07BB05, nalmefene, Zaleplon may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Nordazepam.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Zaleplon can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Zaleplon is combined with Niaprazine.]
[C01DX16, nicorandil, Zaleplon may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Zaleplon.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Zaleplon.]
[C01CA23, theodrenaline, Zaleplon may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Zaleplon.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Zaleplon is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Zaleplon is combined with Escitalopram.]
[G04BD08, solifenacin, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N06AA01, desipramine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[V04CH02, indigo carmine, Zaleplon may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Zaleplon which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Zaleplon.]
[S03BA01, dexamethasone, The metabolism of Zaleplon can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Zaleplon is combined with Oxiracetam.]
[N04AA08, dexetimide, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Zaleplon may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
