[S02DA03, antipyrine, The metabolism of Pimozide can be decreased when combined with Antipyrine.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Pimozide is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Pimozide.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Pimozide.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Pimozide.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Pimozide is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Pimozide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Pimozide is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Pimozide.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation and ventricular arrhythmias can be increased when Clarithromycin is combined with Pimozide.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Pimozide is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Pimozide is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Pimozide.]
[N05BA09, clobazam, The metabolism of Pimozide can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Pimozide can be increased when combined with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Pimozide is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Pimozide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Pimozide can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The metabolism of Pimozide can be increased when combined with Alpelisib.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Pimozide.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Pimozide.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Pimozide.]
[L01EJ02, fedratinib, The metabolism of Pimozide can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Pimozide can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pimozide can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Pimozide.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Pimozide.]
[G04BE04, yohimbine, The metabolism of Pimozide can be decreased when combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The metabolism of Pimozide can be increased when combined with Insulin pork.]
[J01DB01, cephalexin, The metabolism of Pimozide can be decreased when combined with Cephalexin.]
[J01DB09, cephradine, The metabolism of Pimozide can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Pimozide can be increased when combined with Deflazacort.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Pimozide.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Pimozide.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Pimozide.]
[B06AX03, voxelotor, The serum concentration of Pimozide can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The serum concentration of Pimozide can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Pimozide can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Pimozide.]
[R06AB02, dexchlorpheniramine, The metabolism of Pimozide can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Pimozide is combined with Dezocine.]
[N05CM21, lemborexant, The metabolism of Pimozide can be decreased when combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Pimozide can be decreased when combined with Tazemetostat.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Lumateperone is combined with Pimozide.]
[M01AX21, diacetylrhein, The metabolism of Pimozide can be decreased when combined with Diacerein.]
[J05AB16, remdesivir, The metabolism of Pimozide can be decreased when combined with Remdesivir.]
[S01AE06, gatifloxacin, The metabolism of Pimozide can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The serum concentration of Pimozide can be increased when it is combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Pimozide can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Pimozide.]
[G04CB02, dutasteride, The metabolism of Pimozide can be decreased when combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Pimozide is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Pimozide can be decreased when combined with Selumetinib.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Pimozide is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Pimozide can be decreased when combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Pimozide can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Pimozide can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Pimozide can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Pimozide can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, Pimozide may increase the QTc-prolonging activities of Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Pimozide is combined with Valpromide.]
[J01FA13, dirithromycin, The metabolism of Pimozide can be decreased when combined with Dirithromycin.]
[S03AA08, chloramphenicol, The metabolism of Pimozide can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Pimozide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Pimozide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Pimozide.]
[A03AA08, dihexyverine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Pimozide can be increased when it is combined with Capmatinib.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Pimozide.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Pimozide.]
[D07XB03, fluprednidene, The metabolism of Pimozide can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Pimozide can be decreased when combined with Trospium.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Pimozide is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Pimozide is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Pimozide.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Pimozide.]
[R06AX22, ebastine, The metabolism of Pimozide can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Pimozide.]
[P01BB01, proguanil, The metabolism of Pimozide can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Pimozide is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Pimozide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Pimozide is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Pimozide can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Pimozide can be increased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The metabolism of Pimozide can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Pimozide can be decreased when combined with Chlorpromazine.]
[N05AF03, chlorprothixene, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Pimozide can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Pimozide can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Pimozide is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Pimozide is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Pimozide is combined with Ethyl loflazepate.]
[B06AC06, berotralstat, The serum concentration of Pimozide can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Pimozide can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Pimozide can be decreased when combined with Relugolix.]
[L01FX21, naxitamab, Pimozide may increase the neurotoxic activities of Naxitamab.]
[P03AX07, abametapir, The serum concentration of Pimozide can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Pimozide can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Pimozide is combined with Febarbamate.]
[N03AX10, felbamate, The metabolism of Pimozide can be increased when combined with Felbamate.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Pimozide.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Pimozide.]
[G04CB01, finasteride, The metabolism of Pimozide can be decreased when combined with Finasteride.]
[J01MB07, flumequine, The metabolism of Pimozide can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The metabolism of Pimozide can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Pimozide can be increased when combined with Fluocinolone acetonide.]
[R03CC15, formoterol, The metabolism of Pimozide can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Pimozide.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Pimozide is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Pimozide can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Pimozide can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Pimozide.]
[N07CA02, cinnarizine, The metabolism of Pimozide can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Pimozide.]
[L01XX73, sotorasib, The serum concentration of Pimozide can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Pimozide can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Pimozide can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Citalopram is combined with Pimozide.]
[H01AC07, somapacitan, The metabolism of Pimozide can be increased when combined with Somapacitan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Pimozide.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Pimozide is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Pimozide can be decreased when it is combined with Belzutifan.]
[H01AC09, lonapegsomatropin, The metabolism of Pimozide can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Mobocertinib.]
[L04AA59, avacopan, The metabolism of Pimozide can be decreased when combined with Avacopan.]
[R06AA04, clemastine, The metabolism of Pimozide can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Pimozide can be decreased when combined with Mefenamic acid.]
[J01FF01, clindamycin, The metabolism of Pimozide can be decreased when combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Pimozide can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Pimozide can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Pimozide.]
[J04BA01, clofazimine, The metabolism of Pimozide can be decreased when combined with Clofazimine.]
[C10AB01, clofibrate, The metabolism of Pimozide can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Pimozide can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Pimozide.]
[L01EJ03, pacritinib, The serum concentration of Pimozide can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Pimozide.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Pimozide.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Pimozide.]
[C01EB24, mavacamten, The serum concentration of Pimozide can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Pimozide can be decreased when combined with Vonoprazan.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Pimozide is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Pimozide can be decreased when combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Pimozide.]
[J05AX31, lenacapavir, The metabolism of Pimozide can be decreased when combined with Lenacapavir.]
[L01XX77, adagrasib, The serum concentration of Pimozide can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Pimozide can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Pimozide.]
[H01AC08, somatrogon, The metabolism of Pimozide can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The metabolism of Pimozide can be decreased when combined with Cocaine.]
[C02KB01, metyrosine, Pimozide may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Pimozide can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Pimozide can be decreased when combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Pimozide.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Pimozide.]
[A03AB10, hexocyclium, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Pimozide can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Pimozide.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Pimozide is combined with Tropisetron.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Pimozide.]
[A10BX03, nateglinide, The metabolism of Pimozide can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation and ventricular arrhythmias can be increased when Telithromycin is combined with Pimozide.]
[R03BA08, ciclesonide, The metabolism of Pimozide can be decreased when combined with Ciclesonide.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Pimozide.]
[N02CC05, almotriptan, The metabolism of Pimozide can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Pimozide can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Pimozide can be decreased when combined with Acyclovir.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Pimozide.]
[N05BA10, ketazolam, The metabolism of Pimozide can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Pimozide can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Pimozide can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Pimozide.]
[N03AX09, lamotrigine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Pimozide.]
[S01BA03, cortisone, The metabolism of Pimozide can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Pimozide can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Pimozide.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Lormetazepam.]
[C08CA11, manidipine, The metabolism of Pimozide can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Pimozide is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Pimozide can be decreased when combined with Mepindolol.]
[H02AB15, meprednisone, The metabolism of Pimozide can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, Pimozide may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Pimozide.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Pimozide.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Methoxyphenamine can be decreased when used in combination with Pimozide.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Pimozide.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Pimozide is combined with Cyclobarbital.]
[C03DA04, eplerenone, The metabolism of Pimozide can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, The metabolism of Pimozide can be decreased when combined with Melperone.]
[J01FA03, midecamycin, The metabolism of Pimozide can be decreased when combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Pimozide can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Pimozide can be decreased when combined with Minaprine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Pimozide.]
[S01XA18, cyclosporine, The metabolism of Pimozide can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Pimozide can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Pimozide can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Pimozide.]
[C10AA07, rosuvastatin, The metabolism of Pimozide can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The metabolism of Pimozide can be decreased when combined with Conivaptan.]
[J05AF10, entecavir, The metabolism of Pimozide can be decreased when combined with Entecavir.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Pimozide.]
[M01AH05, etoricoxib, The metabolism of Pimozide can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The metabolism of Pimozide can be decreased when combined with Dacarbazine.]
[G03XA01, danazol, The metabolism of Pimozide can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Pimozide is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Pimozide can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Pimozide can be decreased when combined with Daunorubicin.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Pimozide is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Pimozide can be decreased when combined with Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Pimozide.]
[M01AX01, nabumetone, The metabolism of Pimozide can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Pimozide can be decreased when combined with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of QTc prolongation can be increased when Nefazodone is combined with Pimozide.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Pimozide is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Pimozide.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Pimozide.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Pimozide.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Pimozide is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Pimozide is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Pimozide can be decreased when combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Pimozide can be decreased when combined with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Pimozide.]
[N03AF02, oxcarbazepine, The metabolism of Pimozide can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Pimozide can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Pimozide is combined with Oxiracetam.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Pimozide.]
[G04BD04, oxybutynin, The metabolism of Pimozide can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Pimozide can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Pimozide can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Pimozide can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Amphetamine can be decreased when used in combination with Pimozide.]
[R05DA09, dextromethorphan, The metabolism of Pimozide can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Pimozide.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Pimozide is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of QTc prolongation can be increased when Paroxetine is combined with Pimozide.]
[B01AC04, clopidogrel, The metabolism of Pimozide can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Pimozide is combined with Diamorphine.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Pimozide.]
[N05BA01, diazepam, The metabolism of Pimozide can be decreased when combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Pimozide is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Pimozide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Pimozide is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Pimozide.]
[S01BC03, diclofenac, The metabolism of Pimozide can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Pimozide can be increased when combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Pimozide.]
[A03AA07, dicyclomine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Didanosine may increase the neurotoxic activities of Pimozide.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Pimozide.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Pimozide is combined with Pipamperone.]
[A03AB14, pipenzolate, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Pimozide.]
[L01EB02, erlotinib, The metabolism of Pimozide can be decreased when combined with Erlotinib.]
[A08AA03, diethylpropion, The therapeutic efficacy of Diethylpropion can be decreased when used in combination with Pimozide.]
[L02AA01, diethylstilbestrol, The metabolism of Pimozide can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Pimozide can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Pimozide can be increased when combined with Difluocortolone.]
[A03AB11, poldine, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Pimozide.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Pimozide.]
[C02DB01, dihydralazine, The metabolism of Pimozide can be decreased when combined with Dihydralazine.]
[C04AE04, dihydroergocristine, The metabolism of Pimozide can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Pimozide can be decreased when combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Pimozide.]
[J05AE08, atazanavir, The metabolism of Pimozide can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Pimozide.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Pimozide is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Pimozide can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Pimozide.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Pimozide is combined with Pridinol.]
[R06AB03, dimethindene, Pimozide may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Pimozide can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Pimozide.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Pimozide.]
[C05CA03, diosmin, The metabolism of Pimozide can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Pimozide.]
[R06AA02, diphenhydramine, The metabolism of Pimozide can be decreased when combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Pimozide.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Pimozide is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Pimozide is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Pimozide is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Pimozide can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Pimozide can be decreased when combined with Sirolimus.]
[N05AL04, remoxipride, The metabolism of Pimozide can be decreased when combined with Remoxipride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Disopyramide is combined with Pimozide.]
[P03AA04, disulfiram, The metabolism of Pimozide can be decreased when combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Pimozide can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Pimozide can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Pimozide.]
[N05AX08, risperidone, The metabolism of Pimozide can be decreased when combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Pimozide.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Pimozide.]
[J01MB01, rosoxacin, The metabolism of Pimozide can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Pimozide.]
[A04AD12, aprepitant, The metabolism of Pimozide can be decreased when combined with Aprepitant.]
