[P02BB01, trichlorfon, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Metrifonate.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CF02, cloxacillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Cloxacillin.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01GB12, arbekacin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Arbekacin.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S02DA02, cocaine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Rocuronium may increase the sedative activities of Metyrosine.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Codeine.]
[J01CA18, hetacillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Hetacillin.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AB10, hexocyclium, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Homatropine.]
[J01XB01, colistin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Colistin.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03BA08, ciclesonide, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Ciclesonide.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[H01AX01, pegvisomant, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Pegvisomant.]
[C01AA06, lanatoside C, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Lanatoside C.]
[A03AX10, isometheptene, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Rocuronium is combined with Acyclovir.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Rocuronium is combined with Imatinib.]
[C08CA09, lacidipine, Lacidipine may increase the neuromuscular blocking activities of Rocuronium.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Rocuronium.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01BA03, cortisone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Lofexidine.]
[R06AX13, loratadine, Rocuronium may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium carbonate.]
[B05XA10, magnesium phosphate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium phosphate.]
[C08CA11, manidipine, Manidipine may increase the neuromuscular blocking activities of Rocuronium.]
[A03AA04, mebeverine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Mefenorex.]
[H02AB15, meprednisone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Meprednisone.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Rocuronium.]
[J01CA14, methampicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Metampicillin.]
[N04AA03, methixene, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, Cyclandelate may increase the neuromuscular blocking activities of Rocuronium.]
[R03CB02, methoxyphenamine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03AA07, cyclopenthiazide, The serum concentration of Cyclopenthiazide can be increased when it is combined with Rocuronium.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Rocuronium is combined with Cyclopentolate.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01XA18, cyclosporine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C02AC05, moxonidine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Moxonidine.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Cytarabine.]
[M03CA01, dantrolene, The therapeutic efficacy of Rocuronium can be increased when used in combination with Dantrolene.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01AA01, demeclocycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Demeclocycline.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Nefazodone.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CA05, norfenefrine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Rocuronium is combined with Escitalopram.]
[G04BD08, solifenacin, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[C01AA07, deslanoside, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Deslanoside.]
[D07XC02, desoximetasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Desoximetasone.]
[H02AA03, desoxycorticosterone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Desoxycortone.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S03BA01, dexamethasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04AA08, dexetimide, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, The risk or severity of Tachycardia can be increased when Amphetamine is combined with Rocuronium.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Rocuronium is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of adverse effects can be increased when Clopidogrel is combined with Rocuronium.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Rocuronium is combined with Diamorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CE05, phenethicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Pheneticillin.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CF01, dicloxacillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Dicloxacillin.]
[A03AA07, dicyclomine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[A03AX04, pinaverium, Pinaverium may increase the neuromuscular blocking activities of Rocuronium.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AB14, pipenzolate, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[R03CC07, pirbuterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may decrease the neuromuscular blocking activities of Rocuronium.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08CA03, isradipine, Isradipine may increase the neuromuscular blocking activities of Rocuronium.]
[D07XC04, diflucortolone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Difluocortolone.]
[A03AB11, poldine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C01AA04, digitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of Cardiac Arrhythmia can be increased when Rocuronium is combined with Digoxin.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Rocuronium is combined with Hydromorphone.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08DB01, diltiazem, Diltiazem may increase the neuromuscular blocking activities of Rocuronium.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AB03, dimethindene, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Procaterol.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[J01CE03, propicillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Propicillin.]
[G02AD02, dinoprostone, The risk or severity of adverse effects can be increased when Dinoprostone is combined with Rocuronium.]
[R06AA02, diphenhydramine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Rocuronium is combined with Diphenoxylate.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03FA02, cisapride, Cisapride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CC14, reproterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Reproterol.]
[C01BA03, disopyramide, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Distigmine.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01BC05, ketorolac, The risk or severity of adverse effects can be increased when Ketorolac is combined with Rocuronium.]
[R03AC12, salmeterol, The risk or severity of adverse effects can be increased when Rocuronium is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Rocuronium.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Dopamine.]
[N06AA16, dothiepin, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Rocuronium.]
[J01AA02, doxycycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Doxycycline.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Rocuronium is combined with Sertraline.]
[N01AB08, sevoflurane, Sevoflurane may increase the neuromuscular blocking activities of Rocuronium.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Rocuronium.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Rocuronium.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[V04CX07, edrophonium, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Edrophonium.]
[H01AA01, corticotropin, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Corticotropin.]
[J01CA17, temocillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Temocillin.]
[G04BD05, terodiline, Terodiline may increase the neuromuscular blocking activities of Rocuronium.]
[S01GA02, tetrahydrozoline, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G04BD01, emepronium, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AG03, toloxatone, Toloxatone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06BA09, atomoxetine, The risk or severity of Tachycardia can be increased when Atomoxetine is combined with Rocuronium.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Rocuronium is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may decrease the neuromuscular blocking activities of Rocuronium.]
[J01AA12, tigecycline, The therapeutic efficacy of Rocuronium can be increased when used in combination with Tigecycline.]
[R01AA09, tramazoline, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Tramazoline.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A03AB08, tridihexethyl, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[H02CA01, trilostane, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Trilostane.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04AA12, tropatepine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Rocuronium.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01FB02, ephedrine, The therapeutic efficacy of Rocuronium can be increased when used in combination with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX16, venlafaxine, Venlafaxine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01CX07, xamoterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Xamoterol.]
[S01GA03, xylometazoline, Xylometazoline may increase the neuromuscular blocking activities of Rocuronium.]
[C08CA12, mepirodipine, Barnidipine may increase the neuromuscular blocking activities of Rocuronium.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Epinephrine.]
[N05CF02, zolpidem, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, Zonisamide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CF01, zopiclone, Zopiclone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AX11, zotepine, Zotepine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C02AC02, guanfacine, Guanfacine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C01BG01, moricizine, Moricizine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G02AB03, ergonovine, Ergometrine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C04AE01, ergoloid mesylates, USP, Ergoloid mesylate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N02CA02, ergotamine, Ergotamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AG01, valproic acid, Valproic acid may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CD04, estazolam, Estazolam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03BA05, fluticasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluticasone.]
[C01CA15, gepefrine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Gepefrine.]
[N05CM08, ethchlorvynol, Ethchlorvynol may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04AA05, profenamine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, Ethosuximide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AB01, ethotoin, Ethotoin may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Etilefrine.]
[N01AX07, etomidate, Etomidate may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AE03, sertindole, Sertindole may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A02BA04, nizatidine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Nizatidine.]
[R06AX12, terfenadine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Rocuronium is combined with Fluvoxamine.]
[C08CA02, felodipine, Felodipine may increase the neuromuscular blocking activities of Rocuronium.]
[C08EA01, fendiline, Fendiline may increase the neuromuscular blocking activities of Rocuronium.]
[N03AX26, fenfluramine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Rocuronium is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Rocuronium is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Salbutamol.]
[G04BD02, flavoxate, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J01CF05, floxacillin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Flucloxacillin.]
[H02AA02, fludrocortisone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fludrocortisone.]
[D07XB01, flumethasone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Flumethasone.]
[N07CA03, flunarizine, Flunarizine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CD03, flunitrazepam, Flunitrazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[D07AC08, fluocinonide, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluocinonide.]
[N06AA14, melitracen, Melitracen may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[H02AB03, fluocortolone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluocortolone.]
[V03AZ01, ethanol, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[S01CB05, fluorometholone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Fluorometholone.]
[N06AB03, fluoxetine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, Fluphenazine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CD01, flurazepam, Flurazepam may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AG01, fluspirilene, Fluspirilene may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[S01AA07, framycetin, The therapeutic efficacy of Rocuronium can be increased when used in combination with Framycetin.]
[N06BX17, adrafinil, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Adrafinil.]
[M03AA01, alcuronium, Alcuronium may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[G01AX06, furazolidone, Furazolidone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C03CA01, furosemide, Furosemide may decrease the neuromuscular blocking activities of Rocuronium.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Rocuronium is combined with Eszopiclone.]
[N05AL05, amisulpride, Amisulpride may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06DA04, galantamine, The therapeutic efficacy of Rocuronium can be decreased when used in combination with Galantamine.]
[M03AC02, gallamine, Gallamine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[C08DA02, gallopamil, Gallopamil may increase the neuromuscular blocking activities of Rocuronium.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Rocuronium is combined with Ganciclovir.]
[N03AA04, barbexaclone, Barbexaclone may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N06AX08, bifemelane, Bifemelane may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N04BC06, cabergoline, Cabergoline may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N03AD03, methsuximide, Methsuximide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Rocuronium is combined with Alfentanil.]
[H04AA01, glucagon, Rocuronium may increase the gastrointestinal motility reducing activities of Glucagon.]
[N05CM18, dexmedetomidine, Dexmedetomidine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CE01, glutethimide, Glutethimide may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[A06AX01, glycerin, The therapeutic efficacy of Glycerin can be decreased when used in combination with Rocuronium.]
[C02CA04, doxazosin, The risk or severity of adverse effects can be increased when Doxazosin is combined with Rocuronium.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Rocuronium.]
[N01AB01, halothane, Halothane may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05AH04, quetiapine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, Iprazochrome may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05CA21, allobarbital, Allobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium citrate.]
[A12CC03, magnesium gluconate, The therapeutic efficacy of Rocuronium can be increased when used in combination with Magnesium gluconate.]
[A12CD02, sodium monofluorophosphate, The therapeutic efficacy of Sodium fluorophosphate can be decreased when used in combination with Rocuronium.]
[N05CA16, hexobarbital, Hexobarbital may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[R03CC05, hexoprenaline, The risk or severity of Tachycardia can be increased when Rocuronium is combined with Hexoprenaline.]
[J05AG01, nevirapine, The risk or severity of adverse effects can be increased when Nevirapine is combined with Rocuronium.]
[C08CA10, nilvadipine, Nilvadipine may increase the neuromuscular blocking activities of Rocuronium.]
[M02AA26, nimesulide, Nimesulide may increase the neuromuscular blocking activities of Rocuronium.]
[C03AA03, hydrochlorothiazide, The therapeutic efficacy of Rocuronium can be increased when used in combination with Hydrochlorothiazide.]
[R05DA03, hydrocodone, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of myopathy and weakness can be increased when Rocuronium is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The serum concentration of Hydroflumethiazide can be increased when it is combined with Rocuronium.]
[G04BD06, propiverine, Rocuronium may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[N05AX07, prothipendyl, Prothipendyl may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Rocuronium.]
