[S02DA03, antipyrine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Antipyrine.]
[R03BA02, budesonide, The risk or severity of hypokalemia can be increased when Budesonide is combined with Torasemide.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Torasemide.]
[M01AB07, bumadizone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Bumadizone.]
[J05AX18, letermovir, The metabolism of Torasemide can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Torasemide.]
[C01AA02, acetyldigoxins, The risk or severity of adverse effects can be increased when Torasemide is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Torasemide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Torasemide.]
[R06AX18, acrivastine, Torasemide may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, Torasemide may increase the hypotensive activities of Captopril.]
[L02BB05, apalutamide, Torasemide may increase the excretion rate of Apalutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AF01, carbamazepine, Torasemide may increase the excretion rate of Carbamazepine which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AC08, calcium polycarbophil, The risk or severity of adverse effects can be increased when Torasemide is combined with Calcium polycarbophil.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Torasemide.]
[N03AX24, cannabidiol, The metabolism of Torasemide can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Torasemide can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, Torasemide may increase the excretion rate of Baricitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Torasemide is combined with Cefepime.]
[J01DD14, ceftibuten, Torasemide may increase the excretion rate of Ceftibuten which could result in a lower serum level and potentially a reduction in efficacy.]
[J01GB14, plazomicin, The serum concentration of Plazomicin can be increased when it is combined with Torasemide.]
[C07AB08, celiprolol, The risk or severity of hypokalemia can be increased when Celiprolol is combined with Torasemide.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Torasemide.]
[L01XX62, ivosidenib, The metabolism of Torasemide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Torasemide may increase the excretion rate of Migalastat which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX17, stiripentol, The metabolism of Torasemide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Torasemide can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Torasemide.]
[S01GX12, cetirizine, Torasemide may increase the excretion rate of Cetirizine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Torasemide.]
[N01BA04, chloroprocaine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Chloroprocaine.]
[D08AE05, chloroxylenol, Torasemide may increase the excretion rate of Chloroxylenol which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AC05, lornoxicam, The therapeutic efficacy of Torasemide can be decreased when used in combination with Lornoxicam.]
[L04AA39, emapalumab, The metabolism of Torasemide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Torasemide may increase the excretion rate of Carmustine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Torasemide.]
[A06AX05, prucalopride, The risk or severity of adverse effects can be increased when Torasemide is combined with Prucalopride.]
[C09AA08, cilazapril, Torasemide may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, Torasemide may increase the excretion rate of Cilostazol which could result in a lower serum level and potentially a reduction in efficacy.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Torasemide.]
[S01ED05, carteolol, Torasemide may increase the hypotensive activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Torasemide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Torasemide.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Torasemide.]
[J01FA09, clarithromycin, The excretion of Torasemide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Torasemide may increase the excretion rate of Solriamfetol which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Torasemide.]
[N05BA09, clobazam, Torasemide may increase the excretion rate of Clobazam which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB14, cloprednol, The risk or severity of hypokalemia can be increased when Cloprednol is combined with Torasemide.]
[A06AB05, castor oil, The risk or severity of adverse effects can be increased when Torasemide is combined with Castor oil.]
[C09CA06, candesartan, The metabolism of Torasemide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Torasemide can be increased when combined with Etanercept.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Torasemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of hypokalemia can be increased when Cortivazol is combined with Torasemide.]
[L01EM03, alpelisib, The serum concentration of Torasemide can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Torasemide may increase the excretion rate of Cefaclor which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB05, cefadroxil, Torasemide may increase the excretion rate of Cefadroxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L02BB06, darolutamide, The excretion of Torasemide can be decreased when combined with Darolutamide.]
[L01EX15, pexidartinib, The excretion of Torasemide can be decreased when combined with Pexidartinib.]
[J01DC05, cefotetan, Torasemide may increase the excretion rate of Cefotetan which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD02, ceftazidime, Torasemide may increase the excretion rate of Ceftazidime which could result in a lower serum level and potentially a reduction in efficacy.]
[C03BX03, cicletanine, Torasemide may increase the hypotensive activities of Cicletanine.]
[J01DD04, ceftriaxone, Torasemide may increase the excretion rate of Ceftriaxone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EJ02, fedratinib, The excretion of Torasemide can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, Torasemide may increase the excretion rate of Pitolisant which could result in a lower serum level and potentially a reduction in efficacy.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Torasemide.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may decrease the antihypertensive activities of Torasemide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin pork.]
[A06AB03, danthron, The risk or severity of adverse effects can be increased when Torasemide is combined with Dantron.]
[J01XX09, daptomycin, Torasemide may increase the excretion rate of Daptomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB01, cephalexin, Torasemide may increase the excretion rate of Cephalexin which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DB09, cephradine, Torasemide may increase the excretion rate of Cefradine which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB13, deflazacort, The risk or severity of hypokalemia can be increased when Deflazacort is combined with Torasemide.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Torasemide.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Torasemide.]
[N03AX25, cenobamate, The metabolism of Torasemide can be increased when combined with Cenobamate.]
[M09AX08, golodirsen, Torasemide may increase the excretion rate of Golodirsen which could result in a lower serum level and potentially a reduction in efficacy.]
[S01XA12, dexpanthenol, Torasemide may increase the excretion rate of Dexpanthenol which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AX03, dezocine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Torasemide.]
[L04AA53, teprotumumab, The risk or severity of ototoxicity can be increased when Torasemide is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Torasemide can be decreased when combined with Diacerein.]
[C10AX15, bempedoic acid, The excretion of Torasemide can be decreased when combined with Bempedoic acid.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Torasemide.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Torasemide.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Torasemide.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Torasemide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Torasemide.]
[R02AA03, dichlorobenzyl alcohol, Torasemide may increase the excretion rate of Dichlorobenzyl alcohol which could result in a lower serum level and potentially a reduction in efficacy.]
[G03DB08, dienogest, Torasemide may increase the excretion rate of Dienogest which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AA08, dihydrocodeine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Torasemide.]
[M01AH02, rofecoxib, The therapeutic efficacy of Torasemide can be decreased when used in combination with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Torasemide can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, Torasemide may increase the excretion rate of Clevidipine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01BD07, dronedarone, Dronedarone may decrease the antihypertensive activities of Torasemide.]
[C02AA06, methoserpidine, Torasemide may increase the hypotensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Torasemide.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Torasemide is combined with Opicapone.]
[C01CA14, dopexamine, Dopexamine may decrease the antihypertensive activities of Torasemide.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Torasemide.]
[M01AC04, droxicam, The therapeutic efficacy of Torasemide can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Torasemide may increase the excretion rate of Mangafodipir which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX22, selpercatinib, The serum concentration of Torasemide can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Dexketoprofen.]
[C08CA17, levamlodipine, Torasemide may increase the hypotensive activities of Levamlodipine.]
[J05AX29, fostemsavir, The excretion of Torasemide can be decreased when combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Torasemide.]
[L04AC19, satralizumab, The serum concentration of Torasemide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oliceridine.]
[P01BA01, chloroquine, Torasemide may increase the excretion rate of Chloroquine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX23, pralsetinib, The metabolism of Torasemide can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, Torasemide may increase the excretion rate of Chlorpromazine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Torasemide.]
[C03BA04, chlorthalidone, Torasemide may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, Torasemide may increase the excretion rate of Chlorzoxazone which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CK02, cholecystokinin, The excretion of Torasemide can be decreased when combined with Cholecystokinin.]
[N02BA07, ethenzamide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Torasemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Torasemide is combined with Choline salicylate.]
[M01AB08, etodolac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The therapeutic efficacy of Torasemide can be decreased when used in combination with Etofenamate.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Torasemide.]
[M01AX25, chondroitin sulfates, Torasemide may increase the excretion rate of Chondroitin sulfate which could result in a lower serum level and potentially a reduction in efficacy.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Torasemide.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Torasemide is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Torasemide can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Torasemide can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Fenbufen.]
[C01CA19, fenoldopam, Torasemide may increase the excretion rate of Fenoldopam which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Torasemide.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Torasemide.]
[J01DD15, cefdinir, Torasemide may increase the excretion rate of Cefdinir which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BG07, flupirtine, Torasemide may increase the excretion rate of Flupirtine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CC15, formoterol, The risk or severity of hypokalemia can be increased when Formoterol is combined with Torasemide.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin human.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Torasemide.]
[L03AB10, peginterferon alfa-2b, The metabolism of Torasemide can be increased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Torasemide may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, Torasemide may increase the excretion rate of Cimetidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V08CA04, gadoteridol, Torasemide may increase the excretion rate of Gadoteridol which could result in a lower serum level and potentially a reduction in efficacy.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Torasemide.]
[S03AA07, ciprofloxacin, Torasemide may increase the excretion rate of Ciprofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA01, cisplatin, The risk or severity of ototoxicity and nephrotoxicity can be increased when Torasemide is combined with Cisplatin.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Torasemide.]
[L04AA48, belumosudil, The excretion of Torasemide can be decreased when combined with Belumosudil.]
[V09AB03, ioflupane I-123, Torasemide may increase the excretion rate of Ioflupane I-123 which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AA01, technetium Tc 99m exametazime, Torasemide may increase the excretion rate of Technetium Tc-99m exametazime which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX06, florbetaben f-18, Torasemide may increase the excretion rate of Florbetaben (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Torasemide.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Torasemide.]
[R03CC13, clenbuterol, The risk or severity of hypokalemia can be increased when Clenbuterol is combined with Torasemide.]
[L01EA06, asciminib, The metabolism of Torasemide can be decreased when combined with Asciminib.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Torasemide.]
[B06AX04, mitapivat, The metabolism of Torasemide can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Torasemide may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA04, clomipramine, Torasemide may increase the excretion rate of Clomipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AE01, clonazepam, Torasemide may increase the excretion rate of Clonazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Torasemide.]
[C01EB24, mavacamten, The serum concentration of Torasemide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Torasemide may increase the excretion rate of Oseltamivir which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Torasemide.]
[H01CC04, linzagolix, The serum concentration of Torasemide can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Torasemide.]
[N05AH02, clozapine, Torasemide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Torasemide.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Torasemide.]
[J01GB12, arbekacin, The serum concentration of Arbekacin can be increased when it is combined with Torasemide.]
[C02KB01, metyrosine, Torasemide may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Torasemide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Proquazone.]
[R05DA04, codeine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Codeine.]
[M04AC01, colchicine, Torasemide may increase the excretion rate of Colchicine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Torasemide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, The serum concentration of Colistin can be increased when it is combined with Torasemide.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Torasemide.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Torasemide.]
[A04AA03, tropisetron, Torasemide may increase the excretion rate of Tropisetron which could result in a lower serum level and potentially a reduction in efficacy.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Torasemide.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Torasemide.]
[N02BA16, imidazole-2-hydroxybenzoate, The therapeutic efficacy of Torasemide can be decreased when used in combination with Imidazole salicylate.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Torasemide.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Torasemide is combined with Insulin glargine.]
[J01FA15, telithromycin, The excretion of Torasemide can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hypokalemia can be increased when Ciclesonide is combined with Torasemide.]
[B01AC10, indobufen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Indobufen.]
[J05AB14, valganciclovir, Torasemide may increase the excretion rate of Valganciclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[C05BB03, invert sugar, Torasemide may increase the excretion rate of Invert sugar which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB09, iodixanol, Torasemide may increase the excretion rate of Iodixanol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB05, iopromide, Torasemide may increase the excretion rate of Iopromide which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB07, ioversol, Torasemide may increase the excretion rate of Ioversol which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AB12, ioxilan, Torasemide may increase the excretion rate of Ioxilan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH03, valdecoxib, The therapeutic efficacy of Torasemide can be decreased when used in combination with Valdecoxib.]
[C01AA06, lanatoside C, The risk or severity of adverse effects can be increased when Torasemide is combined with Lanatoside C.]
[A03AX10, isometheptene, Isometheptene may decrease the antihypertensive activities of Torasemide.]
[N02CC05, almotriptan, Torasemide may increase the excretion rate of Almotriptan which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH04, parecoxib, The therapeutic efficacy of Torasemide can be decreased when used in combination with Parecoxib.]
[S01AD03, acyclovir, Torasemide may increase the excretion rate of Acyclovir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA10, ketazolam, Torasemide may increase the excretion rate of Ketazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AA06, kebuzone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Kebuzone.]
[L01EA01, imatinib, The metabolism of Torasemide can be decreased when combined with Imatinib.]
[S01EE04, travoprost, Torasemide may increase the hypotensive activities of Travoprost.]
[S01EE03, bimatoprost, Torasemide may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Torasemide may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The risk or severity of adverse effects can be increased when Torasemide is combined with Lactitol.]
[N03AX09, lamotrigine, Torasemide may increase the excretion rate of Lamotrigine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Torasemide.]
[N07BC04, lofexidine, Torasemide may increase the excretion rate of Lofexidine which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB09, lonazolac, The therapeutic efficacy of Torasemide can be decreased when used in combination with Lonazolac.]
[R06AX13, loratadine, The metabolism of Torasemide can be decreased when combined with Loratadine.]
[M02AA31, loxoprofen, The therapeutic efficacy of Torasemide can be decreased when used in combination with Loxoprofen.]
[C09AA03, lisinopril, Torasemide may increase the excretion rate of Lisinopril which could result in a lower serum level and potentially a reduction in efficacy.]
[A06AD01, magnesium carbonate, The risk or severity of adverse effects can be increased when Torasemide is combined with Magnesium carbonate.]
[C08CA11, manidipine, The metabolism of Torasemide can be decreased when combined with Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Torasemide.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Torasemide.]
[J01DH02, meropenem, Torasemide may increase the excretion rate of Meropenem which could result in a lower serum level and potentially a reduction in efficacy.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the antihypertensive activities of Torasemide.]
[R06AE03, cyclizine, The metabolism of Torasemide can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, Torasemide may increase the hypotensive activities of Eplerenone.]
[N05AD03, metylperon, Torasemide may increase the excretion rate of Melperone which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Torasemide can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Torasemide.]
[J05AF07, tenofovir disoproxil, Torasemide may increase the excretion rate of Tenofovir disoproxil which could result in a lower serum level and potentially a reduction in efficacy.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Torasemide.]
[N06AX07, minaprine, Minaprine may increase the hypotensive activities of Torasemide.]
[S01XA18, cyclosporine, The risk or severity of renal failure can be increased when Torasemide is combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the hypotensive activities of Torasemide.]
[N06BA07, modafinil, The metabolism of Torasemide can be decreased when combined with Modafinil.]
[C09AA13, moexipril, Torasemide may increase the hypotensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Torasemide.]
[M02AA02, mofebutazone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Mofebutazone.]
[M01AX22, morniflumate, The therapeutic efficacy of Torasemide can be decreased when used in combination with Morniflumate.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Torasemide is combined with Conivaptan.]
[C02AC05, moxonidine, Moxonidine may decrease the antihypertensive activities of Torasemide.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Torasemide.]
[M01AH05, etoricoxib, The therapeutic efficacy of Torasemide can be decreased when used in combination with Etoricoxib.]
[L01AX04, dacarbazine, Torasemide may increase the excretion rate of Dacarbazine which could result in a lower serum level and potentially a reduction in efficacy.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Torasemide.]
[C02CC04, debrisoquin, Torasemide may increase the hypotensive activities of Debrisoquine.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Torasemide.]
[M01AX01, nabumetone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Torasemide may increase the excretion rate of Nalmefene which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA15, potassium lactate, The risk or severity of adverse effects can be increased when Torasemide is combined with Potassium lactate.]
[C07AB12, nebivolol, Torasemide may increase the hypotensive activities of Nebivolol.]
[S01GX04, nedocromil, Torasemide may increase the excretion rate of Nedocromil which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX06, nefazodone, Torasemide may increase the excretion rate of Nefazodone which could result in a lower serum level and potentially a reduction in efficacy.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Torasemide.]
[L02BB02, nilutamide, Torasemide may increase the excretion rate of Nilutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA23, theodrenaline, The risk or severity of Cardiac Arrhythmia can be increased when Theodrenaline is combined with Torasemide.]
[M03AC11, cisatracurium, Torasemide may decrease the neuromuscular blocking activities of Cisatracurium.]
[C01CA05, norfenefrine, Norfenefrine may decrease the antihypertensive activities of Torasemide.]
[R05DA06, normethadone, The therapeutic efficacy of Torasemide can be decreased when used in combination with Normethadone.]
[B01AX05, fondaparinux, Torasemide may increase the excretion rate of Fondaparinux which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD08, solifenacin, Solifenacin may decrease the antihypertensive activities of Torasemide.]
[A07EC03, olsalazine, The therapeutic efficacy of Torasemide can be decreased when used in combination with Olsalazine.]
[N06AA01, desipramine, Torasemide may increase the excretion rate of Desipramine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01AA07, deslanoside, The risk or severity of adverse effects can be increased when Torasemide is combined with Deslanoside.]
[H01BA02, desmopressin, Torasemide may increase the excretion rate of Desmopressin which could result in a lower serum level and potentially a reduction in efficacy.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Torasemide.]
[V04CH02, indigo carmine, Torasemide may increase the excretion rate of Indigotindisulfonic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Torasemide.]
[J01DH03, ertapenem, Torasemide may increase the excretion rate of Ertapenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C09XA02, aliskiren, Torasemide may increase the hypotensive activities of Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Torasemide can be decreased when used in combination with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of hypokalemia can be increased when Dexamethasone is combined with Torasemide.]
[G04BD04, oxybutynin, The metabolism of Torasemide can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Torasemide can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Torasemide may increase the excretion rate of Amphetamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Torasemide.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Torasemide.]
[N02AC01, dextromoramide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Torasemide can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Torasemide can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The therapeutic efficacy of Torasemide can be decreased when used in combination with Diamorphine.]
[P03AC04, permethrin, Torasemide may increase the excretion rate of Permethrin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, Torasemide may increase the excretion rate of Diazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Torasemide.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Torasemide.]
