[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Nitrazepam.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Normethadone is combined with Nitrazepam.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Escitalopram.]
[G04BD08, solifenacin, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Nitrazepam.]
[S03BA01, dexamethasone, The metabolism of Nitrazepam can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Oxiracetam.]
[N04AA08, dexetimide, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[N06BA02, dextroamphetamine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Amphetamine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Nitrazepam.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Nitrazepam.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Dextromoramide is combined with Nitrazepam.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Diamorphine is combined with Nitrazepam.]
[C04AD01, pentifylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Pentifylline.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Nitrazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Nitrazepam.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Phensuximide is combined with Nitrazepam.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Cinchocaine.]
[A03AA07, dicyclomine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pipamperone.]
[A03AB14, pipenzolate, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Nitrazepam.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Nitrazepam.]
[C08CA03, isradipine, The metabolism of Nitrazepam can be decreased when combined with Isradipine.]
[A03AB11, poldine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Nitrazepam.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Nitrazepam.]
[J05AE08, atazanavir, The metabolism of Nitrazepam can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Nitrazepam can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Dimenhydrinate is combined with Nitrazepam.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Pridinol.]
[R06AB03, dimethindene, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Progabide is combined with Nitrazepam.]
[N06BC02, propentofylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Propentofylline.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Proparacaine.]
[R03DA03, proxyphylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Proxyphylline.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Diphenoxylate is combined with Nitrazepam.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Quazepam is combined with Nitrazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Nitrazepam.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Nitrazepam.]
[C01BA03, disopyramide, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Nitrazepam can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Nitrazepam can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Riluzole is combined with Nitrazepam.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Risperidone is combined with Nitrazepam.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Ropivacaine.]
[A04AD12, aprepitant, The metabolism of Nitrazepam can be decreased when combined with Aprepitant.]
[N06AA16, dothiepin, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sevoflurane is combined with Nitrazepam.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Dyphylline.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Nitrazepam.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Nitrazepam resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Thiopropazate.]
[G04BD01, emepronium, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tianeptine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Toloxatone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Nitrazepam.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Chloral hydrate is combined with Nitrazepam.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Triclofos.]
[A03AB08, tridihexethyl, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Nitrazepam.]
[N04AA12, tropatepine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Nitrazepam.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Veralipride.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Epinastine is combined with Nitrazepam.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Venlafaxine is combined with Nitrazepam.]
[C08CA12, mepirodipine, The metabolism of Nitrazepam can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Zonisamide is combined with Nitrazepam.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Nitrazepam.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Moricizine is combined with Nitrazepam.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Ergometrine is combined with Nitrazepam.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Ergoloid mesylate is combined with Nitrazepam.]
[N02CA02, ergotamine, The metabolism of Nitrazepam can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Nitrazepam.]
[S01AA17, erythromycin, The metabolism of Nitrazepam can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Estazolam is combined with Nitrazepam.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Nitrazepam.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Nitrazepam.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Nitrazepam.]
[N04AA05, profenamine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Nitrazepam.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Ethotoin is combined with Nitrazepam.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Ethylmorphine is combined with Nitrazepam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Nitrazepam.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Sertindole.]
[R06AX12, terfenadine, The metabolism of Nitrazepam can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Bupropion is combined with Nitrazepam.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Fluvoxamine.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Nitrazepam.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Fentanyl is combined with Nitrazepam.]
[G04BD02, flavoxate, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[J02AC01, fluconazole, The metabolism of Nitrazepam can be decreased when combined with Fluconazole.]
[V03AB25, flumazenil, Flumazenil may decrease the sedative activities of Nitrazepam.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Flunitrazepam is combined with Nitrazepam.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Melitracen.]
[V03AZ01, ethanol, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[N06AB03, fluoxetine, The serum concentration of Nitrazepam can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, Flupentixol may increase the sedative activities of Nitrazepam.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fluphenazine is combined with Nitrazepam.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Flurazepam is combined with Nitrazepam.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Fluspirilene.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Furazolidone is combined with Nitrazepam.]
[J05AE10, darunavir, The metabolism of Nitrazepam can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Nitrazepam is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Amisulpride.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Cabergoline is combined with Nitrazepam.]
[C01CA21, cafedrine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Cafedrine.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Methsuximide.]
[G03XA02, gestrinone, The metabolism of Gestrinone can be increased when combined with Nitrazepam.]
[N01AH02, alfentanil, The risk or severity of adverse effects can be increased when Alfentanil is combined with Nitrazepam.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Dexmedetomidine is combined with Nitrazepam.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Glutethimide is combined with Nitrazepam.]
[P01BX01, halofantrine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Nitrazepam.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Halothane is combined with Nitrazepam.]
[N05AH04, quetiapine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Iprazochrome.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Allobarbital.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Hexobarbital is combined with Nitrazepam.]
[C08CA10, nilvadipine, The metabolism of Nitrazepam can be decreased when combined with Nilvadipine.]
[R05DA03, hydrocodone, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[G04BD06, propiverine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Propiverine.]
[P01BA02, hydroxychloroquine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Hydroxychloroquine.]
[N05AX07, prothipendyl, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Prothipendyl.]
[N05BB01, hydroxyzine, Hydroxyzine may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[N01AH03, sufentanil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nitrazepam.]
[N06AA02, imipramine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Imipramine.]
[M03BX02, tizanidine, The risk or severity of adverse effects can be increased when Tizanidine is combined with Nitrazepam.]
[L01CE01, topotecan, Nitrazepam may increase the excretion rate of Topotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX17, milnacipran, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Milnacipran.]
[A03AA30, piperidolate, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Piperidolate.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Articaine.]
[V08AB02, iohexol, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Iohexol.]
[N05BA12, alprazolam, The risk or severity of adverse effects can be increased when Alprazolam is combined with Nitrazepam.]
[N05CH02, ramelteon, The risk or severity of adverse effects can be increased when Ramelteon is combined with Nitrazepam.]
[R06AE01, buclizine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Buclizine.]
[C07AA01, alprenolol, The risk or severity of adverse effects can be increased when Alprenolol is combined with Nitrazepam.]
[N06AA13, iprindole, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Iprindole.]
[N06AF05, iproniazid, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Iproniazid.]
[N05AA07, chlorproethazine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Chlorproethazine.]
[N06AF01, isocarboxazid, The risk or severity of adverse effects can be increased when Isocarboxazid is combined with Nitrazepam.]
[N01AB06, isoflurane, The risk or severity of adverse effects can be increased when Isoflurane is combined with Nitrazepam.]
[N04BX02, entacapone, The risk or severity of adverse effects can be increased when Entacapone is combined with Nitrazepam.]
[J04AC01, isoniazid, The metabolism of Nitrazepam can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The risk or severity of adverse effects can be increased when Reboxetine is combined with Nitrazepam.]
[N01AX03, ketamine, The risk or severity of adverse effects can be increased when Ketamine is combined with Nitrazepam.]
[C02KD01, ketanserin, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Ketanserin.]
[J02AB02, ketoconazole, The metabolism of Nitrazepam can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Nitrazepam can be decreased when combined with Levoketoconazole.]
[N05AH03, olanzapine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC09, rotigotine, Nitrazepam may increase the sedative activities of Rotigotine.]
[J01MB02, nalidixic acid, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Nalidixic acid.]
[D11AX02, gamma-linolenic acid, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Gamolenic acid.]
[N03AX18, lacosamide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lacosamide.]
[G03AD01, levonorgestrel, The metabolism of Levonorgestrel can be increased when combined with Nitrazepam.]
[N04BA01, levodopa, The risk or severity of adverse effects can be increased when Levodopa is combined with Nitrazepam.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Lidocaine.]
[N02CA07, lisuride, The risk or severity of adverse effects can be increased when Lisuride is combined with Nitrazepam.]
[N06AA07, lofepramine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Lofepramine.]
[N05BA06, lorazepam, The risk or severity of adverse effects can be increased when Lorazepam is combined with Nitrazepam.]
[C10AA02, lovastatin, The metabolism of Nitrazepam can be decreased when combined with Lovastatin.]
[N05AH01, loxapine, The risk or severity of adverse effects can be increased when Loxapine is combined with Nitrazepam.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be increased when combined with Nitrazepam.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Nitrazepam can be increased when used in combination with Magnesium sulfate.]
[L01EA03, nilotinib, The metabolism of Nitrazepam can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Maprotiline.]
[A08AA05, mazindol, The risk or severity of adverse effects can be increased when Mazindol is combined with Nitrazepam.]
[R06AE05, meclizine, The risk or severity of adverse effects can be increased when Meclizine is combined with Nitrazepam.]
[N05BA03, medazepam, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Medazepam.]
[P01BC02, mefloquine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Mefloquine.]
[N05CH01, melatonin, The risk or severity of adverse effects can be increased when Melatonin is combined with Nitrazepam.]
[N02AB02, meperidine, The risk or severity of adverse effects can be increased when Meperidine is combined with Nitrazepam.]
[N03AB04, mephenytoin, The risk or severity of adverse effects can be increased when Mephenytoin is combined with Nitrazepam.]
[N03AA01, mephobarbital, The risk or severity of adverse effects can be increased when Methylphenobarbital is combined with Nitrazepam.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Nitrazepam is combined with Mepivacaine.]
[N05BC01, meprobamate, The risk or severity of adverse effects can be increased when Meprobamate is combined with Nitrazepam.]
[N02AX05, meptazinol, The risk or severity of adverse effects can be increased when Meptazinol is combined with Nitrazepam.]
[N05AC03, mesoridazine, The risk or severity of adverse effects can be increased when Mesoridazine is combined with Nitrazepam.]
[N05AX13, paliperidone, The risk or severity of adverse effects can be increased when Paliperidone is combined with Nitrazepam.]
[A04AA04, dolasetron, The risk or severity of adverse effects can be increased when Dolasetron is combined with Nitrazepam.]
[N07BC02, methadone, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Methadone.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Nitrazepam.]
[A03AB07, methantheline, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Methantheline.]
[R06AC05, methapyrilene, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Methapyrilene.]
[N05CM01, methaqualone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Methaqualone.]
[N03AA30, metharbital, The risk or severity of adverse effects can be increased when Metharbital is combined with Nitrazepam.]
[G02CB05, metergoline, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Metergoline.]
[H03BB02, methimazole, The metabolism of Nitrazepam can be decreased when combined with Methimazole.]
[M03BA03, methocarbamol, The risk or severity of adverse effects can be increased when Methocarbamol is combined with Nitrazepam.]
[N05CA15, methohexital, The risk or severity of adverse effects can be increased when Methohexital is combined with Nitrazepam.]
[N02BG08, ziconotide, The risk or severity of CNS depression can be increased when Nitrazepam is combined with Ziconotide.]
[N05AA02, methotrimeprazine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Methotrimeprazine.]
[N02BG09, methoxyflurane, The risk or severity of adverse effects can be increased when Methoxyflurane is combined with Nitrazepam.]
[V04CG05, methylene blue, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Methylene blue.]
[R03DA05, aminophylline, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Aminophylline.]
[N06BA04, methylphenidate, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Methylphenidate.]
[N03AF03, rufinamide, The risk or severity of adverse effects can be increased when Rufinamide is combined with Nitrazepam.]
[N05CE02, methyprylon, The risk or severity of adverse effects can be increased when Methyprylon is combined with Nitrazepam.]
[N02CA04, methysergide, The risk or severity of adverse effects can be increased when Methysergide is combined with Nitrazepam.]
[A03FA01, metoclopramide, The risk or severity of sedation can be increased when Metoclopramide is combined with Nitrazepam.]
[P01AB01, metronidazole, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Metronidazole.]
[N06AX03, mianserin, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Mianserin.]
[S02AA13, miconazole, The metabolism of Nitrazepam can be decreased when combined with Miconazole.]
[N05CD08, midazolam, The risk or severity of adverse effects can be increased when Midazolam is combined with Nitrazepam.]
[G03XB01, mifepristone, The metabolism of Mifepristone can be increased when combined with Nitrazepam.]
[J01AA08, minocycline, Minocycline may increase the central nervous system depressant (CNS depressant) activities of Nitrazepam.]
[L01XX23, mitotane, The metabolism of Nitrazepam can be increased when combined with Mitotane.]
[N05AE02, molindone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Molindone.]
[C01BD01, amiodarone, The metabolism of Nitrazepam can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Amitriptyline.]
[N02AA01, morphine, The risk or severity of adverse effects can be increased when Morphine is combined with Nitrazepam.]
[A04AA05, palonosetron, The risk or severity of adverse effects can be increased when Palonosetron is combined with Nitrazepam.]
[M03AC03, vecuronium, The risk or severity of adverse effects can be increased when Vecuronium is combined with Nitrazepam.]
[N05CA02, amobarbital, The risk or severity of adverse effects can be increased when Amobarbital is combined with Nitrazepam.]
[R03BB01, ipratropium bromide, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Ipratropium.]
[N06AA17, amoxapine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AB05, fosphenytoin, The metabolism of Nitrazepam can be increased when combined with Fosphenytoin.]
[N04BC04, ropinirole, Nitrazepam may increase the sedative activities of Ropinirole.]
[C04AX21, nafronyl, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Naftidrofuryl.]
[N02AF02, nalbuphine, The risk or severity of adverse effects can be increased when Nalbuphine is combined with Nitrazepam.]
[V03AB15, naloxone, The metabolism of Nitrazepam can be decreased when combined with Naloxone.]
[N07BB04, naltrexone, The risk or severity of adverse effects can be increased when Naltrexone is combined with Nitrazepam.]
[S01GA01, naphazoline, The risk or severity of CNS depression can be increased when Naphazoline is combined with Nitrazepam.]
[N06BA01, amphetamine, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Amphetamine.]
[N06AX21, duloxetine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Duloxetine.]
[N04BX01, tolcapone, The risk or severity of adverse effects can be increased when Tolcapone is combined with Nitrazepam.]
[N01AH06, remifentanil, The risk or severity of adverse effects can be increased when Remifentanil is combined with Nitrazepam.]
[N05AX14, iloperidone, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Iloperidone.]
[J02AA01, amphotericin B, The therapeutic efficacy of Nitrazepam can be decreased when used in combination with Amphotericin B.]
[N06AX23, desvenlafaxine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Desvenlafaxine.]
[N06AF02, nialamide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Nialamide.]
[C08CA04, nicardipine, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Nicardipine.]
[N07XX04, sodium oxybate, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[N05CF03, zaleplon, The risk or severity of adverse effects can be increased when Zaleplon is combined with Nitrazepam.]
[N04BC05, pramipexole, Nitrazepam may increase the sedative activities of Pramipexole.]
[N01AX13, nitrous oxide, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Nitrous oxide.]
[N06AX04, nomifensine, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Nomifensine.]
[G03DC02, norethindrone, The metabolism of Norethisterone can be increased when combined with Nitrazepam.]
[G03AC07, norgestrienone, The metabolism of Norgestrienone can be increased when combined with Nitrazepam.]
[N06AA10, nortriptyline, Nitrazepam may increase the central nervous system depressant (CNS depressant) activities of Nortriptyline.]
[N06AA05, opipramol, The risk or severity of adverse effects can be increased when Nitrazepam is combined with Opipramol.]
[N02AA02, opium, The risk or severity of adverse effects can be increased when Opium is combined with Nitrazepam.]
[N05BA04, oxazepam, The risk or severity of adverse effects can be increased when Oxazepam is combined with Nitrazepam.]
