[B01AD01, streptokinase, Propylthiouracil may increase the anticoagulant activities of Streptokinase.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Cytarabine.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Dactinomycin.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Daunorubicin.]
[N06AX06, nefazodone, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Nefazodone.]
[C01CA23, theodrenaline, Propylthiouracil may decrease the excretion rate of Theodrenaline which could result in a higher serum level.]
[B01AX05, fondaparinux, Propylthiouracil may increase the anticoagulant activities of Fondaparinux.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Propylthiouracil.]
[N06AB10, escitalopram, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Escitalopram.]
[N06AA01, desipramine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Desipramine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Propylthiouracil.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Propylthiouracil.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Propylthiouracil.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Dexamethasone.]
[L04AB04, adalimumab, The risk or severity of adverse effects can be increased when Adalimumab is combined with Propylthiouracil.]
[L01EB01, gefitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Propylthiouracil.]
[N06AB05, paroxetine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Paroxetine.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Clopidogrel is combined with Propylthiouracil.]
[C04AD01, pentifylline, Propylthiouracil may decrease the excretion rate of Pentifylline which could result in a higher serum level.]
[N05BA01, diazepam, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Diazepam.]
[N06AA08, dibenzepin, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Dibenzepin.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ixabepilone.]
[L01EB02, erlotinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pirarubicin.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Diethylpropion is combined with Propylthiouracil.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Difluocortolone.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be increased when it is combined with Propylthiouracil.]
[C01AA05, digoxin, The serum concentration of Digoxin can be increased when it is combined with Propylthiouracil.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Propylthiouracil.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Propylthiouracil.]
[R03CC08, procaterol, The risk or severity of adverse effects can be increased when Procaterol is combined with Propylthiouracil.]
[N06BC02, propentofylline, Propylthiouracil may decrease the excretion rate of Propentofylline which could result in a higher serum level.]
[R03DA03, proxyphylline, Propylthiouracil may decrease the excretion rate of Proxyphylline which could result in a higher serum level.]
[B01AC07, dipyridamole, Propylthiouracil may increase the anticoagulant activities of Dipyridamole.]
[B01AD10, drotrecogin alfa, Propylthiouracil may increase the anticoagulant activities of Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Quinupramine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Sirolimus.]
[S01AX06, resorcinol, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Resorcinol.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Natalizumab.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Propylthiouracil.]
[L01EX01, sunitinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Propylthiouracil.]
[R03AC12, salmeterol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of adverse effects can be increased when Dobutamine is combined with Propylthiouracil.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Dopamine is combined with Propylthiouracil.]
[N06AA16, dothiepin, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Doxepin.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Doxorubicin.]
[N06AB06, sertraline, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Sertraline.]
[A08AA10, sibutramine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Sibutramine.]
[C10AA01, simvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Simvastatin.]
[R03DA01, dyphylline, Propylthiouracil may decrease the excretion rate of Dyphylline which could result in a higher serum level.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Temozolomide.]
[D01BA02, terbinafine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Terbinafine.]
[S01GA02, tetrahydrozoline, The risk or severity of adverse effects can be increased when Tetryzoline is combined with Propylthiouracil.]
[P01AX02, emetine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Emetine.]
[N06AX14, tianeptine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Enalapril.]
[R01AA09, tramazoline, The risk or severity of adverse effects can be increased when Tramazoline is combined with Propylthiouracil.]
[B01AC18, triflusal, Propylthiouracil may increase the anticoagulant activities of Triflusal.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Trofosfamide.]
[C05CA04, troxerutin, Propylthiouracil may increase the anticoagulant activities of Troxerutin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Propylthiouracil.]
[S01FB02, ephedrine, The risk or severity of adverse effects can be increased when Ephedrine is combined with Propylthiouracil.]
[S01EA01, epinephrine, The risk or severity of adverse effects can be increased when Epinephrine is combined with Propylthiouracil.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Propylthiouracil.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Propylthiouracil.]
[B01AD03, anistreplase, Propylthiouracil may increase the anticoagulant activities of Anistreplase.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Iloprost.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Estramustine.]
[R03BA09, fluticasone furoate, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluticasone.]
[C10AA04, fluvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Fluvastatin.]
[C01CA15, gepefrine, The risk or severity of adverse effects can be increased when Gepefrine is combined with Propylthiouracil.]
[J04AD03, ethionamide, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Ethionamide.]
[C01CA01, etilefrine, The risk or severity of adverse effects can be increased when Etilefrine is combined with Propylthiouracil.]
[L01CB01, etoposide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Etoposide.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Propylthiouracil.]
[A02BA04, nizatidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Nizatidine.]
[N06AB08, fluvoxamine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Fluvoxamine.]
[L02AE02, leuprolide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leuprolide is combined with Propylthiouracil.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Propylthiouracil.]
[C10AA03, pravastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pravastatin is combined with Propylthiouracil.]
[B05AA05, dextran, Propylthiouracil may increase the anticoagulant activities of Dextran.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Propylthiouracil.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Propylthiouracil.]
[B01AD05, plasmin, Propylthiouracil may increase the anticoagulant activities of Fibrinolysin.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Clofarabine.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Propylthiouracil.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fludrocortisone.]
[D07AC08, fluocinonide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Melitracen.]
[H02AB03, fluocortolone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Propylthiouracil.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Propylthiouracil.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Propylthiouracil.]
[N06AB03, fluoxetine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Propylthiouracil.]
[M05BA04, alendronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Alendronic acid.]
[S01AD09, ganciclovir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ganciclovir.]
[C10AB04, gemfibrozil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Gemfibrozil.]
[L01EA02, dasatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Dasatinib.]
[C01CA21, cafedrine, Propylthiouracil may decrease the excretion rate of Cafedrine which could result in a higher serum level.]
[L01EH01, lapatinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Lapatinib.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Propylthiouracil.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Propylthiouracil.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Propylthiouracil.]
[L01EX02, sorafenib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Sorafenib.]
[B01AA12, fluindione, Propylthiouracil may increase the anticoagulant activities of Fluindione.]
[A10AD05, insulin aspart, human, The therapeutic efficacy of Insulin aspart can be decreased when used in combination with Propylthiouracil.]
[L01CE02, irinotecan, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Irinotecan.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Propylthiouracil.]
[S01XA14, heparin, Propylthiouracil may increase the anticoagulant activities of Heparin.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Propylthiouracil.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Propylthiouracil.]
[C03AA03, hydrochlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydrochlorothiazide is combined with Propylthiouracil.]
[D07AB02, hydrocortisone butyrate, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Hydrocortisone butyrate.]
[C03AA02, hydroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Hydroflumethiazide is combined with Propylthiouracil.]
[P01BA02, hydroxychloroquine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Hydroxychloroquine.]
[L01XX05, hydroxyurea, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Hydroxyurea.]
[M05BA07, risedronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Risedronic acid.]
[B05CB02, sodium citrate, Propylthiouracil may increase the anticoagulant activities of Sodium citrate.]
[L01DB06, idarubicin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Idarubicin.]
[L01AA06, ifosfamide, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ifosfamide.]
[N06AA02, imipramine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Imipramine.]
[L01CD01, paclitaxel, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Paclitaxel.]
[R01AD07, tixocortol, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Tixocortol.]
[L01CE01, topotecan, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Topotecan.]
[S01BC01, indomethacin, The risk or severity of adverse effects can be increased when Indomethacin is combined with Propylthiouracil.]
[L03AB04, interferon alfa-2a, The risk or severity of adverse effects can be increased when Interferon alfa-2a is combined with Propylthiouracil.]
[L03AB05, interferon alfa-2b, The risk or severity of adverse effects can be increased when Interferon alfa-2b is combined with Propylthiouracil.]
[N06AX17, milnacipran, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Milnacipran.]
[L04AA25, eculizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Eculizumab.]
[C10AA06, cerivastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cerivastatin is combined with Propylthiouracil.]
[L01XX35, anagrelide, The risk or severity of bleeding can be increased when Anagrelide is combined with Propylthiouracil.]
[L03AB09, interferon alfacon-1, The risk or severity of adverse effects can be increased when Interferon alfacon-1 is combined with Propylthiouracil.]
[V03AB01, ipecac, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ipecac.]
[J05AF04, stavudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Stavudine.]
[N06AA13, iprindole, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Iprindole.]
[J04AC01, isoniazid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Isoniazid.]
[R03CB01, isoproterenol, The risk or severity of adverse effects can be increased when Isoprenaline is combined with Propylthiouracil.]
[D10BA01, isotretinoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Isotretinoin.]
[C04AA01, isoxsuprine, The risk or severity of adverse effects can be increased when Isoxsuprine is combined with Propylthiouracil.]
[P02CF01, ivermectin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ivermectin.]
[B01AE06, bivalirudin, Propylthiouracil may increase the anticoagulant activities of Bivalirudin.]
[H01AC01, somatropin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Somatotropin is combined with Propylthiouracil.]
[L04AC07, tocilizumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Tocilizumab.]
[C02KD01, ketanserin, The risk or severity of bleeding can be increased when Ketanserin is combined with Propylthiouracil.]
[B01AC22, prasugrel, Propylthiouracil may increase the anticoagulant activities of Prasugrel.]
[L04AA24, abatacept, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Abatacept.]
[C07AG01, labetalol, The risk or severity of adverse effects can be increased when Labetalol is combined with Propylthiouracil.]
[L01DC03, mitomycin, The risk or severity of adverse effects can be increased when Mitomycin is combined with Propylthiouracil.]
[N06AA07, lofepramine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Lofepramine.]
[L01AD02, lomustine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Lomustine.]
[C10AA02, lovastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lovastatin is combined with Propylthiouracil.]
[L01EG01, temsirolimus, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Temsirolimus.]
[L01BA05, pralatrexate, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pralatrexate.]
[L01EA03, nilotinib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Nilotinib.]
[L01AA05, mechlorethamine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Mechlorethamine.]
[C01AA08, medigoxin, The serum concentration of Metildigoxin can be increased when it is combined with Propylthiouracil.]
[P01BC02, mefloquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Mefloquine is combined with Propylthiouracil.]
[B01AB06, nadroparin, Propylthiouracil may increase the anticoagulant activities of Nadroparin.]
[B01AB05, enoxaparin, Propylthiouracil may increase the anticoagulant activities of Enoxaparin.]
[B01AB04, dalteparin, Propylthiouracil may increase the anticoagulant activities of Dalteparin.]
[L01AA03, melphalan, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Melphalan.]
[C01CA11, mephentermine, The risk or severity of adverse effects can be increased when Mephentermine is combined with Propylthiouracil.]
[C01CA09, metaraminol, The risk or severity of adverse effects can be increased when Metaraminol is combined with Propylthiouracil.]
[N06BA03, methamphetamine, The risk or severity of adverse effects can be increased when Metamfetamine is combined with Propylthiouracil.]
[J05AF05, lamivudine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Lamivudine.]
[H03BB02, methimazole, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Methimazole.]
[L01BA04, pemetrexed, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pemetrexed.]
[L04AX03, methotrexate, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Methotrexate.]
[C01CA10, methoxamine, The risk or severity of adverse effects can be increased when Methoxamine is combined with Propylthiouracil.]
[C03AA08, methyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Methyclothiazide is combined with Propylthiouracil.]
[C02AB01, methyldopa, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Methyldopa.]
[R03DA05, aminophylline, Propylthiouracil may decrease the excretion rate of Aminophylline which could result in a higher serum level.]
[H02AB04, methylprednisolone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Methylprednisolone.]
[A03FA01, metoclopramide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Metoclopramide.]
[B01AB07, parnaparin, Propylthiouracil may increase the anticoagulant activities of Parnaparin.]
[C01CA17, midodrine, The risk or severity of adverse effects can be increased when Midodrine is combined with Propylthiouracil.]
[B01AB10, tinzaparin, Propylthiouracil may increase the anticoagulant activities of Tinzaparin.]
[J01AA08, minocycline, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Minocycline.]
[L01DB07, mitoxantrone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Mitoxantrone.]
[N06BA12, lisdexamfetamine, The risk or severity of adverse effects can be increased when Lisdexamfetamine is combined with Propylthiouracil.]
[L03AC01, aldesleukin, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Aldesleukin.]
[C01BD01, amiodarone, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Amiodarone.]
[N06AA09, amitriptyline, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Amitriptyline.]
[L04AB05, certolizumab pegol, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Certolizumab pegol.]
[L04AA52, ofatumumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Ofatumumab.]
[L01EX03, pazopanib, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Pazopanib.]
[L04AA06, mycophenolic acid, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Mycophenolic acid.]
[J05AJ01, raltegravir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Raltegravir.]
[N06AA17, amoxapine, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Amoxapine.]
[L03AB08, interferon beta-1b, The risk or severity of adverse effects can be increased when Interferon beta-1b is combined with Propylthiouracil.]
[N07BB04, naltrexone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Naltrexone.]
[L04AC03, anakinra, The risk or severity of adverse effects can be increased when Anakinra is combined with Propylthiouracil.]
[S01GA01, naphazoline, The risk or severity of adverse effects can be increased when Naphazoline is combined with Propylthiouracil.]
[N06BA01, amphetamine, The risk or severity of adverse effects can be increased when Amphetamine is combined with Propylthiouracil.]
[N06AX21, duloxetine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Duloxetine.]
[L01CD02, docetaxel, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Docetaxel.]
[L02BG04, letrozole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Letrozole.]
[B01AC17, tirofiban, The risk or severity of bleeding can be increased when Tirofiban is combined with Propylthiouracil.]
[J02AA01, amphotericin B, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Amphotericin B.]
[N06AX23, desvenlafaxine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Desvenlafaxine.]
[L01XX01, amsacrine, The risk or severity of adverse effects can be increased when Amsacrine is combined with Propylthiouracil.]
[C10AD02, niacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Niacin.]
[C01CA03, norepinephrine, The risk or severity of adverse effects can be increased when Norepinephrine is combined with Propylthiouracil.]
[S01AE02, norfloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Norfloxacin.]
[N06AA10, nortriptyline, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Nortriptyline.]
[B01AC16, eptifibatide, The risk or severity of bleeding can be increased when Eptifibatide is combined with Propylthiouracil.]
[G02CA02, nylidrin, The risk or severity of adverse effects can be increased when Nylidrin is combined with Propylthiouracil.]
[B01AB08, reviparin, Propylthiouracil may increase the anticoagulant activities of Reviparin.]
[S02AA16, ofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Ofloxacin.]
[L04AC04, rilonacept, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Rilonacept.]
[N06AA05, opipramol, The risk or severity of Cardiac Arrhythmia can be increased when Propylthiouracil is combined with Opipramol.]
[R03CB03, metaproterenol, The risk or severity of adverse effects can be increased when Orciprenaline is combined with Propylthiouracil.]
[B01AD07, reteplase, Propylthiouracil may increase the anticoagulant activities of Reteplase.]
[B01AD09, ancrod, Propylthiouracil may increase the anticoagulant activities of Ancrod.]
[C01AC01, ouabain, The serum concentration of Ouabain can be increased when it is combined with Propylthiouracil.]
[S01GA04, oxymetazoline, The risk or severity of adverse effects can be increased when Oxymetazoline is combined with Propylthiouracil.]
[J04AA01, aminosalicylic acid, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Aminosalicylic acid.]
[B01AB09, danaparoid, Propylthiouracil may increase the anticoagulant activities of Danaparoid.]
[H02AB05, paramethasone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Paramethasone.]
[M01CC01, penicillamine, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Penicillamine.]
[J07AF01, diphtheria toxoid vaccine, inactivated, The therapeutic efficacy of Corynebacterium diphtheriae toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Propylthiouracil.]
[J07AM01, tetanus toxoid vaccine, inactivated, The therapeutic efficacy of Clostridium tetani toxoid antigen (formaldehyde inactivated) can be decreased when used in combination with Propylthiouracil.]
[L01XX08, pentostatin, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Pentostatin.]
[C04AD03, pentoxifylline, Propylthiouracil may decrease the excretion rate of Pentoxifylline which could result in a higher serum level.]
[N05AB03, perphenazine, The therapeutic efficacy of Propylthiouracil can be decreased when used in combination with Perphenazine.]
[J07AJ, pertussis vaccine, The therapeutic efficacy of Pertussis vaccine can be decreased when used in combination with Propylthiouracil.]
[B01AA02, phenindione, Propylthiouracil may increase the anticoagulant activities of Phenindione.]
[B01AA04, phenprocoumon, Propylthiouracil may increase the anticoagulant activities of Phenprocoumon.]
[A08AA01, phentermine, The risk or severity of adverse effects can be increased when Phentermine is combined with Propylthiouracil.]
[S01GA05, phenylephrine, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Propylthiouracil.]
[R01BA01, phenylpropanolamine, The risk or severity of adverse effects can be increased when Phenylpropanolamine is combined with Propylthiouracil.]
[N03AB02, phenytoin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Phenytoin is combined with Propylthiouracil.]
[L04AB06, golimumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Golimumab.]
[C10AA05, atorvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Atorvastatin.]
[J05AE01, saquinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Saquinavir.]
[C09CA02, eprosartan, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Eprosartan.]
[B01AC13, abciximab, Propylthiouracil may increase the anticoagulant activities of Abciximab.]
[S01XA13, alteplase, Propylthiouracil may increase the anticoagulant activities of Alteplase.]
[L04AC08, canakinumab, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Canakinumab.]
[C03AA05, polythiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Polythiazide is combined with Propylthiouracil.]
[J05AE03, ritonavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ritonavir is combined with Propylthiouracil.]
[A10AD04, insulin lispro, The therapeutic efficacy of Insulin lispro can be decreased when used in combination with Propylthiouracil.]
[C10AA08, pitavastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propylthiouracil is combined with Pitavastatin.]
[S03BA02, prednisolone, The risk or severity of adverse effects can be increased when Propylthiouracil is combined with Prednisolone.]
