[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Irinotecan.]
[J05AB16, remdesivir, The metabolism of Irinotecan can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Irinotecan can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Irinotecan.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Irinotecan.]
[M01AH02, rofecoxib, The metabolism of Irinotecan can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Irinotecan can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Irinotecan can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Irinotecan can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Irinotecan can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Irinotecan.]
[S03AA08, chloramphenicol, The metabolism of Irinotecan can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Irinotecan.]
[L01EX17, capmatinib, The serum concentration of Irinotecan can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The metabolism of Irinotecan can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Irinotecan.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Irinotecan.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Irinotecan.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Irinotecan is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Stepronin.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Irinotecan.]
[R06AX22, ebastine, The metabolism of Irinotecan can be decreased when combined with Ebastine.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L01FX15, belantamab mafodotin, The excretion of Belantamab mafodotin can be decreased when combined with Irinotecan.]
[L04AC19, satralizumab, The serum concentration of Irinotecan can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Irinotecan can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Irinotecan can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Irinotecan.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Irinotecan.]
[N05AA01, chlorpromazine, The metabolism of Irinotecan can be increased when combined with Chlorpromazine.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Irinotecan.]
[B06AC06, berotralstat, The serum concentration of Irinotecan can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Fludarabine.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Irinotecan.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Irinotecan can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, Tepotinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Irinotecan can be increased when combined with Felbamate.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Irinotecan.]
[R03BA03, flunisolide, The metabolism of Irinotecan can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Irinotecan can be increased when combined with Fluocinolone acetonide.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ponesimod.]
[L01EK03, tivozanib, Tivozanib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Irinotecan.]
[A02BA01, cimetidine, The metabolism of Irinotecan can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Irinotecan can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Irinotecan can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Irinotecan can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Irinotecan can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Irinotecan.]
[N06AB04, citalopram, The metabolism of Irinotecan can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pegcetacoplan.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Irinotecan is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Irinotecan can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Irinotecan can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Irinotecan can be decreased when it is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Irinotecan.]
[L04AA59, avacopan, The metabolism of Irinotecan can be decreased when combined with Avacopan.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Irinotecan.]
[N06AX25, St. John's wort extract, The metabolism of Irinotecan can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The risk or severity of neutropenia can be increased when Asciminib is combined with Irinotecan.]
[J05AX10, maribavir, Maribavir may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The metabolism of Irinotecan can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Tenecteplase is combined with Irinotecan.]
[C10AB01, clofibrate, The metabolism of Irinotecan can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Irinotecan can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Irinotecan can be increased when it is combined with Pacritinib.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Irinotecan.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Irinotecan.]
[C01EB24, mavacamten, The serum concentration of Irinotecan can be decreased when it is combined with Mavacamten.]
[J02AC06, oteseconazole, The serum concentration of Irinotecan can be increased when it is combined with Oteseconazole.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Irinotecan.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Irinotecan is combined with Deucravacitinib.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Irinotecan.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Irinotecan.]
[J05AX31, lenacapavir, The metabolism of Irinotecan can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Irinotecan is combined with Clozapine.]
[A10BK06, sotagliflozin, Sotagliflozin may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Irinotecan can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Irinotecan can be increased when combined with Bimekizumab.]
[M03AC05, hexafluorenium, Hexafluronium may increase the neuromuscular blocking activities of Irinotecan.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Leflunomide.]
[A10BX03, nateglinide, The metabolism of Irinotecan can be decreased when combined with Nateglinide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Nelarabine.]
[J01FA15, telithromycin, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Irinotecan.]
[H01AX01, pegvisomant, Pegvisomant may increase the neuromuscular blocking activities of Irinotecan.]
[J02AC02, itraconazole, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Bemiparin is combined with Irinotecan.]
[N05BA10, ketazolam, The metabolism of Irinotecan can be decreased when combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Irinotecan can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Posaconazole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Irinotecan.]
[N03AX09, lamotrigine, The metabolism of Irinotecan can be increased when combined with Lamotrigine.]
[S01BA03, cortisone, The metabolism of Irinotecan can be increased when combined with Cortisone.]
[C08CA11, manidipine, The metabolism of Irinotecan can be decreased when combined with Manidipine.]
[H02AB15, meprednisone, The metabolism of Irinotecan can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Irinotecan can be decreased when combined with Mequitazine.]
[C03DA04, eplerenone, The metabolism of Irinotecan can be decreased when combined with Eplerenone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Irinotecan.]
[C03AA07, cyclopenthiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclopenthiazide is combined with Irinotecan.]
[J01FA03, midecamycin, The metabolism of Irinotecan can be decreased when combined with Midecamycin.]
[L01AA01, cyclophosphamide, The metabolism of Irinotecan can be increased when combined with Cyclophosphamide.]
[N06AX07, minaprine, Minaprine may increase the neuromuscular blocking activities of Irinotecan.]
[S01XA18, cyclosporine, Irinotecan may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Irinotecan can be increased when combined with Modafinil.]
[C10AA07, rosuvastatin, The metabolism of Irinotecan can be decreased when combined with Rosuvastatin.]
[C03XA02, conivaptan, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Cytarabine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Irinotecan.]
[M01AH05, etoricoxib, The metabolism of Irinotecan can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Dacarbazine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Dactinomycin.]
[G03XA01, danazol, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Danazol.]
[J04BA02, dapsone, The metabolism of Irinotecan can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The metabolism of Irinotecan can be decreased when combined with Daunorubicin.]
[N06AX06, nefazodone, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Nefazodone.]
[B01AX05, fondaparinux, The risk or severity of bleeding can be increased when Fondaparinux is combined with Irinotecan.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Irinotecan.]
[N06AA01, desipramine, The metabolism of Irinotecan can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Irinotecan.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Irinotecan.]
[N03AF02, oxcarbazepine, The metabolism of Irinotecan can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Irinotecan can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Irinotecan can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Irinotecan can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Gefitinib may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[R05DA09, dextromethorphan, The metabolism of Irinotecan can be decreased when combined with Dextromethorphan.]
[N06AB05, paroxetine, The metabolism of Irinotecan can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Irinotecan can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Irinotecan.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Irinotecan can be decreased when combined with Diclofenac.]
[J01CF01, dicloxacillin, The metabolism of Irinotecan can be increased when combined with Dicloxacillin.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Irinotecan is combined with Ixabepilone.]
[L01EB02, erlotinib, The risk or severity of neutropenia can be increased when Erlotinib is combined with Irinotecan.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Pirarubicin.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the neuromuscular blocking activities of Irinotecan.]
[L02AA01, diethylstilbestrol, The metabolism of Irinotecan can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Irinotecan can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Irinotecan can be increased when combined with Difluocortolone.]
[N02BA11, diflunisal, The metabolism of Irinotecan can be decreased when combined with Diflunisal.]
[C01AA05, digoxin, The excretion of Digoxin can be decreased when combined with Irinotecan.]
[C10AX09, ezetimibe, The excretion of Ezetimibe can be decreased when combined with Irinotecan.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Irinotecan.]
[C04AE04, dihydroergocristine, The metabolism of Irinotecan can be decreased when combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The metabolism of Irinotecan can be decreased when combined with Dihydroergotamine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Irinotecan.]
[J05AE08, atazanavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Irinotecan can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Irinotecan can be decreased when combined with Dimethyl sulfoxide.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Irinotecan.]
[C05CA03, diosmin, The metabolism of Irinotecan can be decreased when combined with Diosmin.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Irinotecan can be decreased when combined with Quazepam.]
[B01AC07, dipyridamole, The risk or severity of bleeding can be increased when Dipyridamole is combined with Irinotecan.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding can be increased when Drotrecogin alfa is combined with Irinotecan.]
[A03FA02, cisapride, The metabolism of Irinotecan can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Irinotecan.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Irinotecan is combined with Natalizumab.]
[N07AA03, distigmine, Distigmine may increase the neuromuscular blocking activities of Irinotecan.]
[P03AA04, disulfiram, The metabolism of Disulfiram can be decreased when combined with Irinotecan.]
[S02AA12, rifamycin SV, The metabolism of Irinotecan can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Irinotecan can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The metabolism of Irinotecan can be decreased when combined with Risperidone.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Irinotecan.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Ropivacaine.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Irinotecan.]
[A04AD12, aprepitant, The metabolism of Irinotecan can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Irinotecan.]
[J05AE07, fosamprenavir, The metabolism of Irinotecan can be decreased when combined with Fosamprenavir.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Irinotecan.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Irinotecan.]
[C01EB18, ranolazine, The metabolism of Irinotecan can be decreased when combined with Ranolazine.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Irinotecan.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Irinotecan.]
[N06AA16, dothiepin, The metabolism of Dosulepin can be decreased when combined with Irinotecan.]
[L01DB01, doxorubicin, The metabolism of Irinotecan can be decreased when combined with Doxorubicin.]
[N06AB06, sertraline, The metabolism of Irinotecan can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be decreased when combined with Irinotecan.]
[C10AA01, simvastatin, The metabolism of Irinotecan can be increased when combined with Simvastatin.]
[N02CC01, sumatriptan, The excretion of Sumatriptan can be decreased when combined with Irinotecan.]
[V04CX07, edrophonium, Edrophonium may increase the neuromuscular blocking activities of Irinotecan.]
[H01AA01, corticotropin, The metabolism of Irinotecan can be increased when combined with Corticotropin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Temozolomide.]
[D01BA02, terbinafine, The metabolism of Irinotecan can be increased when combined with Terbinafine.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Irinotecan.]
[N03AX11, topiramate, The metabolism of Irinotecan can be increased when combined with Topiramate.]
[C03CA04, torsemide, The excretion of Torasemide can be decreased when combined with Irinotecan.]
[B01AC18, triflusal, The risk or severity of bleeding can be increased when Triflusal is combined with Irinotecan.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Irinotecan is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Irinotecan is combined with Trofosfamide.]
[C05CA04, troxerutin, The risk or severity of bleeding can be increased when Troxerutin is combined with Irinotecan.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Irinotecan.]
[S01FB02, ephedrine, The serum concentration of Ephedrine can be increased when it is combined with Irinotecan.]
[S01GX10, epinastine, The metabolism of Irinotecan can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, Venlafaxine may increase the excretion rate of Irinotecan which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA12, mepirodipine, The metabolism of Irinotecan can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The metabolism of Irinotecan can be decreased when combined with Epinephrine.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Irinotecan.]
[N03AX15, zonisamide, The metabolism of Zonisamide can be decreased when combined with Irinotecan.]
[B01AD03, anistreplase, The risk or severity of bleeding can be increased when Anistreplase is combined with Irinotecan.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Irinotecan is combined with Carboplatin.]
[B01AC11, iloprost, The risk or severity of bleeding can be increased when Iloprost is combined with Irinotecan.]
[N02CA02, ergotamine, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of neutropenia can be increased when Valproic acid is combined with Irinotecan.]
[S01AA17, erythromycin, The metabolism of Irinotecan can be decreased when combined with Erythromycin.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[L01XX11, estramustine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Estramustine.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Irinotecan.]
[J04AK02, ethambutol, The metabolism of Irinotecan can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Irinotecan can be increased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Irinotecan can be increased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The metabolism of Irinotecan can be increased when combined with Ethinylestradiol.]
[N04AA05, profenamine, Profenamine may increase the neuromuscular blocking activities of Irinotecan.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Meloxicam.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Irinotecan.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Irinotecan is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Irinotecan.]
[L04AD02, tacrolimus, Tacrolimus may increase the immunosuppressive activities of Irinotecan.]
[A02BA04, nizatidine, Nizatidine may increase the neuromuscular blocking activities of Irinotecan.]
[R06AX11, astemizole, The metabolism of Irinotecan can be decreased when combined with Astemizole.]
[R06AX12, terfenadine, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Terfenadine.]
[N06AX12, bupropion, The metabolism of Bupropion can be decreased when combined with Irinotecan.]
[N06AB08, fluvoxamine, The metabolism of Irinotecan can be decreased when combined with Fluvoxamine.]
[L04AA02, muromonab-CD3, The risk or severity of adverse effects can be increased when Muromonab is combined with Irinotecan.]
[C10AA03, pravastatin, Pravastatin may decrease the excretion rate of Irinotecan which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The risk or severity of neutropenia can be increased when Sodium aurothiomalate is combined with Irinotecan.]
[B05AA05, dextran, The risk or severity of bleeding can be increased when Dextran is combined with Irinotecan.]
[V03AF02, dexrazoxane, The risk or severity of adverse effects can be increased when Dexrazoxane is combined with Irinotecan.]
[P02CA03, albendazole, The metabolism of Irinotecan can be decreased when combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Felodipine can be decreased when combined with Irinotecan.]
[N03AX26, fenfluramine, The metabolism of Irinotecan can be decreased when combined with Fenfluramine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Irinotecan.]
[B01AD05, plasmin, The risk or severity of bleeding can be increased when Fibrinolysin is combined with Irinotecan.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Irinotecan.]
[L04AA40, cladribine, The risk or severity of adverse effects can be increased when Cladribine is combined with Irinotecan.]
[J01CF05, floxacillin, The metabolism of Irinotecan can be increased when combined with Flucloxacillin.]
[J02AC01, fluconazole, The metabolism of Irinotecan can be decreased when combined with Fluconazole.]
[J02AX01, flucytosine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Flucytosine.]
[H02AA02, fludrocortisone, The risk or severity of adverse effects can be increased when Fludrocortisone is combined with Irinotecan.]
[N05CD03, flunitrazepam, The risk or severity of neutropenia can be increased when Flunitrazepam is combined with Irinotecan.]
[D07AC08, fluocinonide, The metabolism of Irinotecan can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Irinotecan can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The metabolism of Irinotecan can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The risk or severity of adverse effects can be increased when Floxuridine is combined with Irinotecan.]
[S01CB05, fluorometholone, The risk or severity of adverse effects can be increased when Fluorometholone is combined with Irinotecan.]
[L01BC02, fluorouracil, The risk or severity of adverse effects can be increased when Fluorouracil is combined with Irinotecan.]
[N06AB03, fluoxetine, The metabolism of Irinotecan can be decreased when combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of myelosuppression can be increased when Flupentixol is combined with Irinotecan.]
[S01BC04, flurbiprofen, The risk or severity of neutropenia can be increased when Flurbiprofen is combined with Irinotecan.]
[L02BB01, flutamide, The metabolism of Irinotecan can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Irinotecan.]
[J05AE10, darunavir, The serum concentration of SN-38, an active metabolite of Irinotecan, can be increased when used in combination with Darunavir.]
[N06DA04, galantamine, Galantamine may increase the neuromuscular blocking activities of Irinotecan.]
[N03AA04, barbexaclone, The metabolism of Irinotecan can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The risk or severity of neutropenia can be increased when Gemfibrozil is combined with Irinotecan.]
[L01EA02, dasatinib, The metabolism of Irinotecan can be decreased when combined with Dasatinib.]
[J05AG04, etravirine, The metabolism of Irinotecan can be increased when combined with Etravirine.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Irinotecan.]
[L01EH01, lapatinib, The metabolism of Irinotecan can be decreased when combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Irinotecan can be decreased when combined with Glyburide.]
[C02CA04, doxazosin, The metabolism of Irinotecan can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of neutropenia can be increased when Sorafenib is combined with Irinotecan.]
[B01AA12, fluindione, The risk or severity of bleeding can be increased when Fluindione is combined with Irinotecan.]
[D01BA01, griseofulvin, The metabolism of Irinotecan can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Irinotecan.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Irinotecan.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Irinotecan.]
[N05AH04, quetiapine, The metabolism of Quetiapine can be decreased when combined with Irinotecan.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Irinotecan is combined with Antilymphocyte immunoglobulin (horse).]
[M01AG01, mefenamic acid, The metabolism of Irinotecan can be decreased when combined with Mefenamic acid.]
[R03BA09, fluticasone furoate, The metabolism of Irinotecan can be increased when combined with Fluticasone furoate.]
[M04AA01, allopurinol, The risk or severity of adverse effects can be increased when Allopurinol is combined with Irinotecan.]
[C09CA01, losartan, The metabolism of Irinotecan can be decreased when combined with Losartan.]
[S01XA14, heparin, The risk or severity of bleeding can be increased when Heparin is combined with Irinotecan.]
[G03DC01, allylestrenol, The metabolism of Irinotecan can be decreased when combined with Allylestrenol.]
[A07EC02, mesalamine, The excretion of Mesalazine can be decreased when combined with Irinotecan.]
[L01XX03, altretamine, The risk or severity of adverse effects can be increased when Altretamine is combined with Irinotecan.]
[J05AG01, nevirapine, The metabolism of Irinotecan can be increased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Irinotecan can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of bleeding can be increased when Nimesulide is combined with Irinotecan.]
