[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Fenfluramine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ethyl loflazepate.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Fenfluramine.]
[B06AC06, berotralstat, The metabolism of Fenfluramine can be decreased when combined with Berotralstat.]
[P03AX07, abametapir, The serum concentration of Fenfluramine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Fenfluramine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Felbamate.]
[N06BA10, fenethylline, Fenfluramine may increase the excretion rate of Fenethylline which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB07, flumequine, The metabolism of Fenfluramine can be decreased when combined with Flumequine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Fenfluramine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Fenfluramine can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Fenfluramine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Fenfluramine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Fenfluramine can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Fenfluramine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Fenfluramine can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Citalopram is combined with Fenfluramine.]
[H01AC07, somapacitan, The metabolism of Fenfluramine can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Fenfluramine.]
[H01AC09, lonapegsomatropin, The metabolism of Fenfluramine can be increased when combined with Lonapegsomatropin.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Fenfluramine.]
[N06AX25, St. John's wort extract, The risk or severity of serotonin syndrome can be increased when St. John's Wort is combined with Fenfluramine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Fenfluramine.]
[B06AX04, mitapivat, The metabolism of Fenfluramine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The metabolism of Fenfluramine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Fenfluramine.]
[C01EB24, mavacamten, The metabolism of Fenfluramine can be increased when combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of serotonin syndrome can be increased when Ondansetron is combined with Fenfluramine.]
[A04AA02, granisetron, The risk or severity of serotonin syndrome can be increased when Granisetron is combined with Fenfluramine.]
[N05AH02, clozapine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Fenfluramine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of serotonin syndrome can be increased when Cocaine is combined with Fenfluramine.]
[C02KB01, metyrosine, Fenfluramine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Fenfluramine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of serotonin syndrome can be increased when Codeine is combined with Fenfluramine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Hexafluronium.]
[A03AB10, hexocyclium, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Fenfluramine can be decreased when it is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Fenfluramine.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Fenfluramine.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Desloratadine.]
[J05AB14, valganciclovir, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Valganciclovir.]
[N02CC05, almotriptan, The risk or severity of serotonin syndrome can be increased when Almotriptan is combined with Fenfluramine.]
[J02AC02, itraconazole, The metabolism of Fenfluramine can be decreased when combined with Itraconazole.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Fenfluramine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ketazolam.]
[L01EA01, imatinib, The serum concentration of Fenfluramine can be increased when it is combined with Imatinib.]
[N03AX09, lamotrigine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Fenfluramine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Fenfluramine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Lormetazepam.]
[H01AA02, cosyntropin, The risk or severity of liver damage can be increased when Tetracosactide is combined with Fenfluramine.]
[C08CA11, manidipine, The metabolism of Fenfluramine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Fenfluramine.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Fenfluramine.]
[R06AD04, methdilazine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Methdilazine.]
[N04AA03, methixene, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Methoxyphenamine is combined with Fenfluramine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Cyclobarbital.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Melperone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Fenfluramine.]
[N06AX07, minaprine, The risk or severity of serotonin syndrome can be increased when Minaprine is combined with Fenfluramine.]
[S01XA18, cyclosporine, The metabolism of Fenfluramine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of serotonin syndrome can be increased when Moclobemide is combined with Fenfluramine.]
[N06BA07, modafinil, The metabolism of Fenfluramine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Cyproheptadine.]
[J05AF10, entecavir, The metabolism of Fenfluramine can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Fenfluramine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Fenfluramine.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Fenfluramine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[M01AX01, nabumetone, The metabolism of Fenfluramine can be decreased when combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Fenfluramine.]
[N06AX06, nefazodone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Niaprazine.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tiagabine.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Fenfluramine.]
[C01CA23, theodrenaline, Fenfluramine may increase the excretion rate of Theodrenaline which could result in a lower serum level and potentially a reduction in efficacy.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Fenfluramine.]
[R05DA06, normethadone, The risk or severity of serotonin syndrome can be increased when Normethadone is combined with Fenfluramine.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Fenfluramine is combined with Escitalopram.]
[G04BD08, solifenacin, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[N06AA01, desipramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Desipramine.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Fenfluramine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Oxiracetam.]
[N04AA08, dexetimide, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Dexfenfluramine is combined with Fenfluramine.]
[A03AA01, oxyphencyclimine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Fenfluramine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Fenfluramine.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Fenfluramine.]
[R05DA09, dextromethorphan, The risk or severity of serotonin syndrome can be increased when Dextromethorphan is combined with Fenfluramine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of serotonin syndrome can be increased when Dextromoramide is combined with Fenfluramine.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Fenfluramine.]
[B01AC04, clopidogrel, The metabolism of Fenfluramine can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Diamorphine.]
[C04AD01, pentifylline, Fenfluramine may increase the excretion rate of Pentifylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Phenacemide.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Phenol.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of serotonin syndrome can be increased when Dibenzepin is combined with Fenfluramine.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Fenfluramine.]
[A03AA07, dicyclomine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[N05AD05, pipamperone, The risk or severity of serotonin syndrome can be increased when Pipamperone is combined with Fenfluramine.]
[A03AB14, pipenzolate, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Fenfluramine.]
[A08AA03, diethylpropion, The risk or severity of serotonin syndrome can be increased when Diethylpropion is combined with Fenfluramine.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be increased when combined with Fenfluramine.]
[A03AB11, poldine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[C02DB01, dihydralazine, The metabolism of Fenfluramine can be decreased when combined with Dihydralazine.]
[N02CA01, dihydroergotamine, The risk or severity of serotonin syndrome can be increased when Dihydroergotamine is combined with Fenfluramine.]
[N02AA03, hydromorphone, The risk or severity of serotonin syndrome can be increased when Hydromorphone is combined with Fenfluramine.]
[J05AE08, atazanavir, The metabolism of Fenfluramine can be decreased when combined with Atazanavir.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Diltiazem can be decreased when combined with Fenfluramine.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Pridinol.]
[R06AB03, dimethindene, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[M02AX03, dimethyl sulfoxide, The metabolism of Fenfluramine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Progabide.]
[N06BC02, propentofylline, Fenfluramine may increase the excretion rate of Propentofylline which could result in a lower serum level and potentially a reduction in efficacy.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Proparacaine.]
[R03DA03, proxyphylline, Fenfluramine may increase the excretion rate of Proxyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AA02, diphenhydramine, The risk or severity of serotonin syndrome can be increased when Diphenhydramine is combined with Fenfluramine.]
[A07DA01, diphenoxylate, The risk or severity of serotonin syndrome can be increased when Diphenoxylate is combined with Fenfluramine.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Quazepam.]
[N06BA11, dexmethylphenidate, The risk or severity of serotonin syndrome can be increased when Dexmethylphenidate is combined with Fenfluramine.]
[N06AA23, quinupramine, The risk or severity of serotonin syndrome can be increased when Quinupramine is combined with Fenfluramine.]
[A03FA02, cisapride, The risk or severity of serotonin syndrome can be increased when Cisapride is combined with Fenfluramine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Fenfluramine.]
[C01BA03, disopyramide, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[P03AA04, disulfiram, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Fenfluramine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Riluzole.]
[N05AX08, risperidone, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Fenfluramine can be decreased when combined with Rosoxacin.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Fenfluramine.]
[C01EB18, ranolazine, The serum concentration of Fenfluramine can be increased when it is combined with Ranolazine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Fenfluramine.]
[N06AA16, dothiepin, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Dosulepin.]
[N06AA12, doxepin, The risk or severity of serotonin syndrome can be increased when Doxepin is combined with Fenfluramine.]
[L01DB01, doxorubicin, The metabolism of Fenfluramine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sertraline is combined with Fenfluramine.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Fenfluramine.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Sibutramine is combined with Fenfluramine.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Fenfluramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Sodium phosphate, monobasic.]
[R03DA01, dyphylline, Fenfluramine may increase the excretion rate of Dyphylline which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of serotonin syndrome can be increased when Sumatriptan is combined with Fenfluramine.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Fenfluramine.]
[J01MA05, temafloxacin, The metabolism of Fenfluramine can be decreased when combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Fenfluramine can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Fenfluramine.]
[A08AB01, orlistat, Orlistat can cause a decrease in the absorption of Fenfluramine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Thiopropazate.]
[G04BD01, emepronium, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of serotonin syndrome can be increased when Tianeptine is combined with Fenfluramine.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Tofisopam.]
[N06AG03, toloxatone, The risk or severity of serotonin syndrome can be increased when Toloxatone is combined with Fenfluramine.]
[N06BA09, atomoxetine, The metabolism of Atomoxetine can be decreased when combined with Fenfluramine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Fenfluramine.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Triclofos.]
[A03AB08, tridihexethyl, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Fenfluramine.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Urapidil.]
[J01MA04, enoxacin, The metabolism of Fenfluramine can be decreased when combined with Enoxacin.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Veralipride.]
[L01CA04, vinorelbine, The metabolism of Fenfluramine can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Venlafaxine is combined with Fenfluramine.]
[N05CF02, zolpidem, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of serotonin syndrome can be increased when Zotepine is combined with Fenfluramine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of serotonin syndrome can be increased when Ergometrine is combined with Fenfluramine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of serotonin syndrome can be increased when Ergoloid mesylate is combined with Fenfluramine.]
[N02CA02, ergotamine, The risk or severity of serotonin syndrome can be increased when Ergotamine is combined with Fenfluramine.]
[N03AG01, valproic acid, The risk or severity of serotonin syndrome can be increased when Valproic acid is combined with Fenfluramine.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Estazolam.]
[H05BX01, cinacalcet, The metabolism of Fenfluramine can be decreased when combined with Cinacalcet.]
[G03CA03, estradiol, The metabolism of Estradiol can be increased when combined with Fenfluramine.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Fenfluramine can be decreased when combined with Conjugated estrogens.]
[J04AK02, ethambutol, The metabolism of Fenfluramine can be decreased when combined with Ethambutol.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Fenfluramine.]
[C01CA15, gepefrine, The risk or severity of serotonin syndrome can be increased when Gepefrine is combined with Fenfluramine.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Fenfluramine.]
[L02AA03, ethinyl estradiol, The metabolism of Ethinylestradiol can be increased when combined with Fenfluramine.]
[N04AA05, profenamine, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Ethotoin.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of serotonin syndrome can be increased when Ethylmorphine is combined with Fenfluramine.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Fenfluramine is combined with Etidocaine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Fenfluramine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Fenfluramine.]
[N05AE03, sertindole, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Sertindole.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Fenfluramine.]
[R06AX12, terfenadine, The metabolism of Fenfluramine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Fenfluramine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Fluvoxamine is combined with Fenfluramine.]
[C01BB03, tocainide, The metabolism of Tocainide can be decreased when combined with Fenfluramine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Fenfluramine.]
[A02BA03, famotidine, The metabolism of Fenfluramine can be decreased when combined with Famotidine.]
[P02CA03, albendazole, The serum concentration of Fenfluramine can be decreased when it is combined with Albendazole.]
[C08CA02, felodipine, The metabolism of Fenfluramine can be decreased when combined with Felodipine.]
[S01AA13, fusidic acid, The metabolism of Fenfluramine can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The metabolism of Fenfluramine can be decreased when combined with Pipemidic acid.]
[N07XX04, sodium oxybate, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Fenfluramine.]
[N02AB03, fentanyl, The risk or severity of serotonin syndrome can be increased when Fentanyl is combined with Fenfluramine.]
[N07AX03, cevimeline, The metabolism of Cevimeline can be decreased when combined with Fenfluramine.]
[G04BD02, flavoxate, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Fenfluramine.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Flunitrazepam.]
[N06AA14, melitracen, The risk or severity of serotonin syndrome can be increased when Melitracen is combined with Fenfluramine.]
[V03AZ01, ethanol, Fenfluramine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[L01BC02, fluorouracil, The metabolism of Fenfluramine can be decreased when combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Fenfluramine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Flurazepam.]
[N05AG01, fluspirilene, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Fenfluramine can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Fenfluramine.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of serotonin syndrome can be increased when Furazolidone is combined with Fenfluramine.]
[J05AE10, darunavir, The metabolism of Fenfluramine can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Fenfluramine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Fenfluramine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Gallamine.]
[S01AD09, ganciclovir, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Ganciclovir.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of serotonin syndrome can be increased when Bifemelane is combined with Fenfluramine.]
[C10AB04, gemfibrozil, The metabolism of Fenfluramine can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Fenfluramine.]
[N04BC06, cabergoline, The risk or severity of serotonin syndrome can be increased when Cabergoline is combined with Fenfluramine.]
[C01CA21, cafedrine, Fenfluramine may increase the excretion rate of Cafedrine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Fenfluramine is combined with Methsuximide.]
