[P02BB01, trichlorfon, The therapeutic efficacy of Clozapine can be decreased when used in combination with Metrifonate.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Clozapine.]
[C09AA01, captopril, Clozapine may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Clozapine.]
[L02BB05, apalutamide, The metabolism of Clozapine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of neutropenia can be increased when Carbamazepine is combined with Clozapine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Clozapine.]
[A03AA03, camylofine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L03AB06, interferon alfa-n1, The risk or severity of neutropenia can be increased when Interferon alfa-n1 is combined with Clozapine.]
[C07AG02, carvedilol, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Clozapine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Clozapine.]
[B02BX08, avatrombopag, The metabolism of Clozapine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Clozapine.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Clozapine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Clozapine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01GB14, plazomicin, Clozapine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Clozapine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Clozapine.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Clozapine.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Clozapine.]
[A16AX14, migalastat, Clozapine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Clozapine can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Clozapine.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Clozapine.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Clozapine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Clozapine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Clozapine.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[D08AE05, chloroxylenol, Clozapine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Clozapine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Clozapine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Clozapine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Clozapine.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Clozapine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Clozapine.]
[L04AA39, emapalumab, The metabolism of Clozapine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of neutropenia can be increased when Carmustine is combined with Clozapine.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Clozapine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Clozapine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Clozapine is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Clozapine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Clozapine.]
[C09AA08, cilazapril, Clozapine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Clozapine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Clozapine.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Clozapine.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Clozapine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clozapine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Clozapine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Clozapine.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Clozapine.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Clozapine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Cloxazolam is combined with Clozapine.]
[C09CA06, candesartan, Clozapine may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Clozapine can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Clozapine can be decreased when it is combined with Alpelisib.]
[L01FX14, polatuzumab vedotin, The metabolism of Polatuzumab vedotin can be decreased when combined with Clozapine.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Clozapine.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Clozapine.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Clozapine.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Clozapine.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Clozapine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Clozapine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Clozapine.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Clozapine.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Clozapine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Clozapine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Clozapine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Clozapine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Clozapine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Clozapine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Clozapine.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Clozapine.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Clozapine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of neutropenia can be increased when Trastuzumab emtansine is combined with Clozapine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Clozapine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Clozapine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Clozapine.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Clozapine.]
[N03AX25, cenobamate, The serum concentration of Clozapine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Clozapine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Clozapine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Clozapine.]
[L01FX13, enfortumab vedotin, The metabolism of Enfortumab vedotin can be decreased when combined with Clozapine.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Clozapine.]
[S01XA12, dexpanthenol, Clozapine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Clozapine is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Clozapine.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Clozapine.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Clozapine.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Clozapine.]
[M01AX21, diacetylrhein, The metabolism of Clozapine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Clozapine.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Clozapine.]
[S01AE06, gatifloxacin, The metabolism of Clozapine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Clozapine.]
[J05AE05, amprenavir, The metabolism of Clozapine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Clozapine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Clozapine.]
[R02AA03, dichlorobenzyl alcohol, Clozapine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Clozapine.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Clozapine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Clozapine.]
[M01AH02, rofecoxib, The serum concentration of Clozapine can be increased when it is combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of neutropenia can be increased when Bexarotene is combined with Clozapine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Clozapine.]
[C01BD07, dronedarone, The metabolism of Clozapine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01AA02, chlorambucil, The risk or severity of neutropenia can be increased when Chlorambucil is combined with Clozapine.]
[S03AA08, chloramphenicol, The risk or severity of neutropenia can be increased when Chloramphenicol is combined with Clozapine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Clozapine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Clozapine.]
[C02AA06, methoserpidine, Clozapine may decrease the antihypertensive activities of Methoserpidine.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Clozapine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Clozapine.]
[A03AA08, dihexyverine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Clozapine.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Clozapine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Clozapine.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Clozapine.]
[G04BD09, trospium, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Clozapine is combined with Droxicam.]
[L01EX19, ripretinib, The metabolism of Ripretinib can be decreased when combined with Clozapine.]
[V08CA05, mangafodipir, Clozapine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Clozapine.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Clozapine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Clozapine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Clozapine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Clozapine.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Clozapine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Clozapine.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Remimazolam is combined with Clozapine.]
[L04AC19, satralizumab, The serum concentration of Clozapine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Clozapine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Clozapine.]
[L01EX23, pralsetinib, The metabolism of Pralsetinib can be decreased when combined with Clozapine.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Clozapine.]
[N05AA01, chlorpromazine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Clozapine.]
[N05AF03, chlorprothixene, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Clozapine.]
[A11CC05, cholecalciferol, The metabolism of Clozapine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Clozapine is combined with Ethenzamide.]
[N02BA03, choline salicylate, Clozapine may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Clozapine.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Clozapine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Clozapine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Clozapine is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Clozapine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Clozapine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of neutropenia can be increased when Fludarabine is combined with Clozapine.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Clozapine.]
[M01AX25, chondroitin sulfates, Clozapine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Clozapine is combined with Naxitamab.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Clozapine.]
[P03AX07, abametapir, The serum concentration of Clozapine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Clozapine is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Clozapine can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, The metabolism of Clozapine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Clozapine is combined with Fenbufen.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Clozapine.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Clozapine.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Clozapine is combined with Fenozolone.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Clozapine.]
[J01DD15, cefdinir, Clozapine may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Clozapine can be decreased when combined with Flumequine.]
[N02BG07, flupirtine, Clozapine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Clozapine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Clozapine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Clozapine.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Clozapine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L03AB10, peginterferon alfa-2b, The risk or severity of neutropenia can be increased when Peginterferon alfa-2b is combined with Clozapine.]
[H04AA02, dasiglucagon, Clozapine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Clozapine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[V08CA04, gadoteridol, Clozapine may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Clozapine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Clozapine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Clozapine.]
[S03AA07, ciprofloxacin, The serum concentration of Clozapine can be increased when it is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of neutropenia can be increased when Cisplatin is combined with Clozapine.]
[N06AB04, citalopram, Clozapine may increase the QTc-prolonging activities of Citalopram.]
[H01AC07, somapacitan, The metabolism of Clozapine can be increased when combined with Somapacitan.]
[J02AX07, ibrexafungerp, The metabolism of Ibrexafungerp can be decreased when combined with Clozapine.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Clozapine.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Clozapine.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Clozapine is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Clozapine.]
[H01AC09, lonapegsomatropin, The metabolism of Clozapine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Mobocertinib.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Clozapine.]
[N02CD07, atogepant, The metabolism of Atogepant can be decreased when combined with Clozapine.]
[V09AB03, ioflupane I-123, Clozapine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Clozapine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Clozapine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Clozapine.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Clozapine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Clozapine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Clozapine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Clozapine.]
[N06AX25, St. John's wort extract, The metabolism of Clozapine can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Asciminib can be decreased when combined with Clozapine.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Clozapine.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Clozapine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Clozapine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Clozapine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Clozapine.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Clozapine.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Clozapine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Clozapine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Clozapine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Clozapine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Clozapine.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Clozapine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Clozapine which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Clozapine.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Clozapine which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Clozapine.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Clotiazepam is combined with Clozapine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Clozapine.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Clozapine.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Clozapine.]
[N07XX04, sodium oxybate, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Clozapine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Clozapine.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Clozapine.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Clozapine.]
[J01GB12, arbekacin, Clozapine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Clozapine.]
[H01AC08, somatrogon, The metabolism of Clozapine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Cocaine.]
[M09AX11, palovarotene, The metabolism of Palovarotene can be decreased when combined with Clozapine.]
[C02KB01, metyrosine, Clozapine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Clozapine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Clozapine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Clozapine is combined with Codeine.]
