[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Progesterone.]
[C08CA16, clevidipine, The metabolism of Progesterone can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Progesterone can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The metabolism of Progesterone can be increased when combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Progesterone can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Progesterone.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Progesterone.]
[D07XB03, fluprednidene, The serum concentration of Fluprednidene can be increased when it is combined with Progesterone.]
[G04BD09, trospium, The metabolism of Progesterone can be decreased when combined with Trospium.]
[L01EX19, ripretinib, Progesterone may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be increased when it is combined with Progesterone.]
[B01AE02, lepirudin, The therapeutic efficacy of Lepirudin can be decreased when used in combination with Progesterone.]
[N05CM02, chlormethiazole, The metabolism of Progesterone can be increased when combined with Clomethiazole.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Progesterone.]
[J05AX29, fostemsavir, Progesterone may decrease the excretion rate of Fostemsavir which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Progesterone.]
[L01FX15, belantamab mafodotin, Progesterone may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Progesterone can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Progesterone.]
[P01BA01, chloroquine, The metabolism of Progesterone can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, Progesterone may decrease the excretion rate of Pralsetinib which could result in a higher serum level.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Progesterone.]
[N05AA01, chlorpromazine, The metabolism of Progesterone can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Progesterone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Progesterone.]
[A11CC05, cholecalciferol, The metabolism of Progesterone can be decreased when combined with Cholecalciferol.]
[V04CK02, cholecystokinin, The excretion of Cholecystokinin can be decreased when combined with Progesterone.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Progesterone.]
[N06BX18, vinpocetine, The metabolism of Progesterone can be increased when combined with Vinpocetine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Progesterone.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Progesterone.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Progesterone.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Progesterone.]
[P03AX07, abametapir, The serum concentration of Progesterone can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Progesterone can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, Progesterone may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[N03AX10, felbamate, The metabolism of Progesterone can be increased when combined with Felbamate.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Progesterone.]
[R03BA03, flunisolide, The serum concentration of Flunisolide can be increased when it is combined with Progesterone.]
[S02BA08, fluocinolone acetonide, The serum concentration of Fluocinolone acetonide can be increased when it is combined with Progesterone.]
[S01JA01, fluorescein, Progesterone may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Progesterone.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Progesterone.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Progesterone.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Progesterone.]
[L03AB10, peginterferon alfa-2b, The metabolism of Progesterone can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Progesterone can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The metabolism of Progesterone can be increased when combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Progesterone.]
[L01XX73, sotorasib, The serum concentration of Progesterone can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Progesterone can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Progesterone.]
[N06AB04, citalopram, The metabolism of Progesterone can be decreased when combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Progesterone can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The metabolism of Progesterone can be decreased when combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Progesterone.]
[L01EB10, mobocertinib, The serum concentration of Progesterone can be decreased when it is combined with Mobocertinib.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Progesterone.]
[R06AA04, clemastine, The metabolism of Progesterone can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Progesterone.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Progesterone.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Progesterone.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Progesterone.]
[N06AX25, St. John's wort extract, The metabolism of Progesterone can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Progesterone can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Progesterone can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Progesterone.]
[J04BA01, clofazimine, The metabolism of Progesterone can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The therapeutic efficacy of Tenecteplase can be decreased when used in combination with Progesterone.]
[C10AB01, clofibrate, The metabolism of Progesterone can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Progesterone can be increased when combined with Mitapivat.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Progesterone.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Progesterone.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Progesterone.]
[J05AB17, brincidofovir, The serum concentration of Brincidofovir can be increased when it is combined with Progesterone.]
[C01EB24, mavacamten, The serum concentration of Progesterone can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Progesterone.]
[A02BC08, vonoprazan, The metabolism of Progesterone can be decreased when combined with Vonoprazan.]
[A05BA08, glycyrrhizic acid, Progesterone may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Progesterone.]
[J01CF02, cloxacillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Cloxacillin.]
[N05AH02, clozapine, The metabolism of Progesterone can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Progesterone.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Progesterone.]
[H01AC08, somatrogon, The metabolism of Progesterone can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Progesterone can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Progesterone is combined with Codeine.]
[J01CA18, hetacillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Hetacillin.]
[L04AA13, leflunomide, Progesterone may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[C04AX28, ifenprodil, The metabolism of Progesterone can be increased when combined with Ifenprodil.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Progesterone.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Progesterone.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Progesterone.]
[J01FA15, telithromycin, The metabolism of Progesterone can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The serum concentration of Ciclesonide can be increased when it is combined with Progesterone.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Progesterone.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Progesterone.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Progesterone.]
[J02AC02, itraconazole, The metabolism of Progesterone can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The therapeutic efficacy of Bemiparin can be decreased when used in combination with Progesterone.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Progesterone is combined with Acyclovir.]
[L01EA01, imatinib, The serum concentration of Progesterone can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Progesterone can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Progesterone can be decreased when combined with Esomeprazole.]
[N03AX09, lamotrigine, The metabolism of Progesterone can be increased when combined with Lamotrigine.]
[S01BA03, cortisone, The serum concentration of Cortisone can be increased when it is combined with Progesterone.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Progesterone.]
[R06AX13, loratadine, Progesterone may decrease the excretion rate of Loratadine which could result in a higher serum level.]
[C08CA11, manidipine, The metabolism of Progesterone can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Progesterone.]
[H02AB15, meprednisone, The serum concentration of Meprednisone can be increased when it is combined with Progesterone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Progesterone.]
[J01CA14, methampicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Metampicillin.]
[R06AE03, cyclizine, The metabolism of Progesterone can be decreased when combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Eplerenone can be decreased when combined with Progesterone.]
[N05AD03, metylperon, The metabolism of Progesterone can be decreased when combined with Melperone.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Progesterone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Progesterone.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Progesterone.]
[S01XA18, cyclosporine, The metabolism of Progesterone can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Progesterone can be decreased when combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Progesterone can be decreased when combined with Modafinil.]
[C10AA07, rosuvastatin, Progesterone may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Progesterone can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Progesterone is combined with Cytarabine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Progesterone.]
[M01AH05, etoricoxib, The metabolism of Progesterone can be decreased when combined with Etoricoxib.]
[L01DA01, dactinomycin, Progesterone may decrease the excretion rate of Dactinomycin which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Progesterone can be decreased when combined with Danazol.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Progesterone.]
[L01DB02, daunorubicin, Progesterone may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Progesterone.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Progesterone.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Progesterone.]
[J01AA01, demeclocycline, The serum concentration of Progesterone can be decreased when it is combined with Demeclocycline.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Progesterone.]
[N06AX06, nefazodone, The metabolism of Progesterone can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Progesterone can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The metabolism of Progesterone can be increased when combined with Tiagabine.]
[B01AX05, fondaparinux, The therapeutic efficacy of Fondaparinux can be decreased when used in combination with Progesterone.]
[N06AB10, escitalopram, The serum concentration of Progesterone can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Progesterone.]
[N06AA01, desipramine, The metabolism of Progesterone can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The serum concentration of Desoximetasone can be increased when it is combined with Progesterone.]
[H02AA03, desoxycorticosterone, The serum concentration of Desoxycortone can be increased when it is combined with Progesterone.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Progesterone.]
[N03AF02, oxcarbazepine, The metabolism of Progesterone can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The serum concentration of Dexamethasone can be increased when it is combined with Progesterone.]
[G04BD04, oxybutynin, The metabolism of Progesterone can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Progesterone can be decreased when combined with Dexfenfluramine.]
[L04AB04, adalimumab, The metabolism of Progesterone can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Progesterone may decrease the excretion rate of Gefitinib which could result in a higher serum level.]
[N06BA02, dextroamphetamine, The metabolism of Progesterone can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Progesterone.]
[N03AC01, paramethadione, The metabolism of Progesterone can be increased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Progesterone can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Progesterone.]
[N05BA01, diazepam, The metabolism of Progesterone can be increased when combined with Diazepam.]
[N03AX07, phenacemide, The metabolism of Progesterone can be increased when combined with Phenacemide.]
[J01CE05, phenethicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Pheneticillin.]
[N03AD02, phensuximide, The metabolism of Progesterone can be increased when combined with Phensuximide.]
[S01BC03, diclofenac, Progesterone may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J01CF01, dicloxacillin, The metabolism of Progesterone can be increased when combined with Dicloxacillin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be decreased when used in combination with Progesterone.]
[L01EB02, erlotinib, The serum concentration of Erlotinib can be decreased when it is combined with Progesterone.]
[L02AA01, diethylstilbestrol, Progesterone may decrease the excretion rate of Diethylstilbestrol which could result in a higher serum level.]
[C08CA03, isradipine, Progesterone may decrease the excretion rate of Isradipine which could result in a higher serum level.]
[D07XC04, diflucortolone, The serum concentration of Difluocortolone can be increased when it is combined with Progesterone.]
[C01AA05, digoxin, Progesterone may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C10AX09, ezetimibe, Progesterone may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Progesterone may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Progesterone.]
[J05AE08, atazanavir, The metabolism of Progesterone can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Treprostinil can be decreased when combined with Progesterone.]
[C08DB01, diltiazem, The metabolism of Progesterone can be decreased when combined with Diltiazem.]
[M02AX03, dimethyl sulfoxide, The metabolism of Progesterone can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The metabolism of Progesterone can be increased when combined with Progabide.]
[J01CE03, propicillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Propicillin.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Progesterone.]
[C05CA03, diosmin, The metabolism of Progesterone can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, The metabolism of Progesterone can be decreased when combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Progesterone.]
[B01AC07, dipyridamole, Progesterone may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[B01AD10, drotrecogin alfa, The therapeutic efficacy of Drotrecogin alfa can be decreased when used in combination with Progesterone.]
[A03FA02, cisapride, The metabolism of Progesterone can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Progesterone.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Progesterone.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Progesterone.]
[P03AA04, disulfiram, Progesterone may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[S02AA12, rifamycin SV, The metabolism of Progesterone can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Progesterone can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The metabolism of Progesterone can be increased when combined with Riluzole.]
[N05AX08, risperidone, The metabolism of Risperidone can be decreased when combined with Progesterone.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Progesterone.]
[A04AD12, aprepitant, The serum concentration of Progesterone can be decreased when it is combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Progesterone can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, The metabolism of Tadalafil can be decreased when combined with Progesterone.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Progesterone.]
[C02KX02, ambrisentan, The excretion of Ambrisentan can be decreased when combined with Progesterone.]
[C01EB18, ranolazine, The metabolism of Ranolazine can be increased when combined with Progesterone.]
[R03AC12, salmeterol, The metabolism of Salmeterol can be decreased when combined with Progesterone.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Progesterone.]
[C01CA04, dopamine, The serum concentration of Dopamine can be increased when it is combined with Progesterone.]
[N06AA16, dothiepin, The metabolism of Progesterone can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Progesterone.]
[L01DB01, doxorubicin, Progesterone may decrease the excretion rate of Doxorubicin which could result in a higher serum level.]
[J01AA02, doxycycline, The serum concentration of Progesterone can be decreased when it is combined with Doxycycline.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Progesterone.]
[N01AB08, sevoflurane, The metabolism of Sevoflurane can be increased when combined with Progesterone.]
[C10AA01, simvastatin, Progesterone may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[N02CC01, sumatriptan, Progesterone may decrease the excretion rate of Sumatriptan which could result in a higher serum level.]
[C07AB13, talinolol, The metabolism of Talinolol can be decreased when combined with Progesterone.]
[H01AA01, corticotropin, The serum concentration of Corticotropin can be increased when it is combined with Progesterone.]
[J01CA17, temocillin, The therapeutic efficacy of Progesterone can be decreased when used in combination with Temocillin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Progesterone.]
[D01BA02, terbinafine, The metabolism of Progesterone can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Progesterone.]
[C09AA02, enalapril, The excretion of Enalapril can be decreased when combined with Progesterone.]
[N06BA09, atomoxetine, The metabolism of Progesterone can be decreased when combined with Atomoxetine.]
[N03AX11, topiramate, The metabolism of Progesterone can be increased when combined with Topiramate.]
[C03CA04, torsemide, The metabolism of Progesterone can be decreased when combined with Torasemide.]
[J01AA12, tigecycline, The serum concentration of Progesterone can be decreased when it is combined with Tigecycline.]
[B01AC18, triflusal, The therapeutic efficacy of Triflusal can be decreased when used in combination with Progesterone.]
[H02CA01, trilostane, The serum concentration of Trilostane can be increased when it is combined with Progesterone.]
[C05CA04, troxerutin, The therapeutic efficacy of Troxerutin can be decreased when used in combination with Progesterone.]
[L01CA04, vinorelbine, The metabolism of Progesterone can be decreased when combined with Vinorelbine.]
[S01GX10, epinastine, The metabolism of Progesterone can be decreased when combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Progesterone can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Progesterone can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The serum concentration of Epinephrine can be increased when it is combined with Progesterone.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Progesterone.]
[N03AX15, zonisamide, The metabolism of Progesterone can be increased when combined with Zonisamide.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be decreased when used in combination with Progesterone.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Progesterone.]
[B01AD03, anistreplase, The therapeutic efficacy of Anistreplase can be decreased when used in combination with Progesterone.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Progesterone is combined with Guanfacine.]
[N02CA02, ergotamine, The metabolism of Progesterone can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The metabolism of Progesterone can be increased when combined with Valproic acid.]
[S01AA17, erythromycin, Progesterone may decrease the excretion rate of Erythromycin which could result in a higher serum level.]
[N05CD04, estazolam, The metabolism of Progesterone can be increased when combined with Estazolam.]
[A02BC02, pantoprazole, The metabolism of Progesterone can be decreased when combined with Pantoprazole.]
[H05BX01, cinacalcet, The metabolism of Progesterone can be decreased when combined with Cinacalcet.]
[G03CA57, estrogens, conjugated (USP), Progesterone may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[J04AK02, ethambutol, The metabolism of Progesterone can be decreased when combined with Ethambutol.]
[R03BA09, fluticasone furoate, The serum concentration of Fluticasone furoate can be increased when it is combined with Progesterone.]
[R03BA05, fluticasone, The serum concentration of Fluticasone can be increased when it is combined with Progesterone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Progesterone.]
[L02AA03, ethinyl estradiol, The risk or severity of liver damage can be increased when Progesterone is combined with Ethinylestradiol.]
[N03AD01, ethosuximide, The metabolism of Progesterone can be increased when combined with Ethosuximide.]
[N03AB01, ethotoin, The metabolism of Progesterone can be increased when combined with Ethotoin.]
[M01AC06, meloxicam, The metabolism of Meloxicam can be decreased when combined with Progesterone.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Progesterone.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Progesterone.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Progesterone.]
[L04AD02, tacrolimus, The metabolism of Tacrolimus can be decreased when combined with Progesterone.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Progesterone.]
[R06AX12, terfenadine, The metabolism of Progesterone can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Progesterone can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Progesterone can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The metabolism of Encainide can be decreased when combined with Progesterone.]
[C10AA03, pravastatin, Progesterone may decrease the excretion rate of Pravastatin which could result in a higher serum level.]
[B05AA05, dextran, The therapeutic efficacy of Dextran can be decreased when used in combination with Progesterone.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Progesterone.]
[C08CA02, felodipine, Progesterone may decrease the excretion rate of Felodipine which could result in a higher serum level.]
[N03AX26, fenfluramine, The metabolism of Progesterone can be increased when combined with Fenfluramine.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Progesterone.]
[B01AD05, plasmin, The therapeutic efficacy of Fibrinolysin can be decreased when used in combination with Progesterone.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Progesterone.]
[L04AA40, cladribine, Progesterone may decrease the excretion rate of Cladribine which could result in a higher serum level.]
[N07AX03, cevimeline, The metabolism of Progesterone can be decreased when combined with Cevimeline.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Progesterone.]
[J01CF05, floxacillin, Progesterone may decrease the excretion rate of Flucloxacillin which could result in a higher serum level.]
[J02AC01, fluconazole, The metabolism of Progesterone can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The serum concentration of Fludrocortisone can be increased when it is combined with Progesterone.]
[D07XB01, flumethasone, The serum concentration of Flumethasone can be increased when it is combined with Progesterone.]
[N07CA03, flunarizine, The metabolism of Progesterone can be increased when combined with Flunarizine.]
[N05CD03, flunitrazepam, The metabolism of Flunitrazepam can be increased when combined with Progesterone.]
[D07AC08, fluocinonide, The serum concentration of Fluocinonide can be increased when it is combined with Progesterone.]
[H02AB03, fluocortolone, The serum concentration of Fluocortolone can be increased when it is combined with Progesterone.]
[V03AZ01, ethanol, The metabolism of Progesterone can be increased when combined with Ethanol.]
[L01BC09, floxuridine, The metabolism of Progesterone can be decreased when combined with Floxuridine.]
[S01CB05, fluorometholone, The serum concentration of Fluorometholone can be increased when it is combined with Progesterone.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be increased when combined with Progesterone.]
[N06AB03, fluoxetine, The serum concentration of Progesterone can be increased when it is combined with Fluoxetine.]
[N05AB02, fluphenazine, The metabolism of Progesterone can be decreased when combined with Fluphenazine.]
[N05CD01, flurazepam, The metabolism of Flurazepam can be increased when combined with Progesterone.]
[S01BC04, flurbiprofen, The metabolism of Flurbiprofen can be decreased when combined with Progesterone.]
[L02BB01, flutamide, The metabolism of Flutamide can be decreased when combined with Progesterone.]
[V04CX02, folic acid, Progesterone may decrease the excretion rate of Folic acid which could result in a higher serum level.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Progesterone.]
[J05AE10, darunavir, The metabolism of Progesterone can be decreased when combined with Darunavir.]
[N05CF04, eszopiclone, The serum concentration of Eszopiclone can be decreased when it is combined with Progesterone.]
[N06DA04, galantamine, The metabolism of Galantamine can be decreased when combined with Progesterone.]
[S01AD09, ganciclovir, The risk or severity of adverse effects can be increased when Progesterone is combined with Ganciclovir.]
[N03AA04, barbexaclone, The metabolism of Progesterone can be increased when combined with Barbexaclone.]
[C10AB04, gemfibrozil, The metabolism of Progesterone can be decreased when combined with Gemfibrozil.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Progesterone.]
[A10BJ02, liraglutide, The therapeutic efficacy of Liraglutide can be decreased when used in combination with Progesterone.]
[J05AG04, etravirine, The metabolism of Progesterone can be increased when combined with Etravirine.]
[N03AD03, methsuximide, The metabolism of Progesterone can be increased when combined with Methsuximide.]
[N01AH02, alfentanil, The metabolism of Alfentanil can be decreased when combined with Progesterone.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Progesterone.]
[A10BB01, glyburide, The therapeutic efficacy of Glyburide can be decreased when used in combination with Progesterone.]
[A10BB09, gliclazide, The therapeutic efficacy of Gliclazide can be decreased when used in combination with Progesterone.]
[A10BB07, glipizide, The therapeutic efficacy of Glipizide can be decreased when used in combination with Progesterone.]
[N05CM18, dexmedetomidine, The metabolism of Progesterone can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The serum concentration of Dofetilide can be increased when it is combined with Progesterone.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Progesterone.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Progesterone.]
[C07AB09, esmolol, The metabolism of Progesterone can be decreased when combined with Esmolol.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Progesterone.]
[D01BA01, griseofulvin, The metabolism of Progesterone can be increased when combined with Griseofulvin.]
[P01BX01, halofantrine, The metabolism of Progesterone can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The serum concentration of Haloperidol can be increased when it is combined with Progesterone.]
[N01AB01, halothane, The metabolism of Halothane can be increased when combined with Progesterone.]
