[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Formoterol.]
[H02CA02, osilodrostat, The metabolism of Formoterol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Formoterol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Formoterol is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Formoterol is combined with Dutasteride.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Formoterol.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Formoterol.]
[N02CC06, eletriptan, The metabolism of Formoterol can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Formoterol.]
[L01XF03, bexarotene, The metabolism of Formoterol can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Formoterol can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Formoterol can be decreased when combined with Dronedarone.]
[S01EA02, dipivefrin, Dipivefrin may increase the sympathomimetic activities of Formoterol.]
[S03AA08, chloramphenicol, The metabolism of Formoterol can be decreased when combined with Chloramphenicol.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Chlorcyclizine.]
[C02AA06, methoserpidine, Formoterol may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Dihexyverine.]
[C01CA14, dopexamine, Dopexamine may increase the sympathomimetic activities of Formoterol.]
[D07XB03, fluprednidene, The risk or severity of hypokalemia can be increased when Fluprednidene is combined with Formoterol.]
[G04BD09, trospium, The metabolism of Formoterol can be decreased when combined with Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Formoterol is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Formoterol is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Formoterol is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Formoterol.]
[C08CA17, levamlodipine, Formoterol may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Formoterol.]
[L04AC19, satralizumab, The serum concentration of Formoterol can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Formoterol.]
[P01BA01, chloroquine, The metabolism of Formoterol can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Formoterol can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Formoterol can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Formoterol can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Formoterol can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Formoterol may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Formoterol can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Formoterol can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Formoterol is combined with Ethenzamide.]
[N02BA03, choline salicylate, The risk or severity of adverse effects can be increased when Formoterol is combined with Choline salicylate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Formoterol.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Formoterol is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Formoterol can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Formoterol can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Formoterol is combined with Naxitamab.]
[L01EX21, tepotinib, The metabolism of Formoterol can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Formoterol can be decreased when combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Formoterol is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of hypokalemia can be increased when Fenethylline is combined with Formoterol.]
[C01CA19, fenoldopam, Formoterol may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Formoterol is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Formoterol is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hypokalemia can be increased when Flunisolide is combined with Formoterol.]
[S01AA13, fusidic acid, The metabolism of Formoterol can be decreased when combined with Fusidic acid.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of hypokalemia can be increased when Fluocinolone acetonide is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Formoterol.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the arrhythmogenic activities of Formoterol.]
[L03AB10, peginterferon alfa-2b, The metabolism of Formoterol can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Formoterol may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Formoterol can be decreased when combined with Cimetidine.]
[N07CA02, cinnarizine, The metabolism of Formoterol can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Formoterol can be decreased when combined with Somapacitan.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Formoterol is combined with Fexinidazole.]
[L01XX74, belzutifan, The metabolism of Belzutifan can be decreased when combined with Formoterol.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Formoterol can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Formoterol can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Formoterol.]
[R03CC13, clenbuterol, Clenbuterol may increase the sympathomimetic activities of Formoterol.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Formoterol.]
[L01EA06, asciminib, The metabolism of Formoterol can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Formoterol can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Formoterol.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Formoterol.]
[C10AB01, clofibrate, The metabolism of Formoterol can be decreased when combined with Clofibrate.]
[L01EJ03, pacritinib, The serum concentration of Formoterol can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Formoterol.]
[S01EA04, clonidine, Clonidine may increase the sympathomimetic activities of Formoterol.]
[C01EB24, mavacamten, The serum concentration of Formoterol can be decreased when it is combined with Mavacamten.]
[A02BC08, vonoprazan, The metabolism of Formoterol can be decreased when combined with Vonoprazan.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Formoterol can be decreased when combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cocaine.]
[C02KB01, metyrosine, Formoterol may decrease the antihypertensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Formoterol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Formoterol is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Formoterol.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Formoterol is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Homatropine methylbromide is combined with Formoterol.]
[L04AA13, leflunomide, The metabolism of Formoterol can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, Desflurane may increase the arrhythmogenic activities of Formoterol.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Formoterol is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Formoterol can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Formoterol is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Formoterol is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Formoterol.]
[A03AX10, isometheptene, Isometheptene may increase the sympathomimetic activities of Formoterol.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Almotriptan is combined with Formoterol.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Formoterol is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Itraconazole.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Formoterol.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Emedastine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Formoterol is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Formoterol can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Formoterol can be decreased when combined with Esomeprazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lacidipine.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Formoterol.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Levocabastine.]
[S01BA03, cortisone, The risk or severity of hypokalemia can be increased when Cortisone is combined with Formoterol.]
[N07BC04, lofexidine, Lofexidine may increase the sympathomimetic activities of Formoterol.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Formoterol is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Formoterol is combined with Loxoprofen.]
[C09AA03, lisinopril, Formoterol may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Formoterol can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Mebeverine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Formoterol is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may decrease the bronchodilatory activities of Formoterol.]
[H02AB15, meprednisone, The risk or severity of hypokalemia can be increased when Meprednisone is combined with Formoterol.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Formoterol.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the sympathomimetic activities of Formoterol.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Cyclizine.]
[C03DA04, eplerenone, Formoterol may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The metabolism of Formoterol can be decreased when combined with Melperone.]
[C03AA07, cyclopenthiazide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Formoterol.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Formoterol.]
[S01XA18, cyclosporine, The metabolism of Formoterol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Formoterol.]
[N06BA07, modafinil, The metabolism of Formoterol can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Formoterol.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Formoterol.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Formoterol.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Formoterol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Formoterol is combined with Morniflumate.]
[C02AC05, moxonidine, Moxonidine may increase the sympathomimetic activities of Formoterol.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Formoterol is combined with Cytarabine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Formoterol.]
[M01AH05, etoricoxib, The metabolism of Formoterol can be decreased when combined with Etoricoxib.]
[J04BA02, dapsone, The metabolism of Formoterol can be decreased when combined with Dapsone.]
[C02CC04, debrisoquin, Formoterol may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The metabolism of Formoterol can be decreased when combined with Nabilone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Formoterol.]
[C07AB12, nebivolol, Nebivolol may increase the sympathomimetic activities of Formoterol.]
[N06AX06, nefazodone, Nefazodone may increase the tachycardic activities of Formoterol.]
[C01DX16, nicorandil, Formoterol may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Formoterol can be decreased when combined with Nilutamide.]
[C01CA23, theodrenaline, The risk or severity of hypokalemia can be increased when Theodrenaline is combined with Formoterol.]
[C01CA05, norfenefrine, Norfenefrine may increase the sympathomimetic activities of Formoterol.]
[N06AB10, escitalopram, The serum concentration of Formoterol can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Formoterol is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Formoterol can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Formoterol.]
[D07XC02, desoximetasone, The risk or severity of hypokalemia can be increased when Desoximetasone is combined with Formoterol.]
[H02AA03, desoxycorticosterone, The risk or severity of hypokalemia can be increased when Desoxycortone is combined with Formoterol.]
[C09XA02, aliskiren, Formoterol may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Formoterol is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The metabolism of Formoterol can be decreased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The risk or severity of hypokalemia can be increased when Dexamethasone is combined with Formoterol.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Formoterol is combined with Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Formoterol can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Formoterol can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Formoterol.]
[L04AB04, adalimumab, The metabolism of Formoterol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Formoterol can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Formoterol.]
[R05DA09, dextromethorphan, The metabolism of Formoterol can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, The metabolism of Formoterol can be decreased when combined with Paramethadione.]
[N06AB05, paroxetine, The metabolism of Formoterol can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Formoterol can be decreased when combined with Clopidogrel.]
[C04AD01, pentifylline, The risk or severity of hypokalemia can be increased when Pentifylline is combined with Formoterol.]
[N05BA01, diazepam, The metabolism of Formoterol can be decreased when combined with Diazepam.]
[V03AH01, diazoxide, Formoterol may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dibenzepin is combined with Formoterol.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Formoterol.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Formoterol.]
[A03AA07, dicyclomine, The risk or severity of Tachycardia can be increased when Dicyclomine is combined with Formoterol.]
[C02DG01, pinacidil, Formoterol may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Pinaverium.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Formoterol is combined with Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Formoterol.]
[R03CC07, pirbuterol, Pirbuterol may increase the sympathomimetic activities of Formoterol.]
[C03CA03, piretanide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Piretanide.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Diethylpropion is combined with Formoterol.]
[L02AA01, diethylstilbestrol, The metabolism of Formoterol can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Formoterol.]
[D07XC04, diflucortolone, The risk or severity of hypokalemia can be increased when Difluocortolone is combined with Formoterol.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Poldine.]
[N02BA11, diflunisal, The metabolism of Formoterol can be decreased when combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Formoterol.]
[C02DB01, dihydralazine, Formoterol may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the hypertensive and vasoconstricting activities of Formoterol.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the hypertensive and vasoconstricting activities of Formoterol.]
[N02AA03, hydromorphone, The metabolism of Formoterol can be decreased when combined with Hydromorphone.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Formoterol.]
[C08DB01, diltiazem, Formoterol may decrease the antihypertensive activities of Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Dimenhydrinate.]
[R06AB03, dimethindene, The risk or severity of Tachycardia can be increased when Formoterol is combined with Dimetindene.]
[R03CC08, procaterol, Procaterol may increase the sympathomimetic activities of Formoterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Formoterol can be decreased when combined with Dimethyl sulfoxide.]
[N06BC02, propentofylline, The risk or severity of hypokalemia can be increased when Propentofylline is combined with Formoterol.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Formoterol is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Formoterol is combined with Proglumetacin.]
[G02AD02, dinoprostone, The risk or severity of adverse effects can be increased when Dinoprostone is combined with Formoterol.]
[C05CA03, diosmin, The metabolism of Formoterol can be decreased when combined with Diosmin.]
[R03DA03, proxyphylline, The risk or severity of hypokalemia can be increased when Proxyphylline is combined with Formoterol.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Formoterol.]
[C09AA06, quinapril, Formoterol may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Formoterol is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Quinupramine is combined with Formoterol.]
[A03FA02, cisapride, The metabolism of Formoterol can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Formoterol may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The metabolism of Formoterol can be decreased when combined with Remoxipride.]
[R03CC14, reproterol, Reproterol may increase the sympathomimetic activities of Formoterol.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Formoterol.]
[S02AA12, rifamycin SV, The metabolism of Formoterol can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Formoterol can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The therapeutic efficacy of Formoterol can be decreased when used in combination with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Levocetirizine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Formoterol.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Sunitinib.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Formoterol.]
[G04BE08, tadalafil, Formoterol may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Formoterol.]
[C02KX02, ambrisentan, Formoterol may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Formoterol can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Formoterol is combined with Salsalate.]
[R03AC12, salmeterol, Salmeterol may increase the sympathomimetic activities of Formoterol.]
[C01CA07, dobutamine, Dobutamine may increase the sympathomimetic activities of Formoterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Domperidone.]
[C01CA04, dopamine, The risk or severity of adverse effects can be increased when Formoterol is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Formoterol can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Formoterol.]
[N06AA12, doxepin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Formoterol can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Formoterol.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Formoterol.]
[N01AB08, sevoflurane, Sevoflurane may increase the arrhythmogenic activities of Formoterol.]
[N05AD08, droperidol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Droperidol.]
[A08AA10, sibutramine, Sibutramine may increase the tachycardic activities of Formoterol.]
[C10AA01, simvastatin, The metabolism of Formoterol can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Formoterol may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of hypokalemia can be increased when Dyphylline is combined with Formoterol.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Formoterol.]
[C07AB13, talinolol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Talinolol.]
[H01AA01, corticotropin, The risk or severity of hypokalemia can be increased when Corticotropin is combined with Formoterol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Formoterol.]
[G04CA03, terazosin, The therapeutic efficacy of Formoterol can be decreased when used in combination with Terazosin.]
[D01BA02, terbinafine, The metabolism of Formoterol can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Terodiline.]
[C07AA16, tertatolol, Tertatolol may decrease the bronchodilatory activities of Formoterol.]
[S01GA02, tetrahydrozoline, Tetryzoline may increase the sympathomimetic activities of Formoterol.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Formoterol is combined with Emepronium.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Tianeptine is combined with Formoterol.]
[C09AA02, enalapril, Formoterol may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Formoterol is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Toloxatone is combined with Formoterol.]
[N06BA09, atomoxetine, Atomoxetine may increase the tachycardic activities of Formoterol.]
[N03AX11, topiramate, The metabolism of Formoterol can be decreased when combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Toremifene.]
[C03CA04, torsemide, The risk or severity of hypokalemia can be increased when Formoterol is combined with Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Formoterol is combined with Tramazoline.]
[C09AA10, trandolapril, Formoterol may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Formoterol.]
[H02CA01, trilostane, The risk or severity of hypokalemia can be increased when Trilostane is combined with Formoterol.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Triptorelin.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Formoterol is combined with Tropatepine.]
[R03CC11, tulobuterol, Tulobuterol may increase the sympathomimetic activities of Formoterol.]
[N01AB04, enflurane, Enflurane may increase the arrhythmogenic activities of Formoterol.]
[C02CA06, urapidil, The therapeutic efficacy of Formoterol can be decreased when used in combination with Urapidil.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Formoterol.]
[L01CA04, vinorelbine, The metabolism of Formoterol can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, Ephedrine may increase the sympathomimetic activities of Formoterol.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Formoterol.]
[N06AX16, venlafaxine, The metabolism of Formoterol can be decreased when combined with Venlafaxine.]
[C01CX07, xamoterol, Xamoterol may increase the sympathomimetic activities of Formoterol.]
[S01GA03, xylometazoline, Xylometazoline may increase the sympathomimetic activities of Formoterol.]
[S01EA01, epinephrine, Epinephrine may increase the sympathomimetic activities of Formoterol.]
[C09AA15, zofenopril, Formoterol may decrease the antihypertensive activities of Zofenopril.]
