[S02DA03, antipyrine, The metabolism of Hydroxychloroquine can be decreased when combined with Antipyrine.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Carbinoxamine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Hydroxychloroquine.]
[C07AG02, carvedilol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Carvedilol.]
[N03AX24, cannabidiol, The therapeutic efficacy of Cannabidiol can be decreased when used in combination with Hydroxychloroquine.]
[B02BX08, avatrombopag, The metabolism of Hydroxychloroquine can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Baricitinib.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Hydroxychloroquine.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Hydroxychloroquine.]
[L01XX62, ivosidenib, The metabolism of Hydroxychloroquine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Hydroxychloroquine.]
[N03AX17, stiripentol, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Hydroxychloroquine.]
[J05AX24, tecovirimat, The metabolism of Hydroxychloroquine can be increased when combined with Tecovirimat.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Hydroxychloroquine.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Hydroxychloroquine.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Hydroxychloroquine.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Chloroprocaine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Inotersen.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Hydroxychloroquine.]
[L04AA39, emapalumab, The metabolism of Hydroxychloroquine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Hydroxychloroquine.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ravulizumab.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Cibenzoline.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Hydroxychloroquine.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Triclabendazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Hydroxychloroquine can be decreased when combined with Clarithromycin.]
[N06AX29, brexanolone, The therapeutic efficacy of Brexanolone can be decreased when used in combination with Hydroxychloroquine.]
[N05BA09, clobazam, The therapeutic efficacy of Clobazam can be decreased when used in combination with Hydroxychloroquine.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Hydroxychloroquine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Hydroxychloroquine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Hydroxychloroquine can be decreased when combined with Alpelisib.]
[N05AA06, cyamemazine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Cicletanine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Upadacitinib.]
[L01EJ02, fedratinib, The metabolism of Hydroxychloroquine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Hydroxychloroquine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Hydroxychloroquine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Hydroxychloroquine.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Hydroxychloroquine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Hydroxychloroquine.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Hydroxychloroquine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Diroximel fumarate.]
[N03AX25, cenobamate, The therapeutic efficacy of Cenobamate can be decreased when used in combination with Hydroxychloroquine.]
[A16AX16, givosiran, The serum concentration of Hydroxychloroquine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Hydroxychloroquine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Hydroxychloroquine.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Hydroxychloroquine can be decreased when combined with Diacerein.]
[J05AB16, remdesivir, The therapeutic efficacy of Remdesivir can be decreased when used in combination with Hydroxychloroquine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Hydroxychloroquine.]
[H02CA02, osilodrostat, The metabolism of Hydroxychloroquine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Hydroxychloroquine can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Hydroxychloroquine.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Hydroxychloroquine.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Hydroxychloroquine.]
[M01AH02, rofecoxib, The metabolism of Hydroxychloroquine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Hydroxychloroquine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Hydroxychloroquine.]
[C01BD07, dronedarone, The metabolism of Hydroxychloroquine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The therapeutic efficacy of Valpromide can be decreased when used in combination with Hydroxychloroquine.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Hydroxychloroquine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Hydroxychloroquine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Chlorcyclizine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Hydroxychloroquine.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Hydroxychloroquine can be decreased when combined with Trospium.]
[L01EX22, selpercatinib, The serum concentration of Hydroxychloroquine can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, The therapeutic efficacy of Clomethiazole can be decreased when used in combination with Hydroxychloroquine.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Hydroxychloroquine is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Hydroxychloroquine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Hydroxychloroquine can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Hydroxychloroquine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Hydroxychloroquine.]
[P01BA01, chloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Hydroxychloroquine can be decreased when combined with Pralsetinib.]
[R06AB04, chlorpheniramine, The metabolism of Hydroxychloroquine can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Hydroxychloroquine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Hydroxychloroquine.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Hydroxychloroquine.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Hydroxychloroquine.]
[A11CC05, cholecalciferol, The metabolism of Hydroxychloroquine can be decreased when combined with Cholecalciferol.]
[N06BX18, vinpocetine, The therapeutic efficacy of Vinpocetine can be decreased when used in combination with Hydroxychloroquine.]
[B06AC06, berotralstat, The metabolism of Hydroxychloroquine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Hydroxychloroquine can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Hydroxychloroquine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Relugolix.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Hydroxychloroquine can be increased when it is combined with Abametapir.]
[N03AX10, felbamate, The therapeutic efficacy of Felbamate can be decreased when used in combination with Hydroxychloroquine.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Hydroxychloroquine.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Hydroxychloroquine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Hydroxychloroquine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Hydroxychloroquine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Hydroxychloroquine.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Hydroxychloroquine.]
[A02BA01, cimetidine, The metabolism of Hydroxychloroquine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The therapeutic efficacy of Gabapentin can be decreased when used in combination with Hydroxychloroquine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Hydroxychloroquine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Hydroxychloroquine can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Hydroxychloroquine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Hydroxychloroquine.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pegcetacoplan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Hydroxychloroquine.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Belumosudil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Anifrolumab.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Clemastine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Hydroxychloroquine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Hydroxychloroquine.]
[N06AX25, St. John's wort extract, The metabolism of Hydroxychloroquine can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ropeginterferon alfa-2b.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Hydroxychloroquine.]
[B06AX04, mitapivat, The metabolism of Hydroxychloroquine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Hydroxychloroquine.]
[N03AE01, clonazepam, The therapeutic efficacy of Clonazepam can be decreased when used in combination with Hydroxychloroquine.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Hydroxychloroquine.]
[C01EB24, mavacamten, The serum concentration of Hydroxychloroquine can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Hydroxychloroquine.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Deucravacitinib.]
[H01CC04, linzagolix, The serum concentration of Hydroxychloroquine can be increased when it is combined with Linzagolix.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Hydroxychloroquine.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Hydroxychloroquine can be decreased when combined with Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Hydroxychloroquine.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Hydroxychloroquine.]
[H01AC08, somatrogon, The metabolism of Hydroxychloroquine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Hydroxychloroquine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Hydroxychloroquine.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Leflunomide.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Hydroxychloroquine.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Hydroxychloroquine.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Hydroxychloroquine.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Hydroxychloroquine.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Hydroxychloroquine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Hydroxychloroquine.]
[J01FA15, telithromycin, The metabolism of Hydroxychloroquine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Hydroxychloroquine.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Desloratadine.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be increased when it is combined with Hydroxychloroquine.]
[N02CC05, almotriptan, The metabolism of Hydroxychloroquine can be decreased when combined with Almotriptan.]
[J02AC02, itraconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Emedastine.]
[L01EA01, imatinib, The serum concentration of Hydroxychloroquine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Hydroxychloroquine can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Lacidipine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Hydroxychloroquine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Hydroxychloroquine.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Hydroxychloroquine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Hydroxychloroquine can be decreased when combined with Loratadine.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Hydroxychloroquine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08CA11, manidipine, The metabolism of Hydroxychloroquine can be decreased when combined with Manidipine.]
[C07AA14, mepindolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Hydroxychloroquine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Hydroxychloroquine.]
[N05AD03, metylperon, The metabolism of Hydroxychloroquine can be decreased when combined with Melperone.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Hydroxychloroquine.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Hydroxychloroquine.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Cyclophosphamide is combined with Hydroxychloroquine.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Hydroxychloroquine.]
[S01XA18, cyclosporine, Hydroxychloroquine may increase the immunosuppressive activities of Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Hydroxychloroquine can be decreased when combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Hydroxychloroquine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Hydroxychloroquine.]
[C03XA02, conivaptan, The metabolism of Hydroxychloroquine can be decreased when combined with Conivaptan.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Hydroxychloroquine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Hydroxychloroquine.]
[M01AH05, etoricoxib, The metabolism of Hydroxychloroquine can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Hydroxychloroquine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Hydroxychloroquine.]
[G03XA01, danazol, The metabolism of Hydroxychloroquine can be decreased when combined with Danazol.]
[J04BA02, dapsone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Hydroxychloroquine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Hydroxychloroquine.]
[C07AB12, nebivolol, The risk or severity of QTc prolongation can be decreased when Hydroxychloroquine is combined with Nebivolol.]
[N06AX06, nefazodone, The metabolism of Hydroxychloroquine can be decreased when combined with Nefazodone.]
[L02BB02, nilutamide, The metabolism of Hydroxychloroquine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The therapeutic efficacy of Tiagabine can be decreased when used in combination with Hydroxychloroquine.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Hydroxychloroquine.]
[N06AB10, escitalopram, The serum concentration of Hydroxychloroquine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Hydroxychloroquine.]
[N06AA01, desipramine, The metabolism of Hydroxychloroquine can be decreased when combined with Desipramine.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be increased when it is combined with Hydroxychloroquine.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Hydroxychloroquine.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Hydroxychloroquine.]
[N03AF02, oxcarbazepine, The therapeutic efficacy of Oxcarbazepine can be decreased when used in combination with Hydroxychloroquine.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Hydroxychloroquine.]
[G04BD04, oxybutynin, The metabolism of Hydroxychloroquine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Hydroxychloroquine.]
[L04AB04, adalimumab, The metabolism of Hydroxychloroquine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Hydroxychloroquine.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Hydroxychloroquine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Hydroxychloroquine.]
[N03AC01, paramethadione, The therapeutic efficacy of Paramethadione can be decreased when used in combination with Hydroxychloroquine.]
[N06AB05, paroxetine, The metabolism of Hydroxychloroquine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Hydroxychloroquine can be decreased when combined with Clopidogrel.]
[N05BA01, diazepam, The therapeutic efficacy of Diazepam can be decreased when used in combination with Hydroxychloroquine.]
[N03AX07, phenacemide, The therapeutic efficacy of Phenacemide can be decreased when used in combination with Hydroxychloroquine.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Phenol.]
[N03AD02, phensuximide, The therapeutic efficacy of Phensuximide can be decreased when used in combination with Hydroxychloroquine.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Hydroxychloroquine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Hydroxychloroquine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Hydroxychloroquine.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Hydroxychloroquine.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Pirarubicin.]
[L02AA01, diethylstilbestrol, The metabolism of Hydroxychloroquine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Hydroxychloroquine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Difluocortolone.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Hydroxychloroquine.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Hydroxychloroquine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Hydroxychloroquine.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Hydroxychloroquine.]
[J05AE08, atazanavir, The metabolism of Hydroxychloroquine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Hydroxychloroquine.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Hydroxychloroquine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Dimenhydrinate.]
[M02AX03, dimethyl sulfoxide, The metabolism of Hydroxychloroquine can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Hydroxychloroquine.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Diphenhydramine.]
[A03FA02, cisapride, The metabolism of Hydroxychloroquine can be decreased when combined with Cisapride.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Hydroxychloroquine.]
[N05AL04, remoxipride, The metabolism of Remoxipride can be decreased when combined with Hydroxychloroquine.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be increased when used in combination with Hydroxychloroquine.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Hydroxychloroquine is combined with Natalizumab.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Hydroxychloroquine.]
[S02AA12, rifamycin SV, The metabolism of Hydroxychloroquine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Hydroxychloroquine can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The therapeutic efficacy of Riluzole can be decreased when used in combination with Hydroxychloroquine.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Hydroxychloroquine.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Hydroxychloroquine is combined with Levocetirizine.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Hydroxychloroquine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Hydroxychloroquine is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Hydroxychloroquine.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Hydroxychloroquine.]
