[P02BB01, trichlorfon, The therapeutic efficacy of Atropine can be decreased when used in combination with Metrifonate.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Atropine.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Atropine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Atropine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Atropine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08CA17, levamlodipine, Atropine may decrease the antihypertensive activities of Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Atropine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Atropine.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N07XX04, sodium oxybate, Sodium oxybate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01FX15, belantamab mafodotin, Atropine may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[N02AX07, oliceridine, The risk or severity of urinary retention, reduced gastrointestinal motility, and constipation can be increased when Atropine is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Atropine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Atropine may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03BA04, chlorthalidone, Atropine may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Atropine is combined with Ethenzamide.]
[N06BX18, vinpocetine, Atropine may increase the arrhythmogenic activities of Vinpocetine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Atropine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Atropine is combined with Etofenamate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Atropine is combined with Berotralstat.]
[M09AA01, hydroquinine, Atropine may increase the arrhythmogenic activities of Hydroquinine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Atropine.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Atropine is combined with Naxitamab.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Atropine is combined with Fenbufen.]
[C01CA19, fenoldopam, Atropine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Atropine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Atropine is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Atropine.]
[S01JA01, fluorescein, Atropine may decrease the excretion rate of Fluorescein which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Atropine is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Atropine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[H04AA02, dasiglucagon, Atropine may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N07CA02, cinnarizine, Cinnarizine may increase the arrhythmogenic activities of Atropine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Atropine.]
[L01XA01, cisplatin, The therapeutic efficacy of Atropine can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Atropine is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Atropine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Atropine is combined with Mefenamic acid.]
[A10BB12, glimepiride, Glimepiride may decrease the excretion rate of Atropine which could result in a higher serum level.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Atropine is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Atropine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Atropine.]
[N06AA04, clomipramine, Clomipramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01EA04, clonidine, Clonidine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A05BA08, glycyrrhizic acid, Atropine may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S02DA02, cocaine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Cocaine.]
[C02KB01, metyrosine, Atropine may decrease the antihypertensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Atropine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Atropine is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Atropine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Atropine is combined with Homatropine methylbromide.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Atropine is combined with Homatropine.]
[C01BA13, hydroquinidine, Atropine may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A04AA03, tropisetron, Atropine may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Atropine is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Atropine is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Atropine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Atropine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Atropine is combined with Isometheptene.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Atropine is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Atropine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Emedastine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Atropine is combined with Kebuzone.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Atropine.]
[C08CA09, lacidipine, Atropine may increase the arrhythmogenic activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Atropine.]
[N03AX09, lamotrigine, Lamotrigine may increase the arrhythmogenic activities of Atropine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Atropine is combined with Lonazolac.]
[R06AX13, loratadine, Loratadine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Atropine is combined with Loxoprofen.]
[C09AA03, lisinopril, Atropine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Atropine.]
[C08CA11, manidipine, Atropine may increase the arrhythmogenic activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Atropine is combined with Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Atropine is combined with Mefenorex.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Atropine.]
[C01EB10, adenosine, Atropine may increase the arrhythmogenic activities of Adenosine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Atropine.]
[C04AX01, cyclandelate, Atropine may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Atropine is combined with Methoxyphenamine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C03DA04, eplerenone, Atropine may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, Atropine may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, Atropine may decrease the antihypertensive activities of Cyclopenthiazide.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Atropine is combined with Cyclopentolate.]
[N06AX07, minaprine, The risk or severity of hypertension can be increased when Minaprine is combined with Atropine.]
[S01XA18, cyclosporine, Cyclosporine may decrease the excretion rate of Atropine which could result in a higher serum level.]
[N06AG02, moclobemide, The risk or severity of hypertension can be increased when Moclobemide is combined with Atropine.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09AA13, moexipril, Atropine may decrease the antihypertensive activities of Moexipril.]
[C10AA07, rosuvastatin, Atropine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Atropine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Atropine is combined with Morniflumate.]
[C02AC05, moxonidine, Atropine may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Atropine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Atropine is combined with Etoricoxib.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01DB02, daunorubicin, Atropine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02CC04, debrisoquin, Atropine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of Tachycardia and drowsiness can be increased when Atropine is combined with Nabilone.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Atropine.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C07AB12, nebivolol, Atropine may increase the arrhythmogenic activities of Nebivolol.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01DX16, nicorandil, Atropine may increase the arrhythmogenic activities of Nicorandil.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Atropine is combined with Theodrenaline.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Atropine is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Atropine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Atropine is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Atropine is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Atropine is combined with Olsalazine.]
[N06AA01, desipramine, Desipramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C01AA07, deslanoside, Atropine may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Atropine.]
[C09XA02, aliskiren, Atropine may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Atropine.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Atropine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S03BA01, dexamethasone, Dexamethasone may increase the excretion rate of Atropine which could result in a lower serum level and potentially a reduction in efficacy.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Atropine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Atropine is combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Atropine.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Atropine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Atropine is combined with Dextromoramide.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Atropine is combined with Diamorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[V03AH01, diazoxide, Atropine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01BC03, diclofenac, Atropine may decrease the excretion rate of Diclofenac which could result in a higher serum level.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Atropine.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Atropine is combined with Dicyclomine.]
[C02DG01, pinacidil, Atropine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Atropine may increase the arrhythmogenic activities of Pinaverium.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Atropine is combined with Pipenzolate.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Atropine is combined with Erlotinib.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Atropine is combined with Pirbuterol.]
[P02CB02, diethylcarbamazine, The therapeutic efficacy of Atropine can be decreased when used in combination with Diethylcarbamazine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L02AA01, diethylstilbestrol, Diethylstilbestrol may decrease the excretion rate of Atropine which could result in a higher serum level.]
[C08CA03, isradipine, Isradipine may increase the arrhythmogenic activities of Atropine.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Atropine is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Atropine is combined with Diflunisal.]
[C01AA04, digitoxin, Atropine may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Digoxin may increase the arrhythmogenic activities of Atropine.]
[C02DB01, dihydralazine, Atropine may decrease the antihypertensive activities of Dihydralazine.]
[C10AX09, ezetimibe, Atropine may decrease the excretion rate of Ezetimibe which could result in a higher serum level.]
[C04AE04, dihydroergocristine, Atropine may decrease the excretion rate of Dihydroergocristine which could result in a higher serum level.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Atropine is combined with Hydromorphone.]
[J05AE08, atazanavir, Atropine may decrease the excretion rate of Atazanavir which could result in a higher serum level.]
[B01AC21, treprostinil, Atropine may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, Pramocaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C08DB01, diltiazem, Diltiazem may increase the arrhythmogenic activities of Atropine.]
[R06AA11, dimenhydrinate, Dimenhydrinate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BX03, pridinol, Pridinol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Atropine is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Atropine is combined with Procaterol.]
[N03AG05, progabide, Progabide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Atropine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Atropine is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Diphenhydramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CD10, quazepam, Quazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09AA06, quinapril, Atropine may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, Atropine may decrease the excretion rate of Dipyridamole which could result in a higher serum level.]
[N06BA11, dexmethylphenidate, Dexmethylphenidate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AA23, quinupramine, Quinupramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Atropine is combined with Cisapride.]
[C09AA05, ramipril, Atropine may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, Remoxipride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Atropine is combined with Reproterol.]
[C01BA03, disopyramide, Disopyramide may increase the arrhythmogenic activities of Atropine.]
[N07AA03, distigmine, The therapeutic efficacy of Atropine can be decreased when used in combination with Distigmine.]
[P03AA04, disulfiram, Atropine may decrease the excretion rate of Disulfiram which could result in a higher serum level.]
[N07XX02, riluzole, Riluzole may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AX08, risperidone, Risperidone may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R06AE09, levocetirizine, Levocetirizine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N01BB09, ropivacaine, Ropivacaine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Atropine.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Sunitinib is combined with Atropine.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Atropine.]
[G04BE08, tadalafil, Atropine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Atropine.]
[C02KX02, ambrisentan, Atropine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Atropine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Atropine is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Atropine is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Atropine is combined with Dobutamine.]
[A03FA03, domperidone, The therapeutic efficacy of Domperidone can be decreased when used in combination with Atropine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Atropine is combined with Dopamine.]
[N06AA16, dothiepin, Dosulepin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Atropine.]
[N06AA12, doxepin, Doxepin may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Atropine.]
[L01DB01, doxorubicin, Atropine may decrease the excretion rate of Doxorubicin which could result in a higher serum level.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AB06, sertraline, Sertraline may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N01AB08, sevoflurane, Sevoflurane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A08AA10, sibutramine, Sibutramine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C10AA01, simvastatin, Atropine may decrease the excretion rate of Simvastatin which could result in a higher serum level.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Atropine.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Atropine.]
[C09AA11, spirapril, Atropine may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, Sultopride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N02CC01, sumatriptan, Sumatriptan may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C07AB13, talinolol, Atropine may increase the arrhythmogenic activities of Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Atropine is combined with Temafloxacin.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Atropine.]
[G04CA03, terazosin, Atropine may decrease the antihypertensive activities of Terazosin.]
[G04BD05, terodiline, Atropine may increase the arrhythmogenic activities of Terodiline.]
[C07AA16, tertatolol, Atropine may increase the arrhythmogenic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Atropine is combined with Tetryzoline.]
[M03BX07, tetrazepam, Tetrazepam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M03BX05, thiocolchicoside, Thiocolchicoside may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05AB05, thiopropazate, Thiopropazate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BD01, emepronium, Emepronium may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N06AX14, tianeptine, Tianeptine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C09AA02, enalapril, Atropine may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, Tofisopam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Atropine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of hypertension can be increased when Toloxatone is combined with Atropine.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Atropine.]
[N03AX11, topiramate, The risk or severity of hyperthermia and oligohydrosis can be increased when Atropine is combined with Topiramate.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Atropine is combined with Toremifene.]
[C03CA04, torsemide, Atropine may decrease the antihypertensive activities of Torasemide.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Atropine is combined with Tramazoline.]
[C09AA10, trandolapril, Atropine may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, Loprazolam may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CC01, chloral hydrate, Chloral hydrate may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[N05CM07, triclofos, Triclofos may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Atropine.]
[R06AA10, trimethobenzamide, Trimethobenzamide may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Atropine.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Atropine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Atropine is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[C02CA06, urapidil, Urapidil may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Atropine.]
[N05AL06, veralipride, Veralipride may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Atropine is combined with Ephedrine.]
[S01GX10, epinastine, Epinastine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
