[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Galantamine.]
[A03AA04, mebeverine, The therapeutic efficacy of Mebeverine can be decreased when used in combination with Galantamine.]
[C07AA14, mepindolol, Galantamine may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Galantamine.]
[C04AX01, cyclandelate, Galantamine may increase the bradycardic activities of Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Cyclizine.]
[N05AD03, metylperon, The metabolism of Galantamine can be decreased when combined with Melperone.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Galantamine.]
[S01XA18, cyclosporine, The metabolism of Galantamine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Galantamine can be decreased when combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Galantamine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Moexipril.]
[C03XA02, conivaptan, The metabolism of Galantamine can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Vardenafil.]
[M01AH05, etoricoxib, The metabolism of Galantamine can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Galantamine can be decreased when combined with Danazol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Galantamine.]
[C07AB12, nebivolol, Galantamine may increase the bradycardic activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Galantamine can be decreased when combined with Nefazodone.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Galantamine.]
[N06AB10, escitalopram, The serum concentration of Galantamine can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Solifenacin.]
[N06AA01, desipramine, The metabolism of Galantamine can be decreased when combined with Desipramine.]
[D07XC02, desoximetasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Desoximetasone.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Desoxycortone.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Oxaliplatin.]
[S03BA01, dexamethasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Galantamine.]
[G04BD04, oxybutynin, The metabolism of Galantamine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Galantamine can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Galantamine.]
[L04AB04, adalimumab, The metabolism of Galantamine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Galantamine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Galantamine can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The therapeutic efficacy of Dextromethorphan can be decreased when used in combination with Galantamine.]
[N06AB05, paroxetine, The metabolism of Galantamine can be decreased when combined with Paroxetine.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Galantamine.]
[A03AA07, dicyclomine, The therapeutic efficacy of Dicyclomine can be decreased when used in combination with Galantamine.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Pinaverium.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Galantamine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Galantamine.]
[C08CA03, isradipine, The metabolism of Galantamine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Galantamine.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Digitoxin.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Galantamine.]
[J05AE08, atazanavir, The metabolism of Galantamine can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Galantamine.]
[C08DB01, diltiazem, The metabolism of Galantamine can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Dimenhydrinate.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Galantamine.]
[M02AX03, dimethyl sulfoxide, The metabolism of Galantamine can be decreased when combined with Dimethyl sulfoxide.]
[R06AA02, diphenhydramine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Diphenhydramine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Galantamine can be decreased when used in combination with Dipyridamole.]
[A03FA02, cisapride, The metabolism of Galantamine can be decreased when combined with Cisapride.]
[N05AL04, remoxipride, The metabolism of Galantamine can be decreased when combined with Remoxipride.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Disulfiram.]
[S02AA12, rifamycin SV, The metabolism of Galantamine can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Galantamine can be increased when combined with Rifapentine.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Levocetirizine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sunitinib.]
[A04AD12, aprepitant, The metabolism of Galantamine can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Galantamine.]
[C01EB18, ranolazine, The serum concentration of Galantamine can be increased when it is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Domperidone.]
[N06AA16, dothiepin, The metabolism of Galantamine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Galantamine can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Galantamine.]
[N06AB06, sertraline, The metabolism of Galantamine can be decreased when combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Droperidol.]
[C10AA01, simvastatin, The metabolism of Galantamine can be decreased when combined with Simvastatin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Sultopride.]
[C07AB13, talinolol, Galantamine may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Galantamine can be decreased when used in combination with Corticotropin.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Temafloxacin.]
[D01BA02, terbinafine, The metabolism of Galantamine can be decreased when combined with Terbinafine.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Terodiline.]
[C07AA16, tertatolol, Galantamine may increase the bradycardic activities of Tertatolol.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Galantamine.]
[M01AG02, tolfenamic acid, Galantamine may increase the bradycardic activities of Tolfenamic acid.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Galantamine.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Toremifene.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Galantamine.]
[H02CA01, trilostane, The therapeutic efficacy of Galantamine can be decreased when used in combination with Trilostane.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Triptorelin.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Galantamine.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Galantamine.]
[L01CA04, vinorelbine, The metabolism of Galantamine can be decreased when combined with Vinorelbine.]
[S01FB02, ephedrine, Galantamine may increase the neuromuscular blocking activities of Ephedrine.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Epinastine.]
[N06AX16, venlafaxine, The metabolism of Galantamine can be decreased when combined with Venlafaxine.]
[C08CA12, mepirodipine, The metabolism of Galantamine can be decreased when combined with Barnidipine.]
[N05CF02, zolpidem, The metabolism of Galantamine can be decreased when combined with Zolpidem.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Zonisamide.]
[C02AC02, guanfacine, Galantamine may increase the bradycardic activities of Guanfacine.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Moricizine.]
[N02CA02, ergotamine, The metabolism of Galantamine can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Valproic acid.]
[S01AA17, erythromycin, The metabolism of Galantamine can be decreased when combined with Erythromycin.]
[H05BX01, cinacalcet, The metabolism of Galantamine can be decreased when combined with Cinacalcet.]
[J04AK02, ethambutol, The metabolism of Galantamine can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Galantamine.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ibutilide.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Galantamine.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Galantamine.]
[S01XA06, ethylmorphine, The metabolism of Ethylmorphine can be decreased when combined with Galantamine.]
[N05AE03, sertindole, The metabolism of Sertindole can be decreased when combined with Galantamine.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ajmaline.]
[L04AD02, tacrolimus, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Tacrolimus.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Galantamine.]
[R06AX12, terfenadine, The metabolism of Galantamine can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The metabolism of Galantamine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, The metabolism of Galantamine can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Leuprolide.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Famotidine.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Fendiline.]
[N03AX26, fenfluramine, The metabolism of Galantamine can be decreased when combined with Fenfluramine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Galantamine.]
[N02AB03, fentanyl, Galantamine may increase the bradycardic activities of Fentanyl.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Salbutamol.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Galantamine is combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Galantamine.]
[C01BC04, flecainide, The metabolism of Flecainide can be decreased when combined with Galantamine.]
[J02AC01, fluconazole, The metabolism of Galantamine can be decreased when combined with Fluconazole.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fludrocortisone.]
[D07XB01, flumethasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Flumethasone.]
[N07CA03, flunarizine, Galantamine may increase the bradycardic activities of Flunarizine.]
[D07AC08, fluocinonide, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluocinonide.]
[H02AB03, fluocortolone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluocortolone.]
[S01CB05, fluorometholone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluorometholone.]
[L01BC02, fluorouracil, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Fluorouracil.]
[N06AB03, fluoxetine, The serum concentration of Galantamine can be increased when it is combined with Fluoxetine.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Flupentixol.]
[N05AB02, fluphenazine, The metabolism of Galantamine can be decreased when combined with Fluphenazine.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Fluspirilene.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Galantamine.]
[J05AE10, darunavir, The metabolism of Galantamine can be decreased when combined with Darunavir.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Amisulpride.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Pipemidic acid.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Galantamine can be decreased when used in combination with Fluticasone furoate.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Galantamine.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Gallopamil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Degarelix.]
[L01EA02, dasatinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Dasatinib.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Methsuximide.]
[N01AH02, alfentanil, Galantamine may increase the bradycardic activities of Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lapatinib.]
[N05CM18, dexmedetomidine, The metabolism of Galantamine can be decreased when combined with Dexmedetomidine.]
[C01BD04, dofetilide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Dofetilide.]
[C02CA04, doxazosin, The metabolism of Galantamine can be decreased when combined with Doxazosin.]
[L01EX02, sorafenib, The risk or severity of QTc prolongation can be increased when Sorafenib is combined with Galantamine.]
[C07AB09, esmolol, Galantamine may increase the bradycardic activities of Esmolol.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Goserelin.]
[P01BX01, halofantrine, The metabolism of Galantamine can be decreased when combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Haloperidol.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Histrelin.]
[N05AH04, quetiapine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Galantamine.]
[L01CE02, irinotecan, Galantamine may increase the neuromuscular blocking activities of Irinotecan.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Losartan.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Galantamine.]
[J05AG01, nevirapine, The metabolism of Galantamine can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The metabolism of Galantamine can be decreased when combined with Nilvadipine.]
[M02AA26, nimesulide, Galantamine may increase the bradycardic activities of Nimesulide.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Hydrocortisone.]
[G04BD06, propiverine, The therapeutic efficacy of Propiverine can be decreased when used in combination with Galantamine.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Hydroxyzine.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Galantamine.]
[N01AH03, sufentanil, Galantamine may increase the bradycardic activities of Sufentanil.]
[N06AA02, imipramine, The metabolism of Galantamine can be decreased when combined with Imipramine.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Terlipressin.]
[R01AD07, tixocortol, The therapeutic efficacy of Galantamine can be decreased when used in combination with Tixocortol.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Tizanidine.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Indapamide.]
[N06AX17, milnacipran, The metabolism of Galantamine can be decreased when combined with Milnacipran.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Galantamine.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Galantamine is combined with Varenicline.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Galantamine.]
[C10AA06, cerivastatin, The metabolism of Galantamine can be decreased when combined with Cerivastatin.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Anagrelide.]
[C07AA01, alprenolol, Galantamine may increase the bradycardic activities of Alprenolol.]
[V03AB01, ipecac, The metabolism of Ipecac can be decreased when combined with Galantamine.]
[N06AF05, iproniazid, The metabolism of Galantamine can be decreased when combined with Iproniazid.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Isoflurane.]
[N04BX02, entacapone, The metabolism of Galantamine can be decreased when combined with Entacapone.]
[J04AC01, isoniazid, The metabolism of Galantamine can be decreased when combined with Isoniazid.]
[N06AX18, reboxetine, The metabolism of Galantamine can be decreased when combined with Reboxetine.]
[L04AC07, tocilizumab, The metabolism of Galantamine can be increased when combined with Tocilizumab.]
[J02AB02, ketoconazole, The metabolism of Galantamine can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Galantamine.]
[L04AA24, abatacept, The metabolism of Galantamine can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mizolastine.]
[N04BC09, rotigotine, The metabolism of Galantamine can be decreased when combined with Rotigotine.]
[J01MB02, nalidixic acid, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Nalidixic acid.]
[C07AG01, labetalol, Galantamine may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Amantadine.]
[N03AX18, lacosamide, Galantamine may increase the bradycardic activities of Lacosamide.]
[S02DA01, lidocaine, The metabolism of Galantamine can be decreased when combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Lidoflazine.]
[N02CA07, lisuride, The metabolism of Galantamine can be decreased when combined with Lisuride.]
[A07DA03, loperamide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Galantamine can be decreased when combined with Lovastatin.]
[L01EG01, temsirolimus, The metabolism of Galantamine can be decreased when combined with Temsirolimus.]
[V04CC02, magnesium sulfate, Magnesium sulfate may increase the bradycardic activities of Galantamine.]
[L01EA03, nilotinib, The metabolism of Galantamine can be decreased when combined with Nilotinib.]
[N06AA21, maprotiline, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Maprotiline.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Galantamine.]
[R06AE05, meclizine, The therapeutic efficacy of Meclizine can be decreased when used in combination with Galantamine.]
[P01BC02, mefloquine, The risk or severity of QTc prolongation can be increased when Mefloquine is combined with Galantamine.]
[N03AB04, mephenytoin, The metabolism of Galantamine can be decreased when combined with Mephenytoin.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Galantamine.]
[N05AC03, mesoridazine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mesoridazine.]
[N05AX13, paliperidone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Paliperidone.]
[A04AA04, dolasetron, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Dolasetron.]
[H01CB03, lanreotide, Galantamine may increase the bradycardic activities of Lanreotide.]
[N07BC02, methadone, The metabolism of Galantamine can be decreased when combined with Methadone.]
[N06BA03, methamphetamine, The metabolism of Metamfetamine can be decreased when combined with Galantamine.]
[A03AB07, methantheline, The therapeutic efficacy of Methantheline can be decreased when used in combination with Galantamine.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Galantamine.]
[H03BB02, methimazole, The metabolism of Galantamine can be decreased when combined with Methimazole.]
[N05AA02, methotrimeprazine, The metabolism of Galantamine can be decreased when combined with Methotrimeprazine.]
[N02BG09, methoxyflurane, The metabolism of Methoxyflurane can be decreased when combined with Galantamine.]
[C02AB01, methyldopa, Galantamine may increase the bradycardic activities of Methyldopa.]
[V04CG05, methylene blue, The metabolism of Galantamine can be decreased when combined with Methylene blue.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Galantamine can be decreased when used in combination with Methylprednisolone aceponate.]
[A03FA01, metoclopramide, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Metoclopramide.]
[C07AB02, metoprolol, The metabolism of Galantamine can be decreased when combined with Metoprolol.]
[P01AB01, metronidazole, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Metronidazole.]
[C01BB02, mexiletine, The metabolism of Galantamine can be decreased when combined with Mexiletine.]
[N06AX03, mianserin, The metabolism of Mianserin can be decreased when combined with Galantamine.]
[S02AA13, miconazole, The metabolism of Galantamine can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Galantamine.]
[C01CA17, midodrine, Midodrine may increase the bradycardic activities of Galantamine.]
[G03XB01, mifepristone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Mifepristone.]
[L01XX23, mitotane, The metabolism of Galantamine can be increased when combined with Mitotane.]
[N06BA12, lisdexamfetamine, The metabolism of Galantamine can be decreased when combined with Lisdexamfetamine.]
[C01BD01, amiodarone, The metabolism of Galantamine can be decreased when combined with Amiodarone.]
[N06AA09, amitriptyline, The metabolism of Amitriptyline can be decreased when combined with Galantamine.]
[A04AA05, palonosetron, The metabolism of Galantamine can be decreased when combined with Palonosetron.]
[L04AB05, certolizumab pegol, The metabolism of Galantamine can be increased when combined with Certolizumab pegol.]
[L01EX03, pazopanib, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Pazopanib.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Galantamine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Galantamine.]
[P01BA06, amodiaquine, The risk or severity of QTc prolongation can be increased when Amodiaquine is combined with Galantamine.]
[N06AA17, amoxapine, The metabolism of Amoxapine can be decreased when combined with Galantamine.]
[N03AB05, fosphenytoin, The metabolism of Galantamine can be increased when combined with Fosphenytoin.]
[C07AA12, nadolol, Galantamine may increase the bradycardic activities of Nadolol.]
[V03AB15, naloxone, The metabolism of Galantamine can be decreased when combined with Naloxone.]
[L04AC03, anakinra, The metabolism of Galantamine can be increased when combined with Anakinra.]
[N06BA01, amphetamine, The metabolism of Galantamine can be decreased when combined with Amphetamine.]
[N06AX21, duloxetine, The metabolism of Galantamine can be decreased when combined with Duloxetine.]
[N01AH06, remifentanil, Galantamine may increase the bradycardic activities of Remifentanil.]
[C01CX08, levosimendan, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Levosimendan.]
[N05AX14, iloperidone, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Iloperidone.]
[N06AX23, desvenlafaxine, The metabolism of Galantamine can be decreased when combined with Desvenlafaxine.]
[C10AD02, niacin, The metabolism of Galantamine can be decreased when combined with Niacin.]
[C08CA04, nicardipine, The metabolism of Galantamine can be decreased when combined with Nicardipine.]
[C04AE02, nicergoline, The metabolism of Nicergoline can be decreased when combined with Galantamine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Galantamine is combined with Nicotine.]
[C08CA05, nifedipine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Nifedipine.]
[C08CA06, nimodipine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Nimodipine.]
[C08CA07, nisoldipine, Nisoldipine may increase the bradycardic activities of Galantamine.]
[C08CA08, nitrendipine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Nitrendipine.]
[S01AE02, norfloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Norfloxacin.]
[N06AA10, nortriptyline, The metabolism of Nortriptyline can be decreased when combined with Galantamine.]
[G02CA02, nylidrin, Galantamine may increase the bradycardic activities of Nylidrin.]
[H01CB02, octreotide, The serum concentration of the active metabolites of Octreotide can be increased when Octreotide is used in combination with Galantamine.]
[S02AA16, ofloxacin, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Ofloxacin.]
[L04AC04, rilonacept, The metabolism of Galantamine can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Galantamine can be decreased when combined with Omeprazole.]
[N02AA02, opium, The metabolism of Opium can be decreased when combined with Galantamine.]
[G04CA02, tamsulosin, The metabolism of Tamsulosin can be decreased when combined with Galantamine.]
[P02BA02, oxamniquine, The metabolism of Galantamine can be decreased when combined with Oxamniquine.]
[J01MB05, oxolinic acid, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Oxolinic acid.]
[C07AA02, oxprenolol, Galantamine may increase the bradycardic activities of Oxprenolol.]
[N02AA05, oxycodone, The metabolism of Galantamine can be decreased when combined with Oxycodone.]
[N02AA11, oxymorphone, The metabolism of Oxymorphone can be decreased when combined with Galantamine.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Galantamine.]
[H01BB02, oxytocin, The risk or severity of QTc prolongation can be increased when Oxytocin is combined with Galantamine.]
[N05AH05, asenapine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Asenapine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Galantamine.]
[G04BE02, papaverine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Papaverine.]
[H02AB05, paramethasone, The therapeutic efficacy of Galantamine can be decreased when used in combination with Paramethasone.]
[J01MA03, pefloxacin, The risk or severity of QTc prolongation can be increased when Pefloxacin is combined with Galantamine.]
[G04BD11, fesoterodine, The therapeutic efficacy of Fesoterodine can be decreased when used in combination with Galantamine.]
