[S02DA03, antipyrine, The metabolism of Ifosfamide can be decreased when combined with Antipyrine.]
[P01CA02, benznidazole, Ifosfamide may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Ifosfamide.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Ifosfamide.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Ifosfamide can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Ifosfamide can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Ifosfamide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Ifosfamide can be increased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Ifosfamide can be increased when combined with Brigatinib.]
[L04AC14, sarilumab, The metabolism of Ifosfamide can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Ifosfamide can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Ifosfamide is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Guselkumab.]
[D01AC10, bifonazole, The metabolism of Ifosfamide can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Ifosfamide.]
[L01XX59, enasidenib, The metabolism of Ifosfamide can be increased when combined with Enasidenib.]
[L01EH02, neratinib, The metabolism of Neratinib can be increased when combined with Ifosfamide.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be increased when combined with Ifosfamide.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be increased when combined with Ifosfamide.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Ifosfamide can be increased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Ifosfamide.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Ifosfamide.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Ifosfamide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Ifosfamide can be increased when combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Ifosfamide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be increased when combined with Ifosfamide.]
[J05AX18, letermovir, The metabolism of Ifosfamide can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Ifosfamide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Ifosfamide may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[L02BB05, apalutamide, The metabolism of Ifosfamide can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Ifosfamide can be increased when combined with Carbamazepine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Ifosfamide.]
[C07AG02, carvedilol, The metabolism of Ifosfamide can be decreased when combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Ifosfamide can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Ifosfamide can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Ifosfamide can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01GB14, plazomicin, Ifosfamide may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[H01CC03, elagolix, The metabolism of Elagolix can be increased when combined with Ifosfamide.]
[L01XX62, ivosidenib, The metabolism of Ifosfamide can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, Ifosfamide may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Ifosfamide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Ifosfamide can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Ifosfamide can be decreased when combined with Doravirine.]
[L01EM04, duvelisib, The metabolism of Ifosfamide can be decreased when combined with Duvelisib.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Ifosfamide.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Ifosfamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Ifosfamide may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01ED05, lorlatinib, The metabolism of Ifosfamide can be increased when combined with Lorlatinib.]
[L04AA39, emapalumab, The metabolism of Ifosfamide can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Ifosfamide.]
[L01EX13, gilteritinib, The metabolism of Ifosfamide can be decreased when combined with Gilteritinib.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be increased when combined with Ifosfamide.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Ifosfamide.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Ifosfamide.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Ifosfamide.]
[P02BX04, triclabendazole, The metabolism of Ifosfamide can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Ifosfamide can be increased when combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Ifosfamide.]
[J01FA09, clarithromycin, The metabolism of Ifosfamide can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Ifosfamide may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Ifosfamide.]
[N05BA09, clobazam, The metabolism of Ifosfamide can be increased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Ifosfamide can be increased when combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Ifosfamide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Ifosfamide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Ifosfamide can be increased when combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Ifosfamide can be increased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Ifosfamide.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Upadacitinib.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Ifosfamide.]
[N07XX11, pitolisant, The metabolism of Ifosfamide can be increased when combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Ifosfamide can be decreased when combined with Pretomanid.]
[J01XX12, lefamulin, The serum concentration of Ifosfamide can be increased when it is combined with Lefamulin.]
[N04CX01, istradefylline, The metabolism of Ifosfamide can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Ifosfamide can be decreased when combined with Cephalexin.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J01DB09, cephradine, The metabolism of Ifosfamide can be increased when combined with Cefradine.]
[H02AB13, deflazacort, The metabolism of Ifosfamide can be increased when combined with Deflazacort.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Ifosfamide.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Ifosfamide.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be increased when combined with Ifosfamide.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Ifosfamide.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Ifosfamide.]
[B06AX03, voxelotor, The serum concentration of Ifosfamide can be increased when it is combined with Voxelotor.]
[N03AX25, cenobamate, The metabolism of Ifosfamide can be increased when combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M09AX08, golodirsen, Ifosfamide may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Ifosfamide may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Ifosfamide can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Ifosfamide.]
[L01XX72, tazemetostat, The metabolism of Ifosfamide can be decreased when combined with Tazemetostat.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Teprotumumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Ifosfamide.]
[M01AX21, diacetylrhein, The metabolism of Ifosfamide can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Ifosfamide.]
[J05AB16, remdesivir, The metabolism of Ifosfamide can be decreased when combined with Remdesivir.]
[H02CA02, osilodrostat, The metabolism of Ifosfamide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Ifosfamide can be increased when combined with Amprenavir.]
[G04CB02, dutasteride, The metabolism of Ifosfamide can be decreased when combined with Dutasteride.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Ifosfamide can be decreased when combined with Selumetinib.]
[R02AA03, dichlorobenzyl alcohol, Ifosfamide may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Ifosfamide.]
[N02CC06, eletriptan, The metabolism of Ifosfamide can be increased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Ifosfamide can be increased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Ifosfamide can be increased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Ifosfamide can be increased when combined with Clevidipine.]
[C01BD07, dronedarone, The serum concentration of Ifosfamide can be increased when it is combined with Dronedarone.]
[J01FA13, dirithromycin, The metabolism of Ifosfamide can be decreased when combined with Dirithromycin.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Ifosfamide.]
[S03AA08, chloramphenicol, The metabolism of Ifosfamide can be decreased when combined with Chloramphenicol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Ifosfamide.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Ifosfamide.]
[D07XB03, fluprednidene, The metabolism of Ifosfamide can be increased when combined with Fluprednidene.]
[P01BE01, artemisinin, The metabolism of Ifosfamide can be decreased when combined with Artemisinin.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[V08CA05, mangafodipir, Ifosfamide may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Ifosfamide.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Lepirudin.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Ifosfamide can be decreased when combined with Clomethiazole.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Ifosfamide is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Stepronin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Ifosfamide.]
[R06AX22, ebastine, The metabolism of Ifosfamide can be decreased when combined with Ebastine.]
[P01BB01, proguanil, The metabolism of Ifosfamide can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Ifosfamide can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Ifosfamide.]
[P01BA01, chloroquine, The metabolism of Ifosfamide can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Ifosfamide can be increased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Ifosfamide can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Ifosfamide can be increased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Ifosfamide can be decreased when combined with Chlorzoxazone.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N02BA03, choline salicylate, Ifosfamide may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Ifosfamide.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[B06AC06, berotralstat, The serum concentration of Ifosfamide can be increased when it is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Ifosfamide can be decreased when combined with Lonafarnib.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Ifosfamide.]
[L02BX04, relugolix, The metabolism of Ifosfamide can be decreased when combined with Relugolix.]
[M01AX25, chondroitin sulfates, Ifosfamide may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Ifosfamide can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Ifosfamide can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Ifosfamide can be increased when combined with Felbamate.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[G04CB01, finasteride, The metabolism of Ifosfamide can be decreased when combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[R03BA03, flunisolide, The metabolism of Ifosfamide can be increased when combined with Flunisolide.]
[S02BA08, fluocinolone acetonide, The metabolism of Ifosfamide can be increased when combined with Fluocinolone acetonide.]
[N02BG07, flupirtine, Ifosfamide may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Ifosfamide can be decreased when combined with Formoterol.]
[L04AA50, ponesimod, The metabolism of Ifosfamide can be decreased when combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Ifosfamide.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Ifosfamide.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Ifosfamide.]
[A02BA01, cimetidine, The metabolism of Ifosfamide can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Ifosfamide can be decreased when combined with Cinnarizine.]
[L01XX73, sotorasib, The serum concentration of Ifosfamide can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Ifosfamide can be decreased when combined with Infigratinib.]
[S03AA07, ciprofloxacin, The metabolism of Ifosfamide can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The metabolism of Ifosfamide can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The metabolism of Ifosfamide can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Pegcetacoplan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Ifosfamide.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Ifosfamide can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Ifosfamide can be decreased when it is combined with Belzutifan.]
[L01EB10, mobocertinib, The serum concentration of Ifosfamide can be decreased when it is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Ifosfamide may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Ifosfamide may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Ifosfamide may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Ifosfamide can be decreased when combined with Avacopan.]
[A10BB12, glimepiride, The metabolism of Ifosfamide can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Ifosfamide.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Ifosfamide.]
[N06AX25, St. John's wort extract, The metabolism of Ifosfamide can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The serum concentration of Ifosfamide can be increased when it is combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Ifosfamide.]
[J04BA01, clofazimine, The metabolism of Ifosfamide can be decreased when combined with Clofazimine.]
[B01AD11, tenecteplase, The risk or severity of bleeding can be increased when Ifosfamide is combined with Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Ifosfamide can be increased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Ifosfamide can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The serum concentration of Ifosfamide can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Ifosfamide.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Ifosfamide.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Ifosfamide.]
[C01EB24, mavacamten, The serum concentration of Ifosfamide can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Ifosfamide which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Ifosfamide can be decreased when combined with Vonoprazan.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Deucravacitinib.]
[H01CC04, linzagolix, The serum concentration of Ifosfamide can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The metabolism of Ifosfamide can be decreased when combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Ifosfamide can be decreased when combined with Ondansetron.]
[J05AX31, lenacapavir, The metabolism of Ifosfamide can be decreased when combined with Lenacapavir.]
[N05AH02, clozapine, The metabolism of Ifosfamide can be increased when combined with Clozapine.]
[J01GB12, arbekacin, Ifosfamide may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Ifosfamide can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Ifosfamide can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Ifosfamide.]
[J01XB01, colistin, Ifosfamide may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Leflunomide.]
[A04AA03, tropisetron, Ifosfamide may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Ifosfamide can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Nelarabine.]
[J01FA15, telithromycin, The metabolism of Ifosfamide can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ifosfamide is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of bleeding can be increased when Indobufen is combined with Ifosfamide.]
[J05AB14, valganciclovir, Ifosfamide may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Ifosfamide may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Ifosfamide may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Ifosfamide may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Ifosfamide may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Ifosfamide may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[H01AX01, pegvisomant, The metabolism of Ifosfamide can be increased when combined with Pegvisomant.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Ifosfamide.]
[A03AX10, isometheptene, The risk or severity of methemoglobinemia can be increased when Ifosfamide is combined with Isometheptene.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be increased when combined with Ifosfamide.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[J02AC02, itraconazole, The metabolism of Ifosfamide can be decreased when combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding can be increased when Ifosfamide is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N05BA10, ketazolam, The metabolism of Ifosfamide can be decreased when combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[L01EA01, imatinib, The serum concentration of Ifosfamide can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Ifosfamide can be decreased when combined with Posaconazole.]
[V03AF07, rasburicase, The risk or severity of methemoglobinemia can be increased when Rasburicase is combined with Ifosfamide.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Ifosfamide.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
