[S02DA03, antipyrine, Antipyrine may increase the neuroexcitatory activities of Levofloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Levofloxacin.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Levofloxacin.]
[M09AX10, risdiplam, The serum concentration of Levofloxacin can be increased when it is combined with Risdiplam.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Chloroquine is combined with Levofloxacin.]
[L01EX23, pralsetinib, The excretion of Levofloxacin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Chlorpheniramine is combined with Levofloxacin.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Chlorpromazine is combined with Levofloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Levofloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Levofloxacin.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Levofloxacin.]
[N02BA03, choline salicylate, Levofloxacin may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Levofloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Levofloxacin.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Levofloxacin.]
[M01AX25, chondroitin sulfates, Levofloxacin may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[J05AJ04, cabotegravir, The excretion of Levofloxacin can be decreased when combined with Cabotegravir.]
[V03AF12, trilaciclib, The excretion of Levofloxacin can be decreased when combined with Trilaciclib.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Levofloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Levofloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Levofloxacin.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Levofloxacin.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Levofloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Levofloxacin.]
[S01JA01, fluorescein, The excretion of Levofloxacin can be decreased when combined with Fluorescein.]
[N02BG07, flupirtine, Levofloxacin may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Levofloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Levofloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Levofloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The serum concentration of Levofloxacin can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Cinnarizine is combined with Levofloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Cinoxacin is combined with Levofloxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Ciprofloxacin is combined with Levofloxacin.]
[L01XA01, cisplatin, Levofloxacin may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Levofloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may increase the neuroexcitatory activities of Levofloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Levofloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Levofloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Levofloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Levofloxacin.]
[N06AA04, clomipramine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Clomipramine.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Levofloxacin.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Ondansetron is combined with Levofloxacin.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Granisetron is combined with Levofloxacin.]
[J01CF02, cloxacillin, The serum concentration of Levofloxacin can be increased when it is combined with Cloxacillin.]
[N05AH02, clozapine, The risk or severity of QTc prolongation can be increased when Clozapine is combined with Levofloxacin.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Levofloxacin.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Levofloxacin.]
[J01GB12, arbekacin, Levofloxacin may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Cocaine.]
[M01AX13, proquazone, Proquazone may increase the neuroexcitatory activities of Levofloxacin.]
[R05DA04, codeine, The excretion of Levofloxacin can be decreased when combined with Codeine.]
[J01CA18, hetacillin, The serum concentration of Levofloxacin can be increased when it is combined with Hetacillin.]
[M04AC01, colchicine, Levofloxacin may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Levofloxacin may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A02AD04, hydrotalcite, Hydrotalcite can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Desflurane is combined with Levofloxacin.]
[A04AA03, tropisetron, Levofloxacin may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be increased when used in combination with Levofloxacin.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may increase the neuroexcitatory activities of Levofloxacin.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Levofloxacin.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Levofloxacin.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Telithromycin is combined with Levofloxacin.]
[R03BA08, ciclesonide, The risk or severity of tendinopathy can be increased when Ciclesonide is combined with Levofloxacin.]
[B01AC10, indobufen, Indobufen may increase the neuroexcitatory activities of Levofloxacin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Desloratadine is combined with Levofloxacin.]
[J05AB14, valganciclovir, Levofloxacin may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[J05AF09, emtricitabine, The excretion of Levofloxacin can be decreased when combined with Emtricitabine.]
[C05BB03, invert sugar, Levofloxacin may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Levofloxacin may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Levofloxacin may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Levofloxacin may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Levofloxacin may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may increase the neuroexcitatory activities of Levofloxacin.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Itraconazole is combined with Levofloxacin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Emedastine is combined with Levofloxacin.]
[N05BA10, ketazolam, Levofloxacin may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may increase the neuroexcitatory activities of Levofloxacin.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Posaconazole is combined with Levofloxacin.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Lacidipine is combined with Levofloxacin.]
[N03AX09, lamotrigine, The risk or severity of QTc prolongation can be increased when Lamotrigine is combined with Levofloxacin.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Levocabastine is combined with Levofloxacin.]
[S01BA03, cortisone, The risk or severity of tendinopathy can be increased when Cortisone is combined with Levofloxacin.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Lomefloxacin is combined with Levofloxacin.]
[M01AB09, lonazolac, Lonazolac may increase the neuroexcitatory activities of Levofloxacin.]
[M02AA31, loxoprofen, Loxoprofen may increase the neuroexcitatory activities of Levofloxacin.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A02AD02, magaldrate, Magaldrate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AD01, magnesium carbonate, Magnesium carbonate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB15, meprednisone, The risk or severity of tendinopathy can be increased when Meprednisone is combined with Levofloxacin.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Mequitazine is combined with Levofloxacin.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Adenosine is combined with Levofloxacin.]
[J01CA14, methampicillin, The serum concentration of Levofloxacin can be increased when it is combined with Metampicillin.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Cyclizine is combined with Levofloxacin.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Levofloxacin.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01XA18, cyclosporine, The serum concentration of Cyclosporine can be increased when it is combined with Levofloxacin.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Levofloxacin.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Levofloxacin.]
[M02AA02, mofebutazone, Mofebutazone may increase the neuroexcitatory activities of Levofloxacin.]
[M01AX22, morniflumate, Morniflumate may increase the neuroexcitatory activities of Levofloxacin.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE09, vardenafil, The risk or severity of QTc prolongation can be increased when Vardenafil is combined with Levofloxacin.]
[M01AH05, etoricoxib, Etoricoxib may increase the neuroexcitatory activities of Levofloxacin.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M01AX01, nabumetone, Nabumetone may increase the neuroexcitatory activities of Levofloxacin.]
[N07BB05, nalmefene, Levofloxacin may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AX06, nefazodone, Levofloxacin may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Levofloxacin may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Levofloxacin.]
[M03AC11, cisatracurium, Levofloxacin may increase the neuromuscular blocking activities of Cisatracurium.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Solifenacin is combined with Levofloxacin.]
[A07EC03, olsalazine, Olsalazine may increase the neuroexcitatory activities of Levofloxacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Desipramine is combined with Levofloxacin.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of tendinopathy can be increased when Desoximetasone is combined with Levofloxacin.]
[V04CH02, indigo carmine, Levofloxacin may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The risk or severity of tendinopathy can be increased when Desoxycortone is combined with Levofloxacin.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Oxaliplatin is combined with Levofloxacin.]
[M01AE12, oxaprozin, Oxaprozin may increase the neuroexcitatory activities of Levofloxacin.]
[S03BA01, dexamethasone, The risk or severity of tendinopathy can be increased when Dexamethasone is combined with Levofloxacin.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Levofloxacin may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Levofloxacin.]
[P03AC04, permethrin, Levofloxacin may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J01CE05, phenethicillin, The serum concentration of Levofloxacin can be increased when it is combined with Pheneticillin.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Cinchocaine.]
[R05DA08, pholcodine, Levofloxacin may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may increase the neuroexcitatory activities of Levofloxacin.]
[J01CF01, dicloxacillin, The serum concentration of Levofloxacin can be increased when it is combined with Dicloxacillin.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Levofloxacin.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Pinaverium is combined with Levofloxacin.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Levofloxacin.]
[L01EB02, erlotinib, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Erlotinib.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Levofloxacin.]
[D07XC04, diflucortolone, The risk or severity of tendinopathy can be increased when Difluocortolone is combined with Levofloxacin.]
[N02BA11, diflunisal, Diflunisal may increase the neuroexcitatory activities of Levofloxacin.]
[C01AA04, digitoxin, The risk or severity of QTc prolongation can be increased when Digitoxin is combined with Levofloxacin.]
[C01AA05, digoxin, Levofloxacin may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Atazanavir is combined with Levofloxacin.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Levofloxacin.]
[H03BC01, potassium perchlorate, Levofloxacin may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of QTc prolongation can be increased when Diltiazem is combined with Levofloxacin.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Dimenhydrinate is combined with Levofloxacin.]
[V03AB09, dimercaprol, Levofloxacin may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Dimethyl sulfoxide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Levofloxacin.]
[J01CE03, propicillin, The serum concentration of Levofloxacin can be increased when it is combined with Propicillin.]
[N02BB04, propyphenazone, Propyphenazone may increase the neuroexcitatory activities of Levofloxacin.]
[M01AB14, proglumetacin, Proglumetacin may increase the neuroexcitatory activities of Levofloxacin.]
[G02AD02, dinoprostone, The excretion of Levofloxacin can be decreased when combined with Dinoprostone.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Proparacaine.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Levofloxacin.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Diphenhydramine.]
[C09AA06, quinapril, Quinapril can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Cisapride.]
[S01AX06, resorcinol, Levofloxacin may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of QTc prolongation can be increased when Disulfiram is combined with Levofloxacin.]
[S02AA12, rifamycin SV, The excretion of Levofloxacin can be decreased when combined with Rifamycin.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Levofloxacin.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Levocetirizine is combined with Levofloxacin.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Levofloxacin is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Levofloxacin.]
[L01EX01, sunitinib, The therapeutic efficacy of Sunitinib can be increased when used in combination with Levofloxacin.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of QTc prolongation can be increased when Bortezomib is combined with Levofloxacin.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may increase the neuroexcitatory activities of Levofloxacin.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Ranolazine is combined with Levofloxacin.]
[N02BA06, salsalate, Salsalate may increase the neuroexcitatory activities of Levofloxacin.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Salmeterol is combined with Levofloxacin.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Domperidone.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Dosulepin is combined with Levofloxacin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Doxepin is combined with Levofloxacin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Levofloxacin.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Sevoflurane is combined with Levofloxacin.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Droperidol is combined with Levofloxacin.]
[A08AA10, sibutramine, Sibutramine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[A12CA02, sodium sulfate, Levofloxacin may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, The metabolism of Dyphylline can be decreased when combined with Levofloxacin.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Sultopride.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Talinolol is combined with Levofloxacin.]
[H01AA01, corticotropin, The risk or severity of tendinopathy can be increased when Corticotropin is combined with Levofloxacin.]
[J01CG02, tazobactam, The excretion of Levofloxacin can be decreased when combined with Tazobactam.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Temafloxacin.]
[J01CA17, temocillin, The serum concentration of Levofloxacin can be increased when it is combined with Temocillin.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may increase the neuroexcitatory activities of Levofloxacin.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Terodiline.]
[C09AA02, enalapril, The excretion of Levofloxacin can be decreased when combined with Enalapril.]
[M01AG02, tolfenamic acid, Tolfenamic acid may increase the neuroexcitatory activities of Levofloxacin.]
[N06AG03, toloxatone, Levofloxacin may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Levofloxacin.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Levofloxacin is combined with Toremifene.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Levofloxacin may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of tendinopathy can be increased when Trilostane is combined with Levofloxacin.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Triptorelin is combined with Levofloxacin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Levofloxacin.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Levofloxacin.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B05XA12, zinc chloride, Zinc chloride can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B05XA18, zinc sulfate, Zinc sulfate can cause a decrease in the absorption of Levofloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M01AB04, zomepirac, Zomepirac may increase the neuroexcitatory activities of Levofloxacin.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Levofloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AB06, insulin glulisine, human, The therapeutic efficacy of Insulin glulisine can be increased when used in combination with Levofloxacin.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
