[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Bupropion.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Bupropion.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01GB14, plazomicin, Bupropion may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Bupropion.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Bupropion.]
[L01XX62, ivosidenib, The metabolism of Bupropion can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Bupropion.]
[A16AX14, migalastat, Bupropion may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Bupropion can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Bupropion.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Bupropion.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Bupropion is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Bupropion.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Bupropion is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Bupropion may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Bupropion.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Bupropion.]
[L04AA39, emapalumab, The metabolism of Bupropion can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Bupropion is combined with Amifampridine.]
[A06AX05, prucalopride, Bupropion may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Bupropion.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Bupropion is combined with Cinitapride.]
[P02BX04, triclabendazole, The serum concentration of Bupropion can be increased when it is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Bupropion.]
[N06BA14, solriamfetol, The excretion of Solriamfetol can be decreased when combined with Bupropion.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Bupropion is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Bupropion.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Bupropion.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Bupropion is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Bupropion can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Bupropion can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Bupropion can be decreased when it is combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD01, cefotaxime, The risk or severity of seizure can be increased when Bupropion is combined with Cefotaxime.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The risk or severity of seizure can be increased when Bupropion is combined with Cyclobenzaprine.]
[N07XX11, pitolisant, The serum concentration of Pitolisant can be increased when it is combined with Bupropion.]
[N04CX01, istradefylline, The risk or severity of adverse effects can be increased when Bupropion is combined with Istradefylline.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Bupropion.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB03, cephalothin, The risk or severity of seizure can be increased when Bupropion is combined with Cefalotin.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Bupropion.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Bupropion.]
[G03AC09, desogestrel, The metabolism of Bupropion can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Bupropion.]
[N03AX25, cenobamate, The serum concentration of Bupropion can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M09AX08, golodirsen, Bupropion may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Bupropion.]
[R06AB02, dexchlorpheniramine, The risk or severity of seizure can be increased when Bupropion is combined with Dexchlorpheniramine.]
[S01XA12, dexpanthenol, Bupropion may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Bupropion is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Bupropion can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Bupropion can be decreased when it is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Bupropion is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Bupropion can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Bupropion.]
[J05AE05, amprenavir, The serum concentration of Bupropion can be increased when it is combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Bupropion.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Bupropion is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Bupropion.]
[R02AA03, dichlorobenzyl alcohol, Bupropion may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Bupropion may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Bupropion is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Bupropion.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Bupropion.]
[M01AH02, rofecoxib, Rofecoxib may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01XF03, bexarotene, The metabolism of Bupropion can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Bupropion.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Bupropion is combined with Valpromide.]
[L01AA02, chlorambucil, The risk or severity of seizure can be increased when Bupropion is combined with Chlorambucil.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Bupropion.]
[A03AA08, dihexyverine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Bupropion is combined with Opicapone.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Bupropion.]
[G04BD09, trospium, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[V08CA05, mangafodipir, Bupropion may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Bupropion is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Bupropion is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Bupropion.]
[P01BB01, proguanil, The metabolism of Bupropion can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Bupropion is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Bupropion can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Bupropion is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of seizure can be increased when Bupropion is combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Bupropion can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Bupropion.]
[N05AA01, chlorpromazine, The risk or severity of seizure can be increased when Bupropion is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05AF03, chlorprothixene, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Bupropion.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Bupropion is combined with Etifoxine.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02BA03, choline salicylate, The excretion of Choline salicylate can be decreased when combined with Bupropion.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Bupropion is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Bupropion is combined with Ethyl loflazepate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Bupropion.]
[M01AX25, chondroitin sulfates, Bupropion may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[P03AX07, abametapir, The serum concentration of Bupropion can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Bupropion can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Bupropion is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Felbamate is combined with Bupropion.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02BG07, flupirtine, Bupropion may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Bupropion.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Bupropion is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Bupropion can be increased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Bupropion can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Gabapentin is combined with Bupropion.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Bupropion.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01XA01, cisplatin, The excretion of Cisplatin can be decreased when combined with Bupropion.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Bupropion is combined with Citalopram.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Bupropion.]
[V09AB03, ioflupane I-123, Bupropion may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[V09AA01, technetium Tc 99m exametazime, Bupropion may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Bupropion may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Bupropion.]
[A10BB12, glimepiride, The metabolism of Bupropion can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Bupropion.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Bupropion is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Bupropion can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Bupropion.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Bupropion.]
[B06AX04, mitapivat, The metabolism of Bupropion can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Levobupivacaine is combined with Bupropion.]
[N06AA04, clomipramine, The risk or severity of seizure can be increased when Bupropion is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Bupropion.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Bupropion.]
[C01EB24, mavacamten, The serum concentration of Bupropion can be decreased when it is combined with Mavacamten.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Bupropion is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Clotiazepam.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Bupropion.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Granisetron is combined with Bupropion.]
[N05AH02, clozapine, The risk or severity of seizure can be increased when Bupropion is combined with Clozapine.]
[J01GB12, arbekacin, Bupropion may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Bupropion.]
[S02DA02, cocaine, The risk or severity of seizure can be increased when Bupropion is combined with Cocaine.]
[C02KB01, metyrosine, Bupropion may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Bupropion can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Bupropion.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Bupropion.]
[M04AC01, colchicine, The serum concentration of Bupropion can be increased when it is combined with Colchicine.]
[A03AB10, hexocyclium, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, Bupropion may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L04AA13, leflunomide, The metabolism of Bupropion can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Bupropion is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Bupropion is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Bupropion is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Bupropion.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Bupropion.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Bupropion.]
[J05AB14, valganciclovir, The risk or severity of seizure can be increased when Bupropion is combined with Valganciclovir.]
[C05BB03, invert sugar, Bupropion may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Bupropion may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Bupropion may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Bupropion may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Bupropion may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Bupropion.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J02AC02, itraconazole, The serum concentration of Bupropion can be increased when it is combined with Itraconazole.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Bupropion is combined with Ketazolam.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01EA01, imatinib, The metabolism of Imatinib can be decreased when combined with Bupropion.]
[N03AX09, lamotrigine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Bupropion can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Lormetazepam.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C09AA03, lisinopril, Lisinopril may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[A06AD01, magnesium carbonate, Bupropion may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The serum concentration of Bupropion can be increased when it is combined with Manidipine.]
[A03AA04, mebeverine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Bupropion is combined with Medifoxamine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Bupropion.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Bupropion.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[R06AD04, methdilazine, The risk or severity of seizure can be increased when Bupropion is combined with Methdilazine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Bupropion is combined with Metixene.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Bupropion is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Bupropion is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Bupropion is combined with Melperone.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Bupropion.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Minaprine is combined with Bupropion.]
[S01XA18, cyclosporine, The risk or severity of seizure can be increased when Bupropion is combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Moclobemide is combined with Bupropion.]
[N06BA07, modafinil, The metabolism of Bupropion can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of seizure can be increased when Bupropion is combined with Cyproheptadine.]
[C10AA07, rosuvastatin, The metabolism of Bupropion can be decreased when combined with Rosuvastatin.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Bupropion which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH05, etoricoxib, The metabolism of Bupropion can be decreased when combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Bupropion is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Bupropion can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Bupropion is combined with Deanol.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Bupropion.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Bupropion.]
[M01AX01, nabumetone, Nabumetone may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N07BB05, nalmefene, Bupropion may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Bupropion is combined with Nordazepam.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Bupropion.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Bupropion.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Bupropion is combined with Niaprazine.]
[C01DX16, nicorandil, Bupropion may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, The metabolism of Bupropion can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Tiagabine is combined with Bupropion.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Bupropion.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Bupropion is combined with Normethadone.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB10, escitalopram, The metabolism of Escitalopram can be decreased when combined with Bupropion.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Bupropion.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AA01, desipramine, The risk or severity of seizure can be increased when Bupropion is combined with Desipramine.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[V04CH02, indigo carmine, Bupropion may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[L01XA03, oxaliplatin, The excretion of Oxaliplatin can be decreased when combined with Bupropion.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Bupropion.]
[S03BA01, dexamethasone, The metabolism of Bupropion can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Bupropion is combined with Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Bupropion is combined with Dexetimide.]
[G04BD04, oxybutynin, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Bupropion.]
[A03AA01, oxyphencyclimine, Bupropion may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Bupropion can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Bupropion.]
[N06BA02, dextroamphetamine, The risk or severity of seizure can be increased when Bupropion is combined with Amphetamine.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Bupropion.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Bupropion is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Bupropion is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Bupropion can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Bupropion is combined with Diamorphine.]
[P03AC04, permethrin, Bupropion may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Diazepam is combined with Bupropion.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Phenacemide is combined with Bupropion.]
