[S02DA03, antipyrine, Antipyrine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A07EC03, olsalazine, Olsalazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AA01, desipramine, Abacavir may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V04CH02, indigo carmine, Abacavir may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01DA05, pentaerythritol tetranitrate, Abacavir may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[P03AC04, permethrin, Abacavir may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R05DA08, pholcodine, Abacavir may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EB02, erlotinib, The metabolism of Abacavir can be decreased when combined with Erlotinib.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[D07XC04, diflucortolone, Abacavir may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01AA05, digoxin, Abacavir may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE08, atazanavir, The serum concentration of Abacavir can be decreased when it is combined with Atazanavir.]
[H03BC01, potassium perchlorate, Abacavir may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V03AB09, dimercaprol, Abacavir may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Abacavir may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AX06, resorcinol, Abacavir may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Disopyramide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R06AE09, levocetirizine, Abacavir may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AA12, doxepin, Abacavir may decrease the excretion rate of Doxepin which could result in a higher serum level.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A08AA10, sibutramine, Abacavir may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Abacavir may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V04CX07, edrophonium, Edrophonium may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AG03, toloxatone, Abacavir may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CC01, chloral hydrate, Abacavir may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C02AC02, guanfacine, Guanfacine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L03AX05, pidotimod, Abacavir may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Abacavir may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G03CA03, estradiol, Estradiol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L02AA03, ethinyl estradiol, The metabolism of Abacavir can be increased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AC06, meloxicam, Meloxicam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N01AX07, etomidate, Etomidate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[P01AX07, trimetrexate, Abacavir may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, Abacavir may decrease the excretion rate of Bupropion which could result in a higher serum level.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, The metabolism of Abacavir can be decreased when combined with Sodium aurothiomalate.]
[B05AA05, dextran, Abacavir may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M01AE04, fenoprofen, Fenoprofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02AB03, fentanyl, Fentanyl may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R03CC02, albuterol, Salbutamol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01BB06, clofarabine, Clofarabine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G04BD02, flavoxate, Abacavir may decrease the excretion rate of Flavoxate which could result in a higher serum level.]
[N02BG04, floctafenine, Floctafenine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J02AC01, fluconazole, Fluconazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J02AX01, flucytosine, Abacavir may decrease the excretion rate of Flucytosine which could result in a higher serum level.]
[V03AB25, flumazenil, Abacavir may decrease the excretion rate of Flumazenil which could result in a higher serum level.]
[N05CD03, flunitrazepam, The metabolism of Abacavir can be decreased when combined with Flunitrazepam.]
[L01BC09, floxuridine, Floxuridine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CD01, flurazepam, Flurazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01BC04, flurbiprofen, The metabolism of Abacavir can be decreased when combined with Flurbiprofen.]
[L02BB01, flutamide, Flutamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V04CX02, folic acid, Folic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S02AA17, fosfomycin, Fosfomycin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AA07, framycetin, Framycetin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01BC03, tegafur, Abacavir may decrease the excretion rate of Tegafur which could result in a higher serum level.]
[J05AE10, darunavir, The serum concentration of Abacavir can be decreased when it is combined with Darunavir.]
[C03CA01, furosemide, Furosemide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CF04, eszopiclone, Eszopiclone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AD09, ganciclovir, The risk or severity of cytopenia can be increased when Ganciclovir is combined with Abacavir.]
[C10AB04, gemfibrozil, The metabolism of Abacavir can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, Abacavir may decrease the excretion rate of Telavancin which could result in a higher serum level.]
[A10BB07, glipizide, Abacavir may decrease the excretion rate of Glipizide which could result in a higher serum level.]
[N05CM18, dexmedetomidine, Dexmedetomidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01EX02, sorafenib, The metabolism of Abacavir can be decreased when combined with Sorafenib.]
[M01CB04, aurothioglucose, Abacavir may decrease the excretion rate of Aurothioglucose which could result in a higher serum level.]
[S01LA03, pegaptanib, Abacavir may decrease the excretion rate of Pegaptanib which could result in a higher serum level.]
[C09AA09, fosinopril, Fosinopril may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01EX01, guanethidine, Abacavir may decrease the excretion rate of Guanethidine which could result in a higher serum level.]
[L02AE03, goserelin, Goserelin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05AD01, haloperidol, Haloperidol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05AH04, quetiapine, Abacavir may decrease the excretion rate of Quetiapine which could result in a higher serum level.]
[N06BX13, idebenone, Abacavir may decrease the excretion rate of Idebenone which could result in a higher serum level.]
[M04AA01, allopurinol, Allopurinol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G03DC01, allylestrenol, Abacavir may decrease the excretion rate of Allylestrenol which could result in a higher serum level.]
[A07EC02, mesalamine, Mesalazine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01CE02, milrinone, Milrinone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA26, nimesulide, Nimesulide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C09AA04, perindopril, Perindopril may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C02DB02, hydralazine, Abacavir may decrease the excretion rate of Hydralazine which could result in a higher serum level.]
[C03AA03, hydrochlorothiazide, Hydrochlorothiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[C03AA02, hydroflumethiazide, Hydroflumethiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[B05XA17, potassium acetate, Abacavir may decrease the excretion rate of Potassium acetate which could result in a higher serum level.]
[A12BA02, potassium citrate, Potassium citrate may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB33, hydroxocobalamin, Hydroxocobalamin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G04BD06, propiverine, Abacavir may decrease the excretion rate of Propiverine which could result in a higher serum level.]
[B05AA07, hetastarch, Abacavir may decrease the excretion rate of Hydroxyethyl Starch which could result in a higher serum level.]
[R02AX02, ibuprofen, Ibuprofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B05XA08, sodium acetate, Abacavir may decrease the excretion rate of Sodium acetate which could result in a higher serum level.]
[L01AA06, ifosfamide, Abacavir may decrease the excretion rate of Ifosfamide which could result in a higher serum level.]
[N06AA02, imipramine, Imipramine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R01AD07, tixocortol, Abacavir may decrease the excretion rate of Tixocortol which could result in a higher serum level.]
[L01CE01, topotecan, Topotecan may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03BA11, indapamide, Indapamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC01, indomethacin, The metabolism of Abacavir can be decreased when combined with Indomethacin.]
[A11HA07, inositol, Abacavir may decrease the excretion rate of Inositol which could result in a higher serum level.]
[N06AX17, milnacipran, Abacavir may decrease the excretion rate of Milnacipran which could result in a higher serum level.]
[S01XA28, varenicline, Abacavir may decrease the excretion rate of Varenicline which could result in a higher serum level.]
[A10BH01, sitagliptin, Abacavir may decrease the excretion rate of Sitagliptin which could result in a higher serum level.]
[N05BA12, alprazolam, Alprazolam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CH02, ramelteon, Ramelteon may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03BA02, quinethazone, Quinethazone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB01, ipecac, Abacavir may decrease the excretion rate of Ipecac which could result in a higher serum level.]
[J04AC01, isoniazid, Isoniazid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AX05, inosine pranobex, Abacavir may decrease the excretion rate of Inosine pranobex which could result in a higher serum level.]
[C01DA14, isosorbide mononitrate, Isosorbide mononitrate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[D10BA01, isotretinoin, Isotretinoin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AA24, kanamycin, Abacavir may decrease the excretion rate of Kanamycin which could result in a higher serum level.]
[N01AX03, ketamine, Abacavir may decrease the excretion rate of Ketamine which could result in a higher serum level.]
[B01AC22, prasugrel, Abacavir may decrease the excretion rate of Prasugrel which could result in a higher serum level.]
[J02AB02, ketoconazole, The metabolism of Abacavir can be decreased when combined with Ketoconazole.]
[M02AA10, ketoprofen, Ketoprofen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V03AC03, deferasirox, The metabolism of Abacavir can be decreased when combined with Deferasirox.]
[M01AE11, tiaprofenic acid, Tiaprofenic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C07AG01, labetalol, Labetalol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N04BB01, amantadine, Amantadine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A06AX03, lubiprostone, Lubiprostone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03CC01, ethacrynic acid, Etacrynic acid may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA21, amikacin, Abacavir may decrease the excretion rate of Amikacin which could result in a higher serum level.]
[C03DB01, amiloride, Amiloride may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05BA06, lorazepam, Lorazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B05XA11, magnesium chloride, Abacavir may decrease the excretion rate of Magnesium chloride which could result in a higher serum level.]
[G04BX01, magnesium hydroxide, Abacavir may decrease the excretion rate of Magnesium hydroxide which could result in a higher serum level.]
[L01BA05, pralatrexate, Abacavir may decrease the excretion rate of Pralatrexate which could result in a higher serum level.]
[L01EA03, nilotinib, The metabolism of Abacavir can be decreased when combined with Nilotinib.]
[V04CX04, mannitol, Mannitol may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA21, maprotiline, Maprotiline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C02BB01, mecamylamine, Mecamylamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA18, meclofenamic acid, Meclofenamic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03BA05, mefruside, Mefruside may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N06DX01, memantine, Memantine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02AB02, meperidine, Meperidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N01BB03, mepivacaine, Mepivacaine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G04BX16, tiopronin, Abacavir may decrease the excretion rate of Tiopronin which could result in a higher serum level.]
[C03BC01, mersalyl, Mersalyl may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX13, paliperidone, Abacavir may decrease the excretion rate of Paliperidone which could result in a higher serum level.]
[A10BA02, metformin, Metformin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07BC02, methadone, The therapeutic efficacy of Abacavir can be decreased when used in combination with Methadone.]
[N06BA03, methamphetamine, Abacavir may decrease the excretion rate of Metamfetamine which could result in a higher serum level.]
[S01EC05, methazolamide, Methazolamide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[H03BB02, methimazole, Methimazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01BA04, pemetrexed, Abacavir may decrease the excretion rate of Pemetrexed which could result in a higher serum level.]
[A11HA02, pyridoxine, Pyridoxine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L04AX03, methotrexate, Methotrexate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[D05BA02, methoxsalen, Methoxsalen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03AA08, methyclothiazide, Methyclothiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AB01, methyldopa, Methyldopa may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V04CG05, methylene blue, Abacavir may decrease the excretion rate of Methylene blue which could result in a higher serum level.]
[G03EK01, methyltestosterone, Abacavir may decrease the excretion rate of Methyltestosterone which could result in a higher serum level.]
[A03FA01, metoclopramide, Abacavir may decrease the excretion rate of Metoclopramide which could result in a higher serum level.]
[C03BA08, metolazone, Metolazone may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB02, metoprolol, Metoprolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[V04CD01, metyrapone, Metyrapone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02BB03, aminopyrine, Aminophenazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CD08, midazolam, Midazolam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AH01, zanamivir, Zanamivir may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L03AC01, aldesleukin, Aldesleukin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AA09, amitriptyline, The metabolism of Abacavir can be decreased when combined with Amitriptyline.]
[A04AA05, palonosetron, Palonosetron may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD06, moxalactam, Latamoxef may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L04AB05, certolizumab pegol, Abacavir may decrease the excretion rate of Certolizumab pegol which could result in a higher serum level.]
[B02BX05, eltrombopag, The metabolism of Abacavir can be decreased when combined with Eltrombopag.]
[G04BA01, ammonium chloride, Abacavir may decrease the excretion rate of Ammonium chloride which could result in a higher serum level.]
[L01EX03, pazopanib, The metabolism of Abacavir can be decreased when combined with Pazopanib.]
[L04AA06, mycophenolic acid, Mycophenolic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C07AA12, nadolol, Abacavir may decrease the excretion rate of Nadolol which could result in a higher serum level.]
[J01CA04, amoxicillin, Abacavir may decrease the excretion rate of Amoxicillin which could result in a higher serum level.]
[V03AB15, naloxone, Abacavir may decrease the excretion rate of Naloxone which could result in a higher serum level.]
[N06BA01, amphetamine, Amphetamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA12, naproxen, Naproxen may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AX21, duloxetine, Duloxetine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N04BX01, tolcapone, Tolcapone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S03AA01, neomycin, Abacavir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC17, tirofiban, Tirofiban may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J02AA01, amphotericin B, Amphotericin B may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01AA19, ampicillin, Ampicillin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L03AX16, plerixafor, Abacavir may decrease the excretion rate of Plerixafor which could result in a higher serum level.]
[S01AA23, netilmicin, Abacavir may decrease the excretion rate of Netilmicin which could result in a higher serum level.]
[N06AX23, desvenlafaxine, Abacavir may decrease the excretion rate of Desvenlafaxine which could result in a higher serum level.]
[J05AB11, valacyclovir, Valaciclovir may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C01CE01, inamrinone, Abacavir may decrease the excretion rate of Amrinone which could result in a higher serum level.]
[C08CA05, nifedipine, Abacavir may decrease the excretion rate of Nifedipine which could result in a higher serum level.]
[M02AA17, niflumic acid, Niflumic acid may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C08CA07, nisoldipine, Nisoldipine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R07AX01, nitric oxide, Nitric Oxide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01XE01, nitrofurantoin, Nitrofurantoin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05CF03, zaleplon, Zaleplon may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N04BC05, pramipexole, Pramipexole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C02DD01, nitroprusside, Nitroprusside may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02AA02, opium, Abacavir may decrease the excretion rate of Opium which could result in a higher serum level.]
[G04CA02, tamsulosin, Tamsulosin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01CF04, oxacillin, Oxacillin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N05BA04, oxazepam, Oxazepam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[S01BC02, oxyphenbutazone, Oxyphenbutazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J04AB30, capreomycin, Abacavir may decrease the excretion rate of Capreomycin which could result in a higher serum level.]
[A07AA06, paromomycin, Paromomycin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G04BD11, fesoterodine, Abacavir may decrease the excretion rate of Fesoterodine which could result in a higher serum level.]
[C07AA23, penbutolol, Abacavir may decrease the excretion rate of Penbutolol which could result in a higher serum level.]
[J01CE09, penicillin G procaine, Abacavir may decrease the excretion rate of Procaine benzylpenicillin which could result in a higher serum level.]
[N05CA01, pentobarbital, Pentobarbital may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[L01XX08, pentostatin, Abacavir may decrease the excretion rate of Pentostatin which could result in a higher serum level.]
[C04AD03, pentoxifylline, Pentoxifylline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[G04BX06, phenazopyridine, Phenazopyridine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06AF03, phenelzine, Phenelzine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AA02, phenobarbital, The metabolism of Abacavir can be increased when combined with Phenobarbital.]
[V03AB36, phentolamine, Phentolamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[M02AA01, phenylbutazone, Phenylbutazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AB02, phenytoin, The metabolism of Abacavir can be increased when combined with Phenytoin.]
[S01AE05, levofloxacin, Abacavir may decrease the excretion rate of Levofloxacin which could result in a higher serum level.]
[B02BA01, vitamin K1, Phylloquinone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AB12, cidofovir, Cidofovir may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C07AA03, pindolol, Pindolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01CA12, piperacillin, Piperacillin may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N06BX03, piracetam, Abacavir may decrease the excretion rate of Piracetam which could result in a higher serum level.]
[S01BC06, piroxicam, Piroxicam may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J01DD16, cefditoren, Cefditoren may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[A10BG02, rosiglitazone, Rosiglitazone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[C03AA05, polythiazide, Polythiazide may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE03, ritonavir, The serum concentration of Abacavir can be decreased when it is combined with Ritonavir.]
[A10BH03, saxagliptin, Abacavir may decrease the excretion rate of Saxagliptin which could result in a higher serum level.]
[B05XA01, potassium chloride, Potassium chloride may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[H02AB07, prednisone, Prednisone may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N03AA03, primidone, The metabolism of Abacavir can be increased when combined with Primidone.]
[M04AB01, probenecid, The metabolism of Abacavir can be decreased when combined with Probenecid.]
[C01BA02, procainamide, Abacavir may decrease the excretion rate of Procainamide which could result in a higher serum level.]
[C10AB05, fenofibrate, Fenofibrate may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[R06AD02, promethazine, Abacavir may decrease the excretion rate of Promethazine which could result in a higher serum level.]
[A03AB05, propantheline, Propantheline may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N01AX10, propofol, The metabolism of Abacavir can be decreased when combined with Propofol.]
[C07AA05, propranolol, Propranolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N02CC04, rizatriptan, Rizatriptan may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[B01AC09, epoprostenol, Abacavir may decrease the excretion rate of Epoprostenol which could result in a higher serum level.]
[N07XX07, dalfampridine, Abacavir may decrease the excretion rate of Dalfampridine which could result in a higher serum level.]
[P02CC01, pyrantel, Abacavir may decrease the excretion rate of Pyrantel which could result in a higher serum level.]
[J04AK01, pyrazinamide, Pyrazinamide may decrease the excretion rate of Abacavir which could result in a higher serum level.]
