[S02DA03, antipyrine, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Antipyrine.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Diflunisal.]
[N05BA09, clobazam, Diflunisal may decrease the excretion rate of Clobazam which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of gastrointestinal irritation can be increased when Cloprednol is combined with Diflunisal.]
[C09CA06, candesartan, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Candesartan is combined with Diflunisal.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Diflunisal resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of gastrointestinal irritation can be increased when Cortivazol is combined with Diflunisal.]
[J01DC04, cefaclor, The risk or severity of nephrotoxicity can be increased when Cefaclor is combined with Diflunisal.]
[J01DB05, cefadroxil, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefadroxil.]
[J01DC03, cefamandole, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefamandole.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefatrizine.]
[J01DB04, cefazolin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefazolin.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Diflunisal.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Cefmetazole is combined with Diflunisal.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefonicid.]
[J01DD12, cefoperazone, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefoperazone.]
[J01DD01, cefotaxime, The risk or severity of nephrotoxicity can be increased when Cefotaxime is combined with Diflunisal.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefotetan.]
[J01DC07, cefotiam, The risk or severity of nephrotoxicity can be increased when Cefotiam is combined with Diflunisal.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefoxitin.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefsulodin.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Ceftazidime is combined with Diflunisal.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be decreased when used in combination with Diflunisal.]
[J01DD07, ceftizoxime, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Ceftizoxime.]
[J01DD04, ceftriaxone, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Ceftriaxone.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefuroxime.]
[N07XX11, pitolisant, The risk or severity of adverse effects can be increased when Diflunisal is combined with Pitolisant.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Cyclothiazide can be decreased when used in combination with Diflunisal.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Diflunisal is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin pork.]
[J01XX09, daptomycin, Diflunisal may decrease the excretion rate of Daptomycin which could result in a higher serum level.]
[J01DB01, cephalexin, The risk or severity of nephrotoxicity can be increased when Cephalexin is combined with Diflunisal.]
[J01DB02, cephaloridine, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefaloridine.]
[J01DB03, cephalothin, The risk or severity of nephrotoxicity can be increased when Cefalotin is combined with Diflunisal.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefapirin.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefradine.]
[H02AB13, deflazacort, The risk or severity of gastrointestinal irritation can be increased when Deflazacort is combined with Diflunisal.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Givosiran.]
[M09AX08, golodirsen, Diflunisal may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Diflunisal may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[S01AE06, gatifloxacin, Diflunisal may increase the neuroexcitatory activities of Gatifloxacin.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Diflunisal is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Diflunisal is combined with Dutasteride.]
[R02AA03, dichlorobenzyl alcohol, Diflunisal may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Diflunisal may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Diflunisal.]
[M01AH02, rofecoxib, The risk or severity of adverse effects can be increased when Rofecoxib is combined with Diflunisal.]
[C08CA16, clevidipine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Clevidipine.]
[C01BD07, dronedarone, The risk or severity of hypertension can be increased when Diflunisal is combined with Dronedarone.]
[C02AA06, methoserpidine, The therapeutic efficacy of Methoserpidine can be decreased when used in combination with Diflunisal.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Dopexamine.]
[D07XB03, fluprednidene, The risk or severity of gastrointestinal irritation can be increased when Fluprednidene is combined with Diflunisal.]
[M01AC04, droxicam, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Droxicam.]
[V08CA05, mangafodipir, Diflunisal may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Diflunisal is combined with Selpercatinib.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Lepirudin.]
[M02AA27, dexketoprofen, The risk or severity of bleeding and gastrointestinal bleeding can be increased when Diflunisal is combined with Dexketoprofen.]
[C08CA17, levamlodipine, The therapeutic efficacy of Levamlodipine can be decreased when used in combination with Diflunisal.]
[P01BA01, chloroquine, Diflunisal may decrease the excretion rate of Chloroquine which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorothiazide can be decreased when used in combination with Diflunisal.]
[N05AA01, chlorpromazine, The risk or severity of hypertension can be increased when Chlorpromazine is combined with Diflunisal.]
[A10BB02, chlorpropamide, Diflunisal may increase the hypoglycemic activities of Chlorpropamide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Diflunisal.]
[M03BB03, chlorzoxazone, Diflunisal may decrease the excretion rate of Chlorzoxazone which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Ethenzamide.]
[C10AC01, cholestyramine resin, Cholestyramine can cause a decrease in the absorption of Diflunisal resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02BA03, choline salicylate, The therapeutic efficacy of Choline salicylate can be decreased when used in combination with Diflunisal.]
[N06BX18, vinpocetine, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Vinpocetine.]
[M01AB08, etodolac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Etodolac.]
[M02AA06, etofenamate, The risk or severity of adverse effects can be increased when Diflunisal is combined with Etofenamate.]
[M01AX25, chondroitin sulfates, Diflunisal may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Diflunisal is combined with Naxitamab.]
[J05AJ04, cabotegravir, The metabolism of Cabotegravir can be decreased when combined with Diflunisal.]
[C01DX22, vericiguat, The metabolism of Vericiguat can be decreased when combined with Diflunisal.]
[M01AE05, fenbufen, The risk or severity of adverse effects can be increased when Diflunisal is combined with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Diflunisal.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Diflunisal is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Diflunisal is combined with Finasteride.]
[J01DD15, cefdinir, Diflunisal may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[J01MB07, flumequine, Diflunisal may increase the neuroexcitatory activities of Flumequine.]
[R03BA03, flunisolide, The risk or severity of gastrointestinal irritation can be increased when Flunisolide is combined with Diflunisal.]
[S01JA01, fluorescein, The excretion of Fluorescein can be decreased when combined with Diflunisal.]
[N02BG07, flupirtine, Diflunisal may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Diflunisal.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin human.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Diflunisal is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, The therapeutic efficacy of Dasiglucagon can be decreased when used in combination with Diflunisal.]
[A02BA01, cimetidine, Diflunisal may decrease the excretion rate of Cimetidine which could result in a higher serum level.]
[V08CA04, gadoteridol, Diflunisal may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hyperkalemia can be increased when Cinnarizine is combined with Diflunisal.]
[J01MB06, cinoxacin, Diflunisal may increase the neuroexcitatory activities of Cinoxacin.]
[S03AA07, ciprofloxacin, Diflunisal may increase the neuroexcitatory activities of Ciprofloxacin.]
[L01XA01, cisplatin, Diflunisal may decrease the excretion rate of Cisplatin which could result in a higher serum level.]
[N06AB04, citalopram, The risk or severity of gastrointestinal bleeding can be increased when Citalopram is combined with Diflunisal.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AB03, ioflupane I-123, Diflunisal may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Diflunisal may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Diflunisal may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[A10BB12, glimepiride, Diflunisal may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Diflunisal may increase the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Clenbuterol.]
[B01AD11, tenecteplase, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Tenecteplase.]
[N01BB10, levobupivacaine, Diflunisal may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[N06AA04, clomipramine, The risk or severity of gastrointestinal bleeding can be increased when Clomipramine is combined with Diflunisal.]
[N03AE01, clonazepam, Diflunisal may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The therapeutic efficacy of Clonidine can be decreased when used in combination with Diflunisal.]
[J05AH02, oseltamivir, Diflunisal may decrease the excretion rate of Oseltamivir which could result in a higher serum level.]
[A10BX16, tirzepatide, Diflunisal may increase the hypoglycemic activities of Tirzepatide.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA08, felbinac, The risk or severity of adverse effects can be increased when Diflunisal is combined with Felbinac.]
[N05AH02, clozapine, The risk or severity of hypertension can be increased when Clozapine is combined with Diflunisal.]
[A10BX01, guar gum, Diflunisal may increase the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Diflunisal may increase the hypoglycemic activities of Sotagliflozin.]
[J01GB12, arbekacin, Diflunisal may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[C02KB01, metyrosine, The therapeutic efficacy of Metyrosine can be decreased when used in combination with Diflunisal.]
[M01AX13, proquazone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Proquazone.]
[M04AC01, colchicine, Diflunisal may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[C10AC02, colestipol, Colestipol can cause a decrease in the absorption of Diflunisal resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XB01, colistin, Diflunisal may decrease the excretion rate of Colistin which could result in a higher serum level.]
[L01XX40, omacetaxine mepesuccinate, The risk or severity of bleeding can be increased when Diflunisal is combined with Omacetaxine mepesuccinate.]
[J01DE02, cefpirome, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Cefpirome.]
[N01AB07, desflurane, The risk or severity of hypertension can be increased when Diflunisal is combined with Desflurane.]
[A04AA03, tropisetron, Diflunisal may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Diflunisal is combined with Ifenprodil.]
[A10BX03, nateglinide, Diflunisal may increase the hypoglycemic activities of Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of adverse effects can be increased when Diflunisal is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Diflunisal may increase the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Diflunisal is combined with Insulin glargine.]
[R03BA08, ciclesonide, The risk or severity of gastrointestinal irritation can be increased when Ciclesonide is combined with Diflunisal.]
[B01AC10, indobufen, The risk or severity of adverse effects can be increased when Diflunisal is combined with Indobufen.]
[J05AB14, valganciclovir, Diflunisal may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Diflunisal may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Diflunisal may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Diflunisal may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Diflunisal may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Diflunisal may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of adverse effects can be increased when Valdecoxib is combined with Diflunisal.]
[C01AA06, lanatoside C, The serum concentration of Lanatoside C can be decreased when it is combined with Diflunisal.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Diflunisal is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Diflunisal is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of adverse effects can be increased when Diflunisal is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Bemiparin.]
[S01AD03, acyclovir, The risk or severity of nephrotoxicity can be increased when Acyclovir is combined with Diflunisal.]
[N05BA10, ketazolam, Diflunisal may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Kebuzone.]
[S01EE04, travoprost, The therapeutic efficacy of Travoprost can be decreased when used in combination with Diflunisal.]
[S01EE03, bimatoprost, The therapeutic efficacy of Bimatoprost can be decreased when used in combination with Diflunisal.]
[C08CA09, lacidipine, The therapeutic efficacy of Lacidipine can be decreased when used in combination with Diflunisal.]
[N03AX09, lamotrigine, The risk or severity of hyperkalemia can be increased when Lamotrigine is combined with Diflunisal.]
[S01BA03, cortisone, The risk or severity of gastrointestinal irritation can be increased when Cortisone is combined with Diflunisal.]
[N07BC04, lofexidine, The therapeutic efficacy of Lofexidine can be decreased when used in combination with Diflunisal.]
[S01AE04, lomefloxacin, Diflunisal may increase the neuroexcitatory activities of Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of adverse effects can be increased when Diflunisal is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of adverse effects can be increased when Diflunisal is combined with Loxoprofen.]
[J01DC08, loracarbef, The risk or severity of nephrotoxicity can be increased when Loracarbef is combined with Diflunisal.]
[C09AA03, lisinopril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Lisinopril.]
[A06AD01, magnesium carbonate, Diflunisal may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, The therapeutic efficacy of Manidipine can be decreased when used in combination with Diflunisal.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Diflunisal is combined with Mefenorex.]
[C07AA14, mepindolol, Diflunisal may decrease the antihypertensive activities of Mepindolol.]
[H02AB15, meprednisone, The risk or severity of gastrointestinal irritation can be increased when Meprednisone is combined with Diflunisal.]
[J01DH02, meropenem, Diflunisal may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Diflunisal is combined with Methoxyphenamine.]
[S01BC10, nepafenac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Nepafenac.]
[C03DA04, eplerenone, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Eplerenone.]
[N05AD03, metylperon, Diflunisal may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Cyclopenthiazide can be decreased when used in combination with Diflunisal.]
[A10BF02, miglitol, Diflunisal may increase the hypoglycemic activities of Miglitol.]
[J05AF07, tenofovir disoproxil, Diflunisal may increase the nephrotoxic activities of Tenofovir disoproxil.]
[N06AX07, minaprine, The risk or severity of hypertension can be increased when Minaprine is combined with Diflunisal.]
[S01XA18, cyclosporine, The risk or severity of renal failure and hypertension can be increased when Diflunisal is combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of hypertension can be increased when Diflunisal is combined with Moclobemide.]
[C09AA13, moexipril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Moexipril.]
[M02AA02, mofebutazone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of adverse effects can be increased when Diflunisal is combined with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Diflunisal.]
[M01AH05, etoricoxib, The risk or severity of adverse effects can be increased when Diflunisal is combined with Etoricoxib.]
[L01AX04, dacarbazine, Diflunisal may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Dantrolene.]
[C02CC04, debrisoquin, The therapeutic efficacy of Debrisoquine can be decreased when used in combination with Diflunisal.]
[M01AX01, nabumetone, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Nabumetone.]
[N07BB05, nalmefene, Diflunisal may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Diflunisal.]
[C07AB12, nebivolol, Diflunisal may decrease the antihypertensive activities of Nebivolol.]
[S01GX04, nedocromil, Diflunisal may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of gastrointestinal bleeding can be increased when Nefazodone is combined with Diflunisal.]
[C01DX16, nicorandil, The therapeutic efficacy of Nicorandil can be decreased when used in combination with Diflunisal.]
[L02BB02, nilutamide, Diflunisal may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Diflunisal is combined with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Diflunisal is combined with Norfenefrine.]
[B01AX05, fondaparinux, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Fondaparinux.]
[N06AB10, escitalopram, The risk or severity of gastrointestinal bleeding can be increased when Escitalopram is combined with Diflunisal.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Diflunisal is combined with Solifenacin.]
[A07EC03, olsalazine, The therapeutic efficacy of Olsalazine can be decreased when used in combination with Diflunisal.]
[N06AA01, desipramine, The risk or severity of gastrointestinal bleeding can be increased when Desipramine is combined with Diflunisal.]
[C01AA07, deslanoside, The serum concentration of Deslanoside can be decreased when it is combined with Diflunisal.]
[H01BA02, desmopressin, The risk or severity of hypertension, hyponatremia, and water intoxication can be increased when Diflunisal is combined with Desmopressin.]
[D07XC02, desoximetasone, The risk or severity of gastrointestinal irritation can be increased when Desoximetasone is combined with Diflunisal.]
[V04CH02, indigo carmine, Diflunisal may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[H02AA03, desoxycorticosterone, The risk or severity of gastrointestinal irritation can be increased when Desoxycortone is combined with Diflunisal.]
[J01DH03, ertapenem, Diflunisal may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[C09XA02, aliskiren, The risk or severity of renal failure and hypertension can be increased when Diflunisal is combined with Aliskiren.]
[M01AE12, oxaprozin, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Oxaprozin.]
[S03BA01, dexamethasone, The risk or severity of gastrointestinal irritation can be increased when Dexamethasone is combined with Diflunisal.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Diflunisal.]
[N06AB05, paroxetine, The risk or severity of gastrointestinal bleeding can be increased when Paroxetine is combined with Diflunisal.]
[B01AC04, clopidogrel, The risk or severity of bleeding can be increased when Diflunisal is combined with Clopidogrel.]
[P03AC04, permethrin, Diflunisal may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diflunisal may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, The therapeutic efficacy of Diazoxide can be decreased when used in combination with Diflunisal.]
[N06AA08, dibenzepin, The risk or severity of gastrointestinal bleeding can be increased when Dibenzepin is combined with Diflunisal.]
[R05DA08, pholcodine, Diflunisal may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[M05BA02, clodronic acid, The risk or severity of gastrointestinal bleeding can be increased when Diflunisal is combined with Clodronic acid.]
[S01EC02, dichlorphenamide, The risk or severity of adverse effects can be increased when Diflunisal is combined with Diclofenamide.]
[S01BC03, diclofenac, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Foscarnet.]
[A03AA07, dicyclomine, Diflunisal may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF03, zalcitabine, The excretion of Zalcitabine can be decreased when combined with Diflunisal.]
[J05AF02, didanosine, Diflunisal may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, The therapeutic efficacy of Pinacidil can be decreased when used in combination with Diflunisal.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Diflunisal is combined with Pinaverium.]
[A10BG03, pioglitazone, Diflunisal may increase the hypoglycemic activities of Pioglitazone.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Pirbuterol.]
[C03CA03, piretanide, The therapeutic efficacy of Piretanide can be decreased when used in combination with Diflunisal.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Diflunisal is combined with Diethylpropion.]
[C08CA03, isradipine, The therapeutic efficacy of Isradipine can be decreased when used in combination with Diflunisal.]
[D07XC04, diflucortolone, The risk or severity of gastrointestinal irritation can be increased when Difluocortolone is combined with Diflunisal.]
[J01MB04, pipemidic acid, Diflunisal may increase the neuroexcitatory activities of Pipemidic acid.]
[S02BA08, fluocinolone acetonide, The risk or severity of gastrointestinal irritation can be increased when Fluocinolone acetonide is combined with Diflunisal.]
[M01AG01, mefenamic acid, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Mefenamic acid.]
[C01DA05, pentaerythritol tetranitrate, Diflunisal may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C01AA04, digitoxin, The serum concentration of Digitoxin can be decreased when it is combined with Diflunisal.]
[C01AA05, digoxin, Diflunisal may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The therapeutic efficacy of Dihydralazine can be decreased when used in combination with Diflunisal.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Diflunisal is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of hypertension can be increased when Dihydroergotamine is combined with Diflunisal.]
[N02AA03, hydromorphone, Diflunisal may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Diflunisal may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, The risk or severity of nephrotoxicity can be increased when Diflunisal is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of bleeding can be increased when Treprostinil is combined with Diflunisal.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Diflunisal.]
[V03AB04, pralidoxime, Diflunisal may decrease the excretion rate of Pralidoxime which could result in a higher serum level.]
[C08DB01, diltiazem, The risk or severity of bleeding can be increased when Diltiazem is combined with Diflunisal.]
[V03AB09, dimercaprol, Diflunisal may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Diflunisal may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N02BB04, propyphenazone, The risk or severity of adverse effects can be increased when Diflunisal is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of adverse effects can be increased when Diflunisal is combined with Proglumetacin.]
[G02AD01, dinoprost, The therapeutic efficacy of Dinoprost can be decreased when used in combination with Diflunisal.]
[G02AD02, dinoprostone, The excretion of Dinoprostone can be decreased when combined with Diflunisal.]
[C09AA06, quinapril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Quinapril.]
[B01AC07, dipyridamole, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Diflunisal is combined with Dexmethylphenidate.]
[B01AD10, drotrecogin alfa, The risk or severity of bleeding and hemorrhage can be increased when Diflunisal is combined with Drotrecogin alfa.]
[N06AA23, quinupramine, The risk or severity of gastrointestinal bleeding can be increased when Quinupramine is combined with Diflunisal.]
[C09AA05, ramipril, The risk or severity of renal failure, hyperkalemia, and hypertension can be increased when Diflunisal is combined with Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Diflunisal is combined with Reproterol.]
[S01AX06, resorcinol, Diflunisal may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, Diflunisal may increase the hypoglycemic activities of Disopyramide.]
[N05AX08, risperidone, The risk or severity of hypertension can be increased when Risperidone is combined with Diflunisal.]
[R06AE09, levocetirizine, Diflunisal may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Diflunisal may decrease the excretion rate of Ropivacaine which could result in a higher serum level.]
[J01MB01, rosoxacin, Diflunisal may increase the neuroexcitatory activities of Rosoxacin.]
[L01EX01, sunitinib, Diflunisal may increase the hypoglycemic activities of Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Diflunisal which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, The therapeutic efficacy of Tadalafil can be decreased when used in combination with Diflunisal.]
[S01BC05, ketorolac, The risk or severity of adverse effects can be increased when Ketorolac is combined with Diflunisal.]
[C02KX02, ambrisentan, The therapeutic efficacy of Ambrisentan can be decreased when used in combination with Diflunisal.]
[C01EB18, ranolazine, Diflunisal may decrease the excretion rate of Ranolazine which could result in a higher serum level.]
[N02BA06, salsalate, The therapeutic efficacy of Diflunisal can be decreased when used in combination with Salsalate.]
