[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Metronidazole.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Metronidazole.]
[A02BA01, cimetidine, The metabolism of Metronidazole can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The therapeutic efficacy of Gabapentin can be decreased when used in combination with Metronidazole.]
[N07CA02, cinnarizine, The metabolism of Metronidazole can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Cinoxacin.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Metronidazole.]
[S03AA07, ciprofloxacin, The metabolism of Metronidazole can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Citalopram.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Metronidazole.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Metronidazole is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Metronidazole.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Metronidazole.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Metronidazole.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Metronidazole.]
[L01EA06, asciminib, The metabolism of Metronidazole can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Metronidazole can be decreased when combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Metronidazole.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Metronidazole.]
[C10AB01, clofibrate, The metabolism of Metronidazole can be decreased when combined with Clofibrate.]
[B06AX04, mitapivat, The metabolism of Metronidazole can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Metronidazole.]
[N03AE01, clonazepam, The therapeutic efficacy of Clonazepam can be decreased when used in combination with Metronidazole.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Metronidazole.]
[C01EB24, mavacamten, The metabolism of Mavacamten can be decreased when combined with Metronidazole.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Metronidazole.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Metronidazole.]
[A04AA02, granisetron, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Granisetron.]
[N05AH02, clozapine, The metabolism of Metronidazole can be decreased when combined with Clozapine.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Metronidazole can be increased when combined with Bimekizumab.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Metronidazole.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be decreased when combined with Metronidazole.]
[N01AB07, desflurane, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Desflurane.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Metronidazole.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Metronidazole.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Telithromycin.]
[R06AX27, desloratadine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Desloratadine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Metronidazole.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Metronidazole.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Metronidazole.]
[J02AC02, itraconazole, The metabolism of Metronidazole can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Emedastine.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lacidipine.]
[N03AX09, lamotrigine, The metabolism of Metronidazole can be increased when combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Levocabastine.]
[S01BA03, cortisone, The metabolism of Metronidazole can be increased when combined with Cortisone.]
[N07BC04, lofexidine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lomefloxacin.]
[H02AB15, meprednisone, The metabolism of Metronidazole can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Adenosine.]
[R06AE03, cyclizine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Cyclizine.]
[C03DA04, eplerenone, The metabolism of Metronidazole can be decreased when combined with Eplerenone.]
[N05AD03, metylperon, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Melperone.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Metronidazole.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Metronidazole.]
[N06BA07, modafinil, The metabolism of Metronidazole can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, The risk or severity of QTc prolongation can be increased when Cyproheptadine is combined with Metronidazole.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Metronidazole.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Metronidazole.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Metronidazole.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Metronidazole.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Metronidazole.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Metronidazole.]
[L01DB02, daunorubicin, The metabolism of Metronidazole can be increased when combined with Daunorubicin.]
[A04AD11, nabilone, The metabolism of Nabilone can be decreased when combined with Metronidazole.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be decreased when combined with Metronidazole.]
[N03AG06, tiagabine, The therapeutic efficacy of Tiagabine can be decreased when used in combination with Metronidazole.]
[M03AC11, cisatracurium, Metronidazole may increase the neuromuscular blocking activities of Cisatracurium.]
[N06AB10, escitalopram, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Solifenacin.]
[N06AA01, desipramine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Desipramine.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Oxaliplatin.]
[N03AF02, oxcarbazepine, The metabolism of Metronidazole can be increased when combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Metronidazole can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Oxybutynin can be decreased when combined with Metronidazole.]
[L04AB04, adalimumab, The metabolism of Metronidazole can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Metronidazole can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The metabolism of Metronidazole can be decreased when combined with Amphetamine.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Metronidazole.]
[N03AC01, paramethadione, The metabolism of Paramethadione can be decreased when combined with Metronidazole.]
[B01AC04, clopidogrel, The metabolism of Clopidogrel can be decreased when combined with Metronidazole.]
[N05BA01, diazepam, The metabolism of Diazepam can be decreased when combined with Metronidazole.]
[N03AX07, phenacemide, The therapeutic efficacy of Phenacemide can be decreased when used in combination with Metronidazole.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Phenol.]
[N03AD02, phensuximide, The therapeutic efficacy of Phensuximide can be decreased when used in combination with Metronidazole.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Diclofenac can be decreased when combined with Metronidazole.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Metronidazole.]
[A03AX04, pinaverium, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Pinaverium.]
[A10BG03, pioglitazone, The metabolism of Pioglitazone can be decreased when combined with Metronidazole.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Metronidazole.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Metronidazole.]
[L02AA01, diethylstilbestrol, The metabolism of Diethylstilbestrol can be decreased when combined with Metronidazole.]
[C08CA03, isradipine, The risk or severity of QTc prolongation can be increased when Isradipine is combined with Metronidazole.]
[D07XC04, diflucortolone, The metabolism of Metronidazole can be increased when combined with Difluocortolone.]
[C01AA04, digitoxin, The metabolism of Digitoxin can be decreased when combined with Metronidazole.]
[C01AA05, digoxin, The risk or severity of QTc prolongation can be increased when Digoxin is combined with Metronidazole.]
[C04AE04, dihydroergocristine, The metabolism of Dihydroergocristine can be decreased when combined with Metronidazole.]
[N02CA01, dihydroergotamine, The metabolism of Dihydroergotamine can be decreased when combined with Metronidazole.]
[N02AA03, hydromorphone, The metabolism of Hydromorphone can be decreased when combined with Metronidazole.]
[J05AE08, atazanavir, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Atazanavir.]
[B01AC21, treprostinil, The risk or severity of QTc prolongation can be increased when Treprostinil is combined with Metronidazole.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Metronidazole can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Dimenhydrinate.]
[N03AG05, progabide, The therapeutic efficacy of Progabide can be decreased when used in combination with Metronidazole.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Diphenhydramine.]
[N05CD10, quazepam, The metabolism of Quazepam can be decreased when combined with Metronidazole.]
[A03FA02, cisapride, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Cisapride.]
[S01XA23, sirolimus, The metabolism of Sirolimus can be decreased when combined with Metronidazole.]
[C01BA03, disopyramide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Disopyramide.]
[P03AA04, disulfiram, The risk or severity of psychotic reaction can be increased when Disulfiram is combined with Metronidazole.]
[N07XX02, riluzole, The therapeutic efficacy of Riluzole can be decreased when used in combination with Metronidazole.]
[N05AX08, risperidone, The risk or severity of QTc prolongation can be increased when Risperidone is combined with Metronidazole.]
[R06AE09, levocetirizine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Ropivacaine.]
[J01MB01, rosoxacin, The risk or severity of QTc prolongation can be increased when Rosoxacin is combined with Metronidazole.]
[L01EX01, sunitinib, The metabolism of Sunitinib can be decreased when combined with Metronidazole.]
[A04AD12, aprepitant, The metabolism of Metronidazole can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The metabolism of Tolvaptan can be decreased when combined with Metronidazole.]
[L01XG01, bortezomib, The metabolism of Bortezomib can be decreased when combined with Metronidazole.]
[G04BE08, tadalafil, The metabolism of Metronidazole can be decreased when combined with Tadalafil.]
[S01BC05, ketorolac, The metabolism of Ketorolac can be decreased when combined with Metronidazole.]
[C02KX02, ambrisentan, The metabolism of Ambrisentan can be decreased when combined with Metronidazole.]
[C01EB18, ranolazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ranolazine.]
[R03AC12, salmeterol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Salmeterol.]
[A03FA03, domperidone, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Domperidone.]
[N06AA16, dothiepin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Dosulepin.]
[N06AA12, doxepin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Doxepin.]
[L01DB01, doxorubicin, The metabolism of Doxorubicin can be decreased when combined with Metronidazole.]
[R06AA09, doxylamine, The risk or severity of QTc prolongation can be increased when Doxylamine is combined with Metronidazole.]
[N06AB06, sertraline, The metabolism of Sertraline can be decreased when combined with Metronidazole.]
[N01AB08, sevoflurane, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Droperidol.]
[C10AA01, simvastatin, The metabolism of Simvastatin can be decreased when combined with Metronidazole.]
[N05AL02, sultopride, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Sultopride.]
[C07AB13, talinolol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Talinolol.]
[J01MA05, temafloxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Temafloxacin.]
[M01AC02, tenoxicam, The metabolism of Tenoxicam can be decreased when combined with Metronidazole.]
[D01BA02, terbinafine, The metabolism of Terbinafine can be decreased when combined with Metronidazole.]
[G04BD05, terodiline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Terodiline.]
[N06AX14, tianeptine, The metabolism of Tianeptine can be decreased when combined with Metronidazole.]
[N06BA09, atomoxetine, The risk or severity of QTc prolongation can be increased when Atomoxetine is combined with Metronidazole.]
[N03AX11, topiramate, The therapeutic efficacy of Topiramate can be decreased when used in combination with Metronidazole.]
[L02BA02, toremifene, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Toremifene.]
[C03CA04, torsemide, The metabolism of Torasemide can be decreased when combined with Metronidazole.]
[L02AE04, triptorelin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Triptorelin.]
[J01MA04, enoxacin, The risk or severity of QTc prolongation can be increased when Enoxacin is combined with Metronidazole.]
[L01CA04, vinorelbine, The metabolism of Vinorelbine can be decreased when combined with Metronidazole.]
[S01GX10, epinastine, The risk or severity of QTc prolongation can be increased when Epinastine is combined with Metronidazole.]
[N05CF02, zolpidem, The metabolism of Zolpidem can be decreased when combined with Metronidazole.]
[N03AX15, zonisamide, The risk or severity of QTc prolongation can be increased when Zonisamide is combined with Metronidazole.]
[N05CF01, zopiclone, The metabolism of Zopiclone can be decreased when combined with Metronidazole.]
[C01BG01, moricizine, The risk or severity of QTc prolongation can be increased when Moricizine is combined with Metronidazole.]
[N02CA02, ergotamine, The metabolism of Ergotamine can be decreased when combined with Metronidazole.]
[N03AG01, valproic acid, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Valproic acid.]
[S01AA17, erythromycin, The metabolism of Metronidazole can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The therapeutic efficacy of Estazolam can be decreased when used in combination with Metronidazole.]
[G03CA03, estradiol, The metabolism of Estradiol can be decreased when combined with Metronidazole.]
[J04AK02, ethambutol, The metabolism of Metronidazole can be decreased when combined with Ethambutol.]
[R03BA05, fluticasone, The metabolism of Metronidazole can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Fluvastatin can be decreased when combined with Metronidazole.]
[L02AA03, ethinyl estradiol, The metabolism of Metronidazole can be increased when combined with Ethinylestradiol.]
[C01BD05, ibutilide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ibutilide.]
[N03AD01, ethosuximide, The risk or severity of QTc prolongation can be increased when Ethosuximide is combined with Metronidazole.]
[N03AB01, ethotoin, The therapeutic efficacy of Ethotoin can be decreased when used in combination with Metronidazole.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Etidocaine.]
[L01CB01, etoposide, The metabolism of Etoposide can be decreased when combined with Metronidazole.]
[C01BA05, ajmaline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Ajmaline.]
[L04AD02, tacrolimus, The serum concentration of Tacrolimus can be increased when it is combined with Metronidazole.]
[J01MA08, fleroxacin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Fleroxacin.]
[R06AX11, astemizole, The metabolism of Astemizole can be decreased when combined with Metronidazole.]
[R06AX12, terfenadine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of seizure can be increased when Bupropion is combined with Metronidazole.]
[N06AB08, fluvoxamine, The metabolism of Metronidazole can be decreased when combined with Fluvoxamine.]
[C01BC08, encainide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Encainide.]
[L02AE02, leuprolide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Leuprolide.]
[M01CB01, gold sodium thiomalate, The metabolism of Metronidazole can be decreased when combined with Sodium aurothiomalate.]
[A02BA03, famotidine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Famotidine.]
[P02CA03, albendazole, The metabolism of Albendazole can be decreased when combined with Metronidazole.]
[C08CA02, felodipine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Fendiline.]
[N03AX26, fenfluramine, The therapeutic efficacy of Fenfluramine can be decreased when used in combination with Metronidazole.]
[N02AB03, fentanyl, The metabolism of Fentanyl can be decreased when combined with Metronidazole.]
[R03CC02, albuterol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Salbutamol.]
[C01BC04, flecainide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Flecainide.]
[J02AC01, fluconazole, The risk or severity of QTc prolongation can be increased when Fluconazole is combined with Metronidazole.]
[J02AX01, flucytosine, The serum concentration of Flucytosine can be increased when it is combined with Metronidazole.]
[N07CA03, flunarizine, The metabolism of Flunarizine can be decreased when combined with Metronidazole.]
[N05CD03, flunitrazepam, The metabolism of Metronidazole can be decreased when combined with Flunitrazepam.]
[D07AC08, fluocinonide, The metabolism of Metronidazole can be increased when combined with Fluocinonide.]
[H02AB03, fluocortolone, The metabolism of Metronidazole can be increased when combined with Fluocortolone.]
[V03AZ01, ethanol, The risk or severity of adverse effects can be increased when Metronidazole is combined with Ethanol.]
[L01BC02, fluorouracil, The serum concentration of Fluorouracil can be increased when it is combined with Metronidazole.]
[N06AB03, fluoxetine, The risk or severity of QTc prolongation can be increased when Fluoxetine is combined with Metronidazole.]
[N05AF01, flupenthixol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Flupentixol.]
[N05CD01, flurazepam, The metabolism of Metronidazole can be decreased when combined with Flurazepam.]
[S01BC04, flurbiprofen, The metabolism of Metronidazole can be decreased when combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Fluspirilene.]
[L02BB01, flutamide, The metabolism of Metronidazole can be decreased when combined with Flutamide.]
[L01BC03, tegafur, The serum concentration of Tegafur can be increased when it is combined with Metronidazole.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be increased when used in combination with Metronidazole.]
[N05CF04, eszopiclone, The metabolism of Eszopiclone can be decreased when combined with Metronidazole.]
[N05AL05, amisulpride, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Amisulpride.]
[N06DA04, galantamine, The risk or severity of QTc prolongation can be increased when Galantamine is combined with Metronidazole.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be increased when used in combination with Metronidazole.]
[C08DA02, gallopamil, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Gallopamil.]
[N03AA04, barbexaclone, The therapeutic efficacy of Barbexaclone can be decreased when used in combination with Metronidazole.]
[C10AB04, gemfibrozil, The metabolism of Metronidazole can be decreased when combined with Gemfibrozil.]
[J01XA03, telavancin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Telavancin.]
[L02BX02, degarelix, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Degarelix.]
[L01EA02, dasatinib, The metabolism of Dasatinib can be decreased when combined with Metronidazole.]
[N04BC06, cabergoline, The metabolism of Cabergoline can be decreased when combined with Metronidazole.]
[J05AG04, etravirine, The metabolism of Etravirine can be decreased when combined with Metronidazole.]
[N03AD03, methsuximide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Methsuximide.]
[N01AH02, alfentanil, The metabolism of Metronidazole can be decreased when combined with Alfentanil.]
[L01EH01, lapatinib, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lapatinib.]
[A10BB01, glyburide, The metabolism of Glyburide can be decreased when combined with Metronidazole.]
[A10BB09, gliclazide, The metabolism of Gliclazide can be decreased when combined with Metronidazole.]
[A10BB07, glipizide, The metabolism of Glipizide can be decreased when combined with Metronidazole.]
[C01BD04, dofetilide, The metabolism of Dofetilide can be decreased when combined with Metronidazole.]
[C02CA04, doxazosin, The metabolism of Doxazosin can be decreased when combined with Metronidazole.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Metronidazole.]
[C07AB09, esmolol, The risk or severity of QTc prolongation can be increased when Esmolol is combined with Metronidazole.]
[B01AA12, fluindione, The metabolism of Fluindione can be decreased when combined with Metronidazole.]
[L02AE03, goserelin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Goserelin.]
[P01BX01, halofantrine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Halofantrine.]
[N05AD01, haloperidol, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Haloperidol.]
[N01AB01, halothane, The metabolism of Halothane can be decreased when combined with Metronidazole.]
[L02AE05, histrelin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Histrelin.]
[N05AH04, quetiapine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Quetiapine.]
[L01CE02, irinotecan, The metabolism of Irinotecan can be decreased when combined with Metronidazole.]
[C09CA01, losartan, The risk or severity of QTc prolongation can be increased when Losartan is combined with Metronidazole.]
[G03DC01, allylestrenol, The metabolism of Allylestrenol can be decreased when combined with Metronidazole.]
[N05CA16, hexobarbital, The metabolism of Hexobarbital can be decreased when combined with Metronidazole.]
[J05AG01, nevirapine, The metabolism of Metronidazole can be decreased when combined with Nevirapine.]
[C08CA10, nilvadipine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Nilvadipine.]
[R06AE06, oxatomide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Oxatomide.]
[C03AA03, hydrochlorothiazide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Hydrochlorothiazide.]
[S02BA01, hydrocortisone, The metabolism of Metronidazole can be increased when combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The metabolism of Hydrocortisone butyrate can be decreased when combined with Metronidazole.]
[P01BA02, hydroxychloroquine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Hydroxychloroquine.]
[N05BB01, hydroxyzine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Hydroxyzine.]
[R02AX02, ibuprofen, The metabolism of Ibuprofen can be decreased when combined with Metronidazole.]
[L01DB06, idarubicin, The metabolism of Idarubicin can be decreased when combined with Metronidazole.]
[L01AA06, ifosfamide, The metabolism of Ifosfamide can be decreased when combined with Metronidazole.]
[N06AA02, imipramine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Imipramine.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Metronidazole.]
[H01BA04, terlipressin, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Terlipressin.]
[M03BX02, tizanidine, The risk or severity of QTc prolongation can be increased when Tizanidine is combined with Metronidazole.]
[C03BA11, indapamide, The risk or severity of QTc prolongation can be increased when Indapamide is combined with Metronidazole.]
[S01BC01, indomethacin, The metabolism of Metronidazole can be decreased when combined with Indomethacin.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Metronidazole.]
[N05BA12, alprazolam, The metabolism of Alprazolam can be decreased when combined with Metronidazole.]
[N05CH02, ramelteon, The metabolism of Ramelteon can be decreased when combined with Metronidazole.]
[R06AE01, buclizine, The risk or severity of QTc prolongation can be increased when Buclizine is combined with Metronidazole.]
[C10AA06, cerivastatin, The metabolism of Cerivastatin can be decreased when combined with Metronidazole.]
[L01XX35, anagrelide, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Anagrelide.]
[N01AB06, isoflurane, The risk or severity of QTc prolongation can be increased when Isoflurane is combined with Metronidazole.]
[J04AC01, isoniazid, The metabolism of Metronidazole can be decreased when combined with Isoniazid.]
[L04AC07, tocilizumab, The metabolism of Metronidazole can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Metronidazole.]
[B01AC22, prasugrel, The metabolism of Prasugrel can be decreased when combined with Metronidazole.]
[J02AB02, ketoconazole, The metabolism of Metronidazole can be decreased when combined with Ketoconazole.]
[N05AH03, olanzapine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Metronidazole.]
[V03AC03, deferasirox, The metabolism of Metronidazole can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Metronidazole can be increased when combined with Abatacept.]
[R06AX25, mizolastine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Mizolastine.]
[N04BB01, amantadine, The risk or severity of QTc prolongation can be increased when Amantadine is combined with Metronidazole.]
[A06AD11, lactulose, The therapeutic efficacy of Lactulose can be decreased when used in combination with Metronidazole.]
[N03AX18, lacosamide, The metabolism of Lacosamide can be decreased when combined with Metronidazole.]
[G03AD01, levonorgestrel, The metabolism of Metronidazole can be decreased when combined with Levonorgestrel.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Metronidazole is combined with Lidocaine.]
[C08EX01, lidoflazine, The risk or severity of QTc prolongation can be increased when Metronidazole is combined with Lidoflazine.]
[N06BA13, armodafinil, The metabolism of Metronidazole can be increased when combined with Armodafinil.]
[D06AX13, retapamulin, The metabolism of Retapamulin can be decreased when combined with Metronidazole.]
[A07DA03, loperamide, The metabolism of Loperamide can be decreased when combined with Metronidazole.]
[C10AA02, lovastatin, The metabolism of Lovastatin can be decreased when combined with Metronidazole.]
[G03DC03, lynestrenol, The metabolism of Lynestrenol can be decreased when combined with Metronidazole.]
[L01EG01, temsirolimus, The metabolism of Temsirolimus can be decreased when combined with Metronidazole.]
[V04CC02, magnesium sulfate, The therapeutic efficacy of Magnesium sulfate can be decreased when used in combination with Metronidazole.]
[L01EA03, nilotinib, The metabolism of Nilotinib can be decreased when combined with Metronidazole.]
