[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Antipyrine.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Sufentanil is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Sufentanil is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Sufentanil can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Sufentanil can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Sufentanil is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Sufentanil can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Sufentanil is combined with Vericiguat.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Sufentanil is combined with Fenbufen.]
[C01CA19, fenoldopam, Sufentanil may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Sufentanil is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Sufentanil is combined with Finasteride.]
[R03CC15, formoterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Sufentanil.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Sufentanil is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Sufentanil may decrease the antihypertensive activities of Dasiglucagon.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Gabapentin.]
[N07CA02, cinnarizine, Cinnarizine may increase the bradycardic activities of Sufentanil.]
[L01XX73, sotorasib, The serum concentration of Sufentanil can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Sufentanil can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Citalopram.]
[C03DA05, finerenone, The therapeutic efficacy of Finerenone can be decreased when used in combination with Sufentanil.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Fexinidazole.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Clemastine is combined with Sufentanil.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The metabolism of Sufentanil can be increased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Sufentanil.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Levobupivacaine.]
[N06AA04, clomipramine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clomipramine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Sufentanil.]
[C01EB24, mavacamten, The serum concentration of Sufentanil can be decreased when it is combined with Mavacamten.]
[C03BA03, clopamide, The therapeutic efficacy of Clopamide can be decreased when used in combination with Sufentanil.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Sufentanil is combined with Granisetron.]
[N05AH02, clozapine, The risk or severity of adverse effects can be increased when Clozapine is combined with Sufentanil.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Sufentanil can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Sufentanil.]
[C02KB01, metyrosine, Sufentanil may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Sufentanil is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Sufentanil.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Hexafluronium is combined with Sufentanil.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Hexocyclium is combined with Sufentanil.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Sufentanil.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Sufentanil is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Sufentanil is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Sufentanil can be decreased when combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Sufentanil is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Desloratadine is combined with Sufentanil.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Sufentanil.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Sufentanil.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Sufentanil is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Sufentanil is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Sufentanil is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Sufentanil can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Sufentanil is combined with Kebuzone.]
[J02AC04, posaconazole, The metabolism of Sufentanil can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Sufentanil may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Sufentanil.]
[N03AX09, lamotrigine, The risk or severity of adverse effects can be increased when Lamotrigine is combined with Sufentanil.]
[N07BC04, lofexidine, The therapeutic efficacy of Sufentanil can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Sufentanil is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Sufentanil is combined with Loxoprofen.]
[C09AA03, lisinopril, Sufentanil may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Sufentanil.]
[C08CA11, manidipine, Sufentanil may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Mebeverine is combined with Sufentanil.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Sufentanil is combined with Mefenorex.]
[C07AA14, mepindolol, Sufentanil may increase the bradycardic activities of Mepindolol.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Sufentanil.]
[C04AX01, cyclandelate, Sufentanil may increase the bradycardic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the analgesic activities of Sufentanil.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Sufentanil is combined with Cyclobarbital.]
[C03DA04, eplerenone, The therapeutic efficacy of Eplerenone can be decreased when used in combination with Sufentanil.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Sufentanil is combined with Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Cyclopenthiazide can be decreased when used in combination with Sufentanil.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Sufentanil can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of adverse effects can be increased when Cyproheptadine is combined with Sufentanil.]
[C09AA13, moexipril, Sufentanil may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Sufentanil is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Sufentanil is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Sufentanil can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Sufentanil may decrease the antihypertensive activities of Moxonidine.]
[G04BE09, vardenafil, The risk or severity of hypotension can be increased when Vardenafil is combined with Sufentanil.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Sufentanil is combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Sufentanil can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Deanol.]
[C02CC04, debrisoquin, Sufentanil may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Sufentanil.]
[N07BB05, nalmefene, The therapeutic efficacy of Sufentanil can be decreased when used in combination with Nalmefene.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Sufentanil.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Nordazepam.]
[C07AB12, nebivolol, Sufentanil may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Sufentanil can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Sufentanil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Sufentanil is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Sufentanil.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Escitalopram.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Sufentanil.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Sufentanil is combined with Olsalazine.]
[N06AA01, desipramine, The risk or severity of adverse effects can be increased when Desipramine is combined with Sufentanil.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Sufentanil is combined with Desmopressin.]
[C09XA02, aliskiren, Sufentanil may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Sufentanil is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Sufentanil can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Oxiracetam.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Sufentanil.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Sufentanil.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Sufentanil.]
[N06BA02, dextroamphetamine, Amphetamine may increase the analgesic activities of Sufentanil.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Sufentanil.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Sufentanil.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Paroxetine.]
[B01AC04, clopidogrel, Sufentanil can cause a decrease in the absorption of Clopidogrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Phenacemide.]
[V03AH01, diazoxide, Sufentanil may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Cinchocaine is combined with Sufentanil.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Diclofenamide can be decreased when used in combination with Sufentanil.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Sufentanil.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Sufentanil.]
[C02DG01, pinacidil, Sufentanil may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, Sufentanil may increase the bradycardic activities of Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pipamperone.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Sufentanil.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Pirbuterol.]
[C03CA03, piretanide, The therapeutic efficacy of Piretanide can be decreased when used in combination with Sufentanil.]
[A08AA03, diethylpropion, Diethylpropion may increase the analgesic activities of Sufentanil.]
[C08CA03, isradipine, The metabolism of Sufentanil can be decreased when combined with Isradipine.]
[A03AB11, poldine, The risk or severity of adverse effects can be increased when Poldine is combined with Sufentanil.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Sufentanil is combined with Diflunisal.]
[C01AA05, digoxin, Digoxin may increase the bradycardic activities of Sufentanil.]
[C02DB01, dihydralazine, Sufentanil may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Sufentanil is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Dihydroergotamine is combined with Sufentanil.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Hydromorphone is combined with Sufentanil.]
[J05AE08, atazanavir, The metabolism of Sufentanil can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Sufentanil may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Sufentanil can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Sufentanil is combined with Pridinol.]
[R06AB03, dimethindene, The risk or severity of adverse effects can be increased when Dimetindene is combined with Sufentanil.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Procaterol.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Sufentanil is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Sufentanil is combined with Proglumetacin.]
[R06AA02, diphenhydramine, The risk or severity of adverse effects can be increased when Diphenhydramine is combined with Sufentanil.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Quazepam.]
[C09AA06, quinapril, Sufentanil may decrease the antihypertensive activities of Quinapril.]
[B01AC07, dipyridamole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dipyridamole.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Cisapride is combined with Sufentanil.]
[C09AA05, ramipril, Sufentanil may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Remoxipride is combined with Sufentanil.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Reproterol.]
[C01BA03, disopyramide, The risk or severity of adverse effects can be increased when Disopyramide is combined with Sufentanil.]
[S02AA12, rifamycin SV, The metabolism of Sufentanil can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Sufentanil can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Riluzole.]
[N05AX08, risperidone, Sufentanil may increase the hypotensive activities of Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Ropivacaine is combined with Sufentanil.]
[A04AD12, aprepitant, The metabolism of Sufentanil can be decreased when combined with Aprepitant.]
[C03XA01, tolvaptan, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Sufentanil.]
[G04BE08, tadalafil, Sufentanil may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Sufentanil.]
[C02KX02, ambrisentan, Sufentanil may decrease the antihypertensive activities of Ambrisentan.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Sufentanil is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Dobutamine.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Sufentanil is combined with Dopamine.]
[N06AA16, dothiepin, The risk or severity of adverse effects can be increased when Dosulepin is combined with Sufentanil.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Sufentanil.]
[N06AA12, doxepin, The risk or severity of adverse effects can be increased when Doxepin is combined with Sufentanil.]
[A06AB06, sennosides, USP, The therapeutic efficacy of Sennosides can be decreased when used in combination with Sufentanil.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Sufentanil.]
[N06AB06, sertraline, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Sufentanil is combined with Sevoflurane.]
[N05AD08, droperidol, The risk or severity of hypertension can be increased when Sufentanil is combined with Droperidol.]
[A08AA10, sibutramine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Sibutramine.]
[V03AG05, sodium phosphate, The therapeutic efficacy of Sodium phosphate, monobasic can be decreased when used in combination with Sufentanil.]
[A12CA02, sodium sulfate, The therapeutic efficacy of Sodium sulfate can be decreased when used in combination with Sufentanil.]
[C09AA11, spirapril, Sufentanil may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Sufentanil is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Sumatriptan is combined with Sufentanil.]
[C07AB13, talinolol, Sufentanil may decrease the antihypertensive activities of Talinolol.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Sufentanil.]
[G04CA03, terazosin, Sufentanil may decrease the antihypertensive activities of Terazosin.]
[G04BD05, terodiline, Sufentanil may increase the bradycardic activities of Terodiline.]
[C07AA16, tertatolol, Sufentanil may increase the bradycardic activities of Tertatolol.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Sufentanil is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Sufentanil is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Thiopropazate.]
[G04BD01, emepronium, The risk or severity of adverse effects can be increased when Emepronium is combined with Sufentanil.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tianeptine.]
[C09AA02, enalapril, Sufentanil may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Sufentanil is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Sufentanil.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Topiramate is combined with Sufentanil.]
[C03CA04, torsemide, The therapeutic efficacy of Torasemide can be decreased when used in combination with Sufentanil.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Sufentanil is combined with Tramazoline.]
[C09AA10, trandolapril, Sufentanil may decrease the antihypertensive activities of Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Sufentanil is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Sufentanil is combined with Triclofos.]
[A03AB08, tridihexethyl, The risk or severity of adverse effects can be increased when Tridihexethyl is combined with Sufentanil.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Trimethobenzamide is combined with Sufentanil.]
[N04AA12, tropatepine, The risk or severity of adverse effects can be increased when Tropatepine is combined with Sufentanil.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Tulobuterol.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Enflurane is combined with Sufentanil.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Sufentanil is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Sufentanil is combined with Veralipride.]
[S01FB02, ephedrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Ephedrine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Venlafaxine.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Sufentanil is combined with Xylometazoline.]
[C08CA12, mepirodipine, The metabolism of Sufentanil can be decreased when combined with Barnidipine.]
[S01EA01, epinephrine, The risk or severity of hypertension can be increased when Epinephrine is combined with Sufentanil.]
[C09AA15, zofenopril, Sufentanil may decrease the antihypertensive activities of Zofenopril.]
[N05CF02, zolpidem, Sufentanil may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Sufentanil is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Sufentanil is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Sufentanil is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Guanfacine.]
[B01AC11, iloprost, The risk or severity of adverse effects can be increased when Sufentanil is combined with Iloprost.]
[C01BG01, moricizine, The risk or severity of hypotension and CNS depression can be increased when Moricizine is combined with Sufentanil.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The metabolism of Sufentanil can be decreased when combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Valproic acid is combined with Sufentanil.]
[S01AA17, erythromycin, The metabolism of Sufentanil can be decreased when combined with Erythromycin.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Sufentanil is combined with Estazolam.]
[C01CA15, gepefrine, Gepefrine may increase the analgesic activities of Sufentanil.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Sufentanil.]
[V03AF05, amifostine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Amifostine.]
[N04AA05, profenamine, The risk or severity of adverse effects can be increased when Profenamine is combined with Sufentanil.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Ethosuximide is combined with Sufentanil.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Sufentanil is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of adverse effects can be increased when Sufentanil is combined with Ethylmorphine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Sufentanil is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Etomidate is combined with Sufentanil.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Sufentanil is combined with Sertindole.]
[R06AX12, terfenadine, The metabolism of Sufentanil can be decreased when combined with Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Sufentanil is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Fluvoxamine.]
[C08CA02, felodipine, Sufentanil may decrease the antihypertensive activities of Felodipine.]
[C08EA01, fendiline, Sufentanil may increase the bradycardic activities of Fendiline.]
[N03AX26, fenfluramine, The risk or severity of serotonin syndrome can be increased when Sufentanil is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Sufentanil.]
[R03CC04, fenoterol, The risk or severity of adverse effects can be increased when Fenoterol is combined with Sufentanil.]
[N02AB03, fentanyl, The risk or severity of adverse effects can be increased when Sufentanil is combined with Fentanyl.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Sufentanil is combined with Salbutamol.]
[L01BB06, clofarabine, The risk or severity of adverse effects can be increased when Clofarabine is combined with Sufentanil.]
[G04BD02, flavoxate, The risk or severity of adverse effects can be increased when Flavoxate is combined with Sufentanil.]
[N02BG04, floctafenine, The risk or severity of hypertension can be increased when Sufentanil is combined with Floctafenine.]
