[P02BB01, trichlorfon, The metabolism of Succinylcholine can be decreased when combined with Metrifonate.]
[C02KB01, metyrosine, Succinylcholine may increase the sedative activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Codeine.]
[M03AC05, hexafluorenium, The metabolism of Succinylcholine can be decreased when combined with Hexafluronium.]
[A03AB10, hexocyclium, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[J01XB01, colistin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Colistin.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Imidazole salicylate.]
[R03BA08, ciclesonide, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The metabolism of Succinylcholine can be decreased when combined with Pegvisomant.]
[C01AA06, lanatoside C, The risk or severity of Cardiac Arrhythmia can be increased when Succinylcholine is combined with Lanatoside C.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Bemiparin.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Kebuzone.]
[C08CA09, lacidipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Lacidipine.]
[N03AX09, lamotrigine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01BA03, cortisone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Cortisone.]
[N07BC04, lofexidine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Loxoprofen.]
[C09AA03, lisinopril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium carbonate.]
[B05XA10, magnesium phosphate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium phosphate.]
[C08CA11, manidipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Manidipine.]
[A03AA04, mebeverine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Medifoxamine.]
[C07AA14, mepindolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Meprednisone.]
[N04AA03, methixene, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Cyclandelate.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cyclobarbital.]
[C03DA04, eplerenone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Melperone.]
[L01AA01, cyclophosphamide, The serum concentration of Succinylcholine can be increased when it is combined with Cyclophosphamide.]
[N06AX07, minaprine, The metabolism of Succinylcholine can be decreased when combined with Minaprine.]
[J04AB01, cycloserine, Succinylcholine may increase the neurotoxic activities of Cycloserine.]
[S01XA18, cyclosporine, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Moclobemide.]
[R06AX02, cyproheptadine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Morniflumate.]
[M01AH05, etoricoxib, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Etoricoxib.]
[M03CA01, dantrolene, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Dantrolene.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Deanol.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[M01AX01, nabumetone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nabumetone.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Succinylcholine.]
[J01AA01, demeclocycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Demeclocycline.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nordazepam.]
[C07AB12, nebivolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Niaprazine.]
[C01DX16, nicorandil, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nicorandil.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tiagabine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Succinylcholine.]
[R05DA06, normethadone, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Escitalopram.]
[G04BD08, solifenacin, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Olsalazine.]
[N06AA01, desipramine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[C01AA07, deslanoside, The risk or severity of Cardiac Arrhythmia can be increased when Succinylcholine is combined with Deslanoside.]
[D07XC02, desoximetasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Desoximetasone.]
[H02AA03, desoxycorticosterone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Desoxycortone.]
[C09XA02, aliskiren, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Oxiracetam.]
[N04AA08, dexetimide, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Phenacemide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dibenzepin.]
[S02DA04, dibucaine, The metabolism of Succinylcholine can be decreased when combined with Cinchocaine.]
[S01BC03, diclofenac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Diclofenac.]
[A03AA07, dicyclomine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Succinylcholine may increase the neurotoxic activities of Didanosine.]
[A03AX04, pinaverium, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Pinaverium.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pipamperone.]
[A03AB14, pipenzolate, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[C03CA03, piretanide, Piretanide may decrease the neuromuscular blocking activities of Succinylcholine.]
[P02CB02, diethylcarbamazine, The metabolism of Succinylcholine can be decreased when combined with Diethylcarbamazine.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Diethylpropion.]
[C08CA03, isradipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Isradipine.]
[D07XC04, diflucortolone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Difluocortolone.]
[A03AB11, poldine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Diflunisal.]
[C01AA04, digitoxin, The risk or severity of Cardiac Arrhythmia can be increased when Succinylcholine is combined with Digitoxin.]
[C01AA05, digoxin, Succinylcholine may increase the arrhythmogenic activities of Digoxin.]
[N02CA01, dihydroergotamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dihydroergotamine.]
[N02AA03, hydromorphone, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Hydromorphone.]
[H03BC01, potassium perchlorate, Potassium perchlorate may increase the hyperkalemic activities of Succinylcholine.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pramocaine.]
[C08DB01, diltiazem, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Pridinol.]
[R06AB03, dimethindene, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Proglumetacin.]
[R06AA02, diphenhydramine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Quazepam.]
[C09AA06, quinapril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Quinupramine.]
[A03FA02, cisapride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cisapride.]
[C09AA05, ramipril, The risk or severity of hyperkalemia can be increased when Ramipril is combined with Succinylcholine.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Remoxipride.]
[C01BA03, disopyramide, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[N07AA03, distigmine, The metabolism of Succinylcholine can be decreased when combined with Distigmine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ropivacaine.]
[C03XA01, tolvaptan, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tolvaptan.]
[S01BC05, ketorolac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Ketorolac.]
[N02BA06, salsalate, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Salsalate.]
[N06AA16, dothiepin, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Dosulepin.]
[N06AA12, doxepin, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[J01AA02, doxycycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Doxycycline.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of hyperkalemia can be increased when Sevoflurane is combined with Succinylcholine.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Succinylcholine.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sibutramine.]
[V03AG05, sodium phosphate, Sodium phosphate, monobasic may increase the hyperkalemic activities of Succinylcholine.]
[C09AA11, spirapril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sumatriptan.]
[V04CX07, edrophonium, The metabolism of Succinylcholine can be decreased when combined with Edrophonium.]
[C07AB13, talinolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Talinolol.]
[H01AA01, corticotropin, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Corticotropin.]
[M01AC02, tenoxicam, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tenoxicam.]
[G04BD05, terodiline, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Terodiline.]
[C07AA16, tertatolol, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tertatolol.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Thiopropazate.]
[G04BD01, emepronium, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tianeptine.]
[C09AA02, enalapril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Toloxatone.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Topiramate.]
[C03CA04, torsemide, Torasemide may decrease the neuromuscular blocking activities of Succinylcholine.]
[J01AA12, tigecycline, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Tigecycline.]
[C09AA10, trandolapril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Trandolapril.]
[N05CD11, triazulenone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Loprazolam.]
[N05CC01, chloral hydrate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Chloral hydrate.]
[N05CM07, triclofos, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Triclofos.]
[A03AB08, tridihexethyl, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Tridihexethyl.]
[H02CA01, trilostane, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Trilostane.]
[R06AA10, trimethobenzamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Trimethobenzamide.]
[N04AA12, tropatepine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Tropatepine.]
[N01AB04, enflurane, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Enflurane.]
[C02CA06, urapidil, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Urapidil.]
[N05AL06, veralipride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Veralipride.]
[L01CA04, vinorelbine, Succinylcholine may increase the neurotoxic activities of Vinorelbine.]
[S01FB02, ephedrine, The serum concentration of Ephedrine can be increased when it is combined with Succinylcholine.]
[S01GX10, epinastine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Epinastine.]
[N06AX16, venlafaxine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Venlafaxine.]
[C08CA12, mepirodipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Barnidipine.]
[C09AA15, zofenopril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Zofenopril.]
[N05CF02, zolpidem, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Zolpidem.]
[M01AB04, zomepirac, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Zomepirac.]
[N03AX15, zonisamide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zonisamide.]
[N05CF01, zopiclone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zopiclone.]
[N05AX11, zotepine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Zotepine.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Guanfacine.]
[C01BG01, moricizine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Moricizine.]
[G02AB03, ergonovine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ergotamine.]
[N03AG01, valproic acid, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Valproic acid.]
[N05CD04, estazolam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Estazolam.]
[R03BA09, fluticasone furoate, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluticasone furoate.]
[R03BA05, fluticasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluticasone.]
[N05CM08, ethchlorvynol, The risk or severity of adverse effects can be increased when Ethchlorvynol is combined with Succinylcholine.]
[N04AA05, profenamine, The metabolism of Succinylcholine can be decreased when combined with Profenamine.]
[N03AD01, ethosuximide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ethosuximide.]
[N03AB01, ethotoin, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Ethotoin.]
[M01AC06, meloxicam, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Meloxicam.]
[S01XA06, ethylmorphine, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Ethylmorphine.]
[N01AX07, etomidate, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Etomidate.]
[N05AE03, sertindole, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Sertindole.]
[L04AD02, tacrolimus, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Tacrolimus.]
[A02BA04, nizatidine, The metabolism of Succinylcholine can be decreased when combined with Nizatidine.]
[R06AX12, terfenadine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Terfenadine.]
[N06AX12, bupropion, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bupropion.]
[N06AB08, fluvoxamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fluvoxamine.]
[C08CA02, felodipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Felodipine.]
[C08EA01, fendiline, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Fendiline.]
[N03AX26, fenfluramine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fenfluramine.]
[M01AE04, fenoprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Fenoprofen.]
[N02AB03, fentanyl, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Fentanyl.]
[G04BD02, flavoxate, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Flavoxate.]
[N02BG04, floctafenine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Floctafenine.]
[J02AC01, fluconazole, The risk or severity of hyperkalemia can be increased when Fluconazole is combined with Succinylcholine.]
[H02AA02, fludrocortisone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fludrocortisone.]
[D07XB01, flumethasone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Flumethasone.]
[N07CA03, flunarizine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Flunarizine.]
[N05CD03, flunitrazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Flunitrazepam.]
[D07AC08, fluocinonide, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluocinonide.]
[N06AA14, melitracen, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Melitracen.]
[H02AB03, fluocortolone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluocortolone.]
[V03AZ01, ethanol, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Ethanol.]
[S01CB05, fluorometholone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Fluorometholone.]
[N06AB03, fluoxetine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Fluoxetine.]
[N05AF01, flupenthixol, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Flupentixol.]
[N05AB02, fluphenazine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fluphenazine.]
[N05CD01, flurazepam, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Flurazepam.]
[S01BC04, flurbiprofen, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Flurbiprofen.]
[N05AG01, fluspirilene, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Fluspirilene.]
[S01AA07, framycetin, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Framycetin.]
[M03AA01, alcuronium, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Alcuronium.]
[G01AX06, furazolidone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Furazolidone.]
[C03CA01, furosemide, Furosemide may increase the skeletal muscle relaxing activities of Succinylcholine.]
[N05CF04, eszopiclone, The risk or severity of CNS depression can be increased when Succinylcholine is combined with Eszopiclone.]
[N05AL05, amisulpride, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Amisulpride.]
[N06DA04, galantamine, The metabolism of Succinylcholine can be decreased when combined with Galantamine.]
[M03AC02, gallamine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Gallamine.]
[C08DA02, gallopamil, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Gallopamil.]
[N03AA04, barbexaclone, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Barbexaclone.]
[N06AX08, bifemelane, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Bifemelane.]
[N04BC06, cabergoline, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Cabergoline.]
[N03AD03, methsuximide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Methsuximide.]
[N01AH02, alfentanil, The risk or severity of bradycardia can be increased when Succinylcholine is combined with Alfentanil.]
[N05CM18, dexmedetomidine, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Dexmedetomidine.]
[N05CE01, glutethimide, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Glutethimide.]
[C07AB09, esmolol, The risk or severity of hyperkalemia can be increased when Esmolol is combined with Succinylcholine.]
[C09AA09, fosinopril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Fosinopril.]
[N05AD01, haloperidol, The risk or severity of CNS depression can be increased when Haloperidol is combined with Succinylcholine.]
[N01AB01, halothane, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Halothane.]
[N05AH04, quetiapine, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Quetiapine.]
[N02CX03, iprazochrome, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Iprazochrome.]
[L01CE02, irinotecan, The serum concentration of Irinotecan can be increased when it is combined with Succinylcholine.]
[N05CA21, allobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Allobarbital.]
[C09CA01, losartan, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Losartan.]
[S01XA14, heparin, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Heparin.]
[B05CB03, magnesium citrate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium citrate.]
[A12CC03, magnesium gluconate, The therapeutic efficacy of Succinylcholine can be increased when used in combination with Magnesium gluconate.]
[A07EC02, mesalamine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Mesalazine.]
[N05CA16, hexobarbital, The risk or severity of adverse effects can be increased when Succinylcholine is combined with Hexobarbital.]
[C08CA10, nilvadipine, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nilvadipine.]
[M02AA26, nimesulide, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Nimesulide.]
[C09AA04, perindopril, The risk or severity of hyperkalemia can be increased when Succinylcholine is combined with Perindopril.]
[R05DA03, hydrocodone, Succinylcholine may increase the central nervous system depressant (CNS depressant) activities of Hydrocodone.]
[S02BA01, hydrocortisone, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The risk or severity of myopathy and weakness can be increased when Succinylcholine is combined with Hydrocortisone butyrate.]
[B05XA17, potassium acetate, Potassium acetate may increase the hyperkalemic activities of Succinylcholine.]
[S01XA07, aluminum potassium sulfate, Potassium alum may increase the hyperkalemic activities of Succinylcholine.]
