[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Eletriptan.]
[L01EX18, avapritinib, The metabolism of Eletriptan can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Eletriptan.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Eletriptan can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Eletriptan.]
[H02CA02, osilodrostat, The metabolism of Eletriptan can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Eletriptan can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Eletriptan is combined with Dutasteride.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Eletriptan.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dihydrocodeine.]
[S01AA13, fusidic acid, The metabolism of Eletriptan can be decreased when combined with Fusidic acid.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Eletriptan is combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Eletriptan.]
[C08CA16, clevidipine, The metabolism of Eletriptan can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Eletriptan can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chlordiazepoxide.]
[C02AA06, methoserpidine, Eletriptan may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Eletriptan.]
[A03AA08, dihexyverine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Eletriptan.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Dopexamine.]
[G04BD09, trospium, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Eletriptan is combined with Droxicam.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Eletriptan.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Eletriptan is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dyclonine.]
[C08CA17, levamlodipine, Eletriptan may decrease the antihypertensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Eletriptan can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Remimazolam.]
[N07XX04, sodium oxybate, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Eletriptan can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Eletriptan is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Eletriptan can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Eletriptan can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Eletriptan may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Eletriptan can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Eletriptan.]
[N05AF03, chlorprothixene, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Eletriptan may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Eletriptan can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Eletriptan is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Eletriptan is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Eletriptan is combined with Etofenamate.]
[B06AC06, berotralstat, The metabolism of Eletriptan can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Eletriptan can be decreased when combined with Lonafarnib.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Eletriptan is combined with Naxitamab.]
[P03AX07, abametapir, The serum concentration of Eletriptan can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Eletriptan can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Eletriptan is combined with Fenbufen.]
[C01CA19, fenoldopam, Eletriptan may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Eletriptan is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Eletriptan is combined with Finasteride.]
[R03CC15, formoterol, The metabolism of Formoterol can be increased when combined with Eletriptan.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Eletriptan is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Eletriptan can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Eletriptan may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Eletriptan can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be increased when combined with Eletriptan.]
[L01XX73, sotorasib, The serum concentration of Eletriptan can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The metabolism of Eletriptan can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Eletriptan is combined with Citalopram.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Eletriptan.]
[R06AA04, clemastine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Eletriptan is combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Glimepiride can be decreased when combined with Eletriptan.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Eletriptan.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Clenbuterol.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Eletriptan.]
[N06AX25, St. John's wort extract, The metabolism of Eletriptan can be increased when combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Eletriptan can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Eletriptan.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Eletriptan.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Eletriptan.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Eletriptan.]
[C01EB24, mavacamten, The serum concentration of Eletriptan can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Clothiapine.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Eletriptan is combined with Granisetron.]
[L01XX77, adagrasib, The serum concentration of Eletriptan can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Eletriptan can be decreased when combined with Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Halazepam.]
[H01AC08, somatrogon, The metabolism of Eletriptan can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Eletriptan may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Eletriptan can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Eletriptan is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Codeine.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Eletriptan is combined with Hexafluronium.]
[A03AB10, hexocyclium, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Eletriptan can be decreased when combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Eletriptan.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Eletriptan is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The metabolism of Eletriptan can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Eletriptan.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Eletriptan is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Eletriptan is combined with Valdecoxib.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Eletriptan is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Eletriptan is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Eletriptan can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Eletriptan is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Eletriptan can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Eletriptan can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, Eletriptan may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[N07BC04, lofexidine, The therapeutic efficacy of Eletriptan can be increased when used in combination with Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Eletriptan is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Eletriptan is combined with Loxoprofen.]
[C09AA03, lisinopril, Eletriptan may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Eletriptan can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Eletriptan is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Eletriptan.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Eletriptan.]
[N04AA03, methixene, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cyclobarbital.]
[C03DA04, eplerenone, Eletriptan may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Eletriptan is combined with Melperone.]
[C03AA07, cyclopenthiazide, Eletriptan may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Eletriptan.]
[N06AX07, minaprine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Minaprine.]
[S01XA18, cyclosporine, The metabolism of Eletriptan can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Moclobemide.]
[N06BA07, modafinil, The metabolism of Eletriptan can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, Eletriptan may decrease the antihypertensive activities of Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Eletriptan.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Eletriptan is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Eletriptan is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Eletriptan can be decreased when combined with Conivaptan.]
[C02AC05, moxonidine, Eletriptan may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The metabolism of Eletriptan can be decreased when combined with Etoricoxib.]
[G03XA01, danazol, The metabolism of Eletriptan can be decreased when combined with Danazol.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Eletriptan.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Deanol.]
[C02CC04, debrisoquin, Eletriptan may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Eletriptan is combined with Nabumetone.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Nordazepam.]
[C07AB12, nebivolol, Eletriptan may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The metabolism of Eletriptan can be decreased when combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Niaprazine.]
[C01DX16, nicorandil, Eletriptan may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, The metabolism of Eletriptan can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Eletriptan is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cisatracurium.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Eletriptan is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Escitalopram.]
[G04BD08, solifenacin, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Eletriptan is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Eletriptan can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Eletriptan.]
[C09XA02, aliskiren, Eletriptan may decrease the antihypertensive activities of Aliskiren.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Eletriptan is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxcarbazepine.]
[S03BA01, dexamethasone, The metabolism of Eletriptan can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxiracetam.]
[N04AA08, dexetimide, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Eletriptan is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Eletriptan can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Eletriptan can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, The risk or severity of serotonin syndrome can be increased when Amphetamine is combined with Eletriptan.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dextromethorphan.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Eletriptan is combined with Paramethadione.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dextromoramide.]
[N06AB05, paroxetine, The risk or severity of serotonin syndrome can be increased when Paroxetine is combined with Eletriptan.]
[B01AC04, clopidogrel, The metabolism of Eletriptan can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Diamorphine.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Diazepam.]
[N03AX07, phenacemide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phenacemide.]
[V03AH01, diazoxide, Eletriptan may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Phensuximide.]
[N06AA08, dibenzepin, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dibenzepin.]
[S02DA04, dibucaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Cinchocaine.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Eletriptan is combined with Diclofenac.]
[A03AA07, dicyclomine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[C02DG01, pinacidil, Eletriptan may decrease the antihypertensive activities of Pinacidil.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pipamperone.]
[A03AB14, pipenzolate, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Eletriptan.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Pirbuterol.]
[A08AA03, diethylpropion, The risk or severity of adverse effects can be increased when Eletriptan is combined with Diethylpropion.]
[L02AA01, diethylstilbestrol, The metabolism of Eletriptan can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Eletriptan can be decreased when combined with Isradipine.]
[A03AB11, poldine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Eletriptan is combined with Diflunisal.]
[C02DB01, dihydralazine, Eletriptan may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Dihydroergocristine may increase the vasoconstricting activities of Eletriptan.]
[N02CA01, dihydroergotamine, Dihydroergotamine may increase the vasoconstricting activities of Eletriptan.]
[N02AA03, hydromorphone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Hydromorphone.]
[J05AE08, atazanavir, The metabolism of Eletriptan can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, Eletriptan may decrease the antihypertensive activities of Treprostinil.]
[D04AB07, pramoxine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Eletriptan can be decreased when combined with Diltiazem.]
[R06AA11, dimenhydrinate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dimenhydrinate.]
[M03BX03, pridinol, The risk or severity of adverse effects can be increased when Eletriptan is combined with Pridinol.]
[R06AB03, dimethindene, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, The metabolism of Eletriptan can be decreased when combined with Dimethyl sulfoxide.]
[N03AG05, progabide, The risk or severity of adverse effects can be increased when Eletriptan is combined with Progabide.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Eletriptan is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Eletriptan is combined with Proglumetacin.]
[C05CA03, diosmin, The metabolism of Eletriptan can be decreased when combined with Diosmin.]
[R06AA02, diphenhydramine, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Diphenhydramine.]
[A07DA01, diphenoxylate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Diphenoxylate.]
[N05CD10, quazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Quazepam.]
[C09AA06, quinapril, Eletriptan may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Quinupramine.]
[A03FA02, cisapride, The metabolism of Eletriptan can be decreased when combined with Cisapride.]
[C09AA05, ramipril, Eletriptan may decrease the antihypertensive activities of Ramipril.]
[N05AL04, remoxipride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Remoxipride.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Reproterol.]
[C01BA03, disopyramide, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Disopyramide.]
[S02AA12, rifamycin SV, The metabolism of Eletriptan can be increased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Eletriptan can be increased when combined with Rifapentine.]
[N07XX02, riluzole, The risk or severity of adverse effects can be increased when Eletriptan is combined with Riluzole.]
[N05AX08, risperidone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Risperidone.]
[R06AE09, levocetirizine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Levocetirizine.]
[N01BB09, ropivacaine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Ropivacaine.]
[A04AD12, aprepitant, The metabolism of Eletriptan can be decreased when combined with Aprepitant.]
[L01XG01, bortezomib, The metabolism of Eletriptan can be decreased when combined with Bortezomib.]
[G04BE08, tadalafil, Eletriptan may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Eletriptan is combined with Ketorolac.]
[C02KX02, ambrisentan, Eletriptan may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Eletriptan can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Eletriptan is combined with Salsalate.]
[R03AC12, salmeterol, The risk or severity of hypertension can be increased when Eletriptan is combined with Salmeterol.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Dobutamine.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Eletriptan.]
[C01CA04, dopamine, The risk or severity of hypertension can be increased when Eletriptan is combined with Dopamine.]
[N06AA16, dothiepin, The metabolism of Eletriptan can be decreased when combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Eletriptan is combined with Doxapram.]
[N06AA12, doxepin, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Doxepin.]
[L01DB01, doxorubicin, The metabolism of Eletriptan can be decreased when combined with Doxorubicin.]
[R06AA09, doxylamine, Doxylamine may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[N06AB06, sertraline, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sertraline.]
[N01AB08, sevoflurane, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sevoflurane.]
[N05AD08, droperidol, Droperidol may increase the central nervous system depressant (CNS depressant) activities of Eletriptan.]
[A08AA10, sibutramine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sibutramine.]
[C10AA01, simvastatin, The metabolism of Eletriptan can be decreased when combined with Simvastatin.]
[C09AA11, spirapril, Eletriptan may decrease the antihypertensive activities of Spirapril.]
[N05AL02, sultopride, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sultopride.]
[N02CC01, sumatriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Sumatriptan.]
[C07AB13, talinolol, Eletriptan may decrease the antihypertensive activities of Talinolol.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Eletriptan is combined with Tenoxicam.]
[G04CA03, terazosin, Eletriptan may decrease the antihypertensive activities of Terazosin.]
[D01BA02, terbinafine, The metabolism of Eletriptan can be decreased when combined with Terbinafine.]
[C07AA16, tertatolol, The metabolism of Tertatolol can be decreased when combined with Eletriptan.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Eletriptan is combined with Tetryzoline.]
[M03BX07, tetrazepam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tetrazepam.]
[M03BX05, thiocolchicoside, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiocolchicoside.]
[N05AB05, thiopropazate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Thiopropazate.]
[G04BD01, emepronium, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Emepronium.]
[N06AX14, tianeptine, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tianeptine.]
[C09AA02, enalapril, Eletriptan may decrease the antihypertensive activities of Enalapril.]
[N05BA23, tofisopam, The risk or severity of adverse effects can be increased when Eletriptan is combined with Tofisopam.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Eletriptan is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The risk or severity of adverse effects can be increased when Eletriptan is combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Eletriptan is combined with Atomoxetine.]
[N03AX11, topiramate, The risk or severity of adverse effects can be increased when Eletriptan is combined with Topiramate.]
