[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Buprenorphine.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Buprenorphine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Buprenorphine.]
[L01XX62, ivosidenib, The metabolism of Buprenorphine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Buprenorphine.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B02BX07, lusutrombopag, Buprenorphine may decrease the excretion rate of Lusutrombopag which could result in a higher serum level.]
[J05AX24, tecovirimat, The metabolism of Buprenorphine can be increased when combined with Tecovirimat.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Buprenorphine.]
[L01EM04, duvelisib, Buprenorphine may decrease the excretion rate of Duvelisib which could result in a higher serum level.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Buprenorphine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Buprenorphine.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Buprenorphine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Buprenorphine.]
[L01XK04, talazoparib, Buprenorphine may decrease the excretion rate of Talazoparib which could result in a higher serum level.]
[M03BA02, carisoprodol, Carisoprodol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Buprenorphine.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Buprenorphine.]
[L04AA39, emapalumab, The metabolism of Buprenorphine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Buprenorphine.]
[L01XJ03, glasdegib, Buprenorphine may decrease the excretion rate of Glasdegib which could result in a higher serum level.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Buprenorphine.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Buprenorphine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[P02BX04, triclabendazole, The metabolism of Buprenorphine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, Esketamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Buprenorphine.]
[J01FA09, clarithromycin, The metabolism of Buprenorphine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, Solriamfetol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Buprenorphine.]
[N05BA09, clobazam, Clobazam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H02AB14, cloprednol, The metabolism of Buprenorphine can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Buprenorphine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C09CA06, candesartan, The metabolism of Buprenorphine can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Buprenorphine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Buprenorphine can be increased when combined with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Alpelisib can be increased when it is combined with Buprenorphine.]
[L02BB06, darolutamide, Buprenorphine may decrease the excretion rate of Darolutamide which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Buprenorphine.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be decreased when used in combination with Buprenorphine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Buprenorphine.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Buprenorphine.]
[N07XX11, pitolisant, The serum concentration of Buprenorphine can be decreased when it is combined with Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Buprenorphine.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be decreased when combined with Buprenorphine.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Buprenorphine.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Cyclothiazide can be decreased when used in combination with Buprenorphine.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Buprenorphine.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Buprenorphine.]
[N02CC08, lasmiditan, Lasmiditan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Buprenorphine.]
[G03AC09, desogestrel, The metabolism of Buprenorphine can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Buprenorphine.]
[N03AX25, cenobamate, The serum concentration of Buprenorphine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Buprenorphine can be increased when it is combined with Givosiran.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Buprenorphine.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AB02, dexchlorpheniramine, The metabolism of Buprenorphine can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, Dezocine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EX18, avapritinib, The metabolism of Buprenorphine can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XX72, tazemetostat, Buprenorphine may decrease the excretion rate of Tazemetostat which could result in a higher serum level.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AX21, diacetylrhein, The metabolism of Buprenorphine can be decreased when combined with Diacerein.]
[N02CD06, rimegepant, The serum concentration of Rimegepant can be increased when it is combined with Buprenorphine.]
[H02CA02, osilodrostat, The metabolism of Buprenorphine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Buprenorphine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Buprenorphine.]
[L04AA38, ozanimod, Buprenorphine may decrease the excretion rate of Ozanimod which could result in a higher serum level.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EE04, selumetinib, Buprenorphine may decrease the excretion rate of Selumetinib which could result in a higher serum level.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AA08, dihydrocodeine, Dihydrocodeine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AH02, rofecoxib, The metabolism of Buprenorphine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Buprenorphine can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Buprenorphine can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Buprenorphine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S03AA08, chloramphenicol, The metabolism of Buprenorphine can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Buprenorphine.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Dihexyverine is combined with Buprenorphine.]
[D07XB03, fluprednidene, The metabolism of Buprenorphine can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Buprenorphine.]
[L01EX19, ripretinib, Buprenorphine may decrease the excretion rate of Ripretinib which could result in a higher serum level.]
[L01EX22, selpercatinib, The serum concentration of Buprenorphine can be increased when it is combined with Selpercatinib.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Buprenorphine.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Buprenorphine.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Buprenorphine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Buprenorphine is combined with Remimazolam.]
[N07XX04, sodium oxybate, Buprenorphine may increase the central nervous system depressant (CNS depressant) activities of Sodium oxybate.]
[L04AC19, satralizumab, The serum concentration of Buprenorphine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Buprenorphine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Buprenorphine can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, Buprenorphine may decrease the excretion rate of Pralsetinib which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Chlorothiazide can be decreased when used in combination with Buprenorphine.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BB02, chlorpropamide, The metabolism of Buprenorphine can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Chlorprothixene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Chlorthalidone can be decreased when used in combination with Buprenorphine.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A11CC05, cholecalciferol, The metabolism of Buprenorphine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AB08, etodolac, The metabolism of Buprenorphine can be decreased when combined with Etodolac.]
[B06AC06, berotralstat, The serum concentration of Berotralstat can be increased when it is combined with Buprenorphine.]
[A16AX20, lonafarnib, The metabolism of Buprenorphine can be decreased when combined with Lonafarnib.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Buprenorphine.]
[P03AX07, abametapir, The serum concentration of Buprenorphine can be increased when it is combined with Abametapir.]
[L01EX21, tepotinib, The metabolism of Buprenorphine can be decreased when combined with Tepotinib.]
[V03AF12, trilaciclib, Buprenorphine may decrease the excretion rate of Trilaciclib which could result in a higher serum level.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Buprenorphine.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Buprenorphine.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Buprenorphine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Buprenorphine can be decreased when combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, The metabolism of Buprenorphine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Buprenorphine.]
[L01XX73, sotorasib, The serum concentration of Buprenorphine can be decreased when it is combined with Sotorasib.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Buprenorphine.]
[S03AA07, ciprofloxacin, The metabolism of Buprenorphine can be decreased when combined with Ciprofloxacin.]
[N06AB04, citalopram, Citalopram may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Buprenorphine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Buprenorphine.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Buprenorphine.]
[L01EB10, mobocertinib, The metabolism of Mobocertinib can be decreased when combined with Buprenorphine.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AG01, mefenamic acid, The metabolism of Buprenorphine can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Buprenorphine can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Buprenorphine.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Buprenorphine.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EA06, asciminib, The metabolism of Buprenorphine can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Buprenorphine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Buprenorphine.]
[J04BA01, clofazimine, The metabolism of Buprenorphine can be decreased when combined with Clofazimine.]
[B06AX04, mitapivat, The metabolism of Buprenorphine can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA04, clomipramine, Clomipramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Buprenorphine.]
[C01EB24, mavacamten, The serum concentration of Buprenorphine can be decreased when it is combined with Mavacamten.]
[C03BA03, clopamide, The therapeutic efficacy of Clopamide can be decreased when used in combination with Buprenorphine.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Buprenorphine.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H01CC04, linzagolix, The serum concentration of Buprenorphine can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AH02, clozapine, Clozapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H01AC08, somatrogon, The metabolism of Buprenorphine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, The risk or severity of adverse effects can be increased when Cocaine is combined with Buprenorphine.]
[C02KB01, metyrosine, Buprenorphine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Buprenorphine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, Codeine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Buprenorphine.]
[A03AB10, hexocyclium, The risk or severity of adverse effects can be increased when Hexocyclium is combined with Buprenorphine.]
[A03BB06, homatropine methylbromide, The risk or severity of adverse effects can be increased when Homatropine methylbromide is combined with Buprenorphine.]
[L04AA13, leflunomide, Buprenorphine may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BX03, nateglinide, The metabolism of Buprenorphine can be decreased when combined with Nateglinide.]
[J01FA15, telithromycin, The metabolism of Buprenorphine can be decreased when combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Buprenorphine.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AH03, valdecoxib, The metabolism of Buprenorphine can be decreased when combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Pegvisomant can be decreased when used in combination with Buprenorphine.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Buprenorphine.]
[J02AC02, itraconazole, The metabolism of Buprenorphine can be decreased when combined with Itraconazole.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EA01, imatinib, The serum concentration of Buprenorphine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The metabolism of Buprenorphine can be decreased when combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Buprenorphine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Buprenorphine.]
[N03AX09, lamotrigine, Lamotrigine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01BA03, cortisone, The metabolism of Buprenorphine can be increased when combined with Cortisone.]
[N07BC04, lofexidine, Lofexidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AX13, loratadine, The metabolism of Buprenorphine can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Buprenorphine.]
[C08CA11, manidipine, The metabolism of Buprenorphine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, The risk or severity of adverse effects can be increased when Mebeverine is combined with Buprenorphine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Buprenorphine.]
[H02AB15, meprednisone, The metabolism of Buprenorphine can be increased when combined with Meprednisone.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Buprenorphine.]
[N04AA03, methixene, The risk or severity of adverse effects can be increased when Metixene is combined with Buprenorphine.]
[R03CB02, methoxyphenamine, Methoxyphenamine may increase the analgesic activities of Buprenorphine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03DA04, eplerenone, The therapeutic efficacy of Eplerenone can be decreased when used in combination with Buprenorphine.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Cyclopenthiazide can be decreased when used in combination with Buprenorphine.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Buprenorphine.]
[N06AX07, minaprine, Minaprine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01XA18, cyclosporine, The metabolism of Buprenorphine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06BA07, modafinil, The metabolism of Buprenorphine can be increased when combined with Modafinil.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C10AA07, rosuvastatin, Buprenorphine may decrease the excretion rate of Rosuvastatin which could result in a higher serum level.]
[C03XA02, conivaptan, The metabolism of Buprenorphine can be decreased when combined with Conivaptan.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Buprenorphine.]
[M01AH05, etoricoxib, The metabolism of Buprenorphine can be decreased when combined with Etoricoxib.]
[L01DA01, dactinomycin, Buprenorphine may decrease the excretion rate of Dactinomycin which could result in a higher serum level.]
[G03XA01, danazol, The metabolism of Buprenorphine can be decreased when combined with Danazol.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J04BA02, dapsone, The metabolism of Buprenorphine can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, Buprenorphine may decrease the excretion rate of Daunorubicin which could result in a higher serum level.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Buprenorphine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AX01, nabumetone, The metabolism of Buprenorphine can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, The therapeutic efficacy of Buprenorphine can be decreased when used in combination with Nalmefene.]
[B05XA15, potassium lactate, The therapeutic efficacy of Potassium lactate can be decreased when used in combination with Buprenorphine.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AB12, nebivolol, The metabolism of Nebivolol can be decreased when combined with Buprenorphine.]
[N06AX06, nefazodone, Nefazodone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02BB02, nilutamide, The metabolism of Buprenorphine can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R05DA06, normethadone, Normethadone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AB10, escitalopram, Escitalopram may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04BD08, solifenacin, The risk or severity of adverse effects can be increased when Solifenacin is combined with Buprenorphine.]
[N06AA01, desipramine, Desipramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia can be increased when Buprenorphine is combined with Desmopressin.]
[L01XA03, oxaliplatin, Buprenorphine may decrease the excretion rate of Oxaliplatin which could result in a higher serum level.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S03BA01, dexamethasone, The metabolism of Buprenorphine can be increased when combined with Dexamethasone.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04AA08, dexetimide, The risk or severity of adverse effects can be increased when Dexetimide is combined with Buprenorphine.]
[G04BD04, oxybutynin, The risk or severity of adverse effects can be increased when Oxybutynin is combined with Buprenorphine.]
[A08AA04, dexfenfluramine, The risk or severity of serotonin syndrome can be increased when Buprenorphine is combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, The risk or severity of adverse effects can be increased when Oxyphencyclimine is combined with Buprenorphine.]
[L04AB04, adalimumab, The metabolism of Buprenorphine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, Buprenorphine may decrease the excretion rate of Gefitinib which could result in a higher serum level.]
[N06BA02, dextroamphetamine, Amphetamine may increase the analgesic activities of Buprenorphine.]
[R05DA09, dextromethorphan, Dextromethorphan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AC01, dextromoramide, Dextromoramide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AB05, paroxetine, Paroxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B01AC04, clopidogrel, Buprenorphine can cause a decrease in the absorption of Clopidogrel resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07BC06, heroin, Diamorphine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01EC02, dichlorphenamide, The therapeutic efficacy of Diclofenamide can be decreased when used in combination with Buprenorphine.]
[S01BC03, diclofenac, The metabolism of Buprenorphine can be decreased when combined with Diclofenac.]
[A03AA07, dicyclomine, The risk or severity of adverse effects can be increased when Dicyclomine is combined with Buprenorphine.]
[A10BG03, pioglitazone, The metabolism of Buprenorphine can be decreased when combined with Pioglitazone.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AB14, pipenzolate, The risk or severity of adverse effects can be increased when Pipenzolate is combined with Buprenorphine.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be decreased when combined with Buprenorphine.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Buprenorphine.]
[C03CA03, piretanide, The therapeutic efficacy of Piretanide can be decreased when used in combination with Buprenorphine.]
[A08AA03, diethylpropion, Diethylpropion may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AA01, diethylstilbestrol, The metabolism of Buprenorphine can be decreased when combined with Diethylstilbestrol.]
[C08CA03, isradipine, The metabolism of Buprenorphine can be decreased when combined with Isradipine.]
[D07XC04, diflucortolone, The metabolism of Buprenorphine can be increased when combined with Difluocortolone.]
