[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dopamine is combined with Antipyrine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dopamine is combined with Dutasteride.]
[R02AA03, dichlorobenzyl alcohol, Dopamine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Dopamine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[N02CC06, eletriptan, The risk or severity of hypertension can be increased when Eletriptan is combined with Dopamine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Dopamine.]
[C08CA16, clevidipine, Dopamine may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[C01BD07, dronedarone, The serum concentration of Dopamine can be increased when it is combined with Dronedarone.]
[C02AA06, methoserpidine, Dopamine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The serum concentration of Dopamine can be increased when it is combined with Tucatinib.]
[A03AA08, dihexyverine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Dihexyverine.]
[N04BX04, opicapone, The metabolism of Dopamine can be decreased when combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Dopamine is combined with Dopexamine.]
[G04BD09, trospium, The risk or severity of Tachycardia can be increased when Trospium is combined with Dopamine.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Dopamine is combined with Droxicam.]
[V08CA05, mangafodipir, Dopamine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Dopamine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Dopamine is combined with Dexketoprofen.]
[C08CA17, levamlodipine, Dopamine may decrease the antihypertensive activities of Levamlodipine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The serum concentration of Dopamine can be increased when it is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of hypertension can be increased when Chlorpromazine is combined with Dopamine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AF03, chlorprothixene, The risk or severity of Tachycardia can be increased when Dopamine is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Dopamine is combined with Ethenzamide.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Dopamine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Dopamine.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Dopamine is combined with Etofenamate.]
[M01AX25, chondroitin sulfates, Dopamine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Dopamine is combined with Naxitamab.]
[V03AF12, trilaciclib, The serum concentration of Dopamine can be increased when it is combined with Trilaciclib.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Dopamine is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Fenethylline.]
[C01CA19, fenoldopam, Dopamine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Dopamine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Dopamine is combined with Finasteride.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N02BG07, flupirtine, Dopamine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Formoterol is combined with Dopamine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the arrhythmogenic activities of Dopamine.]
[H04AA02, dasiglucagon, Dopamine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of adverse effects can be increased when Dopamine is combined with Follitropin.]
[A02BA01, cimetidine, The serum concentration of Dopamine can be increased when it is combined with Cimetidine.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Dopamine.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The serum concentration of Dopamine can be increased when it is combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Dopamine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Dopamine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Dopamine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Dopamine is combined with Clenbuterol.]
[N01BB10, levobupivacaine, Dopamine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[L01EJ03, pacritinib, The serum concentration of Dopamine can be increased when it is combined with Pacritinib.]
[N06AA04, clomipramine, The risk or severity of hypertension can be increased when Dopamine is combined with Clomipramine.]
[N03AE01, clonazepam, Dopamine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, Dopamine may decrease the antihypertensive activities of Clonidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AH02, clozapine, The risk or severity of hypertension can be increased when Clozapine is combined with Dopamine.]
[J01GB12, arbekacin, Dopamine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The risk or severity of Tachycardia can be increased when Cocaine is combined with Dopamine.]
[C02KB01, metyrosine, Dopamine may decrease the antihypertensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Dopamine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Codeine is combined with Dopamine.]
[M04AC01, colchicine, Dopamine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Dopamine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Homatropine methylbromide is combined with Dopamine.]
[J01XB01, colistin, Dopamine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N01AB07, desflurane, Desflurane may increase the arrhythmogenic activities of Dopamine.]
[A04AA03, tropisetron, Dopamine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Dopamine is combined with Ifenprodil.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Dopamine is combined with Imidazole salicylate.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Dopamine is combined with Indobufen.]
[J05AB14, valganciclovir, Dopamine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Dopamine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Dopamine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Dopamine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Dopamine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Dopamine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Dopamine.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Dopamine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Almotriptan is combined with Dopamine.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Dopamine is combined with Parecoxib.]
[S01AD03, acyclovir, The risk or severity of adverse effects can be increased when Acyclovir is combined with Dopamine.]
[N05BA10, ketazolam, Dopamine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Dopamine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Dopamine can be increased when it is combined with Imatinib.]
[C08CA09, lacidipine, Dopamine may decrease the antihypertensive activities of Lacidipine.]
[N03AX09, lamotrigine, The serum concentration of Dopamine can be increased when it is combined with Lamotrigine.]
[N07BC04, lofexidine, Dopamine may decrease the antihypertensive activities of Lofexidine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Dopamine is combined with Lonazolac.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Dopamine is combined with Loxoprofen.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C09AA03, lisinopril, Dopamine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Dopamine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Dopamine may decrease the antihypertensive activities of Manidipine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Mebeverine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Dopamine is combined with Mefenorex.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Adenosine is combined with Dopamine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Dopamine.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Dopamine is combined with Methoxyphenamine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Dopamine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AX07, minaprine, The metabolism of Dopamine can be decreased when combined with Minaprine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Dopamine.]
[N06AG02, moclobemide, The metabolism of Dopamine can be decreased when combined with Moclobemide.]
[R06AX02, cyproheptadine, The risk or severity of Tachycardia can be increased when Cyproheptadine is combined with Dopamine.]
[C09AA13, moexipril, Dopamine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Dopamine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Dopamine is combined with Morniflumate.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, Dopamine may decrease the antihypertensive activities of Moxonidine.]
[M01AH05, etoricoxib, The risk or severity of hypertension can be increased when Dopamine is combined with Etoricoxib.]
[L01AX04, dacarbazine, Dacarbazine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C02CC04, debrisoquin, Dopamine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Dopamine.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Dopamine.]
[N07BB05, nalmefene, Dopamine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[C07AB12, nebivolol, Dopamine may decrease the antihypertensive activities of Nebivolol.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06AX06, nefazodone, The risk or severity of hypertension can be increased when Dopamine is combined with Nefazodone.]
[C01DX16, nicorandil, Dopamine may decrease the antihypertensive activities of Nicorandil.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01CA23, theodrenaline, The therapeutic efficacy of Dopamine can be increased when used in combination with Theodrenaline.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Dopamine is combined with Norfenefrine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[G04BD08, solifenacin, The risk or severity of hypertension can be increased when Dopamine is combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Dopamine is combined with Olsalazine.]
[N06AA01, desipramine, The serum concentration of Dopamine can be increased when it is combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Dopamine.]
[V04CH02, indigo carmine, Dopamine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C09XA02, aliskiren, Dopamine may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Dopamine.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Dopamine is combined with Oxaprozin.]
[N04AA08, dexetimide, The risk or severity of Tachycardia can be increased when Dopamine is combined with Dexetimide.]
[G04BD04, oxybutynin, The risk or severity of Tachycardia can be increased when Dopamine is combined with Oxybutynin.]
[A03AA01, oxyphencyclimine, The risk or severity of Tachycardia can be increased when Oxyphencyclimine is combined with Dopamine.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Dopamine.]
[H05AA02, teriparatide, The risk or severity of adverse effects can be increased when Dopamine is combined with Teriparatide.]
[N06AB05, paroxetine, The risk or severity of Tachycardia can be increased when Paroxetine is combined with Dopamine.]
[B01AC04, clopidogrel, The serum concentration of Dopamine can be increased when it is combined with Clopidogrel.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Pentifylline.]
[P03AC04, permethrin, Dopamine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[V03AH01, diazoxide, Dopamine may decrease the antihypertensive activities of Diazoxide.]
[N06AA08, dibenzepin, The risk or severity of hypertension can be increased when Dopamine is combined with Dibenzepin.]
[R05DA08, pholcodine, Dopamine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The risk or severity of hypertension can be increased when Diclofenac is combined with Dopamine.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C02DG01, pinacidil, Dopamine may decrease the antihypertensive activities of Pinacidil.]
[A03AB14, pipenzolate, The risk or severity of Tachycardia can be increased when Dopamine is combined with Pipenzolate.]
[R03CC07, pirbuterol, The risk or severity of hypertension can be increased when Dopamine is combined with Pirbuterol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA03, diethylpropion, The risk or severity of hypertension can be increased when Diethylpropion is combined with Dopamine.]
[C08CA03, isradipine, Dopamine may decrease the antihypertensive activities of Isradipine.]
[D07XC04, diflucortolone, Dopamine may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[A03AB11, poldine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Poldine.]
[N02BA11, diflunisal, The risk or severity of hypertension can be increased when Diflunisal is combined with Dopamine.]
[C01AA05, digoxin, Dopamine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, Dopamine may decrease the antihypertensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, The risk or severity of hypertension can be increased when Dopamine is combined with Dihydroergocristine.]
[N02CA01, dihydroergotamine, The risk or severity of hypertension can be increased when Dihydroergotamine is combined with Dopamine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L04AX04, lenalidomide, Lenalidomide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[B01AC21, treprostinil, Dopamine may decrease the antihypertensive activities of Treprostinil.]
[H03BC01, potassium perchlorate, The risk or severity of adverse effects can be increased when Dopamine is combined with Potassium perchlorate.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C08DB01, diltiazem, Dopamine may decrease the antihypertensive activities of Diltiazem.]
[V03AB09, dimercaprol, Dopamine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[R06AB03, dimethindene, The risk or severity of Tachycardia can be increased when Dopamine is combined with Dimetindene.]
[R03CC08, procaterol, The risk or severity of hypertension can be increased when Dopamine is combined with Procaterol.]
[M02AX03, dimethyl sulfoxide, Dopamine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Propentofylline.]
[N02BB04, propyphenazone, The risk or severity of hypertension can be increased when Dopamine is combined with Propyphenazone.]
[M01AB14, proglumetacin, The risk or severity of hypertension can be increased when Dopamine is combined with Proglumetacin.]
[G02AD02, dinoprostone, The serum concentration of Dopamine can be increased when it is combined with Dinoprostone.]
[R03DA03, proxyphylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Proxyphylline.]
[R06AA02, diphenhydramine, The serum concentration of Dopamine can be increased when it is combined with Diphenhydramine.]
[C09AA06, quinapril, Dopamine may decrease the antihypertensive activities of Quinapril.]
[N06BA11, dexmethylphenidate, The risk or severity of hypertension can be increased when Dopamine is combined with Dexmethylphenidate.]
[N06AA23, quinupramine, The risk or severity of hypertension can be increased when Dopamine is combined with Quinupramine.]
[C09AA05, ramipril, Dopamine may decrease the antihypertensive activities of Ramipril.]
[R03CC14, reproterol, The risk or severity of hypertension can be increased when Dopamine is combined with Reproterol.]
[S01AX06, resorcinol, Dopamine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The serum concentration of Dopamine can be increased when it is combined with Disopyramide.]
[N05AX08, risperidone, The risk or severity of hypertension can be increased when Risperidone is combined with Dopamine.]
[R06AE09, levocetirizine, Dopamine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[N01BB09, ropivacaine, Ropivacaine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE08, tadalafil, Dopamine may decrease the antihypertensive activities of Tadalafil.]
[S01BC05, ketorolac, The risk or severity of hypertension can be increased when Ketorolac is combined with Dopamine.]
[C02KX02, ambrisentan, Dopamine may decrease the antihypertensive activities of Ambrisentan.]
[C01EB18, ranolazine, The serum concentration of Dopamine can be increased when it is combined with Ranolazine.]
[N02BA06, salsalate, The risk or severity of hypertension can be increased when Dopamine is combined with Salsalate.]
[R03AC12, salmeterol, The serum concentration of Dopamine can be increased when it is combined with Salmeterol.]
[H05BA01, salmon calcitonin, The risk or severity of adverse effects can be increased when Dopamine is combined with Salmon calcitonin.]
[C01CA07, dobutamine, The risk or severity of hypertension can be increased when Dobutamine is combined with Dopamine.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of hypertension can be increased when Mefenamic acid is combined with Dopamine.]
[C01DA05, pentaerythritol tetranitrate, Dopamine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[N06AA16, dothiepin, The risk or severity of hypertension can be increased when Dopamine is combined with Dosulepin.]
[R07AB01, doxapram, The risk or severity of hypertension can be increased when Doxapram is combined with Dopamine.]
[N06AA12, doxepin, The risk or severity of hypertension can be increased when Dopamine is combined with Doxepin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[R06AA09, doxylamine, The risk or severity of Tachycardia can be increased when Doxylamine is combined with Dopamine.]
[N01AB08, sevoflurane, Sevoflurane may increase the arrhythmogenic activities of Dopamine.]
[N05AD08, droperidol, The risk or severity of hypertension can be increased when Droperidol is combined with Dopamine.]
[A08AA10, sibutramine, Dopamine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Dopamine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, Dopamine may decrease the antihypertensive activities of Spirapril.]
[R03DA01, dyphylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Dyphylline.]
[N02CC01, sumatriptan, The risk or severity of hypertension can be increased when Sumatriptan is combined with Dopamine.]
[V04CX07, edrophonium, Dopamine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[C07AB13, talinolol, Dopamine may decrease the antihypertensive activities of Talinolol.]
[L01AX03, temozolomide, Temozolomide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M01AC02, tenoxicam, The risk or severity of hypertension can be increased when Tenoxicam is combined with Dopamine.]
[G04CA03, terazosin, Dopamine may decrease the antihypertensive activities of Terazosin.]
[S01GA02, tetrahydrozoline, The risk or severity of hypertension can be increased when Dopamine is combined with Tetryzoline.]
[G04BD01, emepronium, The risk or severity of Tachycardia can be increased when Dopamine is combined with Emepronium.]
[N06AX14, tianeptine, The risk or severity of hypertension can be increased when Dopamine is combined with Tianeptine.]
[C09AA02, enalapril, Dopamine may decrease the antihypertensive activities of Enalapril.]
[M01AG02, tolfenamic acid, The risk or severity of hypertension can be increased when Dopamine is combined with Tolfenamic acid.]
[N06AG03, toloxatone, The metabolism of Dopamine can be decreased when combined with Toloxatone.]
[N06BA09, atomoxetine, The risk or severity of hypertension can be increased when Atomoxetine is combined with Dopamine.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R01AA09, tramazoline, The risk or severity of hypertension can be increased when Dopamine is combined with Tramazoline.]
[C09AA10, trandolapril, Dopamine may decrease the antihypertensive activities of Trandolapril.]
[A03AB08, tridihexethyl, The risk or severity of Tachycardia can be increased when Tridihexethyl is combined with Dopamine.]
[G03GA05, follitropin alfa, The risk or severity of adverse effects can be increased when Dopamine is combined with Follitropin.]
[N04AA12, tropatepine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Tropatepine.]
[R03CC11, tulobuterol, The risk or severity of hypertension can be increased when Dopamine is combined with Tulobuterol.]
[N01AB04, enflurane, Enflurane may increase the arrhythmogenic activities of Dopamine.]
[C02CA06, urapidil, Dopamine may decrease the antihypertensive activities of Urapidil.]
[S01FB02, ephedrine, The therapeutic efficacy of Dopamine can be increased when used in combination with Ephedrine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01CX07, xamoterol, The risk or severity of hypertension can be increased when Dopamine is combined with Xamoterol.]
[S01GA03, xylometazoline, The risk or severity of hypertension can be increased when Dopamine is combined with Xylometazoline.]
[S01EA01, epinephrine, The therapeutic efficacy of Dopamine can be increased when used in combination with Epinephrine.]
[C09AA15, zofenopril, Dopamine may decrease the antihypertensive activities of Zofenopril.]
[M01AB04, zomepirac, The risk or severity of hypertension can be increased when Dopamine is combined with Zomepirac.]
[N03AX15, zonisamide, The metabolism of Dopamine can be decreased when combined with Zonisamide.]
[L01XA02, carboplatin, Carboplatin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C02AC02, guanfacine, The risk or severity of adverse effects can be increased when Guanfacine is combined with Dopamine.]
[G02AB03, ergonovine, The risk or severity of hypertension can be increased when Dopamine is combined with Ergometrine.]
[C04AE01, ergoloid mesylates, USP, The risk or severity of hypertension can be increased when Dopamine is combined with Ergoloid mesylate.]
[N02CA02, ergotamine, The risk or severity of hypertension can be increased when Ergotamine is combined with Dopamine.]
[L03AX05, pidotimod, Dopamine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Dopamine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[G03CA03, estradiol, The serum concentration of Dopamine can be increased when it is combined with Estradiol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J04AK02, ethambutol, Ethambutol may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[V08CA03, gadodiamide, Gadodiamide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C01CA15, gepefrine, The risk or severity of hypertension can be increased when Dopamine is combined with Gepefrine.]
[C01BD05, ibutilide, Ibutilide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N04AA05, profenamine, The risk or severity of Tachycardia can be increased when Profenamine is combined with Dopamine.]
[M01AC06, meloxicam, The risk or severity of hypertension can be increased when Meloxicam is combined with Dopamine.]
[C01CA01, etilefrine, The risk or severity of hypertension can be increased when Dopamine is combined with Etilefrine.]
[N01AX07, etomidate, The risk or severity of hypertension can be increased when Etomidate is combined with Dopamine.]
[L04AD02, tacrolimus, Tacrolimus may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[P01AX07, trimetrexate, Dopamine may decrease the excretion rate of Trimetrexate which could result in a higher serum level.]
[N06AX12, bupropion, The excretion of Dopamine can be decreased when combined with Bupropion.]
[N06AB08, fluvoxamine, Fluvoxamine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L02AE02, leuprolide, Leuprolide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M01CB01, gold sodium thiomalate, Dopamine may decrease the excretion rate of Sodium aurothiomalate which could result in a higher serum level.]
[B05AA05, dextran, Dopamine may decrease the excretion rate of Dextran which could result in a higher serum level.]
[V03AF02, dexrazoxane, Dexrazoxane may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A02BA03, famotidine, The serum concentration of Dopamine can be increased when it is combined with Famotidine.]
[A16AA01, levocarnitine, Levocarnitine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C08CA02, felodipine, Dopamine may decrease the antihypertensive activities of Felodipine.]
[M01AE04, fenoprofen, The risk or severity of hypertension can be increased when Fenoprofen is combined with Dopamine.]
[R03CC04, fenoterol, The risk or severity of hypertension can be increased when Dopamine is combined with Fenoterol.]
[N02AB03, fentanyl, The risk or severity of hypertension can be increased when Fentanyl is combined with Dopamine.]
[R03CC02, albuterol, The risk or severity of hypertension can be increased when Dopamine is combined with Salbutamol.]
[L01BB06, clofarabine, The serum concentration of Clofarabine can be increased when it is combined with Dopamine.]
[N07AX03, cevimeline, Cevimeline may decrease the excretion rate of Dopamine which could result in a higher serum level.]
