[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Procaine.]
[N06AA19, amineptin, Procaine may increase the serotonergic activities of Amineptine.]
[C08CA01, amlodipine, Procaine may increase the hypotensive activities of Amlodipine.]
[L01FF05, atezolizumab, The risk or severity of methemoglobinemia can be increased when Atezolizumab is combined with Procaine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Procaine is combined with Aniracetam.]
[C03CA02, bumetanide, Procaine may increase the orthostatic hypotensive activities of Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Bupivacaine is combined with Procaine.]
[C07AA19, bupranolol, Procaine may increase the bradycardic activities of Bupranolol.]
[N07BC01, buprenorphine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of methemoglobinemia can be increased when Buserelin is combined with Procaine.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Procaine is combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Procaine.]
[L01XX27, arsenic trioxide, The risk or severity of methemoglobinemia can be increased when Arsenic trioxide is combined with Procaine.]
[N06DA03, rivastigmine, Rivastigmine may increase the neuromuscular blocking activities of Procaine.]
[P01BE02, artemether, The risk or severity of methemoglobinemia can be increased when Artemether is combined with Procaine.]
[P01BE03, artesunate, The risk or severity of methemoglobinemia can be increased when Artesunate is combined with Procaine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Procaine.]
[J01MA09, sparfloxacin, The risk or severity of methemoglobinemia can be increased when Sparfloxacin is combined with Procaine.]
[L01FX10, olaratumab, The risk or severity of methemoglobinemia can be increased when Olaratumab is combined with Procaine.]
[S01GX07, azelastine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[J01CE04, azidocillin, The risk or severity of methemoglobinemia can be increased when Azidocillin is combined with Procaine.]
[L01XK03, rucaparib, The risk or severity of methemoglobinemia can be increased when Rucaparib is combined with Procaine.]
[S01AA26, azithromycin, The risk or severity of methemoglobinemia can be increased when Azithromycin is combined with Procaine.]
[J01CA06, bacampicillin, The risk or severity of methemoglobinemia can be increased when Bacampicillin is combined with Procaine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Procaine.]
[L01EF02, ribociclib, The risk or severity of methemoglobinemia can be increased when Ribociclib is combined with Procaine.]
[R03CC12, bambuterol, Procaine may increase the neuromuscular blocking activities of Bambuterol.]
[L01FF04, avelumab, The risk or severity of methemoglobinemia can be increased when Avelumab is combined with Procaine.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Procaine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Procaine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of methemoglobinemia can be increased when Beclamide is combined with Procaine.]
[C09AA07, benazepril, Procaine may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, Procaine may increase the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Oxybuprocaine.]
[R05DB01, benzonatate, Procaine may increase the neuromuscular blocking activities of Benzonatate.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Linezolid.]
[L01XK02, niraparib, The risk or severity of methemoglobinemia can be increased when Niraparib is combined with Procaine.]
[L01EX10, midostaurin, The risk or severity of methemoglobinemia can be increased when Midostaurin is combined with Procaine.]
[L01FF03, durvalumab, The risk or severity of methemoglobinemia can be increased when Durvalumab is combined with Procaine.]
[L01ED04, brigatinib, The risk or severity of methemoglobinemia can be increased when Brigatinib is combined with Procaine.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Procaine is combined with Safinamide.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Procaine is combined with Bethanechol.]
[P01AX10, fumagillin, The risk or severity of methemoglobinemia can be increased when Fumagillin is combined with Procaine.]
[J01MA23, delafloxacin, The risk or severity of methemoglobinemia can be increased when Delafloxacin is combined with Procaine.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Betrixaban.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Procaine is combined with Acetylcholine.]
[L01BC06, capecitabine, The risk or severity of methemoglobinemia can be increased when Capecitabine is combined with Procaine.]
[L01XX59, enasidenib, The risk or severity of methemoglobinemia can be increased when Enasidenib is combined with Procaine.]
[L01EH02, neratinib, The risk or severity of methemoglobinemia can be increased when Neratinib is combined with Procaine.]
[L01FB01, inotuzumab ozogamicin, The risk or severity of methemoglobinemia can be increased when Inotuzumab ozogamicin is combined with Procaine.]
[L01XH01, vorinostat, The risk or severity of methemoglobinemia can be increased when Vorinostat is combined with Procaine.]
[L01EM02, copanlisib, The risk or severity of methemoglobinemia can be increased when Copanlisib is combined with Procaine.]
[L01EF03, abemaciclib, The risk or severity of methemoglobinemia can be increased when Abemaciclib is combined with Procaine.]
[C07AB07, bisoprolol, Procaine may increase the bradycardic activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of adverse effects can be increased when Procaine is combined with Bitolterol.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Procaine.]
[J01DC10, cefprozil, The risk or severity of methemoglobinemia can be increased when Cefprozil is combined with Procaine.]
[C07AA17, bopindolol, Procaine may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[L01BA03, raltitrexed, The risk or severity of methemoglobinemia can be increased when Raltitrexed is combined with Procaine.]
[C01DX19, nesiritide, Procaine may increase the orthostatic hypotensive activities of Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Procaine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Procaine is combined with Brotizolam.]
[R03BA02, budesonide, The therapeutic efficacy of Procaine can be decreased when used in combination with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Buflomedil.]
[L01XL04, tisagenlecleucel, The risk or severity of methemoglobinemia can be increased when Tisagenlecleucel is combined with Procaine.]
[L01XL03, axicabtagene ciloleucel, The risk or severity of methemoglobinemia can be increased when Axicabtagene ciloleucel is combined with Procaine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Procaine is combined with Butobarbital.]
[N06AA15, butriptyline, Procaine may increase the serotonergic activities of Butriptyline.]
[A10BJ06, semaglutide, Procaine may increase the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Capsaicin.]
[A10BK04, ertugliflozin, Procaine may increase the hypoglycemic activities of Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Procaine is combined with Vinylbital.]
[C09AA01, captopril, Procaine may increase the hypotensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Procaine is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The risk or severity of methemoglobinemia can be increased when Apalutamide is combined with Procaine.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Procaine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Procaine.]
[A03AA03, camylofine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[J01CA03, carbenicillin, The risk or severity of methemoglobinemia can be increased when Carbenicillin is combined with Procaine.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Procaine is combined with Carbinoxamine.]
[C07AG02, carvedilol, Procaine may increase the bradycardic activities of Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Procaine.]
[J01DE01, cefepime, The risk or severity of methemoglobinemia can be increased when Cefepime is combined with Procaine.]
[J01DD10, cefetamet, The risk or severity of methemoglobinemia can be increased when Cefetamet is combined with Procaine.]
[J01DD09, cefodizime, The risk or severity of methemoglobinemia can be increased when Cefodizime is combined with Procaine.]
[J01DC11, ceforanide, The risk or severity of methemoglobinemia can be increased when Ceforanide is combined with Procaine.]
[J01DD13, cefpodoxime, The risk or severity of methemoglobinemia can be increased when Cefpodoxime is combined with Procaine.]
[L01EC03, encorafenib, The risk or severity of methemoglobinemia can be increased when Encorafenib is combined with Procaine.]
[L01EE03, binimetinib, The risk or severity of methemoglobinemia can be increased when Binimetinib is combined with Procaine.]
[J01DD14, ceftibuten, The risk or severity of methemoglobinemia can be increased when Ceftibuten is combined with Procaine.]
[J01GB14, plazomicin, The risk or severity of methemoglobinemia can be increased when Plazomicin is combined with Procaine.]
[C07AB08, celiprolol, Procaine may increase the bradycardic activities of Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of methemoglobinemia can be increased when Ivosidenib is combined with Procaine.]
[P01BA07, tafenoquine, The risk or severity of methemoglobinemia can be increased when Tafenoquine is combined with Procaine.]
[L01FX09, mogamulizumab, The risk or severity of methemoglobinemia can be increased when Mogamulizumab is combined with Procaine.]
[N03AX17, stiripentol, The risk or severity of methemoglobinemia can be increased when Stiripentol is combined with Procaine.]
[J01AA13, eravacycline, The risk or severity of methemoglobinemia can be increased when Eravacycline is combined with Procaine.]
[L01EM04, duvelisib, The risk or severity of methemoglobinemia can be increased when Duvelisib is combined with Procaine.]
[L01FF06, cemiplimab, The risk or severity of methemoglobinemia can be increased when Cemiplimab is combined with Procaine.]
[L01EB07, dacomitinib, The risk or severity of methemoglobinemia can be increased when Dacomitinib is combined with Procaine.]
[J01AA14, sarecycline, The risk or severity of methemoglobinemia can be increased when Sarecycline is combined with Procaine.]
[J01AA15, omadacycline, The risk or severity of methemoglobinemia can be increased when Omadacycline is combined with Procaine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Procaine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Procaine is combined with Carbromal.]
[A10BB06, carbutamide, Procaine may increase the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Procaine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[L01FB02, moxetumomab pasudotox, The risk or severity of methemoglobinemia can be increased when Moxetumomab pasudotox is combined with Procaine.]
[L01XK04, talazoparib, The risk or severity of methemoglobinemia can be increased when Talazoparib is combined with Procaine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Procaine.]
[R03BB08, revefenacin, Procaine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L01ED05, lorlatinib, The risk or severity of methemoglobinemia can be increased when Lorlatinib is combined with Procaine.]
[L01AD01, carmustine, The risk or severity of methemoglobinemia can be increased when Carmustine is combined with Procaine.]
[L01EX12, larotrectinib, The risk or severity of methemoglobinemia can be increased when Larotrectinib is combined with Procaine.]
[L01EX13, gilteritinib, The risk or severity of methemoglobinemia can be increased when Gilteritinib is combined with Procaine.]
[L01XJ03, glasdegib, The risk or severity of methemoglobinemia can be increased when Glasdegib is combined with Procaine.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Procaine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Procaine.]
[L01XX67, tagraxofusp, The risk or severity of methemoglobinemia can be increased when Tagraxofusp is combined with Procaine.]
[C09AA08, cilazapril, Procaine may increase the hypotensive activities of Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Cilostazol.]
[A03FA08, cinitapride, The metabolism of Cinitapride can be decreased when combined with Procaine.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Procaine is combined with Esketamine.]
[J01FA09, clarithromycin, The risk or severity of methemoglobinemia can be increased when Clarithromycin is combined with Procaine.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Procaine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of methemoglobinemia can be increased when Brexanolone is combined with Procaine.]
[L01EN01, erdafitinib, The risk or severity of methemoglobinemia can be increased when Erdafitinib is combined with Procaine.]
[N05BA09, clobazam, The risk or severity of methemoglobinemia can be increased when Clobazam is combined with Procaine.]
[J01AA11, clomocycline, The risk or severity of methemoglobinemia can be increased when Clomocycline is combined with Procaine.]
[H02AB14, cloprednol, The therapeutic efficacy of Procaine can be decreased when used in combination with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Procaine.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Procaine is combined with Cloxazolam.]
[C09CA06, candesartan, Procaine may increase the hypotensive activities of Candesartan.]
[L01XX29, denileukin diftitox, The risk or severity of methemoglobinemia can be increased when Denileukin diftitox is combined with Procaine.]
[H02AB17, cortivazol, The therapeutic efficacy of Procaine can be decreased when used in combination with Cortivazol.]
[L01EM03, alpelisib, The risk or severity of methemoglobinemia can be increased when Alpelisib is combined with Procaine.]
[L01FX14, polatuzumab vedotin, The risk or severity of methemoglobinemia can be increased when Polatuzumab vedotin is combined with Procaine.]
[J01DC04, cefaclor, The risk or severity of methemoglobinemia can be increased when Cefaclor is combined with Procaine.]
[J01DB05, cefadroxil, The risk or severity of methemoglobinemia can be increased when Cefadroxil is combined with Procaine.]
[J01DC03, cefamandole, The risk or severity of methemoglobinemia can be increased when Cefamandole is combined with Procaine.]
[L01XX66, selinexor, The risk or severity of methemoglobinemia can be increased when Selinexor is combined with Procaine.]
[J01DB07, cefatrizine, The risk or severity of methemoglobinemia can be increased when Cefatrizine is combined with Procaine.]
[J01DB04, cefazolin, The risk or severity of methemoglobinemia can be increased when Cefazolin is combined with Procaine.]
[L02BB06, darolutamide, The risk or severity of methemoglobinemia can be increased when Darolutamide is combined with Procaine.]
[J01CF03, methicillin, The risk or severity of methemoglobinemia can be increased when Meticillin is combined with Procaine.]
[J01DC09, cefmetazole, The risk or severity of methemoglobinemia can be increased when Cefmetazole is combined with Procaine.]
[J01DC06, cefonicid, The risk or severity of methemoglobinemia can be increased when Cefonicid is combined with Procaine.]
[L01EX15, pexidartinib, The risk or severity of methemoglobinemia can be increased when Pexidartinib is combined with Procaine.]
[J01DD12, cefoperazone, The risk or severity of methemoglobinemia can be increased when Cefoperazone is combined with Procaine.]
[J01DD01, cefotaxime, The risk or severity of methemoglobinemia can be increased when Cefotaxime is combined with Procaine.]
[J01DC05, cefotetan, The risk or severity of methemoglobinemia can be increased when Cefotetan is combined with Procaine.]
[N05AA06, cyamemazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Cyamemazine.]
[J01DC07, cefotiam, The risk or severity of methemoglobinemia can be increased when Cefotiam is combined with Procaine.]
[J01DC01, cefoxitin, The risk or severity of methemoglobinemia can be increased when Cefoxitin is combined with Procaine.]
[J01DD03, cefsulodin, The risk or severity of methemoglobinemia can be increased when Cefsulodin is combined with Procaine.]
[J01DD02, ceftazidime, The risk or severity of methemoglobinemia can be increased when Ceftazidime is combined with Procaine.]
[C03BX03, cicletanine, Procaine may increase the hypotensive activities of Cicletanine.]
[J01DD07, ceftizoxime, The risk or severity of methemoglobinemia can be increased when Ceftizoxime is combined with Procaine.]
[J01DD04, ceftriaxone, The risk or severity of methemoglobinemia can be increased when Ceftriaxone is combined with Procaine.]
[S01AA27, cefuroxime, The risk or severity of methemoglobinemia can be increased when Cefuroxime is combined with Procaine.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the serotonergic activities of Procaine.]
[L01EJ02, fedratinib, The risk or severity of methemoglobinemia can be increased when Fedratinib is combined with Procaine.]
[L01EX14, entrectinib, The risk or severity of methemoglobinemia can be increased when Entrectinib is combined with Procaine.]
[J01XX12, lefamulin, The risk or severity of methemoglobinemia can be increased when Lefamulin is combined with Procaine.]
[C03AA09, cyclothiazide, Procaine may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Procaine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Procaine.]
[J01XX09, daptomycin, The risk or severity of methemoglobinemia can be increased when Daptomycin is combined with Procaine.]
[J01DB01, cephalexin, The risk or severity of methemoglobinemia can be increased when Cephalexin is combined with Procaine.]
[J01DB02, cephaloridine, The risk or severity of methemoglobinemia can be increased when Cefaloridine is combined with Procaine.]
[J01DB03, cephalothin, The risk or severity of methemoglobinemia can be increased when Cefalotin is combined with Procaine.]
[J01DB08, cephapirin, The risk or severity of methemoglobinemia can be increased when Cefapirin is combined with Procaine.]
[J01DB09, cephradine, The risk or severity of methemoglobinemia can be increased when Cefradine is combined with Procaine.]
[H02AB13, deflazacort, The therapeutic efficacy of Procaine can be decreased when used in combination with Deflazacort.]
[L01FD01, trastuzumab, The risk or severity of methemoglobinemia can be increased when Trastuzumab is combined with Procaine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of methemoglobinemia can be increased when Trastuzumab emtansine is combined with Procaine.]
[L01FD04, trastuzumab deruxtecan, The risk or severity of methemoglobinemia can be increased when Trastuzumab deruxtecan is combined with Procaine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Procaine.]
[L01EL03, zanubrutinib, The risk or severity of methemoglobinemia can be increased when Zanubrutinib is combined with Procaine.]
[N03AX25, cenobamate, The risk or severity of methemoglobinemia can be increased when Cenobamate is combined with Procaine.]
[L01FX13, enfortumab vedotin, The risk or severity of methemoglobinemia can be increased when Enfortumab vedotin is combined with Procaine.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Procaine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Procaine.]
[L01XX10, masoprocol, The risk or severity of methemoglobinemia can be increased when Masoprocol is combined with Procaine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Procaine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Procaine is combined with Lumateperone.]
[L01FC02, isatuximab, The risk or severity of methemoglobinemia can be increased when Isatuximab is combined with Procaine.]
[S01AE06, gatifloxacin, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Procaine.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Procaine is combined with Frovatriptan.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Procaine is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The risk or severity of methemoglobinemia can be increased when Selumetinib is combined with Procaine.]
[G03DB08, dienogest, The risk or severity of methemoglobinemia can be increased when Dienogest is combined with Procaine.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Procaine is combined with Difenoxin.]
[L01XD01, porfimer sodium, The risk or severity of methemoglobinemia can be increased when Porfimer sodium is combined with Procaine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Dihydrocodeine is combined with Procaine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Procaine.]
[L01XF03, bexarotene, The risk or severity of methemoglobinemia can be increased when Bexarotene is combined with Procaine.]
[C08CA16, clevidipine, Procaine may increase the neuromuscular blocking activities of Clevidipine.]
[N03AG02, dipropylacetamide, The risk or severity of methemoglobinemia can be increased when Valpromide is combined with Procaine.]
[J01FA13, dirithromycin, The risk or severity of methemoglobinemia can be increased when Dirithromycin is combined with Procaine.]
[L01AA02, chlorambucil, The risk or severity of methemoglobinemia can be increased when Chlorambucil is combined with Procaine.]
[S03AA08, chloramphenicol, The risk or severity of methemoglobinemia can be increased when Chloramphenicol is combined with Procaine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Procaine.]
[C02AA06, methoserpidine, Procaine may increase the hypotensive activities of Methoserpidine.]
[L01EN02, pemigatinib, The risk or severity of methemoglobinemia can be increased when Pemigatinib is combined with Procaine.]
[L01FX17, sacituzumab govitecan, The risk or severity of methemoglobinemia can be increased when Sacituzumab govitecan is combined with Procaine.]
[L01EH03, tucatinib, The risk or severity of methemoglobinemia can be increased when Tucatinib is combined with Procaine.]
[A03AA08, dihexyverine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The risk or severity of methemoglobinemia can be increased when Capmatinib is combined with Procaine.]
[N04BX04, opicapone, Procaine may increase the orthostatic hypotensive activities of Opicapone.]
[D07XB03, fluprednidene, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluprednidene.]
[P01BE01, artemisinin, The risk or severity of methemoglobinemia can be increased when Artemisinin is combined with Procaine.]
[G04BD09, trospium, Procaine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX19, ripretinib, The risk or severity of methemoglobinemia can be increased when Ripretinib is combined with Procaine.]
[L01EX22, selpercatinib, The risk or severity of methemoglobinemia can be increased when Selpercatinib is combined with Procaine.]
[B01AE02, lepirudin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Lepirudin.]
[N05CM02, chlormethiazole, The risk or severity of methemoglobinemia can be increased when Clomethiazole is combined with Procaine.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Procaine is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Dyclonine is combined with Procaine.]
[L01XX69, lurbinectedin, The risk or severity of methemoglobinemia can be increased when Lurbinectedin is combined with Procaine.]
[C08CA17, levamlodipine, Procaine may increase the hypotensive activities of Levamlodipine.]
[P01BB01, proguanil, The risk or severity of methemoglobinemia can be increased when Proguanil is combined with Procaine.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Procaine is combined with Remimazolam.]
[L01FX12, tafasitamab, The risk or severity of methemoglobinemia can be increased when Tafasitamab is combined with Procaine.]
[L01XL06, brexucabtagene autoleucel, The risk or severity of methemoglobinemia can be increased when Brexucabtagene autoleucel is combined with Procaine.]
[L01DB04, aclarubicin, The risk or severity of methemoglobinemia can be increased when Aclarubicin is combined with Procaine.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Procaine is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of methemoglobinemia can be increased when Chloroquine is combined with Procaine.]
[L01EX23, pralsetinib, The risk or severity of methemoglobinemia can be increased when Pralsetinib is combined with Procaine.]
[C03AA04, chlorothiazide, Procaine may increase the hypotensive activities of Chlorothiazide.]
[G03CA06, chlorotrianisene, The risk or severity of methemoglobinemia can be increased when Chlorotrianisene is combined with Procaine.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Procaine is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Procaine may increase the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, Procaine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[S01AA02, chlortetracycline, The risk or severity of methemoglobinemia can be increased when Chlortetracycline is combined with Procaine.]
[C03BA04, chlorthalidone, Procaine may increase the hypotensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Procaine.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Procaine is combined with Etifoxine.]
[N06BX18, vinpocetine, The risk or severity of methemoglobinemia can be increased when Vinpocetine is combined with Procaine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Procaine is combined with Ethyl loflazepate.]
[L01BB05, fludarabine, The risk or severity of methemoglobinemia can be increased when Fludarabine is combined with Procaine.]
[L01FD06, margetuximab, The risk or severity of methemoglobinemia can be increased when Margetuximab is combined with Procaine.]
[C01DX22, vericiguat, Procaine may increase the orthostatic hypotensive activities of Vericiguat.]
[L01EX21, tepotinib, The risk or severity of methemoglobinemia can be increased when Tepotinib is combined with Procaine.]
[L01EX25, umbralisib, The risk or severity of methemoglobinemia can be increased when Umbralisib is combined with Procaine.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Procaine is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of methemoglobinemia can be increased when Felbamate is combined with Procaine.]
[C01CA19, fenoldopam, Procaine may increase the hypotensive activities of Fenoldopam.]
[J01DD08, cefixime, The risk or severity of methemoglobinemia can be increased when Cefixime is combined with Procaine.]
[J01DD15, cefdinir, The risk or severity of methemoglobinemia can be increased when Cefdinir is combined with Procaine.]
[J01MB07, flumequine, The risk or severity of methemoglobinemia can be increased when Flumequine is combined with Procaine.]
[R03BA03, flunisolide, The therapeutic efficacy of Procaine can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluocinolone acetonide.]
[R03CC15, formoterol, The risk or severity of adverse effects can be increased when Procaine is combined with Formoterol.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin human.]
[S01LA08, bevacizumab, The risk or severity of methemoglobinemia can be increased when Bevacizumab is combined with Procaine.]
[L01EK03, tivozanib, The risk or severity of methemoglobinemia can be increased when Tivozanib is combined with Procaine.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Trichloroethylene is combined with Procaine.]
[H04AA02, dasiglucagon, Procaine may increase the hypotensive activities of Dasiglucagon.]
[L01XL07, idecabtagene vicleucel, The risk or severity of methemoglobinemia can be increased when Idecabtagene vicleucel is combined with Procaine.]
[L01FF07, dostarlimab, The risk or severity of methemoglobinemia can be increased when Dostarlimab is combined with Procaine.]
[L01FX22, loncastuximab tesirine, The risk or severity of methemoglobinemia can be increased when Loncastuximab tesirine is combined with Procaine.]
[R02AB03, fusafungin, The risk or severity of methemoglobinemia can be increased when Fusafungine is combined with Procaine.]
[N02BF01, gabapentin, The risk or severity of methemoglobinemia can be increased when Gabapentin is combined with Procaine.]
[J01MB06, cinoxacin, The risk or severity of methemoglobinemia can be increased when Cinoxacin is combined with Procaine.]
[L01XX73, sotorasib, The risk or severity of methemoglobinemia can be increased when Sotorasib is combined with Procaine.]
[L01EN03, infigratinib, The risk or severity of methemoglobinemia can be increased when Infigratinib is combined with Procaine.]
[S03AA07, ciprofloxacin, The risk or severity of methemoglobinemia can be increased when Ciprofloxacin is combined with Procaine.]
[L01XA01, cisplatin, The risk or severity of methemoglobinemia can be increased when Cisplatin is combined with Procaine.]
[N06AB04, citalopram, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Citalopram.]
[L01XX74, belzutifan, The risk or severity of methemoglobinemia can be increased when Belzutifan is combined with Procaine.]
[L01FX23, tisotumab vedotin, The risk or severity of methemoglobinemia can be increased when Tisotumab vedotin is combined with Procaine.]
[V09IA09, technetium Tc 99m tilmanocept, Procaine may decrease effectiveness of Technetium Tc-99m tilmanocept as a diagnostic agent.]
[R06AA04, clemastine, Procaine may increase the anticholinergic activities of Clemastine.]
[A10BB12, glimepiride, Procaine may increase the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Procaine may increase the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Procaine is combined with Clenbuterol.]
[J01FF01, clindamycin, The risk or severity of methemoglobinemia can be increased when Clindamycin is combined with Procaine.]
