[P02BB01, trichlorfon, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Metrifonate.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Amoxapine.]
[L01EC03, encorafenib, The metabolism of Amoxapine can be decreased when combined with Encorafenib.]
[C07AB08, celiprolol, The metabolism of Amoxapine can be decreased when combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Amoxapine can be decreased when combined with Elagolix.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Amoxapine can be decreased when combined with Tafenoquine.]
[N03AX17, stiripentol, The metabolism of Amoxapine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Amoxapine can be decreased when combined with Dacomitinib.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BB06, carbutamide, Amoxapine may decrease the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AA06, chlorphenoxamine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Amoxapine.]
[R03BB08, revefenacin, The metabolism of Amoxapine can be decreased when combined with Revefenacin.]
[L04AA39, emapalumab, The metabolism of Amoxapine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Amoxapine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Amoxapine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Cibenzoline.]
[C09AA08, cilazapril, Amoxapine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Amoxapine can be decreased when combined with Cilostazol.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[P02BX04, triclabendazole, The metabolism of Amoxapine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Amoxapine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Amoxapine is combined with Siponimod.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Amoxapine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BA09, clobazam, The metabolism of Amoxapine can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Amoxapine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C09CA06, candesartan, Amoxapine may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Amoxapine can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The serum concentration of Amoxapine can be increased when it is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Amoxapine.]
[L01EJ02, fedratinib, The metabolism of Amoxapine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Entrectinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Amoxapine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Amoxapine.]
[N04CX01, istradefylline, The metabolism of Amoxapine can be decreased when combined with Istradefylline.]
[C03AA09, cyclothiazide, Amoxapine may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The serum concentration of Yohimbine can be increased when it is combined with Amoxapine.]
[A10AE03, insulin, regular, pork, Amoxapine may decrease the hypoglycemic activities of Insulin pork.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Amoxapine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Amoxapine.]
[N03AX25, cenobamate, The therapeutic efficacy of Cenobamate can be decreased when used in combination with Amoxapine.]
[A16AX16, givosiran, The serum concentration of Amoxapine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AB02, dexchlorpheniramine, The metabolism of Amoxapine can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Dezocine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AX21, diacetylrhein, The metabolism of Amoxapine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Amoxapine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amoxapine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Amoxapine is combined with Dutasteride.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The metabolism of Amoxapine can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Rofecoxib.]
[C08CA16, clevidipine, The metabolism of Amoxapine can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, Dronedarone may increase the QTc-prolonging activities of Amoxapine.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02AA06, methoserpidine, Amoxapine may decrease the antihypertensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Amoxapine.]
[G04BD09, trospium, The metabolism of Amoxapine can be decreased when combined with Trospium.]
[M01AC04, droxicam, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Amoxapine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C08CA17, levamlodipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Amoxapine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Amoxapine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Amoxapine can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, Amoxapine may decrease the antihypertensive activities of Chlorothiazide.]
[G03CA06, chlorotrianisene, The serum concentration of Amoxapine can be increased when it is combined with Chlorotrianisene.]
[R06AB04, chlorpheniramine, The metabolism of Amoxapine can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Chlorpromazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[A10BB02, chlorpropamide, Amoxapine may decrease the hypoglycemic activities of Chlorpropamide.]
[N05AF03, chlorprothixene, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Amoxapine may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Amoxapine can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Amoxapine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02BA07, ethenzamide, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Ethenzamide.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BA18, ethyl loflazepate, Ethyl loflazepate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AB08, etodolac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Etofenamate.]
[B06AC06, berotralstat, The serum concentration of Amoxapine can be increased when it is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Amoxapine is combined with Naxitamab.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AE05, fenbufen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Fenbufen.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Amoxapine.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Amoxapine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Amoxapine is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Flumequine.]
[R03CC15, formoterol, The metabolism of Amoxapine can be decreased when combined with Formoterol.]
[A10AF01, insulin, regular, human, Amoxapine may decrease the hypoglycemic activities of Insulin human.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Amoxapine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L03AB10, peginterferon alfa-2b, The metabolism of Amoxapine can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Amoxapine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of Cardiac Arrhythmia can be increased when Follitropin is combined with Amoxapine.]
[A02BA01, cimetidine, The metabolism of Amoxapine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N07CA02, cinnarizine, The metabolism of Amoxapine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, The metabolism of Amoxapine can be decreased when combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Amoxapine is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Mobocertinib.]
[V09AB03, ioflupane I-123, Amoxapine may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[R06AA04, clemastine, The metabolism of Amoxapine can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Mefenamic acid.]
[A10BB12, glimepiride, Amoxapine may decrease the hypoglycemic activities of Glimepiride.]
[A10BB08, gliquidone, Amoxapine may decrease the hypoglycemic activities of Gliquidone.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Amoxapine.]
[J01FF01, clindamycin, Amoxapine may increase the neurotoxic activities of Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Amoxapine can be decreased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Amoxapine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Clofazimine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Amoxapine.]
[N03AE01, clonazepam, Clonazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Amoxapine.]
[A10BX16, tirzepatide, Amoxapine may decrease the hypoglycemic activities of Tirzepatide.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A04AA01, ondansetron, The metabolism of Amoxapine can be decreased when combined with Ondansetron.]
[M02AA08, felbinac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Felbinac.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AH02, clozapine, Clozapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Amoxapine.]
[A10BX01, guar gum, Amoxapine may decrease the hypoglycemic activities of Guar gum.]
[A10BK06, sotagliflozin, Amoxapine may decrease the hypoglycemic activities of Sotagliflozin.]
[N05BA13, halazepam, Halazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S02DA02, cocaine, The metabolism of Amoxapine can be decreased when combined with Cocaine.]
[C02KB01, metyrosine, Amoxapine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Amoxapine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Proquazone.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03AB10, hexocyclium, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C04AX28, ifenprodil, Ifenprodil may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BX03, nateglinide, The metabolism of Amoxapine can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Imidazole salicylate.]
[H01AC03, mecasermin, Amoxapine may decrease the hypoglycemic activities of Mecasermin.]
[A10AE04, insulin glargine, Amoxapine may decrease the hypoglycemic activities of Insulin glargine.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Amoxapine can be decreased when combined with Ciclesonide.]
[B01AC10, indobufen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Indobufen.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AH03, valdecoxib, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Valdecoxib.]
[H01AX01, pegvisomant, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, Amoxapine may increase the vasopressor activities of Isometheptene.]
[N02CC05, almotriptan, The metabolism of Amoxapine can be decreased when combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Parecoxib.]
[J02AC02, itraconazole, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Emedastine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AA06, kebuzone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Kebuzone.]
[L01EA01, imatinib, The serum concentration of Amoxapine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Amoxapine.]
[N03AX09, lamotrigine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N07BC04, lofexidine, The therapeutic efficacy of Amoxapine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Lonazolac.]
[R06AX13, loratadine, Amoxapine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M02AA31, loxoprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Loxoprofen.]
[C09AA03, lisinopril, Amoxapine may decrease the antihypertensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Amoxapine.]
[C08CA11, manidipine, The metabolism of Amoxapine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Amoxapine is combined with Mefenorex.]
[C07AA14, mepindolol, The metabolism of Amoxapine can be decreased when combined with Mepindolol.]
[R06AD07, mequitazine, Amoxapine may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Adenosine.]
[N04AA03, methixene, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Amoxapine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Amoxapine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01BC10, nepafenac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Nepafenac.]
[C03DA04, eplerenone, Amoxapine may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The metabolism of Amoxapine can be decreased when combined with Melperone.]
[C03AA07, cyclopenthiazide, Amoxapine may decrease the antihypertensive activities of Cyclopenthiazide.]
[A10BF02, miglitol, Amoxapine may decrease the hypoglycemic activities of Miglitol.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Amoxapine is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, Cyclophosphamide may increase the neurotoxic activities of Amoxapine.]
[N06AX07, minaprine, Minaprine may increase the serotonergic activities of Amoxapine.]
[J04AB01, cycloserine, Cycloserine may increase the neurotoxic activities of Amoxapine.]
[S01XA18, cyclosporine, The metabolism of Amoxapine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the serotonergic activities of Amoxapine.]
[R06AX02, cyproheptadine, Cyproheptadine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Moexipril.]
[M02AA02, mofebutazone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Morniflumate.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Amoxapine.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Amoxapine.]
[M01AH05, etoricoxib, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Etoricoxib.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02CC04, debrisoquin, The metabolism of Amoxapine can be decreased when combined with Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AX01, nabumetone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Nabumetone.]
[N05BA16, nordazepam, Nordazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C07AB12, nebivolol, The metabolism of Amoxapine can be decreased when combined with Nebivolol.]
[N06AX06, nefazodone, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Nefazodone.]
[N05CM16, niaprazine, Niaprazine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01DX16, nicorandil, The therapeutic efficacy of Nicorandil can be decreased when used in combination with Amoxapine.]
[N03AG06, tiagabine, Tiagabine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01CA23, theodrenaline, The therapeutic efficacy of Theodrenaline can be increased when used in combination with Amoxapine.]
[M03AC11, cisatracurium, Cisatracurium may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Amoxapine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Amoxapine is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of serotonin syndrome can be increased when Amoxapine is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Amoxapine can be decreased when combined with Solifenacin.]
[A07EC03, olsalazine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Olsalazine.]
[N06AA01, desipramine, The metabolism of Amoxapine can be decreased when combined with Desipramine.]
[H01BA02, desmopressin, The risk or severity of hyponatremia and water intoxication can be increased when Amoxapine is combined with Desmopressin.]
[C09XA02, aliskiren, Amoxapine may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, Oxcarbazepine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06BX07, oxiracetam, Oxiracetam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N04AA08, dexetimide, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, The metabolism of Amoxapine can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Amoxapine can be decreased when combined with Dexfenfluramine.]
[A03AA01, oxyphencyclimine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Amoxapine can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Amoxapine can be decreased when combined with Gefitinib.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the sedative and stimulatory activities of Amoxapine.]
[R05DA09, dextromethorphan, The metabolism of Amoxapine can be decreased when combined with Dextromethorphan.]
[N03AC01, paramethadione, Paramethadione may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02AC01, dextromoramide, The risk or severity of adverse effects can be increased when Amoxapine is combined with Dextromoramide.]
[N06AB05, paroxetine, The metabolism of Amoxapine can be decreased when combined with Paroxetine.]
[N07BC06, heroin, The risk or severity of adverse effects can be increased when Amoxapine is combined with Diamorphine.]
[N05BA01, diazepam, Diazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AX07, phenacemide, Phenacemide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[V03AH01, diazoxide, Amoxapine may decrease the antihypertensive activities of Diazoxide.]
[N03AD02, phensuximide, Phensuximide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06AA08, dibenzepin, Dibenzepin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S02DA04, dibucaine, Cinchocaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01BC03, diclofenac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Diclofenac.]
[J05AD01, foscarnet, The risk or severity of QTc prolongation can be increased when Foscarnet is combined with Amoxapine.]
[A03AA07, dicyclomine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Dicyclomine.]
[J05AF02, didanosine, Amoxapine may increase the neurotoxic activities of Didanosine.]
[C02DG01, pinacidil, Amoxapine may decrease the antihypertensive activities of Pinacidil.]
[A03AX04, pinaverium, The risk or severity of hypotension can be increased when Amoxapine is combined with Pinaverium.]
[A10BG03, pioglitazone, Amoxapine may decrease the hypoglycemic activities of Pioglitazone.]
[N05AD05, pipamperone, Pipamperone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03AB14, pipenzolate, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Pipenzolate.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Amoxapine.]
