[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Azathioprine.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Azathioprine can be decreased when combined with Cyclobenzaprine.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Upadacitinib.]
[N07XX11, pitolisant, The metabolism of Azathioprine can be increased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Azathioprine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE03, insulin, regular, pork, The metabolism of Azathioprine can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Azathioprine is combined with Deflazacort.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Azathioprine.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Azathioprine is combined with Diroximel fumarate.]
[A16AX16, givosiran, The serum concentration of Azathioprine can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Azathioprine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Azathioprine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Azathioprine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Azathioprine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Azathioprine can be decreased when combined with Osilodrostat.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Azathioprine.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Azathioprine.]
[R02AA03, dichlorobenzyl alcohol, Azathioprine may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Azathioprine may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[M01AH02, rofecoxib, The metabolism of Azathioprine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Azathioprine.]
[C08CA16, clevidipine, Azathioprine may decrease the excretion rate of Clevidipine which could result in a higher serum level.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Azathioprine.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Azathioprine.]
[L01EX17, capmatinib, The metabolism of Azathioprine can be decreased when combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fluprednidene.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V08CA05, mangafodipir, Azathioprine may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Azathioprine is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Stepronin.]
[L04AC19, satralizumab, The serum concentration of Azathioprine can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AA01, chlorpromazine, The metabolism of Azathioprine can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Azathioprine can be decreased when combined with Chlorzoxazone.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02BA03, choline salicylate, The metabolism of Azathioprine can be decreased when combined with Choline salicylate.]
[M01AB08, etodolac, Etodolac may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Fludarabine.]
[M01AX25, chondroitin sulfates, Azathioprine may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Voclosporin.]
[P03AX07, abametapir, The serum concentration of Azathioprine can be increased when it is combined with Abametapir.]
[V03AF12, trilaciclib, The metabolism of Azathioprine can be increased when combined with Trilaciclib.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Azathioprine.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01MB07, flumequine, The metabolism of Azathioprine can be decreased when combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Azathioprine.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Azathioprine.]
[N02BG07, flupirtine, Azathioprine may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ponesimod.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Azathioprine can be increased when it is combined with Peginterferon alfa-2b.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Azathioprine can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Azathioprine can be decreased when combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The metabolism of Azathioprine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Azathioprine.]
[N06AB04, citalopram, The metabolism of Azathioprine can be decreased when combined with Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pegcetacoplan.]
[H01AC07, somapacitan, The metabolism of Azathioprine can be increased when combined with Somapacitan.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Azathioprine is combined with Belumosudil.]
[P01CA03, fexinidazole, The metabolism of Azathioprine can be decreased when combined with Fexinidazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Anifrolumab.]
[H01AC09, lonapegsomatropin, The metabolism of Azathioprine can be increased when combined with Lonapegsomatropin.]
[V09AB03, ioflupane I-123, Azathioprine may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Azathioprine may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Azathioprine may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[M01AG01, mefenamic acid, The metabolism of Azathioprine can be decreased when combined with Mefenamic acid.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ropeginterferon alfa-2b.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Azathioprine.]
[L01EJ03, pacritinib, The metabolism of Azathioprine can be decreased when combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Azathioprine.]
[N03AE01, clonazepam, Azathioprine may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The metabolism of Azathioprine can be decreased when combined with Clonidine.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Deucravacitinib.]
[A04AA01, ondansetron, The metabolism of Azathioprine can be decreased when combined with Ondansetron.]
[N05AH02, clozapine, The metabolism of Azathioprine can be decreased when combined with Clozapine.]
[J01GB12, arbekacin, Azathioprine may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[H01AC08, somatrogon, The metabolism of Azathioprine can be increased when combined with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Azathioprine can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M04AC01, colchicine, Azathioprine may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Azathioprine may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Leflunomide.]
[A04AA03, tropisetron, Azathioprine may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, Nateglinide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Nelarabine.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ciclesonide.]
[B01AC10, indobufen, Indobufen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J05AB14, valganciclovir, Azathioprine may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Azathioprine may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Azathioprine may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Azathioprine may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Azathioprine may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Azathioprine may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02CC05, almotriptan, Almotriptan may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M01AH04, parecoxib, Parecoxib may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AD03, acyclovir, The metabolism of Azathioprine can be decreased when combined with Acyclovir.]
[N05BA10, ketazolam, Azathioprine may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Azathioprine.]
[N03AX09, lamotrigine, Lamotrigine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Azathioprine.]
[S01AE04, lomefloxacin, The metabolism of Azathioprine can be decreased when combined with Lomefloxacin.]
[M01AB09, lonazolac, Lonazolac may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M02AA31, loxoprofen, Loxoprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C09AA03, lisinopril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Lisinopril is combined with Azathioprine.]
[A06AD01, magnesium carbonate, Azathioprine may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Meprednisone.]
[J01DH02, meropenem, Meropenem may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Azathioprine may decrease the excretion rate of Melperone which could result in a higher serum level.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Azathioprine.]
[C03AA07, cyclopenthiazide, Cyclopenthiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01AA01, cyclophosphamide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Cyclophosphamide.]
[S01XA18, cyclosporine, Azathioprine may increase the immunosuppressive activities of Cyclosporine.]
[N06BA07, modafinil, The metabolism of Azathioprine can be increased when combined with Armodafinil.]
[C09AA13, moexipril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Moexipril is combined with Azathioprine.]
[M02AA02, mofebutazone, Mofebutazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M01AX22, morniflumate, Morniflumate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Azathioprine.]
[J05AF10, entecavir, The metabolism of Azathioprine can be decreased when combined with Entecavir.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Azathioprine.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Azathioprine.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Azathioprine.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Azathioprine.]
[M01AX01, nabumetone, The metabolism of Azathioprine can be decreased when combined with Nabumetone.]
[N07BB05, nalmefene, Azathioprine may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[S01GX04, nedocromil, Nedocromil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06AX06, nefazodone, Azathioprine may decrease the excretion rate of Nefazodone which could result in a higher serum level.]
[C01DX16, nicorandil, Azathioprine may decrease the excretion rate of Nicorandil which could result in a higher serum level.]
[L02BB02, nilutamide, Nilutamide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C01CA23, theodrenaline, The metabolism of Theodrenaline can be decreased when combined with Azathioprine.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Azathioprine.]
[B01AX05, fondaparinux, Fondaparinux may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Azathioprine.]
[A07EC03, olsalazine, The metabolism of Azathioprine can be decreased when combined with Olsalazine.]
[N06AA01, desipramine, Azathioprine may decrease the excretion rate of Desipramine which could result in a higher serum level.]
[H01BA02, desmopressin, Desmopressin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Azathioprine.]
[V04CH02, indigo carmine, Azathioprine may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Ertapenem may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Azathioprine.]
[M01AE12, oxaprozin, Oxaprozin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Dexamethasone.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Azathioprine.]
[L04AB04, adalimumab, The metabolism of Azathioprine can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, Amphetamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06AB05, paroxetine, The metabolism of Azathioprine can be decreased when combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Azathioprine can be decreased when combined with Clopidogrel.]
[C01DA05, pentaerythritol tetranitrate, Azathioprine may decrease the excretion rate of Pentaerythritol tetranitrate which could result in a higher serum level.]
[C04AD01, pentifylline, The metabolism of Pentifylline can be decreased when combined with Azathioprine.]
[P03AC04, permethrin, Azathioprine may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Diazepam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R05DA08, pholcodine, Azathioprine may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, The metabolism of Azathioprine can be decreased when combined with Diclofenac.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A03AA07, dicyclomine, Dicyclomine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J05AF02, didanosine, Didanosine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01DC04, ixabepilone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ixabepilone.]
[L01EB02, erlotinib, The metabolism of Azathioprine can be decreased when combined with Erlotinib.]
[L01DB08, pirarubicin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pirarubicin.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA03, isradipine, Isradipine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[D07XC04, diflucortolone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Difluocortolone.]
[N02BA11, diflunisal, The metabolism of Azathioprine can be decreased when combined with Diflunisal.]
[C01AA05, digoxin, Azathioprine may decrease the excretion rate of Digoxin which could result in a higher serum level.]
[C02DB01, dihydralazine, The metabolism of Azathioprine can be decreased when combined with Dihydralazine.]
[L01XX24, pegaspargase, The risk or severity of adverse effects can be increased when Pegaspargase is combined with Azathioprine.]
[N02AA03, hydromorphone, Hydromorphone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AX04, lenalidomide, The risk or severity of adverse effects can be increased when Lenalidomide is combined with Azathioprine.]
[J05AE08, atazanavir, The metabolism of Azathioprine can be decreased when combined with Atazanavir.]
[H03BC01, potassium perchlorate, Azathioprine may decrease the excretion rate of Potassium perchlorate which could result in a higher serum level.]
[V03AB04, pralidoxime, Pralidoxime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V03AB09, dimercaprol, Azathioprine may decrease the excretion rate of Dimercaprol which could result in a higher serum level.]
[M02AX03, dimethyl sulfoxide, Azathioprine may decrease the excretion rate of Dimethyl sulfoxide which could result in a higher serum level.]
[N06BC02, propentofylline, The metabolism of Propentofylline can be decreased when combined with Azathioprine.]
[N02BB04, propyphenazone, Propyphenazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M01AB14, proglumetacin, Proglumetacin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R03DA03, proxyphylline, The metabolism of Proxyphylline can be decreased when combined with Azathioprine.]
[C09AA06, quinapril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Quinapril is combined with Azathioprine.]
[C09AA05, ramipril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Ramipril is combined with Azathioprine.]
[S01XA23, sirolimus, The risk or severity of adverse effects can be increased when Sirolimus is combined with Azathioprine.]
[S01AX06, resorcinol, Azathioprine may decrease the excretion rate of Resorcinol which could result in a higher serum level.]
[C01BA03, disopyramide, The metabolism of Azathioprine can be decreased when combined with Disopyramide.]
[L04AA23, natalizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Natalizumab.]
[S02AA12, rifamycin SV, The metabolism of Azathioprine can be decreased when combined with Rifamycin.]
[N07XX02, riluzole, The metabolism of Azathioprine can be decreased when combined with Riluzole.]
[R06AE09, levocetirizine, Azathioprine may decrease the excretion rate of Levocetirizine which could result in a higher serum level.]
[L04AA21, efalizumab, The risk or severity of adverse effects can be increased when Efalizumab is combined with Azathioprine.]
[N01BB09, ropivacaine, The metabolism of Azathioprine can be decreased when combined with Ropivacaine.]
[J01MB01, rosoxacin, The metabolism of Azathioprine can be decreased when combined with Rosoxacin.]
[L01EX01, sunitinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Sunitinib.]
[C03XA01, tolvaptan, Tolvaptan may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XG01, bortezomib, The risk or severity of adverse effects can be increased when Bortezomib is combined with Azathioprine.]
[G04BE08, tadalafil, Tadalafil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01BC05, ketorolac, Ketorolac may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C01EB18, ranolazine, Ranolazine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02BA06, salsalate, Salsalate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[H05BA01, salmon calcitonin, Salmon calcitonin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C01CA07, dobutamine, Dobutamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A03FA03, domperidone, The metabolism of Domperidone can be decreased when combined with Azathioprine.]
[C01CA04, dopamine, Dopamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06AA16, dothiepin, The metabolism of Azathioprine can be decreased when combined with Dosulepin.]
[N06AA12, doxepin, The metabolism of Doxepin can be decreased when combined with Azathioprine.]
[L01DB01, doxorubicin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Doxorubicin.]
[J01AA02, doxycycline, Doxycycline may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A08AA10, sibutramine, Azathioprine may decrease the excretion rate of Sibutramine which could result in a higher serum level.]
[A12CA02, sodium sulfate, Azathioprine may decrease the excretion rate of Sodium sulfate which could result in a higher serum level.]
[C09AA11, spirapril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Spirapril is combined with Azathioprine.]
[R03DA01, dyphylline, Dyphylline may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02CC01, sumatriptan, Sumatriptan may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V04CX07, edrophonium, Azathioprine may decrease the excretion rate of Edrophonium which could result in a higher serum level.]
[H01AA01, corticotropin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Corticotropin.]
[J01MA05, temafloxacin, The metabolism of Azathioprine can be decreased when combined with Temafloxacin.]
[L01AX03, temozolomide, The risk or severity of adverse effects can be increased when Temozolomide is combined with Azathioprine.]
[M01AC02, tenoxicam, Tenoxicam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[D01BA02, terbinafine, The metabolism of Azathioprine can be decreased when combined with Terbinafine.]
[C09AA02, enalapril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Enalapril is combined with Azathioprine.]
[M01AG02, tolfenamic acid, Tolfenamic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06AG03, toloxatone, Azathioprine may decrease the excretion rate of Toloxatone which could result in a higher serum level.]
[N06BA09, atomoxetine, Atomoxetine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N03AX11, topiramate, Topiramate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[C03CA04, torsemide, Torasemide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA10, trandolapril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Trandolapril is combined with Azathioprine.]
[N05CC01, chloral hydrate, Azathioprine may decrease the excretion rate of Chloral hydrate which could result in a higher serum level.]
[H02CA01, trilostane, The risk or severity of adverse effects can be increased when Azathioprine is combined with Trilostane.]
[L01AA07, trofosfamide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Trofosfamide.]
[J01MA04, enoxacin, The metabolism of Azathioprine can be decreased when combined with Enoxacin.]
[L01CA04, vinorelbine, The risk or severity of adverse effects can be increased when Vinorelbine is combined with Azathioprine.]
[N06AX16, venlafaxine, Venlafaxine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01DB03, epirubicin, The risk or severity of adverse effects can be increased when Epirubicin is combined with Azathioprine.]
[C09AA15, zofenopril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Zofenopril is combined with Azathioprine.]
[N05CF02, zolpidem, The metabolism of Azathioprine can be decreased when combined with Zolpidem.]
[M01AB04, zomepirac, Zomepirac may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N03AX15, zonisamide, Zonisamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AX11, zotepine, The metabolism of Zotepine can be decreased when combined with Azathioprine.]
[L01XA02, carboplatin, The risk or severity of adverse effects can be increased when Carboplatin is combined with Azathioprine.]
[C02AC02, guanfacine, Azathioprine may decrease the excretion rate of Guanfacine which could result in a higher serum level.]
[L03AX05, pidotimod, Azathioprine may decrease the excretion rate of Pidotimod which could result in a higher serum level.]
[N05CD04, estazolam, Azathioprine may decrease the excretion rate of Estazolam which could result in a higher serum level.]
[A02BC02, pantoprazole, Pantoprazole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[H05BX01, cinacalcet, The metabolism of Cinacalcet can be decreased when combined with Azathioprine.]
[G03CA03, estradiol, The metabolism of Azathioprine can be decreased when combined with Estradiol.]
