[P02BB01, trichlorfon, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Metrifonate.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R03BA02, budesonide, Olanzapine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Olanzapine.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Olanzapine.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be decreased when used in combination with Olanzapine.]
[N01BX04, capsaicin, The metabolism of Olanzapine can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Olanzapine.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Olanzapine.]
[N03AF01, carbamazepine, The metabolism of Olanzapine can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Olanzapine.]
[A03AA03, camylofine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L03AB06, interferon alfa-n1, The metabolism of Olanzapine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Olanzapine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Olanzapine.]
[J01DD13, cefpodoxime, Olanzapine can cause a decrease in the absorption of Cefpodoxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Olanzapine.]
[C07AB08, celiprolol, The therapeutic efficacy of Celiprolol can be decreased when used in combination with Olanzapine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Olanzapine.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Olanzapine.]
[N03AX17, stiripentol, Stiripentol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Olanzapine.]
[S01GX12, cetirizine, Cetirizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CM04, carbromal, Carbromal may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Olanzapine.]
[N01BA04, chloroprocaine, Chloroprocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AA06, chlorphenoxamine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Olanzapine.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Olanzapine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Olanzapine.]
[R03BB08, revefenacin, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Olanzapine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Olanzapine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Amifampridine.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Olanzapine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Cibenzoline.]
[C09AA08, cilazapril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Cilazapril.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Olanzapine.]
[A03FA08, cinitapride, Cinitapride may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Olanzapine.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Olanzapine.]
[N06AX29, brexanolone, Brexanolone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Olanzapine.]
[N05BA09, clobazam, The metabolism of Olanzapine can be decreased when combined with Clobazam.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Olanzapine.]
[N05BA22, cloxazolam, Cloxazolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Olanzapine.]
[L04AB01, etanercept, The metabolism of Olanzapine can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, Cyamemazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Cicletanine.]
[S01AA27, cefuroxime, Olanzapine can cause a decrease in the absorption of Cefuroxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Olanzapine.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Olanzapine.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Entrectinib.]
[N07XX11, pitolisant, The therapeutic efficacy of Pitolisant can be decreased when used in combination with Olanzapine.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Olanzapine.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Olanzapine.]
[C03AA09, cyclothiazide, Olanzapine may increase the hypotensive activities of Cyclothiazide.]
[G04BE04, yohimbine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Olanzapine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Olanzapine.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Olanzapine.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Olanzapine.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Olanzapine.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Olanzapine.]
[A16AX16, givosiran, The serum concentration of Olanzapine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AB02, dexchlorpheniramine, The metabolism of Olanzapine can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Dezocine.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Olanzapine.]
[N05CM21, lemborexant, Lemborexant may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AD10, lumateperone, Lumateperone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M01AX21, diacetylrhein, The metabolism of Olanzapine can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Olanzapine can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Olanzapine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, Olanzapine can cause a decrease in the absorption of Amprenavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N02CC07, frovatriptan, Frovatriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CC04, dichloralphenazone, Dichloralphenazone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Olanzapine.]
[A07DA04, difenoxin, Difenoxin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, Eletriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M01AH02, rofecoxib, The metabolism of Olanzapine can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Olanzapine.]
[C08CA16, clevidipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Olanzapine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, Valpromide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, Chlordiazepoxide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02AA06, methoserpidine, Olanzapine may increase the hypotensive activities of Methoserpidine.]
[A03AA08, dihexyverine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[L01EX17, capmatinib, The metabolism of Olanzapine can be decreased when combined with Capmatinib.]
[N04BX04, opicapone, The therapeutic efficacy of Opicapone can be decreased when used in combination with Olanzapine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Olanzapine.]
[G04BD09, trospium, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Olanzapine.]
[N05CM02, chlormethiazole, Clomethiazole may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M03BB02, chlormezanone, Chlormezanone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R02AD04, dyclonine, Dyclonine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C08CA17, levamlodipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Levamlodipine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Olanzapine.]
[N05CD14, remimazolam, Remimazolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AC19, satralizumab, The serum concentration of Olanzapine can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Olanzapine is combined with Oliceridine.]
[P01BA01, chloroquine, The metabolism of Olanzapine can be decreased when combined with Chloroquine.]
[C03AA04, chlorothiazide, The serum concentration of Chlorothiazide can be increased when it is combined with Olanzapine.]
[R06AB04, chlorpheniramine, Chlorpheniramine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AA01, chlorpromazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Olanzapine.]
[N05AF03, chlorprothixene, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, The serum concentration of Chlorthalidone can be increased when it is combined with Olanzapine.]
[M03BB03, chlorzoxazone, Chlorzoxazone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A11CC05, cholecalciferol, The metabolism of Olanzapine can be decreased when combined with Cholecalciferol.]
[N05BX03, etifoxine, Etifoxine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06BX18, vinpocetine, Vinpocetine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Ethyl loflazepate is combined with Olanzapine.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Olanzapine.]
[B06AC06, berotralstat, The metabolism of Olanzapine can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Olanzapine.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Relugolix.]
[P03AX07, abametapir, The serum concentration of Olanzapine can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Olanzapine is combined with Vericiguat.]
[V03AF12, trilaciclib, The metabolism of Olanzapine can be increased when combined with Trilaciclib.]
[M03BA05, febarbamate, Febarbamate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AX10, felbamate, Felbamate may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Olanzapine.]
[C01CA19, fenoldopam, The therapeutic efficacy of Fenoldopam can be decreased when used in combination with Olanzapine.]
[N06BA08, fenozolone, The risk or severity of Tachycardia can be increased when Olanzapine is combined with Fenozolone.]
[V08CA07, ferric ammonium citrate, Olanzapine can cause a decrease in the absorption of Ferric ammonium citrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Olanzapine can cause a decrease in the absorption of Prussian blue resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Olanzapine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Olanzapine can cause a decrease in the absorption of Ferrous fumarate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Olanzapine can cause a decrease in the absorption of Ferrous gluconate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Olanzapine can cause a decrease in the absorption of Ferrous succinate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Olanzapine can cause a decrease in the absorption of Ferrous sulfate anhydrous resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Flumequine.]
[R03CC15, formoterol, The therapeutic efficacy of Formoterol can be decreased when used in combination with Olanzapine.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Olanzapine.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Olanzapine.]
[N01AB05, trichloroethylene, Trichloroethylene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L03AB10, peginterferon alfa-2b, The serum concentration of Olanzapine can be increased when it is combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Olanzapine may increase the hypotensive activities of Dasiglucagon.]
[B03AB10, ferric maltol, Olanzapine can cause a decrease in the absorption of Ferric maltol resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02BA01, cimetidine, The metabolism of Olanzapine can be decreased when combined with Cimetidine.]
[N02BF01, gabapentin, Gabapentin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N07CA02, cinnarizine, The risk or severity of hypotension can be increased when Olanzapine is combined with Cinnarizine.]
[J01MB06, cinoxacin, The metabolism of Olanzapine can be decreased when combined with Cinoxacin.]
[L01XX73, sotorasib, The therapeutic efficacy of Sotorasib can be decreased when used in combination with Olanzapine.]
[S03AA07, ciprofloxacin, The metabolism of Olanzapine can be decreased when combined with Ciprofloxacin.]
[L01XA01, cisplatin, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Cisplatin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Citalopram.]
[H01AC07, somapacitan, The metabolism of Olanzapine can be increased when combined with Somapacitan.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Olanzapine is combined with Fexinidazole.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Olanzapine.]
[H01AC09, lonapegsomatropin, The metabolism of Olanzapine can be increased when combined with Lonapegsomatropin.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Mobocertinib.]
[R06AA04, clemastine, Clemastine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Olanzapine.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Olanzapine.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Olanzapine.]
[N06AX25, St. John's wort extract, St. John's Wort may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Olanzapine.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Olanzapine.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Clofazimine.]
[N01BB10, levobupivacaine, Levobupivacaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Olanzapine.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Clonazepam is combined with Olanzapine.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Olanzapine.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Olanzapine.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be decreased when used in combination with Olanzapine.]
[J02AC06, oteseconazole, Olanzapine can cause a decrease in the absorption of Oteseconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AH06, clothiapine, Clothiapine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BA21, clotiazepam, Clotiazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A04AA01, ondansetron, Ondansetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A04AA02, granisetron, Granisetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05AH02, clozapine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Clozapine.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be decreased when used in combination with Olanzapine.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be decreased when used in combination with Olanzapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Olanzapine.]
[H01AC08, somatrogon, The metabolism of Olanzapine can be increased when combined with Somatrogon.]
[S02DA02, cocaine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Olanzapine may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Olanzapine can be increased when combined with Bimekizumab.]
[R05DA04, codeine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Codeine.]
[M03AC05, hexafluorenium, Hexafluronium may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A03AB10, hexocyclium, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[S01FA05, homatropine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Homatropine.]
[A03BB06, homatropine methylbromide, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The serum concentration of Olanzapine can be decreased when it is combined with Leflunomide.]
[A07BA01, activated charcoal, The serum concentration of Olanzapine can be decreased when it is combined with Activated charcoal.]
[N01AB07, desflurane, Desflurane may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A04AA03, tropisetron, Tropisetron may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C04AX28, ifenprodil, The therapeutic efficacy of Ifenprodil can be decreased when used in combination with Olanzapine.]
[A10BX03, nateglinide, The therapeutic efficacy of Nateglinide can be decreased when used in combination with Olanzapine.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be decreased when used in combination with Olanzapine.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be decreased when used in combination with Olanzapine.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Telithromycin.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Olanzapine.]
[R06AX27, desloratadine, Desloratadine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M01AH03, valdecoxib, The metabolism of Valdecoxib can be decreased when combined with Olanzapine.]
[H01AX01, pegvisomant, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Pegvisomant.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Olanzapine.]
[N02CC05, almotriptan, Almotriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[M01AH04, parecoxib, The metabolism of Parecoxib can be decreased when combined with Olanzapine.]
[J02AC02, itraconazole, Olanzapine can cause a decrease in the absorption of Itraconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be decreased when combined with Olanzapine.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Emedastine.]
[N05BA10, ketazolam, Ketazolam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01EA01, imatinib, The serum concentration of Olanzapine can be increased when it is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Posaconazole.]
[A02BC05, esomeprazole, The metabolism of Esomeprazole can be decreased when combined with Olanzapine.]
[C08CA09, lacidipine, Olanzapine may increase the hypotensive activities of Lacidipine.]
[A06AD12, lactitol, The therapeutic efficacy of Lactitol can be decreased when used in combination with Olanzapine.]
[N03AX09, lamotrigine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Lamotrigine.]
[S01GX02, levocabastine, Levocabastine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N07BC04, lofexidine, The therapeutic efficacy of Olanzapine can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be decreased when combined with Olanzapine.]
[R06AX13, loratadine, Olanzapine may increase the anticholinergic activities of Loratadine.]
[N05CD06, lormetazepam, Lormetazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C09AA03, lisinopril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Lisinopril.]
[A06AD01, magnesium carbonate, The therapeutic efficacy of Magnesium carbonate can be decreased when used in combination with Olanzapine.]
[C08CA11, manidipine, The metabolism of Olanzapine can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, Medifoxamine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A08AA09, mefenorex, The risk or severity of Tachycardia can be increased when Olanzapine is combined with Mefenorex.]
[C07AA14, mepindolol, Mepindolol may increase the orthostatic hypotensive activities of Olanzapine.]
[R06AD07, mequitazine, Olanzapine may increase the arrhythmogenic activities of Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Adenosine.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Olanzapine.]
[C04AX01, cyclandelate, The risk or severity of hypotension can be increased when Olanzapine is combined with Cyclandelate.]
[R03CB02, methoxyphenamine, Methoxyphenamine may decrease the sedative and stimulatory activities of Olanzapine.]
[R06AE03, cyclizine, Cyclizine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05CA10, cyclobarbital, Cyclobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C03DA04, eplerenone, The risk or severity of adverse effects can be increased when Olanzapine is combined with Eplerenone.]
[N05AD03, metylperon, Melperone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C03AA07, cyclopenthiazide, The serum concentration of Cyclopenthiazide can be increased when it is combined with Olanzapine.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be decreased when used in combination with Olanzapine.]
[S01FA04, cyclopentolate, The risk or severity of adverse effects can be increased when Olanzapine is combined with Cyclopentolate.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Olanzapine.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Olanzapine.]
[S01XA18, cyclosporine, The metabolism of Olanzapine can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Olanzapine.]
[N06BA07, modafinil, The metabolism of Olanzapine can be increased when combined with Armodafinil.]
[R06AX02, cyproheptadine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Moexipril.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be decreased when combined with Olanzapine.]
[S01XA21, cysteamine, Olanzapine can cause an increase in the absorption of Cysteamine resulting in an increased serum concentration and potentially a worsening of adverse effects.]
[C03XA02, conivaptan, The risk or severity of adverse effects can be increased when Olanzapine is combined with Conivaptan.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Olanzapine.]
[J05AF10, entecavir, The metabolism of Entecavir can be decreased when combined with Olanzapine.]
[G04BE09, vardenafil, The risk or severity of hypotension and syncope can be increased when Vardenafil is combined with Olanzapine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be decreased when combined with Olanzapine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be decreased when combined with Olanzapine.]
[M03CA01, dantrolene, Dantrolene may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J04BA02, dapsone, The metabolism of Dapsone can be decreased when combined with Olanzapine.]
[N06BX04, deanol, Deanol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Olanzapine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
