[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Propofol.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Propofol.]
[A03AA03, camylofine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Propofol.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Propofol.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Propofol.]
[B02BX09, fostamatinib, The metabolism of Propofol can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Propofol.]
[B02BX08, avatrombopag, The metabolism of Propofol can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Propofol.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Propofol.]
[L01XX62, ivosidenib, The metabolism of Propofol can be increased when combined with Ivosidenib.]
[A16AX14, migalastat, The metabolism of Migalastat can be decreased when combined with Propofol.]
[N03AX17, stiripentol, The metabolism of Propofol can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Propofol can be increased when combined with Tecovirimat.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Propofol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Propofol.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Propofol.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Propofol is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Propofol.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Propofol is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Propofol is combined with Lornoxicam.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Propofol is combined with Inotersen.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Propofol.]
[R03BB08, revefenacin, Propofol may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Propofol can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Propofol is combined with Amifampridine.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Propofol.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Cibenzoline.]
[C09AA08, cilazapril, Propofol may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Propofol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Propofol is combined with Cinitapride.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The risk or severity of QTc prolongation can be increased when Propofol is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Propofol.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Propofol.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Propofol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Propofol is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Propofol.]
[N05BA09, clobazam, The risk or severity of adverse effects can be increased when Clobazam is combined with Propofol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Propofol is combined with Cloxazolam.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Propofol can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Propofol can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Propofol can be decreased when it is combined with Alpelisib.]
[L02BB06, darolutamide, The metabolism of Darolutamide can be decreased when combined with Propofol.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Propofol.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Propofol is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Propofol.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Entrectinib.]
[N07XX11, pitolisant, Propofol may increase the QTc-prolonging activities of Pitolisant.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be decreased when combined with Propofol.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Propofol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Propofol.]
[C03AA09, cyclothiazide, Propofol may decrease the antihypertensive activities of Cyclothiazide.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Propofol is combined with Yohimbine.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Propofol.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Propofol.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Propofol.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Propofol.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Propofol.]
[G03AC09, desogestrel, The metabolism of Propofol can be increased when combined with Desogestrel.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Propofol.]
[N03AX25, cenobamate, The serum concentration of Propofol can be decreased when it is combined with Cenobamate.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Propofol.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Propofol.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Dexchlorpheniramine.]
[N02AX03, dezocine, Dezocine may increase the sedative activities of Propofol.]
[L01EX18, avapritinib, The metabolism of Propofol can be decreased when combined with Avapritinib.]
[N05CM21, lemborexant, The serum concentration of Propofol can be decreased when it is combined with Lemborexant.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Propofol.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Propofol.]
[M01AX21, diacetylrhein, The metabolism of Propofol can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Osilodrostat can be decreased when combined with Propofol.]
[J05AE05, amprenavir, The metabolism of Propofol can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Propofol is combined with Frovatriptan.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Propofol is combined with Dutasteride.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Propofol.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Propofol is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Propofol.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Propofol is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Propofol is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Propofol.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Propofol.]
[L01XF03, bexarotene, The metabolism of Propofol can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The metabolism of Propofol can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Propofol.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Propofol is combined with Valpromide.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Chlorcyclizine.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Chlordiazepoxide is combined with Propofol.]
[C02AA06, methoserpidine, Propofol may decrease the antihypertensive activities of Methoserpidine.]
[L01FX17, sacituzumab govitecan, The serum concentration of Sacituzumab govitecan can be increased when it is combined with Propofol.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Propofol.]
[A03AA08, dihexyverine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Propofol is combined with Opicapone.]
[C01CA14, dopexamine, The risk or severity of hypertension can be increased when Propofol is combined with Dopexamine.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Propofol.]
[G04BD09, trospium, Propofol may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Propofol is combined with Droxicam.]
[L01EX22, selpercatinib, The serum concentration of Propofol can be increased when it is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Propofol is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Propofol is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Propofol is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Propofol.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Propofol.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Propofol is combined with Fostemsavir.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Propofol.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Propofol is combined with Remimazolam.]
[L04AC19, satralizumab, The serum concentration of Propofol can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The risk or severity of hypotension, sedation, death, somnolence, and respiratory depression can be increased when Propofol is combined with Oliceridine.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Propofol.]
[L01EX23, pralsetinib, The metabolism of Propofol can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, Propofol may decrease the antihypertensive activities of Chlorothiazide.]
[R06AB04, chlorpheniramine, The risk or severity of adverse effects can be increased when Propofol is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Propofol can be decreased when combined with Chlorpropamide.]
[N05AF03, chlorprothixene, Propofol may increase the central nervous system depressant (CNS depressant) activities of Chlorprothixene.]
[C03BA04, chlorthalidone, Propofol may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The risk or severity of adverse effects can be increased when Chlorzoxazone is combined with Propofol.]
[N05BX03, etifoxine, The risk or severity of adverse effects can be increased when Propofol is combined with Etifoxine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Propofol is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of adverse effects can be increased when Propofol is combined with Vinpocetine.]
[N05BA18, ethyl loflazepate, The risk or severity of adverse effects can be increased when Propofol is combined with Ethyl loflazepate.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Etodolac is combined with Propofol.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Propofol is combined with Etofenamate.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Etofibrate.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Propofol is combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Propofol.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Propofol is combined with Relugolix.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Propofol is combined with Naxitamab.]
[J05AJ04, cabotegravir, The metabolism of Cabotegravir can be decreased when combined with Propofol.]
[P03AX07, abametapir, The serum concentration of Propofol can be increased when it is combined with Abametapir.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Propofol is combined with Vericiguat.]
[L01EX21, tepotinib, The metabolism of Propofol can be decreased when combined with Tepotinib.]
[M03BA05, febarbamate, The risk or severity of adverse effects can be increased when Propofol is combined with Febarbamate.]
[N03AX10, felbamate, The risk or severity of adverse effects can be increased when Propofol is combined with Felbamate.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Propofol is combined with Fenbufen.]
[C01CA19, fenoldopam, Propofol may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Propofol is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Propofol is combined with Finasteride.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Flumequine.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Formoterol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Propofol.]
[N01AB05, trichloroethylene, The risk or severity of adverse effects can be increased when Propofol is combined with Trichloroethylene.]
[L03AB10, peginterferon alfa-2b, The metabolism of Propofol can be increased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Propofol may decrease the antihypertensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Cimetidine is combined with Propofol.]
[N02BF01, gabapentin, The risk or severity of adverse effects can be increased when Propofol is combined with Gabapentin.]
[N07CA02, cinnarizine, The metabolism of Propofol can be decreased when combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Cinoxacin.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Propofol.]
[S03AA07, ciprofloxacin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ciprofloxacin is combined with Propofol.]
[L01XA01, cisplatin, The metabolism of Propofol can be decreased when combined with Cisplatin.]
[N06AB04, citalopram, The risk or severity of adverse effects can be increased when Propofol is combined with Citalopram.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Propofol.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Propofol is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Propofol can be decreased when combined with Mefenamic acid.]
[A10BB12, glimepiride, The metabolism of Propofol can be decreased when combined with Glimepiride.]
[A10BB08, gliquidone, The metabolism of Gliquidone can be decreased when combined with Propofol.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Propofol is combined with Clenbuterol.]
[N06AX25, St. John's wort extract, The risk or severity of adverse effects can be increased when Propofol is combined with St. John's Wort.]
[L01EA06, asciminib, The metabolism of Propofol can be decreased when combined with Asciminib.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of neuropsychiatric effects can be increased when Ropeginterferon alfa-2b is combined with Propofol.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Propofol.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Clofazimine.]
[C10AB01, clofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Clofibrate is combined with Propofol.]
[B06AX04, mitapivat, The metabolism of Propofol can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Propofol is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Pacritinib.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Propofol.]
[N03AE01, clonazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Clonazepam.]
[S01EA04, clonidine, The risk or severity of sedation can be increased when Clonidine is combined with Propofol.]
[C01EB24, mavacamten, The serum concentration of Propofol can be decreased when it is combined with Mavacamten.]
[N05AH06, clothiapine, The risk or severity of adverse effects can be increased when Propofol is combined with Clothiapine.]
[H01CC04, linzagolix, The serum concentration of Propofol can be increased when it is combined with Linzagolix.]
[N05BA21, clotiazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Clotiazepam.]
[A04AA01, ondansetron, The risk or severity of adverse effects can be increased when Propofol is combined with Ondansetron.]
[A04AA02, granisetron, The risk or severity of adverse effects can be increased when Propofol is combined with Granisetron.]
[N05AH02, clozapine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Clozapine.]
[N05BA13, halazepam, The risk or severity of adverse effects can be increased when Halazepam is combined with Propofol.]
[S02DA02, cocaine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Cocaine.]
[C02KB01, metyrosine, Propofol may increase the sedative activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Propofol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Propofol is combined with Proquazone.]
[R05DA04, codeine, Codeine may increase the sedative activities of Propofol.]
[M03AC05, hexafluorenium, The risk or severity of adverse effects can be increased when Propofol is combined with Hexafluronium.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Propofol.]
[A03AB10, hexocyclium, Propofol may increase the central nervous system depressant (CNS depressant) activities of Hexocyclium.]
[A03BB06, homatropine methylbromide, Propofol may increase the central nervous system depressant (CNS depressant) activities of Homatropine methylbromide.]
[L04AA13, leflunomide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Leflunomide.]
[N01AB07, desflurane, The risk or severity of adverse effects can be increased when Propofol is combined with Desflurane.]
[A04AA03, tropisetron, The risk or severity of adverse effects can be increased when Propofol is combined with Tropisetron.]
[C04AX28, ifenprodil, The risk or severity of adverse effects can be increased when Propofol is combined with Ifenprodil.]
[A10BX03, nateglinide, The metabolism of Propofol can be decreased when combined with Nateglinide.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Propofol is combined with Imidazole salicylate.]
[J01FA15, telithromycin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Telithromycin.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Propofol is combined with Indobufen.]
[R06AX27, desloratadine, The risk or severity of adverse effects can be increased when Propofol is combined with Desloratadine.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Valdecoxib is combined with Propofol.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Propofol is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of adverse effects can be increased when Propofol is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Propofol is combined with Parecoxib.]
[J02AC02, itraconazole, The metabolism of Propofol can be decreased when combined with Itraconazole.]
[S01GX06, emedastine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Emedastine.]
[N05BA10, ketazolam, The risk or severity of adverse effects can be increased when Propofol is combined with Ketazolam.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Propofol is combined with Kebuzone.]
[L02BA03, fulvestrant, The metabolism of Fulvestrant can be decreased when combined with Propofol.]
[L01EA01, imatinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Imatinib.]
[J02AC04, posaconazole, The risk or severity of QTc prolongation can be increased when Propofol is combined with Posaconazole.]
[C08CA09, lacidipine, Propofol may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, The metabolism of Propofol can be increased when combined with Lamotrigine.]
[S01GX02, levocabastine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Levocabastine.]
[H01CA02, nafarelin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Nafarelin is combined with Propofol.]
[N07BC04, lofexidine, The therapeutic efficacy of Propofol can be increased when used in combination with Lofexidine.]
[S01AE04, lomefloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Lomefloxacin.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Propofol is combined with Lonazolac.]
[R06AX13, loratadine, The metabolism of Propofol can be decreased when combined with Loratadine.]
[N05CD06, lormetazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Lormetazepam.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Propofol is combined with Loxoprofen.]
[C09AA03, lisinopril, Propofol may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The metabolism of Propofol can be decreased when combined with Manidipine.]
[A03AA04, mebeverine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Mebeverine.]
[N06AX13, medifoxamine, The risk or severity of adverse effects can be increased when Propofol is combined with Medifoxamine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Propofol is combined with Mefenorex.]
[R06AD07, mequitazine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Mequitazine.]
[C01EB10, adenosine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Adenosine.]
[N04AA03, methixene, Propofol may increase the central nervous system depressant (CNS depressant) activities of Metixene.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Propofol is combined with Methoxyphenamine.]
[R06AE03, cyclizine, The risk or severity of adverse effects can be increased when Propofol is combined with Cyclizine.]
[N05CA10, cyclobarbital, The risk or severity of adverse effects can be increased when Propofol is combined with Cyclobarbital.]
[C03DA04, eplerenone, Propofol may decrease the antihypertensive activities of Eplerenone.]
[N05AD03, metylperon, The risk or severity of adverse effects can be increased when Propofol is combined with Melperone.]
[C03AA07, cyclopenthiazide, Propofol may decrease the antihypertensive activities of Cyclopenthiazide.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be decreased when combined with Propofol.]
[N06AX07, minaprine, Minaprine may increase the orthostatic hypotensive activities of Propofol.]
[S01XA18, cyclosporine, The metabolism of Cyclosporine can be decreased when combined with Propofol.]
[N06AG02, moclobemide, Moclobemide may increase the orthostatic hypotensive activities of Propofol.]
[N06BA07, modafinil, The metabolism of Propofol can be decreased when combined with Modafinil.]
[R06AX02, cyproheptadine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Cyproheptadine.]
[C09AA13, moexipril, The risk or severity of QTc prolongation can be increased when Moexipril is combined with Propofol.]
[C10AA07, rosuvastatin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Rosuvastatin.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Propofol is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Propofol is combined with Morniflumate.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be decreased when combined with Propofol.]
[C02AC05, moxonidine, Propofol may decrease the antihypertensive activities of Moxonidine.]
[L01BC01, cytarabine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Cytarabine.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Propofol.]
[M01AH05, etoricoxib, The metabolism of Propofol can be decreased when combined with Etoricoxib.]
[M03CA01, dantrolene, The risk or severity of adverse effects can be increased when Propofol is combined with Dantrolene.]
[J04BA02, dapsone, The metabolism of Propofol can be decreased when combined with Dapsone.]
[N06BX04, deanol, The risk or severity of adverse effects can be increased when Propofol is combined with Deanol.]
[C02CC04, debrisoquin, Propofol may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, Nabilone may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[M01AX01, nabumetone, The risk or severity of hypertension can be increased when Nabumetone is combined with Propofol.]
[N05BA16, nordazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Nordazepam.]
[C07AB12, nebivolol, Propofol may decrease the antihypertensive activities of Nebivolol.]
[N06AX06, nefazodone, The risk or severity of adverse effects can be increased when Propofol is combined with Nefazodone.]
[N05CM16, niaprazine, The risk or severity of adverse effects can be increased when Propofol is combined with Niaprazine.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Propofol.]
[L02BB02, nilutamide, The metabolism of Propofol can be decreased when combined with Nilutamide.]
[N03AG06, tiagabine, The risk or severity of adverse effects can be increased when Propofol is combined with Tiagabine.]
[C01CA23, theodrenaline, The risk or severity of hypertension can be increased when Propofol is combined with Theodrenaline.]
[M03AC11, cisatracurium, The risk or severity of adverse effects can be increased when Cisatracurium is combined with Propofol.]
[C01CA05, norfenefrine, The risk or severity of hypertension can be increased when Propofol is combined with Norfenefrine.]
[R05DA06, normethadone, The risk or severity of adverse effects can be increased when Propofol is combined with Normethadone.]
[N06AB10, escitalopram, The risk or severity of adverse effects can be increased when Propofol is combined with Escitalopram.]
[G04BD08, solifenacin, Propofol may increase the central nervous system depressant (CNS depressant) activities of Solifenacin.]
[A07EC03, olsalazine, The risk or severity of hypertension can be increased when Propofol is combined with Olsalazine.]
[N06AA01, desipramine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Desipramine.]
[H01BA02, desmopressin, The risk or severity of hypertension can be increased when Desmopressin is combined with Propofol.]
[C09XA02, aliskiren, Propofol may decrease the antihypertensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Oxaliplatin.]
[M01AE12, oxaprozin, The risk or severity of hypertension can be increased when Propofol is combined with Oxaprozin.]
[N03AF02, oxcarbazepine, The risk or severity of adverse effects can be increased when Oxcarbazepine is combined with Propofol.]
[S03BA01, dexamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Dexamethasone.]
[N06BX07, oxiracetam, The risk or severity of adverse effects can be increased when Propofol is combined with Oxiracetam.]
[N04AA08, dexetimide, Propofol may increase the central nervous system depressant (CNS depressant) activities of Dexetimide.]
[G04BD04, oxybutynin, Propofol may increase the central nervous system depressant (CNS depressant) activities of Oxybutynin.]
[A03AA01, oxyphencyclimine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Oxyphencyclimine.]
[L04AB04, adalimumab, The metabolism of Propofol can be increased when combined with Adalimumab.]
[N06BA02, dextroamphetamine, The risk or severity of hypertension can be increased when Amphetamine is combined with Propofol.]
[R05DA09, dextromethorphan, The risk or severity of adverse effects can be increased when Dextromethorphan is combined with Propofol.]
[N03AC01, paramethadione, The risk or severity of adverse effects can be increased when Paramethadione is combined with Propofol.]
[N02AC01, dextromoramide, Dextromoramide may increase the sedative activities of Propofol.]
[N06AB05, paroxetine, The risk or severity of adverse effects can be increased when Propofol is combined with Paroxetine.]
[B01AC04, clopidogrel, The metabolism of Propofol can be decreased when combined with Clopidogrel.]
[N07BC06, heroin, Diamorphine may increase the sedative activities of Propofol.]
[N05BA01, diazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Diazepam.]
