[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methimazole.]
[A06AH05, naldemedine, Methimazole may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Methimazole.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N06BC01, caffeine, Methimazole may decrease the excretion rate of Caffeine which could result in a higher serum level.]
[D05AX03, calcitriol, The metabolism of Calcitriol can be decreased when combined with Methimazole.]
[P01CA02, benznidazole, Methimazole may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Methimazole.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Methimazole.]
[J05AF06, abacavir, Methimazole may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Methimazole.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Methimazole.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Methimazole.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Methimazole.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Methimazole.]
[N04BD03, safinamide, The metabolism of Safinamide can be decreased when combined with Methimazole.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Sarilumab.]
[J01MA23, delafloxacin, Methimazole may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[B01AF04, betrixaban, Methimazole may increase the anticoagulant activities of Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Guselkumab.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Methimazole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Methimazole.]
[L01EH02, neratinib, The serum concentration of Neratinib can be increased when it is combined with Methimazole.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Methimazole is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Methimazole.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Methimazole.]
[C07AB07, bisoprolol, The excretion of Bisoprolol can be decreased when combined with Methimazole.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Methimazole.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C07AA17, bopindolol, The excretion of Bopindolol can be decreased when combined with Methimazole.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Methimazole.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Methimazole.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Methimazole.]
[N05CD09, brotizolam, The metabolism of Brotizolam can be decreased when combined with Methimazole.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The metabolism of Budesonide can be decreased when combined with Methimazole.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Methimazole.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Methimazole.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Methimazole.]
[N06AA15, butriptyline, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Methimazole.]
[N01BX04, capsaicin, The metabolism of Capsaicin can be decreased when combined with Methimazole.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Methimazole may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[V04CD06, macimorelin, The metabolism of Macimorelin can be decreased when combined with Methimazole.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Methimazole.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Methimazole.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Methimazole.]
[C07AG02, carvedilol, The excretion of Carvedilol can be decreased when combined with Methimazole.]
[B02BX09, fostamatinib, The metabolism of Fostamatinib can be decreased when combined with Methimazole.]
[N03AX24, cannabidiol, The metabolism of Cannabidiol can be decreased when combined with Methimazole.]
[L04AA37, baricitinib, The metabolism of Baricitinib can be decreased when combined with Methimazole.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Methimazole.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Methimazole.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01GB14, plazomicin, Methimazole may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The excretion of Celiprolol can be decreased when combined with Methimazole.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Methimazole.]
[L01XX62, ivosidenib, The metabolism of Ivosidenib can be decreased when combined with Methimazole.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Methimazole.]
[A16AX14, migalastat, Methimazole may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Methimazole can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Methimazole.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Methimazole.]
[L01EM04, duvelisib, The metabolism of Duvelisib can be decreased when combined with Methimazole.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Methimazole.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Methimazole.]
[D08AE05, chloroxylenol, Methimazole may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Methimazole.]
[R03DA02, oxtriphylline, Methimazole may decrease the excretion rate of Oxtriphylline which could result in a higher serum level.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M03BA02, carisoprodol, The metabolism of Carisoprodol can be decreased when combined with Methimazole.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Methimazole.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Methimazole.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Methimazole.]
[L01EX12, larotrectinib, The metabolism of Larotrectinib can be decreased when combined with Methimazole.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be decreased when combined with Methimazole.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Methimazole.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Ravulizumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Methimazole.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Methimazole.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be increased when it is combined with Methimazole.]
[S01ED05, carteolol, The excretion of Carteolol can be decreased when combined with Methimazole.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Methimazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Methimazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Methimazole is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Clarithromycin can be decreased when combined with Methimazole.]
[N06BA14, solriamfetol, Methimazole may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Methimazole.]
[N05BA09, clobazam, The metabolism of Clobazam can be decreased when combined with Methimazole.]
[H02AB14, cloprednol, The metabolism of Cloprednol can be decreased when combined with Methimazole.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Methimazole.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Methimazole.]
[H02AB17, cortivazol, The metabolism of Cortivazol can be decreased when combined with Methimazole.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be decreased when combined with Methimazole.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Methimazole is combined with Polatuzumab vedotin.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01XX66, selinexor, The metabolism of Selinexor can be decreased when combined with Methimazole.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L02BB06, darolutamide, The serum concentration of Darolutamide can be increased when it is combined with Methimazole.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be decreased when combined with Methimazole.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Methimazole.]
[L04AA44, upadacitinib, The metabolism of Upadacitinib can be decreased when combined with Methimazole.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Methimazole.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be decreased when combined with Methimazole.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Methimazole.]
[J04AK08, pretomanid, The serum concentration of Pretomanid can be increased when it is combined with Methimazole.]
[J01XX12, lefamulin, The serum concentration of Lefamulin can be increased when it is combined with Methimazole.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Methimazole.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Methimazole.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Methimazole.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be decreased when combined with Methimazole.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[H02AB13, deflazacort, The serum concentration of Deflazacort can be increased when it is combined with Methimazole.]
[G03DB05, demegestone, The metabolism of Demegestone can be decreased when combined with Methimazole.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Methimazole.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Methimazole.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Methimazole is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Methimazole.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Methimazole.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Methimazole.]
[N03AX25, cenobamate, The metabolism of Cenobamate can be decreased when combined with Methimazole.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M09AX08, golodirsen, Methimazole may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Methimazole.]
[L01FX13, enfortumab vedotin, The serum concentration of Enfortumab vedotin can be increased when it is combined with Methimazole.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Methimazole.]
[S01XA12, dexpanthenol, Methimazole may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Methimazole.]
[N05CM21, lemborexant, The metabolism of Lemborexant can be decreased when combined with Methimazole.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be decreased when combined with Methimazole.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Teprotumumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be increased when it is combined with Methimazole.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be decreased when combined with Methimazole.]
[J05AB16, remdesivir, The metabolism of Remdesivir can be decreased when combined with Methimazole.]
[H02CA02, osilodrostat, The serum concentration of Osilodrostat can be increased when it is combined with Methimazole.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Methimazole.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Methimazole.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Methimazole is combined with Ozanimod.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be increased when it is combined with Methimazole.]
[R02AA03, dichlorobenzyl alcohol, Methimazole may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, The metabolism of Dienogest can be decreased when combined with Methimazole.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Methimazole.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Methimazole.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Methimazole.]
[L01XF03, bexarotene, The metabolism of Bexarotene can be decreased when combined with Methimazole.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Methimazole.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be decreased when combined with Methimazole.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Methimazole.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Methimazole.]
[L01EN02, pemigatinib, The metabolism of Pemigatinib can be decreased when combined with Methimazole.]
[L01EH03, tucatinib, The therapeutic efficacy of Methimazole can be decreased when used in combination with Tucatinib.]
[L01EX17, capmatinib, The metabolism of Capmatinib can be decreased when combined with Methimazole.]
[D07XB03, fluprednidene, The metabolism of Fluprednidene can be decreased when combined with Methimazole.]
[P01BE01, artemisinin, The metabolism of Artemisinin can be decreased when combined with Methimazole.]
[M01AC04, droxicam, Droxicam may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01EX19, ripretinib, The serum concentration of Ripretinib can be increased when it is combined with Methimazole.]
[V08CA05, mangafodipir, Methimazole may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, The metabolism of Selpercatinib can be decreased when combined with Methimazole.]
[B01AE02, lepirudin, Methimazole may increase the anticoagulant activities of Lepirudin.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N05CM02, chlormethiazole, The metabolism of Clomethiazole can be decreased when combined with Methimazole.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Methimazole is combined with Inebilizumab.]
[L01XX69, lurbinectedin, The serum concentration of Lurbinectedin can be increased when it is combined with Methimazole.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Methimazole is combined with Stepronin.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Methimazole.]
[R06AX22, ebastine, The metabolism of Ebastine can be decreased when combined with Methimazole.]
[J05AX29, fostemsavir, The metabolism of Fostemsavir can be decreased when combined with Methimazole.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Methimazole.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Methimazole.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Methimazole.]
[L01EX23, pralsetinib, The serum concentration of Pralsetinib can be increased when it is combined with Methimazole.]
[C03AA04, chlorothiazide, Chlorothiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Methimazole.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Methimazole.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be decreased when used in combination with Methimazole.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Methimazole.]
[A11CC05, cholecalciferol, The metabolism of Cholecalciferol can be decreased when combined with Methimazole.]
[N02BA07, ethenzamide, Ethenzamide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N02BA03, choline salicylate, Methimazole may decrease the excretion rate of Choline salicylate which could result in a higher serum level.]
[N06BX18, vinpocetine, The metabolism of Vinpocetine can be decreased when combined with Methimazole.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be decreased when combined with Methimazole.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Methimazole.]
[M02AA06, etofenamate, Etofenamate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Methimazole.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Methimazole is combined with Fludarabine.]
[L02BX04, relugolix, The metabolism of Relugolix can be decreased when combined with Methimazole.]
[M01AX25, chondroitin sulfates, Methimazole may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L04AD03, voclosporin, The metabolism of Voclosporin can be decreased when combined with Methimazole.]
[L01EX21, tepotinib, The serum concentration of Tepotinib can be increased when it is combined with Methimazole.]
[N03AX10, felbamate, The metabolism of Felbamate can be decreased when combined with Methimazole.]
[M01AE05, fenbufen, Fenbufen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N06BA10, fenethylline, Methimazole may decrease the excretion rate of Fenethylline which could result in a higher serum level.]
[C01CA19, fenoldopam, Methimazole may decrease the excretion rate of Fenoldopam which could result in a higher serum level.]
[N06BA08, fenozolone, The risk or severity of adverse effects can be increased when Fenozolone is combined with Methimazole.]
[G04CB01, finasteride, The metabolism of Finasteride can be decreased when combined with Methimazole.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R03BA03, flunisolide, The metabolism of Flunisolide can be decreased when combined with Methimazole.]
[S02BA08, fluocinolone acetonide, The metabolism of Fluocinolone acetonide can be decreased when combined with Methimazole.]
[N02BG07, flupirtine, Methimazole may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Methimazole.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be decreased when used in combination with Methimazole.]
[L04AA50, ponesimod, The metabolism of Ponesimod can be decreased when combined with Methimazole.]
[L01EK03, tivozanib, The therapeutic efficacy of Methimazole can be decreased when used in combination with Tivozanib.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Methimazole.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Methimazole.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be decreased when combined with Methimazole.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Methimazole.]
[N06AB04, citalopram, Methimazole may increase the QTc-prolonging activities of Citalopram.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Methimazole is combined with Pegcetacoplan.]
[J02AX07, ibrexafungerp, The serum concentration of Ibrexafungerp can be increased when it is combined with Methimazole.]
[C03DA05, finerenone, The serum concentration of the active metabolites of Finerenone can be increased when Finerenone is used in combination with Methimazole.]
[L04AA48, belumosudil, The metabolism of Belumosudil can be decreased when combined with Methimazole.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be decreased when combined with Methimazole.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Anifrolumab.]
[L01XX74, belzutifan, The serum concentration of Belzutifan can be increased when it is combined with Methimazole.]
[L01EB10, mobocertinib, The serum concentration of Mobocertinib can be increased when it is combined with Methimazole.]
[L01FX23, tisotumab vedotin, The metabolism of Tisotumab vedotin can be decreased when combined with Methimazole.]
[N02CD07, atogepant, The serum concentration of Atogepant can be increased when it is combined with Methimazole.]
[V09AB03, ioflupane I-123, Methimazole may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Methimazole may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Methimazole may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[L04AA59, avacopan, The metabolism of Avacopan can be decreased when combined with Methimazole.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Methimazole.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be decreased when used in combination with Methimazole.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be decreased when used in combination with Methimazole.]
[R03CC13, clenbuterol, The risk or severity of adverse effects can be increased when Clenbuterol is combined with Methimazole.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be decreased when combined with Methimazole.]
[N06AX25, St. John's wort extract, The metabolism of St. John's Wort can be decreased when combined with Methimazole.]
[L01EA06, asciminib, The serum concentration of Asciminib can be increased when it is combined with Methimazole.]
[L02BG06, exemestane, The metabolism of Exemestane can be decreased when combined with Methimazole.]
[J05AX10, maribavir, The metabolism of Maribavir can be decreased when combined with Methimazole.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Methimazole is combined with Ropeginterferon alfa-2b.]
[D11AH08, abrocitinib, The metabolism of Abrocitinib can be decreased when combined with Methimazole.]
[B01AD11, tenecteplase, Methimazole may increase the anticoagulant activities of Tenecteplase.]
[C10AB01, clofibrate, The metabolism of Clofibrate can be decreased when combined with Methimazole.]
[B06AX04, mitapivat, The metabolism of Mitapivat can be decreased when combined with Methimazole.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Methimazole.]
[L01EJ03, pacritinib, The serum concentration of Pacritinib can be increased when it is combined with Methimazole.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Methimazole.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be decreased when combined with Methimazole.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Methimazole.]
[C01EB24, mavacamten, The serum concentration of Mavacamten can be increased when it is combined with Methimazole.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A02BC08, vonoprazan, The metabolism of Vonoprazan can be decreased when combined with Methimazole.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Methimazole is combined with Spesolimab.]
[L04AA56, deucravacitinib, The therapeutic efficacy of Methimazole can be decreased when used in combination with Deucravacitinib.]
[N05BA21, clotiazepam, The metabolism of Clotiazepam can be decreased when combined with Methimazole.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Methimazole.]
[A04AA02, granisetron, The metabolism of Granisetron can be decreased when combined with Methimazole.]
[L01XX77, adagrasib, The serum concentration of Adagrasib can be increased when it is combined with Methimazole.]
[N05AH02, clozapine, The risk or severity of neutropenia can be increased when Methimazole is combined with Clozapine.]
[L01EN04, futibatinib, The metabolism of Futibatinib can be decreased when combined with Methimazole.]
[J01GB12, arbekacin, Methimazole may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[M09AX11, palovarotene, The serum concentration of Palovarotene can be increased when it is combined with Methimazole.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Methimazole.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Methimazole.]
[J01XB01, colistin, Methimazole may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Methimazole is combined with Leflunomide.]
[A04AA03, tropisetron, Methimazole may decrease the excretion rate of Tropisetron which could result in a higher serum level.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Methimazole.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Methimazole is combined with Nelarabine.]
