[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Metoprolol.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Metoprolol.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01GB14, plazomicin, Metoprolol may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Metoprolol may increase the arrhythmogenic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Metoprolol.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Metoprolol.]
[A16AX14, migalastat, Metoprolol may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Metoprolol can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Metoprolol.]
[S01GX12, cetirizine, Metoprolol may decrease the excretion rate of Cetirizine which could result in a higher serum level.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Metoprolol.]
[D08AE05, chloroxylenol, Metoprolol may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the antihypertensive activities of Metoprolol.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Metoprolol.]
[L04AA39, emapalumab, The metabolism of Metoprolol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[A06AX05, prucalopride, Metoprolol may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C01BG07, cifenline, Metoprolol may increase the arrhythmogenic activities of Cibenzoline.]
[C09AA08, cilazapril, Metoprolol may increase the hypotensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Metoprolol.]
[A03FA08, cinitapride, Cinitapride may decrease the antihypertensive activities of Metoprolol.]
[S01ED05, carteolol, Metoprolol may increase the arrhythmogenic activities of Carteolol.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Metoprolol.]
[L04AA42, siponimod, Siponimod may decrease the antihypertensive activities of Metoprolol.]
[N06BA14, solriamfetol, The serum concentration of Solriamfetol can be increased when it is combined with Metoprolol.]
[N05BA09, clobazam, The metabolism of Metoprolol can be decreased when combined with Clobazam.]
[C01EB09, ubidecarenone, The therapeutic efficacy of Ubidecarenone can be decreased when used in combination with Metoprolol.]
[V03AE07, calcium acetate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium acetate.]
[C09CA06, candesartan, Metoprolol may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Metoprolol can be increased when combined with Etanercept.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N05AA06, cyamemazine, The serum concentration of Metoprolol can be increased when it is combined with Cyamemazine.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C03BX03, cicletanine, Metoprolol may increase the arrhythmogenic activities of Cicletanine.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[L01EJ02, fedratinib, The metabolism of Metoprolol can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The metabolism of Pitolisant can be decreased when combined with Metoprolol.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Metoprolol.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Cyclothiazide.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Metoprolol.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Metoprolol.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N02CC08, lasmiditan, Lasmiditan may increase the bradycardic activities of Metoprolol.]
[A16AX16, givosiran, The serum concentration of Metoprolol can be increased when it is combined with Givosiran.]
[M09AX08, golodirsen, Metoprolol may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Metoprolol.]
[S01XA12, dexpanthenol, Metoprolol may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[M01AX21, diacetylrhein, The metabolism of Metoprolol can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Metoprolol can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Metoprolol.]
[N02CC07, frovatriptan, Frovatriptan may decrease the antihypertensive activities of Metoprolol.]
[G04CB02, dutasteride, Dutasteride may decrease the antihypertensive activities of Metoprolol.]
[R02AA03, dichlorobenzyl alcohol, Metoprolol may decrease the excretion rate of Dichlorobenzyl alcohol which could result in a higher serum level.]
[G03DB08, dienogest, Metoprolol may decrease the excretion rate of Dienogest which could result in a higher serum level.]
[L01XD01, porfimer sodium, Metoprolol may increase the photosensitizing activities of Porfimer sodium.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Metoprolol.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Metoprolol.]
[M01AH02, rofecoxib, Rofecoxib may decrease the antihypertensive activities of Metoprolol.]
[C08CA16, clevidipine, Metoprolol may increase the arrhythmogenic activities of Clevidipine.]
[C01BD07, dronedarone, Dronedarone may increase the bradycardic activities of Metoprolol.]
[C02AA06, methoserpidine, Metoprolol may increase the hypotensive activities of Methoserpidine.]
[N04BX04, opicapone, The risk or severity of adverse effects can be increased when Metoprolol is combined with Opicapone.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Metoprolol.]
[G04BD09, trospium, The metabolism of Metoprolol can be decreased when combined with Trospium.]
[M01AC04, droxicam, Droxicam may decrease the antihypertensive activities of Metoprolol.]
[V08CA05, mangafodipir, Metoprolol may decrease the excretion rate of Mangafodipir which could result in a higher serum level.]
[L01EX22, selpercatinib, Selpercatinib may decrease the antihypertensive activities of Metoprolol.]
[M02AA27, dexketoprofen, Dexketoprofen may decrease the antihypertensive activities of Metoprolol.]
[C08CA17, levamlodipine, The risk or severity of bradycardia can be increased when Levamlodipine is combined with Metoprolol.]
[P01BB01, proguanil, The metabolism of Metoprolol can be decreased when combined with Proguanil.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be increased when it is combined with Metoprolol.]
[P01BA01, chloroquine, The metabolism of Chloroquine can be decreased when combined with Metoprolol.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Chlorothiazide.]
[R06AB04, chlorpheniramine, The metabolism of Chlorpheniramine can be decreased when combined with Metoprolol.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Metoprolol.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Metoprolol.]
[C03BA04, chlorthalidone, Chlorthalidone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Metoprolol.]
[A11CC05, cholecalciferol, The metabolism of Metoprolol can be decreased when combined with Cholecalciferol.]
[N02BA07, ethenzamide, Ethenzamide may decrease the antihypertensive activities of Metoprolol.]
[N02BA03, choline salicylate, The serum concentration of Choline salicylate can be increased when it is combined with Metoprolol.]
[N06BX18, vinpocetine, Metoprolol may increase the arrhythmogenic activities of Vinpocetine.]
[M01AB08, etodolac, Etodolac may decrease the antihypertensive activities of Metoprolol.]
[M02AA06, etofenamate, Etofenamate may decrease the antihypertensive activities of Metoprolol.]
[B06AC06, berotralstat, The metabolism of Metoprolol can be decreased when combined with Berotralstat.]
[M09AA01, hydroquinine, Metoprolol may increase the arrhythmogenic activities of Hydroquinine.]
[M01AX25, chondroitin sulfates, Metoprolol may decrease the excretion rate of Chondroitin sulfate which could result in a higher serum level.]
[L01FX21, naxitamab, Naxitamab may decrease the antihypertensive activities of Metoprolol.]
[C01DX22, vericiguat, The risk or severity of adverse effects can be increased when Metoprolol is combined with Vericiguat.]
[M01AE05, fenbufen, Fenbufen may decrease the antihypertensive activities of Metoprolol.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Fenethylline.]
[C01CA19, fenoldopam, Metoprolol may increase the hypotensive activities of Fenoldopam.]
[N06BA08, fenozolone, Fenozolone may decrease the antihypertensive activities of Metoprolol.]
[G04CB01, finasteride, Finasteride may decrease the antihypertensive activities of Metoprolol.]
[J01DD15, cefdinir, Metoprolol may decrease the excretion rate of Cefdinir which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Metoprolol may decrease the excretion rate of Fluocinolone acetonide which could result in a higher serum level.]
[N02BG07, flupirtine, Metoprolol may decrease the excretion rate of Flupirtine which could result in a higher serum level.]
[R03CC15, formoterol, The metabolism of Formoterol can be decreased when combined with Metoprolol.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Metoprolol.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Metoprolol.]
[N01AB05, trichloroethylene, Trichloroethylene may decrease the antihypertensive activities of Metoprolol.]
[L03AB10, peginterferon alfa-2b, The metabolism of Metoprolol can be decreased when combined with Peginterferon alfa-2b.]
[H04AA02, dasiglucagon, Metoprolol may increase the hypotensive activities of Dasiglucagon.]
[A02BA01, cimetidine, The metabolism of Metoprolol can be decreased when combined with Cimetidine.]
[V08CA04, gadoteridol, Metoprolol may decrease the excretion rate of Gadoteridol which could result in a higher serum level.]
[N07CA02, cinnarizine, Metoprolol may increase the arrhythmogenic activities of Cinnarizine.]
[S03AA07, ciprofloxacin, Metoprolol may decrease the excretion rate of Ciprofloxacin which could result in a higher serum level.]
[L01XA01, cisplatin, The serum concentration of Cisplatin can be increased when it is combined with Metoprolol.]
[N06AB04, citalopram, The metabolism of Citalopram can be decreased when combined with Metoprolol.]
[C03DA05, finerenone, Finerenone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Metoprolol is combined with Fexinidazole.]
[V09AB03, ioflupane I-123, Metoprolol may decrease the excretion rate of Ioflupane I-123 which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Metoprolol may decrease the excretion rate of Technetium Tc-99m exametazime which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Metoprolol may decrease the excretion rate of Florbetaben (18F) which could result in a higher serum level.]
[R06AA04, clemastine, The metabolism of Metoprolol can be decreased when combined with Clemastine.]
[M01AG01, mefenamic acid, Mefenamic acid may decrease the antihypertensive activities of Metoprolol.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Metoprolol.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Metoprolol.]
[R03CC13, clenbuterol, The therapeutic efficacy of Clenbuterol can be decreased when used in combination with Metoprolol.]
[A12AA02, calcium glubionate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium glubionate anhydrous.]
[N06AX25, St. John's wort extract, The metabolism of Metoprolol can be decreased when combined with St. John's Wort.]
[L03AB15, ropeginterferon alfa-2b, The metabolism of Metoprolol can be decreased when combined with Ropeginterferon alfa-2b.]
[N01BB10, levobupivacaine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Levobupivacaine.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Metoprolol.]
[N03AE01, clonazepam, Metoprolol may decrease the excretion rate of Clonazepam which could result in a higher serum level.]
[S01EA04, clonidine, The risk or severity of hypotension can be increased when Clonidine is combined with Metoprolol.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Metoprolol.]
[C03BA03, clopamide, Clopamide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be decreased when combined with Metoprolol.]
[L01XX77, adagrasib, The serum concentration of Metoprolol can be increased when it is combined with Adagrasib.]
[N05AH02, clozapine, The metabolism of Clozapine can be decreased when combined with Metoprolol.]
[A10BX01, guar gum, The therapeutic efficacy of Guar gum can be increased when used in combination with Metoprolol.]
[A10BK06, sotagliflozin, The therapeutic efficacy of Sotagliflozin can be increased when used in combination with Metoprolol.]
[J01GB12, arbekacin, Metoprolol may decrease the excretion rate of Arbekacin which could result in a higher serum level.]
[S02DA02, cocaine, The metabolism of Metoprolol can be decreased when combined with Cocaine.]
[C02KB01, metyrosine, Metoprolol may increase the hypotensive activities of Metyrosine.]
[L04AC21, bimekizumab, The metabolism of Metoprolol can be increased when combined with Bimekizumab.]
[M01AX13, proquazone, Proquazone may decrease the antihypertensive activities of Metoprolol.]
[R05DA04, codeine, The metabolism of Codeine can be decreased when combined with Metoprolol.]
[M03AC05, hexafluorenium, Hexafluronium may increase the bradycardic activities of Metoprolol.]
[M04AC01, colchicine, Metoprolol may decrease the excretion rate of Colchicine which could result in a higher serum level.]
[J01XB01, colistin, Metoprolol may decrease the excretion rate of Colistin which could result in a higher serum level.]
[J01DE02, cefpirome, Cefpirome may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C01BA13, hydroquinidine, Metoprolol may increase the arrhythmogenic activities of Hydroquinidine.]
[N01AB07, desflurane, Desflurane may decrease the antihypertensive activities of Metoprolol.]
[A04AA03, tropisetron, Metoprolol may increase the arrhythmogenic activities of Tropisetron.]
[C04AX28, ifenprodil, Ifenprodil may decrease the antihypertensive activities of Metoprolol.]
[A10BX03, nateglinide, The metabolism of Nateglinide can be decreased when combined with Metoprolol.]
[N02BA16, imidazole-2-hydroxybenzoate, Imidazole salicylate may decrease the antihypertensive activities of Metoprolol.]
[H01AC03, mecasermin, The therapeutic efficacy of Mecasermin can be increased when used in combination with Metoprolol.]
[A10AE04, insulin glargine, The therapeutic efficacy of Insulin glargine can be increased when used in combination with Metoprolol.]
[R03BA08, ciclesonide, The metabolism of Ciclesonide can be decreased when combined with Metoprolol.]
[B01AC10, indobufen, Indobufen may decrease the antihypertensive activities of Metoprolol.]
[J05AB14, valganciclovir, Metoprolol may decrease the excretion rate of Valganciclovir which could result in a higher serum level.]
[C05BB03, invert sugar, Metoprolol may decrease the excretion rate of Invert sugar which could result in a higher serum level.]
[V08AB09, iodixanol, Metoprolol may decrease the excretion rate of Iodixanol which could result in a higher serum level.]
[V08AB05, iopromide, Metoprolol may decrease the excretion rate of Iopromide which could result in a higher serum level.]
[V08AB07, ioversol, Metoprolol may decrease the excretion rate of Ioversol which could result in a higher serum level.]
[V08AB12, ioxilan, Metoprolol may decrease the excretion rate of Ioxilan which could result in a higher serum level.]
[M01AH03, valdecoxib, Valdecoxib may decrease the antihypertensive activities of Metoprolol.]
[H01AX01, pegvisomant, Pegvisomant may increase the bradycardic activities of Metoprolol.]
[C01AA06, lanatoside C, Metoprolol may increase the bradycardic activities of Lanatoside C.]
[A03AX10, isometheptene, The therapeutic efficacy of Isometheptene can be decreased when used in combination with Metoprolol.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Metoprolol.]
[M01AH04, parecoxib, Parecoxib may decrease the antihypertensive activities of Metoprolol.]
[J02AC02, itraconazole, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Itraconazole.]
[B01AB12, bemiparin, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Bemiparin.]
[S01AD03, acyclovir, Acyclovir may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N05BA10, ketazolam, Metoprolol may decrease the excretion rate of Ketazolam which could result in a higher serum level.]
[M01AA06, kebuzone, Kebuzone may decrease the antihypertensive activities of Metoprolol.]
[L01EA01, imatinib, The serum concentration of Metoprolol can be increased when it is combined with Imatinib.]
[S01EE04, travoprost, Metoprolol may increase the hypotensive activities of Travoprost.]
[S01EE03, bimatoprost, Metoprolol may increase the hypotensive activities of Bimatoprost.]
[C08CA09, lacidipine, Metoprolol may increase the hypotensive activities of Lacidipine.]
[N03AX09, lamotrigine, Metoprolol may increase the arrhythmogenic activities of Lamotrigine.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be decreased when combined with Metoprolol.]
[M01AB09, lonazolac, Lonazolac may decrease the antihypertensive activities of Metoprolol.]
[M02AA31, loxoprofen, Loxoprofen may decrease the antihypertensive activities of Metoprolol.]
[J01DC08, loracarbef, Loracarbef may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C09AA03, lisinopril, Metoprolol may increase the hypotensive activities of Lisinopril.]
[A06AD01, magnesium carbonate, Metoprolol may decrease the excretion rate of Magnesium carbonate which could result in a higher serum level.]
[C08CA11, manidipine, Metoprolol may increase the arrhythmogenic activities of Manidipine.]
[A08AA09, mefenorex, Mefenorex may decrease the antihypertensive activities of Metoprolol.]
[C07AA14, mepindolol, The metabolism of Mepindolol can be decreased when combined with Metoprolol.]
[R06AD07, mequitazine, The metabolism of Mequitazine can be decreased when combined with Metoprolol.]
[J01DH02, meropenem, Metoprolol may decrease the excretion rate of Meropenem which could result in a higher serum level.]
[C01EB10, adenosine, Metoprolol may increase the arrhythmogenic activities of Adenosine.]
[C04AX01, cyclandelate, Metoprolol may increase the arrhythmogenic activities of Cyclandelate.]
[R03CB02, methoxyphenamine, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Methoxyphenamine.]
[C03DA04, eplerenone, Eplerenone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AD03, metylperon, Metoprolol may increase the arrhythmogenic activities of Melperone.]
[C03AA07, cyclopenthiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Cyclopenthiazide.]
[A10BF02, miglitol, The therapeutic efficacy of Miglitol can be increased when used in combination with Metoprolol.]
[J05AF07, tenofovir disoproxil, Tenofovir disoproxil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N06AX07, minaprine, The metabolism of Minaprine can be decreased when combined with Metoprolol.]
[S01XA18, cyclosporine, The metabolism of Metoprolol can be decreased when combined with Cyclosporine.]
[N06AG02, moclobemide, The metabolism of Moclobemide can be decreased when combined with Metoprolol.]
[C09AA13, moexipril, Metoprolol may increase the hypotensive activities of Moexipril.]
[M02AA02, mofebutazone, Mofebutazone may decrease the antihypertensive activities of Metoprolol.]
[M01AX22, morniflumate, Morniflumate may decrease the antihypertensive activities of Metoprolol.]
[C03XA02, conivaptan, Conivaptan may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[C02AC05, moxonidine, The therapeutic efficacy of Moxonidine can be decreased when used in combination with Metoprolol.]
[G04BE09, vardenafil, Vardenafil may increase the antihypertensive activities of Metoprolol.]
[M01AH05, etoricoxib, Etoricoxib may decrease the antihypertensive activities of Metoprolol.]
[L01AX04, dacarbazine, Metoprolol may decrease the excretion rate of Dacarbazine which could result in a higher serum level.]
[M03CA01, dantrolene, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Dantrolene.]
[C02CC04, debrisoquin, The metabolism of Debrisoquine can be decreased when combined with Metoprolol.]
[A04AD11, nabilone, The risk or severity of adverse effects can be increased when Metoprolol is combined with Nabilone.]
[M01AX01, nabumetone, Nabumetone may decrease the antihypertensive activities of Metoprolol.]
[N07BB05, nalmefene, Metoprolol may decrease the excretion rate of Nalmefene which could result in a higher serum level.]
[B05XA15, potassium lactate, Potassium lactate may increase the hyperkalemic activities of Metoprolol.]
[C07AB12, nebivolol, Metoprolol may increase the arrhythmogenic activities of Nebivolol.]
[S01GX04, nedocromil, Metoprolol may decrease the excretion rate of Nedocromil which could result in a higher serum level.]
[N06AX06, nefazodone, The metabolism of Nefazodone can be decreased when combined with Metoprolol.]
[C01DX16, nicorandil, Nicorandil may increase the hypotensive activities of Metoprolol.]
[L02BB02, nilutamide, Metoprolol may decrease the excretion rate of Nilutamide which could result in a higher serum level.]
[C01CA23, theodrenaline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Theodrenaline.]
[C01CA05, norfenefrine, The therapeutic efficacy of Norfenefrine can be decreased when used in combination with Metoprolol.]
[B01AX05, fondaparinux, Metoprolol may decrease the excretion rate of Fondaparinux which could result in a higher serum level.]
[N06AB10, escitalopram, The serum concentration of Metoprolol can be increased when it is combined with Escitalopram.]
[G04BD08, solifenacin, The metabolism of Solifenacin can be decreased when combined with Metoprolol.]
[A07EC03, olsalazine, Olsalazine may decrease the antihypertensive activities of Metoprolol.]
[N06AA01, desipramine, The metabolism of Desipramine can be decreased when combined with Metoprolol.]
[C01AA07, deslanoside, Metoprolol may increase the arrhythmogenic activities of Deslanoside.]
[H01BA02, desmopressin, Desmopressin may decrease the antihypertensive activities of Metoprolol.]
[V04CH02, indigo carmine, Metoprolol may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[J01DH03, ertapenem, Metoprolol may decrease the excretion rate of Ertapenem which could result in a higher serum level.]
[C09XA02, aliskiren, Metoprolol may increase the hypotensive activities of Aliskiren.]
[L01XA03, oxaliplatin, The serum concentration of Oxaliplatin can be increased when it is combined with Metoprolol.]
[M01AE12, oxaprozin, Oxaprozin may decrease the antihypertensive activities of Metoprolol.]
[G04BD04, oxybutynin, The metabolism of Metoprolol can be decreased when combined with Oxybutynin.]
[A08AA04, dexfenfluramine, The metabolism of Dexfenfluramine can be decreased when combined with Metoprolol.]
[L04AB04, adalimumab, The metabolism of Metoprolol can be increased when combined with Adalimumab.]
[L01EB01, gefitinib, The metabolism of Gefitinib can be decreased when combined with Metoprolol.]
[N06BA02, dextroamphetamine, The metabolism of Amphetamine can be decreased when combined with Metoprolol.]
[R05DA09, dextromethorphan, The metabolism of Dextromethorphan can be decreased when combined with Metoprolol.]
[N06AB05, paroxetine, The metabolism of Paroxetine can be decreased when combined with Metoprolol.]
[C04AD01, pentifylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Pentifylline.]
[P03AC04, permethrin, Metoprolol may decrease the excretion rate of Permethrin which could result in a higher serum level.]
[N05BA01, diazepam, Metoprolol may decrease the excretion rate of Diazepam which could result in a higher serum level.]
[V03AH01, diazoxide, Diazoxide may increase the hypotensive activities of Metoprolol.]
[N06AA08, dibenzepin, Dibenzepin may decrease the antihypertensive activities of Metoprolol.]
[S02DA04, dibucaine, Cinchocaine may increase the bradycardic activities of Metoprolol.]
[R05DA08, pholcodine, Metoprolol may decrease the excretion rate of Pholcodine which could result in a higher serum level.]
[S01EC02, dichlorphenamide, Diclofenamide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[S01BC03, diclofenac, Diclofenac may decrease the antihypertensive activities of Metoprolol.]
[J05AD01, foscarnet, Foscarnet may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[A03AA07, dicyclomine, Metoprolol may decrease the excretion rate of Dicyclomine which could result in a higher serum level.]
[J05AF02, didanosine, Metoprolol may decrease the excretion rate of Didanosine which could result in a higher serum level.]
[C02DG01, pinacidil, Metoprolol may increase the hypotensive activities of Pinacidil.]
[A03AX04, pinaverium, Metoprolol may increase the arrhythmogenic activities of Pinaverium.]
[A10BG03, pioglitazone, The therapeutic efficacy of Pioglitazone can be increased when used in combination with Metoprolol.]
[N05AD05, pipamperone, The risk or severity of adverse effects can be increased when Metoprolol is combined with Pipamperone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Metoprolol.]
[R03CC07, pirbuterol, The therapeutic efficacy of Pirbuterol can be decreased when used in combination with Metoprolol.]
[C03CA03, piretanide, Piretanide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P02CB02, diethylcarbamazine, Diethylcarbamazine may increase the bradycardic activities of Metoprolol.]
[A08AA03, diethylpropion, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Diethylpropion.]
[C08CA03, isradipine, Metoprolol may increase the arrhythmogenic activities of Isradipine.]
[D07XC04, diflucortolone, Metoprolol may decrease the excretion rate of Difluocortolone which could result in a higher serum level.]
[N02BA11, diflunisal, Diflunisal may decrease the antihypertensive activities of Metoprolol.]
[C01AA04, digitoxin, Metoprolol may increase the arrhythmogenic activities of Digitoxin.]
[C01AA05, digoxin, Metoprolol may increase the arrhythmogenic activities of Digoxin.]
[C02DB01, dihydralazine, Metoprolol may increase the hypotensive activities of Dihydralazine.]
[C04AE04, dihydroergocristine, Metoprolol may increase the vasoconstricting activities of Dihydroergocristine.]
[N02CA01, dihydroergotamine, Metoprolol may increase the vasoconstricting activities of Dihydroergotamine.]
[N02AA03, hydromorphone, Metoprolol may decrease the excretion rate of Hydromorphone which could result in a higher serum level.]
[L04AX04, lenalidomide, Metoprolol may decrease the excretion rate of Lenalidomide which could result in a higher serum level.]
[J05AE08, atazanavir, Atazanavir may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[B01AC21, treprostinil, Treprostinil may increase the hypotensive activities of Metoprolol.]
